PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r200r300c,r750c,k,r1875c,4c7cKs6s3cKhQdAsTh,-1875|1875,parlavecchio.antonio.1,DeepStack 
r200c,cr500f,,,3sQdAs8sJs7cAd,-200|200,DeepStack,parlavecchio.antonio.1 
cr200c,r500f,,,Kc9d4c8d5hAhKs,200|-200,parlavecchio.antonio.1,DeepStack 
r200c,cr500f,,,5c6h5h3d3hThQc,-200|200,DeepStack,parlavecchio.antonio.1 
k,cr200c,r500c,cr1000f,6c2cJd5dQd8s9cTc5s,-500|500,parlavecchio.antonio.1,DeepStack 
cr300c,r600f,,,5hAh8s4h3cKdTs,300|-300,DeepStack,parlavecchio.antonio.1 
r300r750c,r1875c,k,k,QdQcKs5cJd6s5hAd9c,1875|-1875,parlavecchio.antonio.1,DeepStack 
r200c,cr500f,,,2s5sTdTs8dJc3s,-200|200,DeepStack,parlavecchio.antonio.1 
r300c,cr900f,,,9hKsKc6h3cJd7h,-300|300,parlavecchio.antonio.1,DeepStack 
r250r750c,k,cr1875f,,Ah7hQd8hJc3sKcKs,-750|750,DeepStack,parlavecchio.antonio.1 
r300c,k,r750f,,2c6cTsKd7d8sJh5s,300|-300,parlavecchio.antonio.1,DeepStack 
r250r750c,r1500f,,,AcJs4cQd9sTs7d,750|-750,DeepStack,parlavecchio.antonio.1 
r200r500r1500c,r1600c,r1850r3700f,,4cAdQdQsQh7sQcTh,-1850|1850,parlavecchio.antonio.1,DeepStack 
r200r600f,,,,QhKc3sTd,200|-200,DeepStack,parlavecchio.antonio.1 
cr250c,r750f,,,3dKc3cKh5c5d4h,250|-250,parlavecchio.antonio.1,DeepStack 
r250f,,,,2d7c9sAh,-100|100,DeepStack,parlavecchio.antonio.1 
cr250f,,,,7c5d2hQd,100|-100,parlavecchio.antonio.1,DeepStack 
r250f,,,,5sJcTsAc,-100|100,DeepStack,parlavecchio.antonio.1 
r200c,k,k,r400c,7d4h6c8cQh3d8hAd9s,-400|400,parlavecchio.antonio.1,DeepStack 
r250r20000f,,,,AcKsTs7h,250|-250,DeepStack,parlavecchio.antonio.1 
f,,,,6c5s2d6s,50|-50,parlavecchio.antonio.1,DeepStack 
r200f,,,,4h9d9h5s,-100|100,DeepStack,parlavecchio.antonio.1 
r300c,cr600r900f,,,3h4d4cKs3cTc3d,600|-600,parlavecchio.antonio.1,DeepStack 
r250c,cr625c,cr1562f,,Ac6sTcJcAd9hQh8h,-625|625,DeepStack,parlavecchio.antonio.1 
r300r900c,r2250c,r5625f,,KhAc3s6s7sAsQdAh,2250|-2250,parlavecchio.antonio.1,DeepStack 
r250c,cr625f,,,8c9sJhKs6cAsQc,-250|250,DeepStack,parlavecchio.antonio.1 
cr300r900c,cr1800f,,,TcQcQs4sAh4h8d,-900|900,parlavecchio.antonio.1,DeepStack 
r250c,cr750c,k,cr1500c,8c7dJdTc8hTs6hAsAc,-1500|1500,DeepStack,parlavecchio.antonio.1 
cr250c,k,r625f,,5dAhJd4hKc8d7sAd,250|-250,parlavecchio.antonio.1,DeepStack 
r200c,k,r400r1000f,,7h4s3sQh5dTs6sQc,-400|400,DeepStack,parlavecchio.antonio.1 
r200c,k,r500c,k,Qh2cTs8cAdJdTc4s6s,-500|500,parlavecchio.antonio.1,DeepStack 
r250r750c,k,cr1875c,k,8h8c6c9cAd3c3d9s4c,-1875|1875,DeepStack,parlavecchio.antonio.1 
r300c,cr600c,r1800c,cr5400f,Th3h9dKh7d6cQs8h8d,-1800|1800,parlavecchio.antonio.1,DeepStack 
r300r900c,cr2250c,k,k,8dKd5c4hTd8cTs6s4c,2250|-2250,DeepStack,parlavecchio.antonio.1 
r300c,cr600r900f,,,5h5s9c4cTs2hJs,600|-600,parlavecchio.antonio.1,DeepStack 
cr300c,r600r900c,cr2250f,,AdJh2dQdKsKcQs3c,-900|900,DeepStack,parlavecchio.antonio.1 
r200c,cr400r1200r2400f,,,7s3dTs6c2h8cTh,-1200|1200,parlavecchio.antonio.1,DeepStack 
r250c,cr625c,cr1562c,cr3905r7810c,Ah7c7d4d8sAcKc7h7s,7810|-7810,DeepStack,parlavecchio.antonio.1 
r300c,cr900r1500c,r3750f,,Js2cQcTd2dJd8h8d,1500|-1500,parlavecchio.antonio.1,DeepStack 
r300c,cr750c,k,r1500c,QhJcAh7cJh4c2cTc3d,1500|-1500,DeepStack,parlavecchio.antonio.1 
r300c,r750c,r1875r3750f,,5sQh6s4d8d4sAs7c,-1875|1875,parlavecchio.antonio.1,DeepStack 
r250c,cr625c,k,cr1562f,4hThTcJhAs4c6c6s9h,-625|625,DeepStack,parlavecchio.antonio.1 
r200r600r1800c,k,r5400f,,JsQs8d7dKc4h5c4c,1800|-1800,parlavecchio.antonio.1,DeepStack 
r250c,k,cr750f,,2d6d4s3cAs6cKs8h,-250|250,DeepStack,parlavecchio.antonio.1 
r300c,k,k,r900c,2sKdQd2d9cAdJd4hQc,-900|900,parlavecchio.antonio.1,DeepStack 
r200c,cr600c,k,k,TdKs3sQd9d4c2d4h7d,600|-600,DeepStack,parlavecchio.antonio.1 
r300c,r750f,,,3c5dQc2c8d8c6h,300|-300,parlavecchio.antonio.1,DeepStack 
r200c,cr600f,,,4dJs2sKdQc3h6h,-200|200,DeepStack,parlavecchio.antonio.1 
