PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r200f,,,,2s3dTd8h,-100|100,sun.kaishi.1,DeepStack 
r300r900r2700c,cr6750c,cr13500f,,AhJhAcQh4hTcKc5d,-6750|6750,DeepStack,sun.kaishi.1 
k,k,k,cr200c,6s5d2sKc6c7c8c2d2h,-200|200,sun.kaishi.1,DeepStack 
r300f,,,,Qc4s6s6h,-100|100,DeepStack,sun.kaishi.1 
r300f,,,,5cJsKhKd,-100|100,sun.kaishi.1,DeepStack 
r200c,k,k,r400c,7h6s3s3c8s6dTh8d8c,400|-400,DeepStack,sun.kaishi.1 
f,,,,3c9s7s2h,50|-50,sun.kaishi.1,DeepStack 
r300f,,,,6h2s7hQh,-100|100,DeepStack,sun.kaishi.1 
r200f,,,,5d6c6s7c,-100|100,sun.kaishi.1,DeepStack 
r200c,cr600f,,,8h2h4s3c6sAcJd,-200|200,DeepStack,sun.kaishi.1 
f,,,,Jh3c6h2d,50|-50,sun.kaishi.1,DeepStack 
r200c,cr600f,,,Jh7c3dTc9c4hAc,-200|200,DeepStack,sun.kaishi.1 
r300c,r900c,r2250c,k,Ah2c5c6c8s6s2h3s7c,-2250|2250,sun.kaishi.1,DeepStack 
r200r600c,cr1500c,k,k,KsJs5c6c2h8dJdTh9s,1500|-1500,DeepStack,sun.kaishi.1 
r300f,,,,8d2c7sAc,-100|100,sun.kaishi.1,DeepStack 
k,r200c,r400f,,6sQdQh8c7c4s7s5c,200|-200,DeepStack,sun.kaishi.1 
k,cr200r600c,r1500c,r4500c,2s8sQsJd8dQc9cTc5s,-4500|4500,sun.kaishi.1,DeepStack 
r200r600c,r1200c,r2400f,,8dAd3sTd7d4h9sQs,1200|-1200,DeepStack,sun.kaishi.1 
r300c,k,k,k,5h4c9c6c7dKs9sAhTd,-300|300,sun.kaishi.1,DeepStack 
r200c,k,r400r1000c,k,Qc2hTc9h7s2d4hJs5s,1000|-1000,DeepStack,sun.kaishi.1 
r300f,,,,4c9s4dTd,-100|100,sun.kaishi.1,DeepStack 
f,,,,5h7c6hJs,50|-50,DeepStack,sun.kaishi.1 
k,k,r300f,,2hKcTsAd8s6hKh3h,100|-100,sun.kaishi.1,DeepStack 
r200c,cr500f,,,5hKsKh8h9c6s4c,-200|200,DeepStack,sun.kaishi.1 
r300r900f,,,,JsAd6sTc,300|-300,sun.kaishi.1,DeepStack 
r300f,,,,3s2c8c9c,-100|100,DeepStack,sun.kaishi.1 
r300f,,,,4sJd5dQc,-100|100,sun.kaishi.1,DeepStack 
r300r900r2700c,cr6750c,cr16875c,r20000c,KcQc8c8sJdAs5c3c5d,-20000|20000,DeepStack,sun.kaishi.1 
k,k,k,k,2s8cJh2c5sQdKs4d7s,-100|100,sun.kaishi.1,DeepStack 
r200c,r400c,r800c,k,8d9hTcJhJd3d4c9s2s,-800|800,DeepStack,sun.kaishi.1 
r300r500c,r1250f,,,6hAh4d3hQh6s9d,500|-500,sun.kaishi.1,DeepStack 
cr300c,r600c,r1200c,k,KhQsAs3hJd5hTc7h3c,-1200|1200,DeepStack,sun.kaishi.1 
f,,,,9cTs3d2c,50|-50,sun.kaishi.1,DeepStack 
r300r900r1500c,k,cr3750f,,Ad2dAsJcTs5hTc9s,-1500|1500,DeepStack,sun.kaishi.1 
r300c,k,k,k,Ah5s2s2dTc4s9cKsJd,-300|300,sun.kaishi.1,DeepStack 
r200c,cr500c,k,cr1500c,Jh3s9hQh8s4cJsAsTh,-1500|1500,DeepStack,sun.kaishi.1 
k,k,r300f,,7s9s2sJd7d3hTc7c,100|-100,sun.kaishi.1,DeepStack 
f,,,,2sKs7s2h,50|-50,DeepStack,sun.kaishi.1 
k,k,k,cr200f,2cThQdKs5s4h3dJsQh,-100|100,sun.kaishi.1,DeepStack 
k,k,k,k,7hAcTc5c6d8h6hJdTh,-100|100,DeepStack,sun.kaishi.1 
r200c,cr600f,,,Ac6c8cThTd9sQh,-200|200,sun.kaishi.1,DeepStack 
f,,,,Jc2h6c2c,50|-50,DeepStack,sun.kaishi.1 
r200f,,,,6dTh4hKd,-100|100,sun.kaishi.1,DeepStack 
cr300c,r600c,r1200f,,QsKd8s9dKhJh7d4s,600|-600,DeepStack,sun.kaishi.1 
r300f,,,,Tc6dAh9c,-100|100,sun.kaishi.1,DeepStack 
r200c,cr500c,cr1500f,,9dAcTcJhJsJd7c6c,-500|500,DeepStack,sun.kaishi.1 
f,,,,JdQc3d9s,50|-50,sun.kaishi.1,DeepStack 
f,,,,9d6c4s2h,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,6h7cAdAh,-100|100,sun.kaishi.1,DeepStack 
r300f,,,,Td6sAh8s,-100|100,DeepStack,sun.kaishi.1 
k,k,cr200f,,6d5sKdTsQsJh3sAh,-100|100,sun.kaishi.1,DeepStack 
r300f,,,,Qd3s5h3c,-100|100,DeepStack,sun.kaishi.1 
r200r600f,,,,AhJd4cQs,200|-200,sun.kaishi.1,DeepStack 
r300c,cr750f,,,ThKsAs7dAc9s5c,-300|300,DeepStack,sun.kaishi.1 
r200c,k,k,k,Qh5hKd8hJh9d3s2c2d,-200|200,sun.kaishi.1,DeepStack 
r300f,,,,Tc6hQc9c,-100|100,DeepStack,sun.kaishi.1 
r300f,,,,9c2sAd5s,-100|100,sun.kaishi.1,DeepStack 
r300f,,,,6h4c6s5h,-100|100,DeepStack,sun.kaishi.1 
r300c,cr600f,,,Jh6h9h6sAc2d4s,-300|300,sun.kaishi.1,DeepStack 
r300c,r900c,cr2250f,,Ad8hKcQd9d2c7h5s,-900|900,DeepStack,sun.kaishi.1 
f,,,,Ac9d5d2s,50|-50,sun.kaishi.1,DeepStack 
k,k,r200f,,3s2d7s5d2c9sQc8h,100|-100,DeepStack,sun.kaishi.1 
k,r250c,k,cr750c,ThJc8sAcJh4d7s2c8d,750|-750,sun.kaishi.1,DeepStack 
cr300c,r600f,,,4d6h7c2cKcKh6d,300|-300,DeepStack,sun.kaishi.1 
k,k,k,k,6dTsKh4h4cQdJd3h3d,-100|100,sun.kaishi.1,DeepStack 
r250r750r2250c,cr5625r20000c,,,8s7sQsQc8hQh5sQdTd,-20000|20000,DeepStack,sun.kaishi.1 
r200f,,,,Ts2s8h7h,-100|100,sun.kaishi.1,DeepStack 
r250r750c,r1500f,,,6s6h3c3h4s6cQd,750|-750,DeepStack,sun.kaishi.1 
r300f,,,,4s3hQc8d,-100|100,sun.kaishi.1,DeepStack 
k,r200c,r400c,k,Ac8h4h2s5s5h4s6hQc,-400|400,DeepStack,sun.kaishi.1 
k,k,k,cr300f,2hJd4c6h6s8hTc4s5c,-100|100,sun.kaishi.1,DeepStack 
f,,,,9hAc3h8c,50|-50,DeepStack,sun.kaishi.1 
r300c,cr600c,k,k,Kh6hAc9s4h5dKc3hQd,600|-600,sun.kaishi.1,DeepStack 
r300r900r1500c,cr3000c,k,cr7500f,ThKhAcTcQc6s9s3dAd,-3000|3000,DeepStack,sun.kaishi.1 
r300f,,,,2cTcAc7d,-100|100,sun.kaishi.1,DeepStack 
r250r750c,r1500r3000r6000r20000c,,,9hTh3d3c3h2hTdAcQc,-20000|20000,DeepStack,sun.kaishi.1 
r200c,k,r400c,k,9cJc6dJsTh9s6h5h3d,400|-400,sun.kaishi.1,DeepStack 
r250c,k,k,cr625f,6dJd9c9hTcAsTsTd4h,-250|250,DeepStack,sun.kaishi.1 
r300f,,,,5c2cJh6h,-100|100,sun.kaishi.1,DeepStack 
cr300c,k,cr750c,k,QcJh7hKs2d2hJd9s5c,750|-750,DeepStack,sun.kaishi.1 
r300c,k,k,k,Qs9s4s2s7h8cJd2d8s,-300|300,sun.kaishi.1,DeepStack 
r250c,cr625c,k,k,Ac9d9h8hQc7hTc4s3s,625|-625,DeepStack,sun.kaishi.1 
f,,,,2h5c2c5d,50|-50,sun.kaishi.1,DeepStack 
r250c,cr625c,cr1562c,r3124f,JdTh6h7sJhQsTd7hTs,1562|-1562,DeepStack,sun.kaishi.1 
cr300f,,,,KhQh6dJc,100|-100,sun.kaishi.1,DeepStack 
r250c,cr625c,k,k,9d8sTd5dQdJh3h5h8c,625|-625,DeepStack,sun.kaishi.1 
r300c,cr600f,,,Ac7h3s4dKs6c8s,-300|300,sun.kaishi.1,DeepStack 
r250f,,,,Js6c6d5s,-100|100,DeepStack,sun.kaishi.1 
r300f,,,,2s8s3c4c,-100|100,sun.kaishi.1,DeepStack 
r250r750c,k,cr1875f,,KcAhKh3d3s6h9s5d,-750|750,DeepStack,sun.kaishi.1 
r300c,cr600c,k,cr1800f,9sAhKdJcTd7d8d6dTs,-600|600,sun.kaishi.1,DeepStack 
r250r750c,r1500c,cr3750c,k,8h8c4h5h5c7sKc6s2d,3750|-3750,DeepStack,sun.kaishi.1 
r200r600f,,,,JdJs8sJh,200|-200,sun.kaishi.1,DeepStack 
r250f,,,,5d9c3d9s,-100|100,DeepStack,sun.kaishi.1 
r300c,r750c,r2250c,k,KsTcAhKd4sTsKc7d5s,2250|-2250,sun.kaishi.1,DeepStack 
r250f,,,,6s4h7d3c,-100|100,DeepStack,sun.kaishi.1 
k,cr200f,,,2h4c2c5d6h7dKc,-100|100,sun.kaishi.1,DeepStack 
r250c,cr625f,,,TsQd2d7d6h7c2c,-250|250,DeepStack,sun.kaishi.1 
k,cr300f,,,JdQd3d7h9h3c4h,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,3c6d3hTh,-100|100,DeepStack,sun.kaishi.1 
r300c,cr600c,k,k,Kh9cJd8hTdTsKd6cJh,600|-600,sun.kaishi.1,DeepStack 
cr300c,k,k,r600f,6d8dKh6c3c8c4h3h4s,300|-300,DeepStack,sun.kaishi.1 
r200c,cr400c,cr1200f,,5d7c6hQsAs5h9s8d,-400|400,sun.kaishi.1,DeepStack 
r250r750c,r1500r4500f,,,Jh8h6h9cAh9d6d,-1500|1500,DeepStack,sun.kaishi.1 
r200c,cr400f,,,Ah6s8h4h9dTd9h,-200|200,sun.kaishi.1,DeepStack 
f,,,,9s4dKd6s,50|-50,DeepStack,sun.kaishi.1 
r300c,cr600c,r1500c,k,Tc9cTdKdKs9h4c9s7s,1500|-1500,sun.kaishi.1,DeepStack 
r250r750c,k,cr1875f,,8s9cQhKc5s4d5hQd,-750|750,DeepStack,sun.kaishi.1 
r300f,,,,6h2d2c8c,-100|100,sun.kaishi.1,DeepStack 
r250c,cr625f,,,4sKcQsKd9dAdQh,-250|250,DeepStack,sun.kaishi.1 
r200c,cr600f,,,2hAdQs7cJs6sQd,-200|200,sun.kaishi.1,DeepStack 
r250c,k,cr500f,,7dJc5hQc4cKh6c4h,-250|250,DeepStack,sun.kaishi.1 
r300f,,,,3h4cQc5s,-100|100,sun.kaishi.1,DeepStack 
r250r750c,cr1875c,k,r5625c,KdQcAcTh3d9hTd8dTc,-5625|5625,DeepStack,sun.kaishi.1 
r200f,,,,3dKhAc5c,-100|100,sun.kaishi.1,DeepStack 
r250r750c,r2250c,r4500r11250r20000c,,8dAd6h5h8h2c5dAh4c,20000|-20000,DeepStack,sun.kaishi.1 
r200f,,,,Jh6dKs3d,-100|100,sun.kaishi.1,DeepStack 
r250r750f,,,,Ac2c3c4d,250|-250,DeepStack,sun.kaishi.1 
f,,,,Ad4h2c6d,50|-50,sun.kaishi.1,DeepStack 
r250c,r500r20000f,,,Jc9dAhAcJs7c4s,-500|500,DeepStack,sun.kaishi.1 
k,cr200c,cr400f,,QcJd8h6hTdTh7h4s,-200|200,sun.kaishi.1,DeepStack 
r250c,cr625f,,,6sAc8h5s2d5hKh,-250|250,DeepStack,sun.kaishi.1 
r200c,k,r500r1500f,,ThKd6c5s3s7h2h9c,-500|500,sun.kaishi.1,DeepStack 
r250c,cr625c,cr1250c,k,8hQcQh3hTcQs3cAc9d,-1250|1250,DeepStack,sun.kaishi.1 
r300f,,,,8sQcJs4s,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,Jc5h2sJd,-100|100,DeepStack,sun.kaishi.1 
f,,,,Ts5d2s6d,50|-50,sun.kaishi.1,DeepStack 
r250r750c,cr1875c,cr4687r9374c,cr20000f,9h9s3hQh4dAsQsQd8d,-9374|9374,DeepStack,sun.kaishi.1 
k,k,k,cr200c,9d9s7sTsQs2hTcJc2s,-200|200,sun.kaishi.1,DeepStack 
r250f,,,,3sQh2s9d,-100|100,DeepStack,sun.kaishi.1 
cr300f,,,,AsQhJh4c,100|-100,sun.kaishi.1,DeepStack 
r250c,k,r500c,r1000c,8h5hAsTsKhKd3cKc9d,-1000|1000,DeepStack,sun.kaishi.1 
r200f,,,,4d9h8hTc,-100|100,sun.kaishi.1,DeepStack 
r250f,,,,3d8s5d4h,-100|100,DeepStack,sun.kaishi.1 
r300c,k,k,k,5h5d3h3c2dAsJsKdTs,300|-300,sun.kaishi.1,DeepStack 
r250f,,,,7d3h5cTc,-100|100,DeepStack,sun.kaishi.1 
