PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300c,k,r400r1200c,cr3600c,7hKhJsTc8c3d9d7cAd,-3600|3600,sturc.martin.1,DeepStack 
r200r600r1500f,,,,5s8sQd6s,-600|600,DeepStack,sturc.martin.1 
r300c,cr900r2000c,r4500c,r20000f,6cQsKdJdTs8h9d8c4s,4500|-4500,sturc.martin.1,DeepStack 
r300f,,,,6sJhAs5c,-100|100,DeepStack,sturc.martin.1 
cr500f,,,,AsQd5hTc,100|-100,sturc.martin.1,DeepStack 
r300f,,,,7dTh5s5h,-100|100,DeepStack,sturc.martin.1 
cr500f,,,,Ac5d8s4d,100|-100,sturc.martin.1,DeepStack 
f,,,,6sAdTc4d,50|-50,DeepStack,sturc.martin.1 
cr500c,r1000f,,,Kc2d5hAd9sKs6d,500|-500,sturc.martin.1,DeepStack 
f,,,,Ad9s9c3s,50|-50,DeepStack,sturc.martin.1 
r200c,cr400f,,,2s9sAh9h5h5d8c,-200|200,sturc.martin.1,DeepStack 
r300f,,,,8s5d9c4s,-100|100,DeepStack,sturc.martin.1 
r200r600c,r1400c,r3600c,k,AdAcKs9cKd3c6dTdKh,-3600|3600,sturc.martin.1,DeepStack 
f,,,,6d9s3d9c,50|-50,DeepStack,sturc.martin.1 
r200r600f,,,,Qd9d3c4h,200|-200,sturc.martin.1,DeepStack 
r300f,,,,7h2d6s6d,-100|100,DeepStack,sturc.martin.1 
cr500c,r1000c,r2300f,,7d2dAd4sQd2s9d8s,1000|-1000,sturc.martin.1,DeepStack 
r300r900f,,,,QhAsJd4c,300|-300,DeepStack,sturc.martin.1 
r200r600r1800r3700c,r7700f,,,3cQcThAh2sKs6h,3700|-3700,sturc.martin.1,DeepStack 
f,,,,7d3s6d3c,50|-50,DeepStack,sturc.martin.1 
cr500c,r1000c,cr2000c,k,Kd3h8sAh2dKc5hQhTs,2000|-2000,sturc.martin.1,DeepStack 
r300c,cr600r1800f,,,QsJc8c9c6sTh4d,600|-600,DeepStack,sturc.martin.1 
f,,,,4cKs8d2h,50|-50,sturc.martin.1,DeepStack 
r300c,cr700c,cr2700f,,Ad9hQs3h7sQd3dQh,-700|700,DeepStack,sturc.martin.1 
