PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
cr200c,r400c,k,r867f,Ks2sAd8hKcQd4cJd9c,400|-400,sethi.muskan.1,DeepStack 
r200c,cr400c,k,r800f,9dTh9c2s2d6cTs4hKh,400|-400,DeepStack,sethi.muskan.1 
k,cr200f,,,5s3dJs9cJcKcTc,-100|100,sethi.muskan.1,DeepStack 
r200c,cr400f,,,9cKh3sAh6h4c7s,-200|200,DeepStack,sethi.muskan.1 
r200c,cr400c,cr800c,k,9d7c8h6s4h9h2d6h9s,800|-800,sethi.muskan.1,DeepStack 
r200f,,,,Td4c3cJh,-100|100,DeepStack,sethi.muskan.1 
k,r200f,,,4d9c6d3hJs2dTc,100|-100,sethi.muskan.1,DeepStack 
r200f,,,,2c5s7c9h,-100|100,DeepStack,sethi.muskan.1 
r200c,cr600f,,,5cKd8sQh4s7h3h,-200|200,sethi.muskan.1,DeepStack 
r200c,cr400r800c,cr1600c,k,9dJs4dAcQcQs4s9hTh,1600|-1600,DeepStack,sethi.muskan.1 
r300c,cr900f,,,Qd7h8dTd3hJdAh,-300|300,sethi.muskan.1,DeepStack 
r200f,,,,2h3sKcKd,-100|100,DeepStack,sethi.muskan.1 
r200c,k,r400r1200f,,Qs2sQcTs9cAd7cKs,-400|400,sethi.muskan.1,DeepStack 
r200c,cr400f,,,Qc4sTh4hKh2h7s,-200|200,DeepStack,sethi.muskan.1 
r200c,cr400r1000f,,,Kh5c6dTh8hJc4h,400|-400,sethi.muskan.1,DeepStack 
r200r600f,,,,JdJcTh2c,200|-200,DeepStack,sethi.muskan.1 
k,k,k,r200f,Tc4s5s8cAd2h7dQs3d,100|-100,sethi.muskan.1,DeepStack 
r200c,cr400c,cr800c,k,8c7sJd4dJhTc9c6s6c,800|-800,DeepStack,sethi.muskan.1 
r300r600c,r1200c,cr2400f,,2cAsKsQs3h5hTd3s,-1200|1200,sethi.muskan.1,DeepStack 
f,,,,9sJd3h7c,50|-50,DeepStack,sethi.muskan.1 
r200f,,,,5s9hQc9c,-100|100,sethi.muskan.1,DeepStack 
r200c,cr400c,cr1000f,,8sKc3hQh8dTs4c9c,-400|400,DeepStack,sethi.muskan.1 
r300r500c,r1000c,k,cr3000f,4c4sKcQs2cJhQc8h5s,-1000|1000,sethi.muskan.1,DeepStack 
r200c,cr400c,cr1000f,,Ks2cThQc7cAh2hQs,-400|400,DeepStack,sethi.muskan.1 
cr200c,r400f,,,Kd9d8d9s3hQh6s,200|-200,sethi.muskan.1,DeepStack 
r200f,,,,9h2dTd8d,-100|100,DeepStack,sethi.muskan.1 
k,k,k,r300f,QcAh9sAdJc5sKdTd2d,100|-100,sethi.muskan.1,DeepStack 
r200c,k,k,cr600f,5h2hKc5s9cJh8c2c3c,-200|200,DeepStack,sethi.muskan.1 
k,cr300c,k,r900c,5d3d5c4s3h7sQc5sAc,900|-900,sethi.muskan.1,DeepStack 
r200c,cr400r800f,,,4dTd5d8h6dKd4c,400|-400,DeepStack,sethi.muskan.1 
f,,,,9dQc3d2c,50|-50,sethi.muskan.1,DeepStack 
r200r600r1000c,k,r3000c,r20000f,5d7dQdQsTd6d3hKc2c,3000|-3000,DeepStack,sethi.muskan.1 
k,r200c,r400f,,9h8sQd6dKd9c2cAs,200|-200,sethi.muskan.1,DeepStack 
r200c,k,cr400c,cr800r1600f,6hTsJc9hKd6d5d5cTc,800|-800,DeepStack,sethi.muskan.1 
r300r500r1000c,cr3000c,cr9000c,r20000c,5h6hKhJd4cTd3s2hJs,20000|-20000,sethi.muskan.1,DeepStack 
r200c,cr400r800f,,,5h9c3c7d9s5sQd,400|-400,DeepStack,sethi.muskan.1 
r200f,,,,Js3h6dJc,-100|100,sethi.muskan.1,DeepStack 
r200r600c,r1200f,,,3s3d8cAhJh2s2c,600|-600,DeepStack,sethi.muskan.1 
r200r300r600c,k,r1500f,,7dThAs5s2d2cTc6h,600|-600,sethi.muskan.1,DeepStack 
r200c,cr400c,cr1200f,,5cTs4d2dTcKcQcKd,-400|400,DeepStack,sethi.muskan.1 
r200r300c,r600c,r1200c,r3600c,4c5h3cKs8h6dKh2d6h,-3600|3600,sethi.muskan.1,DeepStack 
r200r600c,r1200c,cr3600f,,AhJd7dKd6d6s2h8h,-1200|1200,DeepStack,sethi.muskan.1 
f,,,,Td8d3s9c,50|-50,sethi.muskan.1,DeepStack 
r200c,cr500f,,,Qd2c9d9s7dTh5d,-200|200,DeepStack,sethi.muskan.1 
r200r300c,r600f,,,Qd5d8cTc6s4hAh,300|-300,sethi.muskan.1,DeepStack 
r200r600c,cr1500f,,,2h2d4s2cAcKdTh,-600|600,DeepStack,sethi.muskan.1 
r200f,,,,7c3h4cKc,-100|100,sethi.muskan.1,DeepStack 
