"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",100,-100,200,-200,300,-300,9
"2",100,-100,200,-200,300,-300,9
"3",281.818181818182,-281.818181818182,18.1818181818182,-18.1818181818182,300,-300,9
"4",-136.363636363636,136.363636363636,-163.636363636364,163.636363636364,-300,300,9
"5",-100,100,0,0,-100,100,9
"6",-100,100,0,0,-100,100,9
"7",150,-150,750,-750,900,-900,9
"8",132.929292929293,-132.929292929293,467.070707070707,-467.070707070707,600,-600,9
"9",109.090909090909,-109.090909090909,90.9090909090909,-90.9090909090909,200,-200,9
"10",-100,100,0,0,-100,100,9
"11",-145.656565656566,145.656565656566,-54.3434343434343,54.3434343434343,-200,200,9
"12",100,-100,200,-200,300,-300,9
"13",258.484848484848,-258.484848484848,341.515151515152,-341.515151515152,600,-600,9
"14",143.030303030303,-143.030303030303,456.969696969697,-456.969696969697,600,-600,9
"15",-100,100,-200,200,-300,300,9
"16",-100,100,0,0,-100,100,9
"17",-100,100,0,0,-100,100,9
"18",106.262626262626,-106.262626262626,93.7373737373737,-93.7373737373737,200,-200,9
"19",-100,100,-200,200,-300,300,9
"20",463.636363636364,-463.636363636364,436.363636363636,-436.363636363636,900,-900,9
"21",-118.181818181818,118.181818181818,-781.818181818182,781.818181818182,-900,900,9
"22",-100,100,-800,800,-900,900,9
"23",100,-100,800,-800,900,-900,9
"24",-156.161616161616,156.161616161616,-43.8383838383838,43.8383838383838,-200,200,9
"25",-100,100,-200,200,-300,300,9
"26",107.676767676768,-107.676767676768,492.323232323232,-492.323232323232,600,-600,9
"27",100,-100,0,0,100,-100,9
"28",353.443434343434,-353.443434343434,10446.5565656566,-10446.5565656566,10800,-10800,9
"29",302.5,-302.5,97.5,-97.5,400,-400,9
"30",-100,100,0,0,-100,100,9
"31",131.717171717172,-131.117171717172,468.282828282828,-468.882828282828,600,-600,9
"32",256.565656565657,-256.565656565657,343.434343434343,-343.434343434343,600,-600,9
"33",-154.545454545455,154.545454545455,-145.454545454545,145.454545454545,-300,300,9
"34",141.212121212121,-141.212121212121,58.7878787878788,-58.7878787878788,200,-200,9
"35",172.727272727273,-172.727272727273,727.272727272727,-727.272727272727,900,-900,9
"36",100,-100,200,-200,300,-300,9
"37",116.464646464646,-116.464646464646,1683.53535353535,-1683.53535353535,1800,-1800,9
"38",112.929292929293,-112.929292929293,2587.07070707071,-2587.07070707071,2700,-2700,9
"39",165.050505050505,-165.050505050505,434.949494949495,-434.949494949495,600,-600,9
"40",-100,100,-800,800,-900,900,9
"41",100,-100,200,-200,300,-300,9
"42",121.212121212121,-121.212121212121,1678.78787878788,-1678.78787878788,1800,-1800,9
"43",100,-100,0,0,100,-100,9
"44",-103.838383838384,103.838383838384,-96.1616161616162,96.1616161616162,-200,200,9
"45",147.171717171717,-147.171717171717,452.828282828283,-452.828282828283,600,-600,9
"46",-168.181818181818,168.181818181818,-131.818181818182,131.818181818182,-300,300,9
"47",-100,100,0,0,-100,100,9
"48",133.737373737374,-133.737373737374,1666.26262626263,-1666.26262626263,1800,-1800,9
"49",-100,100,-200,200,-300,300,9
"50",-100,100,0,0,-100,100,9
"51",-136.767676767677,136.767676767677,-463.232323232323,463.232323232323,-600,600,9
"52",100,-100,0,0,100,-100,9
