"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",100,-100,0,0,100,-100,9
"2",-100,100,0,0,-100,100,9
"3",-100,100,0,0,-100,100,9
"4",-100,100,0,0,-100,100,9
"5",100,-100,0,0,100,-100,9
"6",100,-100,0,0,100,-100,9
"7",100,-100,0,0,100,-100,9
"8",-100,100,-19900,19900,-20000,20000,8
"9",-100,100,0,0,-100,100,9
"10",-100,100,0,0,-100,100,9
"11",100,-100,0,0,100,-100,9
"12",-77.2727272727273,77.2727272727273,-19922.7272727273,19922.7272727273,-20000,20000,6
"13",-100,100,0,0,-100,100,9
"14",100,-100,0,0,100,-100,9
"15",-100,100,-19900,19900,-20000,20000,6
"16",100,-100,0,0,100,-100,9
"17",-100,100,0,0,-100,100,9
"18",100,-100,0,0,100,-100,9
"19",-100,100,-19900,19900,-20000,20000,8
"20",100,-100,0,0,100,-100,9
"21",100,-100,0,0,100,-100,9
"22",-3.5527136788005e-15,3.5527136788005e-15,0,0,-3.5527136788005e-15,3.5527136788005e-15,9
"23",-100,100,0,0,-100,100,9
"24",100,-100,0,0,100,-100,9
"25",100,-100,0,0,100,-100,9
"26",-100,100,0,0,-100,100,9
"27",-100,100,-19900,19900,-20000,20000,8
"28",100,-100,0,0,100,-100,9
"29",100,-100,0,0,100,-100,9
"30",-100,100,0,0,-100,100,9
"31",100,-100,0,0,100,-100,9
"32",100,-100,0,0,100,-100,9
"33",100,-100,0,0,100,-100,9
"34",-100,100,-19900,19900,-20000,20000,6
"35",100,-73.9,0,-26.1,100,-100,9
"36",100,-100,0,0,100,-100,9
"37",-100,100,0,0,-100,100,9
"38",-100,100,0,0,-100,100,9
"39",100,-100,0,0,100,-100,9
"40",-100,100,0,0,-100,100,9
"41",100,-75,0,-25,100,-100,9
"42",-100,100,0,0,-100,100,9
"43",-32.7,32.7,-19967.3,19967.3,-20000,20000,2
"44",-100,100,0,0,-100,100,9
"45",100,-100,0,0,100,-100,9
"46",-100,100,-19900,19900,-20000,20000,8
"47",100,-100,0,0,100,-100,9
"48",100,-100,0,0,100,-100,9
"49",-100,100,0,0,-100,100,9
"50",100,-100,0,0,100,-100,9
"51",-100,100,0,0,-100,100,9
"52",-100,100,0,0,-100,100,9
"53",-100,100,0,0,-100,100,9
"54",-100,100,0,0,-100,100,9
"55",-100,100,0,0,-100,100,9
"56",-73.6,73.6,-19926.4,19926.4,-20000,20000,2
"57",100,-100,0,0,100,-100,9
"58",100,-100,0,0,100,-100,9
"59",-100,100,0,0,-100,100,9
"60",-3.5527136788005e-15,3.5527136788005e-15,0,0,-3.5527136788005e-15,3.5527136788005e-15,9
"61",-99.7979797979798,99.7979797979798,-19900.202020202,19900.202020202,-20000,20000,4
"62",-100,100,0,0,-100,100,9
"63",100,-100,0,0,100,-100,9
"64",100,-100,0,0,100,-100,9
"65",100,-100,0,0,100,-100,9
"66",-100,100,0,0,-100,100,9
"67",100,-100,0,0,100,-100,9
"68",100,-100,0,0,100,-100,9
"69",100,-100,0,0,100,-100,9
"70",-100,100,0,0,-100,100,9
"71",100,-100,0,0,100,-100,9
"72",100,-100,0,0,100,-100,9
"73",100,-100,0,0,100,-100,9
"74",100,-100,0,0,100,-100,9
"75",-100,100,0,0,-100,100,9
"76",-100,100,0,0,-100,100,9
"77",100,-100,0,0,100,-100,9
"78",-100,100,-19900,19900,-20000,20000,8
"79",-100,100,0,0,-100,100,9
"80",100,-100,0,0,100,-100,9
"81",100,-100,0,0,100,-100,9
"82",100,-100,0,0,100,-100,9
"83",-100,100,0,0,-100,100,9
"84",100,-100,0,0,100,-100,9
"85",100,-100,0,0,100,-100,9
"86",100,-100,0,0,100,-100,9
"87",-100,100,0,0,-100,100,9
"88",100,-100,0,0,100,-100,9
"89",-100,100,0,0,-100,100,9
"90",-100,100,0,0,-100,100,9
"91",-100,100,-19900,19900,-20000,20000,8
"92",100,-100,0,0,100,-100,9
"93",-100,100,0,0,-100,100,9
"94",100,-100,0,0,100,-100,9
"95",100,-100,0,0,100,-100,9
"96",100,-100,0,0,100,-100,9
"97",-100,100,0,0,-100,100,9
"98",-100,100,0,0,-100,100,9
"99",-100,100,0,0,-100,100,9
"100",-100,100,0,0,-100,100,9
"101",-100,100,0,0,-100,100,9
"102",100,-90.6,0,-9.40000000000001,100,-100,9
"103",-100,100,0,0,-100,100,9
"104",100,-100,0,0,100,-100,9
"105",-100,100,0,0,-100,100,9
"106",-62.6,62.6,-19937.4,19937.4,-20000,20000,2
"107",100,-100,0,0,100,-100,9
"108",100,-100,0,0,100,-100,9
"109",100,-71.8,0,-28.2,100,-100,9
"110",-100,100,-19900,19900,-20000,20000,8
"111",-100,100,0,0,-100,100,9
"112",-100,100,0,0,-100,100,9
"113",-100,100,0,0,-100,100,9
"114",100,-89,0,-11,100,-100,9
"115",100,-100,0,0,100,-100,9
"116",-100,100,0,0,-100,100,9
"117",-100,100,0,0,-100,100,9
"118",-29.9,29.9,-19970.1,19970.1,-20000,20000,2
"119",100,-100,0,0,100,-100,9
"120",100,-100,0,0,100,-100,9
"121",100,-100,0,0,100,-100,9
"122",-100,100,0,0,-100,100,9
"123",-100,100,-19900,19900,-20000,20000,8
"124",100,-100,0,0,100,-100,9
"125",-100,100,0,0,-100,100,9
"126",-100,100,0,0,-100,100,9
"127",-100,100,0,0,-100,100,9
"128",-100,100,0,0,-100,100,9
"129",-100,100,0,0,-100,100,9
"130",-100,100,0,0,-100,100,9
"131",100,-100,0,0,100,-100,9
"132",100,-83.9,0,-16.1,100,-100,9
"133",100,-100,0,0,100,-100,9
"134",-100,100,0,0,-100,100,9
"135",-100,100,-19900,19900,-20000,20000,8
"136",100,-100,0,0,100,-100,9
"137",-100,100,0,0,-100,100,9
"138",-100,100,-19900,19900,-20000,20000,8
"139",100,-100,0,0,100,-100,9
"140",100,-100,0,0,100,-100,9
"141",-100,100,0,0,-100,100,9
"142",100,-100,0,0,100,-100,9
"143",100,-100,0,0,100,-100,9
"144",-100,100,-19900,19900,-20000,20000,8
"145",100,-100,0,0,100,-100,9
"146",100,-100,0,0,100,-100,9
"147",-100,100,0,0,-100,100,9
"148",-100,100,0,0,-100,100,9
"149",-100,100,0,0,-100,100,9
"150",100,-100,0,0,100,-100,9
"151",-100,100,0,0,-100,100,9
"152",-100,100,0,0,-100,100,9
"153",100,-100,0,0,100,-100,9
"154",100,-100,0,0,100,-100,9
"155",100,-100,0,0,100,-100,9
"156",-100,100,-19900,19900,-20000,20000,8
"157",-86.3636363636364,113.563636363636,-19913.6363636364,19886.4363636364,-20000,20000,6
"158",-100,100,0,0,-100,100,9
"159",100,-100,0,0,100,-100,9
"160",-100,100,0,0,-100,100,9
"161",-100,100,0,0,-100,100,9
"162",-100,100,0,0,-100,100,9
"163",100,-100,0,0,100,-100,9
"164",-100,100,-19900,19900,-20000,20000,8
"165",100,-100,0,0,100,-100,9
"166",100,-100,0,0,100,-100,9
"167",100,-100,0,0,100,-100,9
"168",100,-100,0,0,100,-100,9
"169",-100,100,0,0,-100,100,9
"170",-100,100,0,0,-100,100,9
"171",-100,100,-19900,19900,-20000,20000,8
"172",100,-100,0,0,100,-100,9
"173",100,-100,0,0,100,-100,9
"174",100,-100,0,0,100,-100,9
"175",-98.7878787878788,98.7878787878788,-19901.2121212121,19901.2121212121,-20000,20000,4
"176",100,-100,0,0,100,-100,9
"177",-100,100,0,0,-100,100,9
"178",-100,100,0,0,-100,100,9
"179",-100,100,0,0,-100,100,9
"180",100,-100,0,0,100,-100,9
"181",-100,100,0,0,-100,100,9
"182",-100,100,0,0,-100,100,9
"183",100,-100,0,0,100,-100,9
"184",100,-100,0,0,100,-100,9
"185",100,-100,0,0,100,-100,9
"186",-100,100,0,0,-100,100,9
"187",-100,100,0,0,-100,100,9
"188",100,-100,0,0,100,-100,9
"189",-100,100,-19900,19900,-20000,20000,8
"190",-100,100,0,0,-100,100,9
"191",100,-100,0,0,100,-100,9
"192",100,-100,0,0,100,-100,9
"193",-1.77635683940025e-15,1.77635683940025e-15,0,0,-1.77635683940025e-15,1.77635683940025e-15,9
"194",-48.4,48.4,-19951.6,19951.6,-20000,20000,2
"195",100,-100,0,0,100,-100,9
"196",100,-89.5,0,-10.5,100,-100,9
"197",-100,100,0,0,-100,100,9
"198",-100,100,0,0,-100,100,9
"199",-100,100,0,0,-100,100,9
"200",-100,100,0,0,-100,100,9
"201",100,-100,0,0,100,-100,9
"202",100,-100,0,0,100,-100,9
"203",100,-100,0,0,100,-100,9
"204",100,-100,0,0,100,-100,9
"205",100,-100,0,0,100,-100,9
"206",-100,100,0,0,-100,100,9
"207",-100,100,0,0,-100,100,9
"208",100,-100,0,0,100,-100,9
"209",0,0,0,0,0,0,9
"210",100,-100,0,0,100,-100,9
"211",100,-100,0,0,100,-100,9
"212",-100,100,0,0,-100,100,9
"213",100,-100,0,0,100,-100,9
"214",100,-100,0,0,100,-100,9
"215",-100,100,0,0,-100,100,9
"216",-100,100,0,0,-100,100,9
"217",100,-100,0,0,100,-100,9
"218",-100,100,-19900,19900,-20000,20000,8
"219",100,-100,0,0,100,-100,9
"220",-100,100,0,0,-100,100,9
"221",100,-100,0,0,100,-100,9
"222",-100,100,0,0,-100,100,9
"223",3.5527136788005e-15,-3.5527136788005e-15,0,0,3.5527136788005e-15,-3.5527136788005e-15,9
"224",-100,100,0,0,-100,100,9
"225",-100,100,0,0,-100,100,9
"226",100,-100,0,0,100,-100,9
"227",100,-100,0,0,100,-100,9
"228",100,-100,0,0,100,-100,9
"229",-29.8,29.8,-19970.2,19970.2,-20000,20000,2
"230",-100,100,0,0,-100,100,9
"231",-100,100,0,0,-100,100,9
"232",100,-100,0,0,100,-100,9
"233",-63.4,63.4,-19936.6,19936.6,-20000,20000,2
"234",100,-100,0,0,100,-100,9
"235",100,-84.2,0,-15.8,100,-100,9
"236",-100,100,-19900,19900,-20000,20000,8
"237",100,-100,0,0,100,-100,9
"238",-100,100,0,0,-100,100,9
"239",-100,100,0,0,-100,100,9
"240",100,-100,0,0,100,-100,9
"241",100,-100,0,0,100,-100,9
"242",100,-100,0,0,100,-100,9
"243",100,-100,0,0,100,-100,9
"244",-100,100,0,0,-100,100,9
"245",100,-100,0,0,100,-100,9
"246",100,-100,0,0,100,-100,9
"247",-100,100,0,0,-100,100,9
"248",-100,100,-19900,19900,-20000,20000,8
"249",100,-100,0,0,100,-100,9
"250",-100,100,-19900,19900,-20000,20000,8
"251",100,-100,0,0,100,-100,9
"252",100,-100,0,0,100,-100,9
"253",100,-100,0,0,100,-100,9
"254",-100,100,0,0,-100,100,9
"255",-100,100,-19900,19900,-20000,20000,6
"256",100,-100,0,0,100,-100,9
"257",100,-100,0,0,100,-100,9
"258",100,-76.7,0,-23.3,100,-100,9
"259",-100,100,0,0,-100,100,9
"260",-100,100,0,0,-100,100,9
"261",-100,100,0,0,-100,100,9
"262",100,-100,0,0,100,-100,9
"263",-100,100,0,0,-100,100,9
"264",100,-100,0,0,100,-100,9
"265",100,-100,0,0,100,-100,9
"266",-100,100,0,0,-100,100,9
"267",-100,100,0,0,-100,100,9
"268",100,-100,0,0,100,-100,9
"269",100,-100,0,0,100,-100,9
"270",-100,100,0,0,-100,100,9
"271",-100,100,-19900,19900,-20000,20000,8
"272",100,-100,0,0,100,-100,9
"273",100,-100,0,0,100,-100,9
"274",-87.9,87.9,-19912.1,19912.1,-20000,20000,2
"275",100,-100,0,0,100,-100,9
"276",100,-100,0,0,100,-100,9
"277",-100,100,0,0,-100,100,9
"278",100,-100,0,0,100,-100,9
"279",-100,100,0,0,-100,100,9
"280",100,-100,0,0,100,-100,9
"281",-100,100,0,0,-100,100,9
"282",-100,100,0,0,-100,100,9
"283",100,-100,0,0,100,-100,9
"284",100,-100,0,0,100,-100,9
"285",100,-100,0,0,100,-100,9
"286",-100,100,0,0,-100,100,9
"287",100,-100,0,0,100,-100,9
"288",-100,100,0,0,-100,100,9
"289",100,-80.8,0,-19.2,100,-100,9
"290",-3.5527136788005e-15,3.5527136788005e-15,0,0,-3.5527136788005e-15,3.5527136788005e-15,9
"291",-100,100,-19900,19900,-20000,20000,6
"292",100,-100,0,0,100,-100,9
"293",-100,100,0,0,-100,100,9
"294",-73.2,73.2,-19926.8,19926.8,-20000,20000,2
"295",-100,100,0,0,-100,100,9
"296",-100,100,0,0,-100,100,9
"297",-100,100,0,0,-100,100,9
"298",100,-100,0,0,100,-100,9
"299",100,-77.1,0,-22.9,100,-100,9
"300",-100,100,0,0,-100,100,9
"301",100,-100,0,0,100,-100,9
"302",100,-100,0,0,100,-100,9
"303",100,-100,0,0,100,-100,9
"304",100,-100,0,0,100,-100,9
"305",100,-100,0,0,100,-100,9
"306",-100,100,0,0,-100,100,9
"307",-100,100,0,0,-100,100,9
"308",100,-100,0,0,100,-100,9
"309",-100,100,-19900,19900,-20000,20000,6
"310",-100,100,0,0,-100,100,9
"311",-100,100,0,0,-100,100,9
"312",-100,100,0,0,-100,100,9
"313",-100,100,0,0,-100,100,9
"314",100,-100,0,0,100,-100,9
"315",100,-100,0,0,100,-100,9
"316",100,-100,0,0,100,-100,9
"317",100,-100,0,0,100,-100,9
"318",100,-100,0,0,100,-100,9
"319",100,-100,0,0,100,-100,9
"320",100,-100,0,0,100,-100,9
"321",100,-100,0,0,100,-100,9
"322",100,-100,0,0,100,-100,9
"323",100,-100,0,0,100,-100,9
"324",-100,100,0,0,-100,100,9
"325",-100,100,0,0,-100,100,9
"326",-100,100,0,0,-100,100,9
"327",-100,100,0,0,-100,100,9
"328",100,-100,0,0,100,-100,9
"329",100,-100,0,0,100,-100,9
"330",-100,100,0,0,-100,100,9
"331",-100,100,0,0,-100,100,9
"332",100,-100,0,0,100,-100,9
"333",-66.7,66.7,-19933.3,19933.3,-20000,20000,2
"334",100,-100,0,0,100,-100,9
"335",100,-99.9,0,-0.0999999999999872,100,-100,9
"336",100,-100,0,0,100,-100,9
"337",100,-100,0,0,100,-100,9
"338",-100,100,-19900,19900,-20000,20000,8
"339",-100,100,0,0,-100,100,9
"340",100,-100,0,0,100,-100,9
"341",0,0,-20000,20000,-20000,20000,8
"342",100,-100,0,0,100,-100,9
"343",100,-100,0,0,100,-100,9
"344",-100,100,-19900,19900,-20000,20000,8
"345",100,-100,0,0,100,-100,9
"346",100,-100,0,0,100,-100,9
"347",-100,100,0,0,-100,100,9
"348",100,-100,0,0,100,-100,9
"349",-100,100,0,0,-100,100,9
"350",100,-100,0,0,100,-100,9
"351",-100,100,-19900,19900,-20000,20000,8
"352",-54.5454545454545,54.5454545454545,-19945.4545454545,19945.4545454545,-20000,20000,6
"353",-100,100,0,0,-100,100,9
"354",-31.1,31.1,-19968.9,19968.9,-20000,20000,2
"355",-100,100,0,0,-100,100,9
"356",100,-100,0,0,100,-100,9
"357",100,-100,0,0,100,-100,9
"358",100,-100,0,0,100,-100,9
"359",1.77635683940025e-15,-1.77635683940025e-15,0,0,1.77635683940025e-15,-1.77635683940025e-15,9
"360",-100,100,0,0,-100,100,9
"361",-100,100,-19900,19900,-20000,20000,8
"362",100,-100,0,0,100,-100,9
"363",-100,100,0,0,-100,100,9
"364",-100,100,0,0,-100,100,9
"365",1.06581410364015e-14,0,-20000,20000,-20000,20000,8
"366",100,-100,0,0,100,-100,9
"367",-100,100,0,0,-100,100,9
"368",100,-100,0,0,100,-100,9
"369",-100,100,0,0,-100,100,9
"370",-100,100,0,0,-100,100,9
"371",100,-100,0,0,100,-100,9
"372",-100,100,0,0,-100,100,9
"373",100,-100,0,0,100,-100,9
"374",5.32907051820075e-15,-5.32907051820075e-15,0,0,5.32907051820075e-15,-5.32907051820075e-15,9
"375",-100,100,0,0,-100,100,9
"376",100,-100,0,0,100,-100,9
"377",100,-100,0,0,100,-100,9
"378",-50.5,50.5,-19949.5,19949.5,-20000,20000,2
"379",100,-100,0,0,100,-100,9
"380",-100,100,0,0,-100,100,9
"381",100,-100,0,0,100,-100,9
"382",-100,100,0,0,-100,100,9
"383",100,-100,0,0,100,-100,9
"384",100,-100,0,0,100,-100,9
"385",100,-99.5,0,-0.499999999999986,100,-100,9
"386",100,-100,0,0,100,-100,9
"387",100,-100,0,0,100,-100,9
"388",-100,100,0,0,-100,100,9
"389",-100,100,0,0,-100,100,9
"390",100,-100,0,0,100,-100,9
"391",-33,33,-19967,19967,-20000,20000,2
"392",100,-100,0,0,100,-100,9
"393",-100,100,0,0,-100,100,9
"394",-100,100,0,0,-100,100,9
"395",1.4210854715202e-14,-1.4210854715202e-14,-20000,20000,-20000,20000,8
"396",-100,100,0,0,-100,100,9
"397",-100,100,-19900,19900,-20000,20000,6
"398",100,-100,0,0,100,-100,9
"399",-100,100,-19900,19900,-20000,20000,8
"400",100,-100,0,0,100,-100,9
"401",-95.8585858585859,95.8585858585859,-19904.1414141414,19904.1414141414,-20000,20000,4
"402",-100,100,-19900,19900,-20000,20000,6
"403",100,-100,0,0,100,-100,9
"404",-100,100,-19900,19900,-20000,20000,8
"405",100,-100,0,0,100,-100,9
"406",100,-100,0,0,100,-100,9
"407",100,-100,0,0,100,-100,9
"408",-100,100,0,0,-100,100,9
"409",-100,100,0,0,-100,100,9
"410",-5.32907051820075e-15,5.32907051820075e-15,0,0,-5.32907051820075e-15,5.32907051820075e-15,9
"411",-100,100,0,0,-100,100,9
"412",100,-100,0,0,100,-100,9
"413",-100,100,-19900,19900,-20000,20000,8
"414",100,-100,0,0,100,-100,9
"415",-100,100,0,0,-100,100,9
"416",100,-100,0,0,100,-100,9
"417",100,-100,0,0,100,-100,9
"418",100,-100,0,0,100,-100,9
"419",100,-100,0,0,100,-100,9
"420",-100,100,0,0,-100,100,9
"421",-100,100,0,0,-100,100,9
"422",100,-100,0,0,100,-100,9
"423",100,-100,0,0,100,-100,9
"424",-100,100,0,0,-100,100,9
"425",-100,100,0,0,-100,100,9
"426",100,-100,0,0,100,-100,9
"427",100,-100,0,0,100,-100,9
"428",100,-100,0,0,100,-100,9
"429",100,-100,0,0,100,-100,9
"430",-100,100,0,0,-100,100,9
"431",100,-100,0,0,100,-100,9
"432",-26.7,26.7,-19973.3,19973.3,-20000,20000,2
"433",-100,100,0,0,-100,100,9
"434",-65,65,-19935,19935,-20000,20000,2
"435",-100,100,0,0,-100,100,9
"436",-100,100,0,0,-100,100,9
"437",1.77635683940025e-15,-1.77635683940025e-15,0,0,1.77635683940025e-15,-1.77635683940025e-15,9
"438",100,-100,0,0,100,-100,9
"439",100,-100,0,0,100,-100,9
"440",-100,100,0,0,-100,100,9
"441",100,-100,0,0,100,-100,9
"442",100,-100,-20100,20100,-20000,20000,8
"443",-100,100,0,0,-100,100,9
"444",-100,100,0,0,-100,100,9
"445",-100,100,0,0,-100,100,9
"446",-100,100,0,0,-100,100,9
"447",-100,100,0,0,-100,100,9
"448",-100,100,0,0,-100,100,9
"449",-100,100,0,0,-100,100,9
"450",-100,100,0,0,-100,100,9
"451",-100,100,0,0,-100,100,9
"452",-100,100,0,0,-100,100,9
"453",-100,100,-19900,19900,-20000,20000,8
"454",100,-83.2,0,-16.8,100,-100,9
"455",100,-100,0,0,100,-100,9
"456",-100,100,0,0,-100,100,9
"457",100,-100,0,0,100,-100,9
"458",100,-100,0,0,100,-100,9
"459",-100,100,-19900,19900,-20000,20000,6
"460",-100,100,0,0,-100,100,9
"461",100,-100,0,0,100,-100,9
"462",100,-100,0,0,100,-100,9
"463",-100,100,0,0,-100,100,9
"464",-100,100,0,0,-100,100,9
"465",100,-100,0,0,100,-100,9
"466",-100,100,0,0,-100,100,9
"467",100,-100,0,0,100,-100,9
"468",100,-100,0,0,100,-100,9
"469",100,-100,0,0,100,-100,9
"470",-100,100,0,0,-100,100,9
"471",-66.5,66.5,-19933.5,19933.5,-20000,20000,2
"472",-100,100,0,0,-100,100,9
"473",100,-100,0,0,100,-100,9
"474",-100,100,-19900,19900,-20000,20000,8
"475",0,0,0,0,0,0,9
"476",-100,100,0,0,-100,100,9
"477",-100,100,0,0,-100,100,9
"478",100,-100,0,0,100,-100,9
"479",-100,100,0,0,-100,100,9
"480",100,-80,0,-20,100,-100,9
"481",100,-100,-20100,20100,-20000,20000,8
"482",100,-100,0,0,100,-100,9
"483",-100,100,0,0,-100,100,9
"484",100,-100,0,0,100,-100,9
"485",100,-100,0,0,100,-100,9
"486",100,-100,0,0,100,-100,9
"487",-100,100,-19900,19900,-20000,20000,8
"488",7.105427357601e-15,-7.105427357601e-15,-20000,20000,-20000,20000,8
"489",-100,100,-19900,19900,-20000,20000,8
"490",100,-100,0,0,100,-100,9
"491",100,-100,0,0,100,-100,9
"492",-100,100,0,0,-100,100,9
"493",100,-100,0,0,100,-100,9
"494",100,-100,0,0,100,-100,9
"495",-100,100,0,0,-100,100,9
"496",100,-100,0,0,100,-100,9
"497",-100,100,0,0,-100,100,9
"498",-36.9,36.9,-19963.1,19963.1,-20000,20000,2
"499",100,-100,0,0,100,-100,9
"500",100,-100,0,0,100,-100,9
"501",-100,100,0,0,-100,100,9
"502",100,-100,0,0,100,-100,9
"503",-100,100,0,0,-100,100,9
"504",100,-100,0,0,100,-100,9
"505",100,-100,0,0,100,-100,9
"506",-100,100,0,0,-100,100,9
"507",100,-100,0,0,100,-100,9
"508",-100,100,0,0,-100,100,9
"509",100,-75.5,0,-24.5,100,-100,9
"510",-100,100,0,0,-100,100,9
"511",-100,100,0,0,-100,100,9
"512",100,-99.2,0,-0.799999999999997,100,-100,9
"513",-100,100,0,0,-100,100,9
"514",-100,100,0,0,-100,100,9
"515",3.10862446895044e-15,0,0,0,3.10862446895044e-15,0,9
"516",100,-100,0,0,100,-100,9
"517",-100,100,0,0,-100,100,9
"518",100,-100,0,0,100,-100,9
"519",100,-100,0,0,100,-100,9
"520",100,-100,0,0,100,-100,9
"521",-100,100,0,0,-100,100,9
"522",-100,100,0,0,-100,100,9
"523",100,-82.3,0,-17.7,100,-100,9
"524",-100,100,0,0,-100,100,9
"525",-100,100,0,0,-100,100,9
"526",100,-100,0,0,100,-100,9
"527",100,-100,0,0,100,-100,9
"528",-100,100,0,0,-100,100,9
"529",100,-100,0,0,100,-100,9
"530",100,-100,0,0,100,-100,9
"531",100,-100,0,0,100,-100,9
