STATE:1001600001:20000|20000:100|50:r300r900c/r1800f:TcKd|Ts9h/6cJc2h:900|-900:DeepStack|Nate_@NateMeyvis 
STATE:1001600002:19100|20900:100|50:f:6c2d|3s8c:50|-50:Nate_@NateMeyvis|DeepStack 
STATE:1001600003:20850|19150:100|50:r300c/cc/cc/cc:9cAh|Kd2d/4h7d3c/7s/Tc:300|-300:DeepStack|Nate_@NateMeyvis 
STATE:1001600004:18850|21150:100|50:r300c/cr900c/cc/r1800f:Jh7h|QcKh/Ah5cTh/2h/9c:900|-900:Nate_@NateMeyvis|DeepStack 
STATE:1001600005:20250|19750:100|50:r300f:3sKh|8d8h:-100|100:DeepStack|Nate_@NateMeyvis 
STATE:1001600006:19850|20150:100|50:r300f:4hJh|4sTs:-100|100:Nate_@NateMeyvis|DeepStack 
STATE:1001600007:20250|19750:100|50:r300f:9s3h|TsJd:-100|100:DeepStack|Nate_@NateMeyvis 
STATE:1001600008:19850|20150:100|50:cc/cc/r250f:7s2h|2dQd/6c5s7d/2s:100|-100:Nate_@NateMeyvis|DeepStack 
STATE:1001600009:20050|19950:100|50:r300c/cr750f:4h2h|Kc6d/8s6cQd:-300|300:DeepStack|Nate_@NateMeyvis 
STATE:1001600010:20250|19750:100|50:cc/cr200c/cc/r500f:5d6d|6c3d/2dQc4d/9s/Td:200|-200:Nate_@NateMeyvis|DeepStack 
STATE:1001600011:19550|20450:150|75:r450c/cc/cc/cc:7h5h|2cAh/9d9sQs/3d/6h:-450|450:DeepStack|Nate_@NateMeyvis 
STATE:1001600012:20900|19100:150|75:cc/cc/cr300c/cr900f:9sKd|2cJh/6c3h5c/Ac/7h:-300|300:Nate_@NateMeyvis|DeepStack 
STATE:1001600013:19400|20600:150|75:f:3h2s|3sTd:75|-75:DeepStack|Nate_@NateMeyvis 
STATE:1001600014:20525|19475:150|75:r450f:2dKs|6hTd:-150|150:Nate_@NateMeyvis|DeepStack 
STATE:1001600015:19625|20375:150|75:f:TsKd|8c3s:75|-75:DeepStack|Nate_@NateMeyvis 
STATE:1001600016:20300|19700:150|75:r300c/cr600c/cc/cc:QsAh|ThQh/7d8dJh/3h/Jd:600|-600:Nate_@NateMeyvis|DeepStack 
STATE:1001600017:19100|20900:150|75:r450f:4s8d|Jd7s:-150|150:DeepStack|Nate_@NateMeyvis 
STATE:1001600018:21050|18950:150|75:r300r1350f:KsKh|Ts3s:300|-300:Nate_@NateMeyvis|DeepStack 
STATE:1001600019:18650|21350:150|75:r450f:8c5d|7d6s:-150|150:DeepStack|Nate_@NateMeyvis 
STATE:1001600020:21500|18500:150|75:r450f:Kh3s|9dAd:-150|150:Nate_@NateMeyvis|DeepStack 
STATE:1001600021:18650|21350:200|100:f:Ac4s|9c5d:100|-100:DeepStack|Nate_@NateMeyvis 
STATE:1001600022:21250|18750:200|100:r400c/cr800f:Kd8s|5dKh/6s4h6d:-400|400:Nate_@NateMeyvis|DeepStack 
STATE:1001600023:19150|20850:200|100:r600r1800r4750f:TdAc|KcKh:-1800|1800:DeepStack|Nate_@NateMeyvis 
STATE:1001600024:22650|17350:200|100:r400c/cr800c/cr2400f:3hAs|Ts2s/8c4d3d/Jh:-800|800:Nate_@NateMeyvis|DeepStack 
STATE:1001600025:18150|21850:200|100:r600f:Qd2s|4s5d:-200|200:DeepStack|Nate_@NateMeyvis 
STATE:1001600026:22050|17950:200|100:r400c/cc/r1000r3000c/cr17950f:7dKh|5sAc/JdKc3h/4h/7s:-3000|3000:Nate_@NateMeyvis|DeepStack 
STATE:1001600027:20950|19050:200|100:r600f:Qc7h|Tc2c:-200|200:DeepStack|Nate_@NateMeyvis 
STATE:1001600028:19250|20750:200|100:r400c/cc/r800c/r1600r3200f:9dJc|6dAd/9cKc4c/6s/3c:-1600|1600:Nate_@NateMeyvis|DeepStack 
STATE:1001600029:22350|17650:200|100:f:Jh3d|7d3s:100|-100:DeepStack|Nate_@NateMeyvis 
STATE:1001600030:17550|22450:200|100:r600f:3s7s|QsQc:-200|200:Nate_@NateMeyvis|DeepStack 
STATE:1001600031:22650|17350:300|150:f:7dTc|4sJd:150|-150:DeepStack|Nate_@NateMeyvis 
STATE:1001600032:17200|22800:300|150:r600c/cc/cc/cc:9s9d|2d2s/8hQh7s/8c/Jh:600|-600:Nate_@NateMeyvis|DeepStack 
STATE:1001600033:22200|17800:300|150:r750r2250f:9s8s|Kh8d:750|-750:DeepStack|Nate_@NateMeyvis 
STATE:1001600034:17050|22950:300|150:r600c/cr1200f:6h4d|Qc2h/Jh2d5c:-600|600:Nate_@NateMeyvis|DeepStack 
STATE:1001600035:23550|16450:300|150:r750r2250f:7c9c|4c4s:750|-750:DeepStack|Nate_@NateMeyvis 
STATE:1001600036:15700|24300:300|150:r600c/cc/cc/cr1800c:Jd3d|5c4s/8s8hJh/Tc/7d:1800|-1800:Nate_@NateMeyvis|DeepStack 
STATE:1001600037:22500|17500:300|150:r750r2250f:5d5h|Ac2s:750|-750:DeepStack|Nate_@NateMeyvis 
STATE:1001600038:16750|23250:300|150:r600c/cr1800c/cr3600c/cc:Qh8d|3cKs/8cQc6d/Kc/5c:-3600|3600:Nate_@NateMeyvis|DeepStack 
STATE:1001600039:26850|13150:300|150:r750c/cc/r2249f:7d5h|2sAc/4cTc6s/6h:750|-750:DeepStack|Nate_@NateMeyvis 
STATE:1001600040:12400|27600:300|150:f:Kd9h|2h4d:150|-150:Nate_@NateMeyvis|DeepStack 
STATE:1001600041:27450|12550:400|200:cc/cr800c/cc/r1600f:6sTh|5s3d/Jc6dQh/As/Ts:800|-800:DeepStack|Nate_@NateMeyvis 
STATE:1001600042:11750|28250:400|200:cc/cr800c/cc/r2000f:Js6s|2hQc/3d4h5d/9s/Ts:800|-800:Nate_@NateMeyvis|DeepStack 
STATE:1001600043:27450|12550:400|200:f:3cKd|3h7s:200|-200:DeepStack|Nate_@NateMeyvis 
STATE:1001600044:12350|27650:400|200:cc/cr800c/cr1600c/cc:8cQs|8d9s/3sQcJd/Ah/Ac:1600|-1600:Nate_@NateMeyvis|DeepStack 
STATE:1001600045:26050|13950:400|200:r1000r3000f:7cTd|Qd7s:1000|-1000:DeepStack|Nate_@NateMeyvis 
