STATE:5000000001:20000|20000:100|50:r200r600r1600f:9c6c|AsTs:-600|600:DeepStack|Adam_@PokercastAdam 
STATE:5000000002:20600|19400:100|50:cc/r200c/r400f:6hJs|8dAc/2d3c3h/6c:200|-200:Adam_@PokercastAdam|DeepStack 
STATE:5000000003:19200|20800:100|50:r200c/cr700c/cr1700f:Qd4c|TcAs/4dTh6s/2s:-700|700:DeepStack|Adam_@PokercastAdam 
STATE:5000000004:21500|18500:100|50:f:6s8c|2c9s:50|-50:Adam_@PokercastAdam|DeepStack 
STATE:5000000005:18450|21550:100|50:r200c/cr300r600f:Kc3h|7d9h/3sTh3d:300|-300:DeepStack|Adam_@PokercastAdam 
STATE:5000000006:21250|18750:100|50:r200f:Js6d|Kc6h:-100|100:Adam_@PokercastAdam|DeepStack 
STATE:5000000007:18850|21150:100|50:r200c/cr400f:5d9c|Qc5s/6sKhTh:-200|200:DeepStack|Adam_@PokercastAdam 
STATE:5000000008:21350|18650:100|50:r200c/cc/r700c/cc:8s6s|Ac7s/9sAd2d/9h/5d:-700|700:Adam_@PokercastAdam|DeepStack 
STATE:5000000009:19350|20650:100|50:f:4cAh|5c2d:50|-50:DeepStack|Adam_@PokercastAdam 
STATE:5000000010:20600|19400:100|50:cc/r200c/cr400f:2h9s|Kc6d/2d5d6c/8d:-200|200:Adam_@PokercastAdam|DeepStack 
STATE:5000000011:19600|20400:150|75:r300f:6c2d|7d3d:-150|150:DeepStack|Adam_@PokercastAdam 
STATE:5000000012:20550|19450:150|75:r450f:Tc3s|JdAh:-150|150:Adam_@PokercastAdam|DeepStack 
STATE:5000000013:19600|20400:150|75:r300f:9s4d|8sKd:-150|150:DeepStack|Adam_@PokercastAdam 
STATE:5000000014:20550|19450:150|75:r450f:3d4h|8hJs:-150|150:Adam_@PokercastAdam|DeepStack 
STATE:5000000015:19600|20400:150|75:r300r900f:9c9s|3cJc:300|-300:DeepStack|Adam_@PokercastAdam 
STATE:5000000016:20100|19900:150|75:cr450r1350r4500c/r4650c/r4800c/r4950r14850f:AsKs|JhJs/8c9h6h/8s/2h:-4950|4950:Adam_@PokercastAdam|DeepStack 
STATE:5000000017:24850|15150:150|75:f:AhAc|9c2d:75|-75:DeepStack|Adam_@PokercastAdam 
STATE:5000000018:15075|24925:150|75:r300f:2s5d|6s9s:-150|150:Adam_@PokercastAdam|DeepStack 
STATE:5000000019:25075|14925:150|75:r300c/cr1050f:5cKc|TcTh/4d3d7s:-300|300:DeepStack|Adam_@PokercastAdam 
STATE:5000000020:15225|24775:150|75:r300c/cr600f:Kc2c|8d9h/7dJcTh:-300|300:Adam_@PokercastAdam|DeepStack 
STATE:5000000021:25075|14925:200|100:f:Ad3s|2dTh:100|-100:DeepStack|Adam_@PokercastAdam 
STATE:5000000022:14825|25175:200|100:r400c/cc/r1200f:TdJc|Tc3c/5dAd8d/As:400|-400:Adam_@PokercastAdam|DeepStack 
STATE:5000000023:24775|15225:200|100:r400f:2dTh|QhKs:-200|200:DeepStack|Adam_@PokercastAdam 
STATE:5000000024:15425|24575:200|100:r400c/cr800f:9d4d|9s7c/QcAs7h:-400|400:Adam_@PokercastAdam|DeepStack 
STATE:5000000025:24975|15025:200|100:r400r1200c/cr1400c/cc/cr3600c:QsAs|2h2d/3hJd4c/Ah/5h:-3600|3600:DeepStack|Adam_@PokercastAdam 
STATE:5000000026:18625|21375:200|100:cc/cr400f:5dJc|Qc4h/2dQhTc:-200|200:Adam_@PokercastAdam|DeepStack 
STATE:5000000027:21575|18425:200|100:r400c/cr1000c/cr2200c/cc:7s4h|Qd9d/8hJh7h/2h/Qs:2200|-2200:DeepStack|Adam_@PokercastAdam 
STATE:5000000028:16225|23775:200|100:r600c/r1600r3200c/cc/cc:Td9s|AdKs/8d6d9c/Ac/Qd:-3200|3200:Adam_@PokercastAdam|DeepStack 
STATE:5000000029:26975|13025:200|100:r400r1200r13025c///:AdQd|Ah8s/4h3d6s/Js/7c:13025|-13025:DeepStack|Adam_@PokercastAdam 
