STATE:5000100001:20000|20000:100|50:r200c/cr400c/cr600c/cc:Jh8s|KsAd/8c3s5c/5s/7s:600|-600:DeepStack|Adam_@PokercastAdam 
STATE:5000100002:19400|20600:100|50:r300f:4c7d|As8d:-100|100:Adam_@PokercastAdam|DeepStack 
STATE:5000100003:20700|19300:100|50:r200r600c/cc/cr1400c/cr4200c:9c9h|Ac3c/QhTd8s/7d/Th:4200|-4200:DeepStack|Adam_@PokercastAdam 
STATE:5000100004:15100|24900:100|50:r300r1000f:AsJd|Qs7c:300|-300:Adam_@PokercastAdam|DeepStack 
STATE:5000100005:24600|15400:100|50:r200c/cc/cr500f:6h7s|5dQc/Ts4c9h/Qs:-200|200:DeepStack|Adam_@PokercastAdam 
STATE:5000100006:15600|24400:100|50:r200c/r500f:8sKh|Kc7d/8h2h6s:200|-200:Adam_@PokercastAdam|DeepStack 
STATE:5000100007:24200|15800:100|50:r300f:6s2s|6c7d:-100|100:DeepStack|Adam_@PokercastAdam 
STATE:5000100008:15900|24100:100|50:cr300f:2s2c|5d9h:100|-100:Adam_@PokercastAdam|DeepStack 
STATE:5000100009:24000|16000:100|50:r300c/cc/cc/cc:5cJc|9hQh/Ad2dAh/5s/Ac:300|-300:DeepStack|Adam_@PokercastAdam 
STATE:5000100010:15700|24300:100|50:cr300c/r400c/r500f:Ah6d|3sQs/4c4sJd/Jc:400|-400:Adam_@PokercastAdam|DeepStack 
STATE:5000100011:23900|16100:150|75:f:3d2s|4sTd:75|-75:DeepStack|Adam_@PokercastAdam 
STATE:5000100012:16025|23975:150|75:r300c/cc/r900f:3cQh|7dJh/6c4cQs/9d:300|-300:Adam_@PokercastAdam|DeepStack 
STATE:5000100013:23675|16325:150|75:r300f:2h8d|Qd8s:-150|150:DeepStack|Adam_@PokercastAdam 
STATE:5000100014:16475|23525:150|75:r300c/cr600f:5s7s|Qd9h/JcTd9c:-300|300:Adam_@PokercastAdam|DeepStack 
STATE:5000100015:23825|16175:150|75:r450f:7d5h|8h8c:-150|150:DeepStack|Adam_@PokercastAdam 
STATE:5000100016:16325|23675:150|75:f:Ks2c|7c2d:75|-75:Adam_@PokercastAdam|DeepStack 
STATE:5000100017:23600|16400:150|75:f:AhQd|7c3h:75|-75:DeepStack|Adam_@PokercastAdam 
STATE:5000100018:16325|23675:150|75:cc/cc/cc/cc:4d5d|4hQh/AsTs5h/Jc/6c:150|-150:Adam_@PokercastAdam|DeepStack 
STATE:5000100019:23525|16475:150|75:r300c/cc/cc/cc:Ac7s|3sQs/7hTc8s/6d/3h:300|-300:DeepStack|Adam_@PokercastAdam 
STATE:5000100020:16175|23825:150|75:r450c/cc/r750c/cc:9c8h|3dKd/7sKh9h/As/6d:-750|750:Adam_@PokercastAdam|DeepStack 
STATE:5000100021:24575|15425:200|100:r400r1200f:AdTh|8d6s:400|-400:DeepStack|Adam_@PokercastAdam 
STATE:5000100022:15025|24975:200|100:r600f:3hQc|7d5c:-200|200:Adam_@PokercastAdam|DeepStack 
STATE:5000100023:25175|14825:200|100:f:6dKd|3d2d:100|-100:DeepStack|Adam_@PokercastAdam 
STATE:5000100024:14725|25275:200|100:r600c/cr1200f:8cKc|4d5d/Jd2s5s:-600|600:Adam_@PokercastAdam|DeepStack 
STATE:5000100025:25875|14125:200|100:r600r1800r4800f:7cJc|QcAc:-1800|1800:DeepStack|Adam_@PokercastAdam 
STATE:5000100026:15925|24075:200|100:r400c/cc/r1200c/r2800r15925f:7hJd|3h5c/3cAd4d/6d/8h:-2800|2800:Adam_@PokercastAdam|DeepStack 
STATE:5000100027:26875|13125:200|100:f:2d7s|2h9d:100|-100:DeepStack|Adam_@PokercastAdam 
STATE:5000100028:13025|26975:200|100:r600r2000c/r5200r13025c//:TcTs|AdTd/8d7s4d/9d/3h:-13025|13025:Adam_@PokercastAdam|DeepStack 
