STATE:4000000001:20000|20000:100|50:r250r750c/r1500c/r4500f:9cTc|4dAh/6h3c2d/8h:1500|-1500:DeepStack|Terrence_@tchanpoker 
STATE:4000000002:18500|21500:100|50:r200r650f:AsQd|2cTc:200|-200:Terrence_@tchanpoker|DeepStack 
STATE:4000000003:21300|18700:100|50:r250c/cc/cc/cc:6hJd|3cJh/QcKs7s/As/Ad:0|0:DeepStack|Terrence_@tchanpoker 
STATE:4000000004:18700|21300:100|50:r200c/cc/r425f:8cKs|8hJs/3hKc4s/4d:200|-200:Terrence_@tchanpoker|DeepStack 
STATE:4000000005:21100|18900:100|50:f:JhKc|6h2s:50|-50:DeepStack|Terrence_@tchanpoker 
STATE:4000000006:18850|21150:100|50:f:Qd6d|2c7h:50|-50:Terrence_@tchanpoker|DeepStack 
STATE:4000000007:21100|18900:100|50:r250c/cc/cc/cc:Ts6c|Ah4s/2h9dJh/Jc/Kh:-250|250:DeepStack|Terrence_@tchanpoker 
STATE:4000000008:19150|20850:100|50:r300f:Tc2h|Kc7d:-100|100:Terrence_@tchanpoker|DeepStack 
STATE:4000000009:20950|19050:100|50:r250f:4s6c|7s9s:-100|100:DeepStack|Terrence_@tchanpoker 
STATE:4000000010:19150|20850:100|50:f:Jh6h|7h3c:50|-50:Terrence_@tchanpoker|DeepStack 
STATE:4000000011:20800|19200:150|75:r375f:7s3h|3c2c:-150|150:DeepStack|Terrence_@tchanpoker 
STATE:4000000012:19350|20650:150|75:cc/cc/r400c/r1125f:3h2h|2c7c/7hTc5d/8h/9c:400|-400:Terrence_@tchanpoker|DeepStack 
STATE:4000000013:20250|19750:150|75:r375r1125r2825f:9h8s|KhKd:-1125|1125:DeepStack|Terrence_@tchanpoker 
STATE:4000000014:20875|19125:150|75:r450c/cr1350f:Tc5c|9s9d/7d2d9c:-450|450:Terrence_@tchanpoker|DeepStack 
STATE:4000000015:19575|20425:150|75:r375f:4s9c|AhQc:-150|150:DeepStack|Terrence_@tchanpoker 
STATE:4000000016:20575|19425:150|75:r450c/cr900c/cr2700f:5cKd|9sTs/2s5sAd/8h:-900|900:Terrence_@tchanpoker|DeepStack 
STATE:4000000017:20325|19675:150|75:r375f:8h3s|TsKs:-150|150:DeepStack|Terrence_@tchanpoker 
STATE:4000000018:19825|20175:150|75:r300f:6s3c|3h4s:-150|150:Terrence_@tchanpoker|DeepStack 
STATE:4000000019:20325|19675:150|75:r375c/cr937c/cc/cr2087r10435f:4s6s|8dTc/KsTs8h/As/3h:2087|-2087:DeepStack|Terrence_@tchanpoker 
