STATE:4000100001:20000|20000:100|50:r250r750c/cr1800f:4d5d|Ks8s/9sQc3s:-750|750:DeepStack|Terrence_@tchanpoker 
STATE:4000100002:20750|19250:100|50:r300f:2d8c|Kh4d:-100|100:Terrence_@tchanpoker|DeepStack 
STATE:4000100003:19350|20650:100|50:r250f:4c8d|QsKs:-100|100:DeepStack|Terrence_@tchanpoker 
STATE:4000100004:20750|19250:100|50:r200f:9h2s|7c7s:-100|100:Terrence_@tchanpoker|DeepStack 
STATE:4000100005:19350|20650:100|50:r250r750c/r1500c/cc/cr5200f:KcJh|6dJd/6s5hTh/2d/6c:-1500|1500:DeepStack|Terrence_@tchanpoker 
STATE:4000100006:22150|17850:100|50:r300c/cc/r780c/r2080c:7sAs|KcKh/3s4s8d/7h/7c:2080|-2080:Terrence_@tchanpoker|DeepStack 
STATE:4000100007:15770|24230:100|50:r300c/cc/cc/cc:2dQd|Ah7d/Js8c4d/6c/6h:-300|300:DeepStack|Terrence_@tchanpoker 
STATE:4000100008:24530|15470:100|50:r200c/cr400c/cr800c/cc:3d6d|8sQd/6cAd2s/7c/2d:800|-800:Terrence_@tchanpoker|DeepStack 
STATE:4000100009:14670|25330:100|50:r300c/cc/cc/r600c:6h4h|5dKs/TsJsKd/Jh/3d:-600|600:DeepStack|Terrence_@tchanpoker 
STATE:4000100010:25930|14070:100|50:r300r900c/r1900c/cc/cr9500f:Th3h|AhQs/Kh4sAc/Qc/Qd:-1900|1900:Terrence_@tchanpoker|DeepStack 
STATE:4000100011:15970|24030:150|75:r375c/r750c/cc/cr1749c:Ks2d|Ah8s/7dKd7h/5c/As:-1749|1749:DeepStack|Terrence_@tchanpoker 
STATE:4000100012:25779|14221:150|75:f:6hKs|2s9h:75|-75:Terrence_@tchanpoker|DeepStack 
STATE:4000100013:14146|25854:150|75:r375c/cr609f:7d9s|Qd3h/3s3cAs:-375|375:DeepStack|Terrence_@tchanpoker 
STATE:4000100014:26229|13771:150|75:cr450f:6s9s|Ts3h:150|-150:Terrence_@tchanpoker|DeepStack 
STATE:4000100015:13621|26379:150|75:f:2sQd|2c5h:75|-75:DeepStack|Terrence_@tchanpoker 
STATE:4000100016:26304|13696:150|75:f:Qh5s|2c8h:75|-75:Terrence_@tchanpoker|DeepStack 
STATE:4000100017:13621|26379:150|75:r375f:6dTs|4cQd:-150|150:DeepStack|Terrence_@tchanpoker 
STATE:4000100018:26529|13471:150|75:cc/cr300c/cr600r1144c/cr2288c:4s3h|9d4h/9h4cJd/4d/Qd:-2288|2288:Terrence_@tchanpoker|DeepStack 
STATE:4000100019:15759|24241:150|75:r375f:3c7s|9s6c:-150|150:DeepStack|Terrence_@tchanpoker 
STATE:4000100020:24391|15609:150|75:r450c/cr1350r2975c/r24391c/:5h7h|JcJs/4h8d2h/5d/6c:15609|-15609:Terrence_@tchanpoker|DeepStack 
