STATE:4000200001:20000|20000:100|50:r300r900c/cc/cc/cr1900f:QdAd|8h6h/7c9sJc/6d/5c:-900|900:DeepStack|Terrence_@tchanpoker 
STATE:4000200002:20900|19100:100|50:f:4d2c|9s2h:50|-50:Terrence_@tchanpoker|DeepStack 
STATE:4000200003:19050|20950:100|50:r300c/cr750c/cc/cc:Jd7c|9d5c/Ah2hJc/Qh/Td:750|-750:DeepStack|Terrence_@tchanpoker 
STATE:4000200004:20200|19800:100|50:r300r900c/r1700c/cr5100f:QhKc|9cTs/8c3d2s/Th:-1700|1700:Terrence_@tchanpoker|DeepStack 
STATE:4000200005:21500|18500:100|50:r300f:7dTc|8sJc:-100|100:DeepStack|Terrence_@tchanpoker 
STATE:4000200006:18600|21400:100|50:f:KcAc|2d4c:50|-50:Terrence_@tchanpoker|DeepStack 
STATE:4000200007:21350|18650:100|50:r300f:7hQc|JdQs:-100|100:DeepStack|Terrence_@tchanpoker 
STATE:4000200008:18750|21250:100|50:r200c/cc/r500c/r1200c:TcKd|ThJc/5sTs8d/2s/Kc:1200|-1200:Terrence_@tchanpoker|DeepStack 
STATE:4000200009:20050|19950:100|50:r300c/cr600f:6c7h|8cAd/3dQd8h:-300|300:DeepStack|Terrence_@tchanpoker 
STATE:4000200010:20250|19750:100|50:r300r900f:6cJs|4d5h:300|-300:Terrence_@tchanpoker|DeepStack 
STATE:4000200011:19450|20550:150|75:r450f:4d3h|6hJc:-150|150:DeepStack|Terrence_@tchanpoker 
STATE:4000200012:20700|19300:150|75:cr450c/r1200f:8cTs|Qh3s/2h9d7c:450|-450:Terrence_@tchanpoker|DeepStack 
STATE:4000200013:18850|21150:150|75:r450c/cc/cc/cc:2hJh|As5c/9s6d7c/Qd/4h:-450|450:DeepStack|Terrence_@tchanpoker 
STATE:4000200014:21600|18400:150|75:r300c/cr900f:3sQh|9h3h/8c6hJd:-300|300:Terrence_@tchanpoker|DeepStack 
STATE:4000200015:18700|21300:150|75:r450f:3h5s|AcTs:-150|150:DeepStack|Terrence_@tchanpoker 
STATE:4000200016:21450|18550:150|75:r450f:Ts3h|6dTc:-150|150:Terrence_@tchanpoker|DeepStack 
STATE:4000200017:18700|21300:150|75:r450f:6c3d|6s5d:-150|150:DeepStack|Terrence_@tchanpoker 
STATE:4000200018:21450|18550:150|75:cr450c/r1125c/cr2250c/cr11250c:8cKc|5d8d/ThKd3d/5s/5c:-11250|11250:Terrence_@tchanpoker|DeepStack 
STATE:4000200019:29800|10200:150|75:r375c/cr750f:8h3h|2d4d/AcQc6h:-375|375:DeepStack|Terrence_@tchanpoker 
STATE:4000200020:10575|29425:150|75:f:KhAh|3s2d:75|-75:Terrence_@tchanpoker|DeepStack 
