STATE:9000200001:20000|20000:100|50:f:Qs2d|3h5s:50|-50:DeepStack|Taylor_@TaylorvonK 
STATE:9000200002:19950|20050:100|50:r200c/cc/r1199f:6s4c|8sKs/Tc5s9c/9d:200|-200:Taylor_@TaylorvonK|DeepStack 
STATE:9000200003:19850|20150:100|50:r777f:Td2s|7s6h:-100|100:DeepStack|Taylor_@TaylorvonK 
STATE:9000200004:20250|19750:100|50:cc/cr200r988f:2d9h|6hTs/3cKhKc:200|-200:Taylor_@TaylorvonK|DeepStack 
STATE:9000200005:19550|20450:100|50:r666f:8d6s|JhTs:-100|100:DeepStack|Taylor_@TaylorvonK 
STATE:9000200006:20550|19450:100|50:r300r1999f:6sKc|Js7h:300|-300:Taylor_@TaylorvonK|DeepStack 
STATE:9000200007:19150|20850:100|50:r777f:3h4c|Ac4d:-100|100:DeepStack|Taylor_@TaylorvonK 
STATE:9000200008:20950|19050:100|50:cr666c/cr1332c/cc/r3220r9660c:9d9h|6sQs/8cJd6d/5h/4s:9660|-9660:Taylor_@TaylorvonK|DeepStack 
STATE:9000200009:9390|30610:100|50:r777f:3hTc|8sKd:-100|100:DeepStack|Taylor_@TaylorvonK 
STATE:9000200010:30710|9290:100|50:r200r1444f:Kc2h|Qs9d:200|-200:Taylor_@TaylorvonK|DeepStack 
STATE:9000200011:9090|30910:150|75:r666f:Td6c|QdAs:-150|150:DeepStack|Taylor_@TaylorvonK 
STATE:9000200012:31060|8940:150|75:r300f:9s6c|8d6d:-150|150:Taylor_@TaylorvonK|DeepStack 
STATE:9000200013:9090|30910:150|75:r777f:8s4d|4sQc:-150|150:DeepStack|Taylor_@TaylorvonK 
STATE:9000200014:31060|8940:150|75:cc/cr300f:4h8h|9c6c/9hKc6d:-150|150:Taylor_@TaylorvonK|DeepStack 
STATE:9000200015:9090|30910:150|75:r300c/cr1534f:8d3d|9dKd/4h2hJd:-300|300:DeepStack|Taylor_@TaylorvonK 
STATE:9000200016:31210|8790:150|75:r300c/cr900c/cr2699f:TdKh|KcJd/JsAcKd/6c:-900|900:Taylor_@TaylorvonK|DeepStack 
STATE:9000200017:9690|30310:150|75:r300c/cr600c/cc/cr750c:6hKd|Ac9d/6c7cAs/Td/Ah:-750|750:DeepStack|Taylor_@TaylorvonK 
STATE:9000200018:31060|8940:150|75:r300f:3s8h|5dAd:-150|150:Taylor_@TaylorvonK|DeepStack 
STATE:9000200019:9090|30910:150|75:r300c/cr645c/cc/r1290c:5d7h|9cQd/9sAs6d/2d/2h:-1290|1290:DeepStack|Taylor_@TaylorvonK 
STATE:9000200020:32200|7800:150|75:cc/cc/r384f:8s5d|QsKs/8h7d2s/Tc:150|-150:Taylor_@TaylorvonK|DeepStack 
STATE:9000200021:7650|32350:200|100:r777r1554f:JsKd|2dKc:777|-777:DeepStack|Taylor_@TaylorvonK 
STATE:9000200022:31573|8427:200|100:r400c/cc/r2399f:Qd9c|KcJs/Ts5h7h/7s:400|-400:Taylor_@TaylorvonK|DeepStack 
STATE:9000200023:8027|31973:200|100:f:9c3d|5h9d:100|-100:DeepStack|Taylor_@TaylorvonK 
