STATE:9000300001:20000|20000:100|50:r888r2664r7111r20000f:AhAs|4sQs:7111|-7111:DeepStack|Taylor_@TaylorvonK 
STATE:9000300002:12889|27111:100|50:cc/cr200f:Qc7h|TsQd/Tc9d3h:-100|100:Taylor_@TaylorvonK|DeepStack 
STATE:9000300003:27211|12789:100|50:r234c/r702c/cc/cc:5dTd|KcAc/ThAs5s/Qh/7s:702|-702:DeepStack|Taylor_@TaylorvonK 
STATE:9000300004:12087|27913:100|50:f:4h8c|8h2c:50|-50:Taylor_@TaylorvonK|DeepStack 
STATE:9000300005:27863|12137:100|50:r345f:2cTd|4d6s:-100|100:DeepStack|Taylor_@TaylorvonK 
STATE:9000300006:12237|27763:100|50:f:Ts5h|9c3h:50|-50:Taylor_@TaylorvonK|DeepStack 
STATE:9000300007:27713|12287:100|50:r444c/cr888c/cc/r1776c:Ks8s|Kh7s/Qc7c4s/Td/5s:-1776|1776:DeepStack|Taylor_@TaylorvonK 
STATE:9000300008:14063|25937:100|50:r200c/cr400c/cr1200r3288f:AsTc|6hAd/2d7dQc/Ts:1200|-1200:Taylor_@TaylorvonK|DeepStack 
STATE:9000300009:24737|15263:100|50:r555f:9d3h|Qs4d:-100|100:DeepStack|Taylor_@TaylorvonK 
STATE:9000300010:15363|24637:100|50:cc/cr300c/cc/r744f:9c7d|9d5s/6sJd8h/Kh/3s:300|-300:Taylor_@TaylorvonK|DeepStack 
STATE:9000300011:24337|15663:150|75:r300c/cc/r900r2744f:4h7s|TsTd/9h2d5h/3h:-900|900:DeepStack|Taylor_@TaylorvonK 
STATE:9000300012:16563|23437:150|75:cr666c/cc/r1554c/cc:AdKs|Jc9s/8h6s2d/Qd/2h:1554|-1554:Taylor_@TaylorvonK|DeepStack 
STATE:9000300013:21883|18117:150|75:r555f:2d9h|3hAd:-150|150:DeepStack|Taylor_@TaylorvonK 
STATE:9000300014:18267|21733:150|75:r450f:8h4s|TdJd:-150|150:Taylor_@TaylorvonK|DeepStack 
STATE:9000300015:21883|18117:150|75:r555f:5d8c|JhTd:-150|150:DeepStack|Taylor_@TaylorvonK 
STATE:9000300016:18267|21733:150|75:r450c/cc/cc/cc:7h4h|Qd4c/Ah7s6d/9s/Ks:450|-450:Taylor_@TaylorvonK|DeepStack 
STATE:9000300017:21283|18717:150|75:r300f:2sTh|3c3s:-150|150:DeepStack|Taylor_@TaylorvonK 
STATE:9000300018:18867|21133:150|75:cc/cc/cc/cc:Ah6s|5sTc/2h9d4h/Kc/2d:150|-150:Taylor_@TaylorvonK|DeepStack 
STATE:9000300019:20983|19017:150|75:f:2c8c|3h7s:75|-75:DeepStack|Taylor_@TaylorvonK 
STATE:9000300020:18942|21058:150|75:r450f:6cTd|JhTs:-150|150:Taylor_@TaylorvonK|DeepStack 
STATE:9000300021:21208|18792:200|100:r666c/cc/cc/cr1554c:QhKd|5c7c/JcQc9c/9d/6s:-1554|1554:DeepStack|Taylor_@TaylorvonK 
STATE:9000300022:20346|19654:200|100:r600c/cr1200c/cr3600c/cc:7c6h|JhTc/Th8c9d/5c/5h:3600|-3600:Taylor_@TaylorvonK|DeepStack 
STATE:9000300023:16054|23946:200|100:f:7s5h|2d8h:100|-100:DeepStack|Taylor_@TaylorvonK 
STATE:9000300024:23846|16154:200|100:cc/cr400c/cc/cc:Ks7c|3sJh/QsQc5c/Kh/6c:400|-400:Taylor_@TaylorvonK|DeepStack 
STATE:9000300025:15754|24246:200|100:f:Ah4d|9s2h:100|-100:DeepStack|Taylor_@TaylorvonK 
STATE:9000300026:24146|15854:200|100:cr999c/cc/cr2997c/cr5994r24146f:8cKd|7s9s/9c8s4c/3h/Kh:5994|-5994:Taylor_@TaylorvonK|DeepStack 
STATE:9000300027:9860|30140:200|100:r555f:2h6d|Js9s:-200|200:DeepStack|Taylor_@TaylorvonK 
STATE:9000300028:30340|9660:200|100:r400r1888c/cc/r3776c/r30340f:8sAd|9cTc/Ts4sQc/Jc/5h:3776|-3776:Taylor_@TaylorvonK|DeepStack 
STATE:9000300029:5884|34116:200|100:r555c/cr1110c/cr2998f:TsJh|ThKd/Qs2cAs/2d:-1110|1110:DeepStack|Taylor_@TaylorvonK 
STATE:9000300030:35226|4774:200|100:cc/cr600f:Tc7d|6dTh/5d3d2c:-200|200:Taylor_@TaylorvonK|DeepStack 
STATE:9000300031:4974|35026:300|150:r600c/cc/cr1200c/cr2199r4974c:5sAc|JhTh/7sJcJs/3d/6h:-4974|4974:DeepStack|Taylor_@TaylorvonK 
