STATE:13000000001:20000|20000:100|50:r300c/cr900r2700f:Kd6s|As2s/5s8h7d:900|-900:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000002:19100|20900:100|50:cc/cc/r400c/r1000f:7cQs|Ah5d/QcJd4s/5h/8d:400|-400:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000003:20500|19500:100|50:cc/cr300f:Ts7d|9c2c/TcKdJc:-100|100:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000004:19600|20400:100|50:cr450f:QdKh|6s3c:100|-100:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000005:20300|19700:100|50:r300f:3h6s|9h7d:-100|100:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000006:19800|20200:100|50:r300f:6s2c|Jh5c:-100|100:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000007:20300|19700:100|50:cc/cr250f:Jd4d|6sTh/TcQs5c:-100|100:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000008:19800|20200:100|50:r300f:6c9s|5s6h:-100|100:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000009:20300|19700:100|50:cr300c/r600f:QsAh|2s5s/QdJd8s:300|-300:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000010:19400|20600:100|50:cc/cr200c/cr400c/cr1200c:9cQd|Ks3c/3d9sKc/2c/Tc:-1200|1200:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000011:21800|18200:150|75:cr450f:JsTc|4s6d:150|-150:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000012:18050|21950:150|75:cc/cr300r900f:TsJh|6c3d/4cTdJc:300|-300:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000013:21650|18350:150|75:f:8hKd|2d4c:75|-75:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000014:18275|21725:150|75:cc/cr300f:Ts8s|Td4s/AcJh5s:-150|150:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000015:21875|18125:150|75:r450c/cr1025c/cc/r2050f:8cJd|TcJc/3s6sJs/6c/9s:1025|-1025:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000016:17100|22900:150|75:r450f:4d3c|Kh8c:-150|150:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000017:23050|16950:150|75:r450c/cr1050c/cr2450c/cc:KdTs|JhTc/7cQd4s/Td/5c:2450|-2450:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000018:14500|25500:150|75:cc/cr300c/cc/r700c:5s9c|Kh4d/9dAdAh/7d/Ac:700|-700:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000019:24800|15200:150|75:r450f:5hJs|5d6d:-150|150:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000020:15350|24650:150|75:r450c/cc/r1150f:6hKc|TcAc/3cKs5h/7s:450|-450:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000021:24200|15800:200|100:cr600c/r1200r2400f:8hJh|7h9d/7d5s3c:-1200|1200:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000022:17000|23000:200|100:r400c/cc/cr1200f:3dJd|2sAh/2hKcQc/2d:-400|400:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000023:23400|16600:200|100:r600f:7s2d|6c7c:-200|200:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000024:16800|23200:200|100:r400c/cc/r900f:Jc2d|Tc9d/4d3s4c/2h:400|-400:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000025:22800|17200:200|100:r600f:2hTd|Jh6d:-200|200:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000026:17400|22600:200|100:r400c/cc/r900f:4sJd|7s7d/QcJh2c/9c:400|-400:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000027:22200|17800:200|100:r600f:4sJc|6c5d:-200|200:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000028:18000|22000:200|100:r600c/cc/cr1200c/cc:Ac2d|9s8s/Kc3h4d/8c/Ks:-1200|1200:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000029:23200|16800:200|100:r600r1800c/cc/cr3000f:9s9d|2dKd/KsAsTc/4c:-1800|1800:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000030:18600|21400:200|100:cc/cc/r700r1400r3800f:Ah6s|Kc4s/As5c6d/4h:1400|-1400:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000031:20000|20000:300|150:r800r2400f:7h9c|Kd6s:800|-800:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000032:19200|20800:300|150:cr1100f:9sTs|Qc2h:300|-300:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000033:20500|19500:300|150:r800c/cr2400c/cc/r7200f:7d6s|As5d/TdQs7s/Jh/8s:2400|-2400:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000034:17100|22900:300|150:cc/cr900r2600f:6d4s|Tc5d/4d8h7c:900|-900:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000035:22000|18000:300|150:r800c/r2400c/cc/cr5750f:5cKc|AsJs/6sQh9c/8s/Ah:-2400|2400:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000036:20400|19600:300|150:r900f:Qc4d|2s7s:-300|300:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000037:19900|20100:300|150:r800f:5sTh|3dQh:-300|300:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000038:20400|19600:300|150:cc/cc/cc/cr900c:Ad7c|3d5c/3c3s4c/6h/Qc:-900|900:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000039:20500|19500:300|150:r800f:Td2s|Ks4c:-300|300:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000040:19800|20200:300|150:r600r2100f:7s7h|6h5d:600|-600:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000041:19600|20400:400|200:r1100c/cc/r3300f:6c8d|7dKh/3c8hQs/6h:1100|-1100:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000042:19300|20700:400|200:r1200f:Th2d|2h8h:-400|400:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000043:21100|18900:400|200:r1100c/cr3150c/cr7400c/cc:Th9d|As8d/7c4c8h/Ks/Ts:7400|-7400:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000044:11500|28500:400|200:cc/cr800r2200c/r4000c/r11500f:Ac3s|6hKs/6cKc9c/Ad/Tc:4000|-4000:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000045:24500|15500:400|200:r1000f:2d3c|4s4h:-400|400:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000046:15900|24100:400|200:r800f:8h3c|4c5d:-400|400:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000047:24500|15500:400|200:r1000f:7c4d|3h9h:-400|400:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000048:15900|24100:400|200:cc/cr800f:Qc2s|4c9s/3dJc5c:-400|400:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000049:24500|15500:400|200:r1100f:9s2d|KdQc:-400|400:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000050:15900|24100:400|200:cc/cr800f:8h3h|AsKs/4hTcTs:-400|400:Bryan_Paris_@bparispoker|DeepStack 
STATE:13000000051:24500|15500:600|300:r1300c/cr3000r6000f:7cQh|9dKd/Ts6c7h:3000|-3000:DeepStack|Bryan_Paris_@bparispoker 
STATE:13000000052:12500|27500:600|300:cc/cc/cc/cc:Kd3c|Th3s/Jc6d9h/Qc/6c:600|-600:Bryan_Paris_@bparispoker|DeepStack 
