PreFlop,PF.Player,Flop,F.Player,Turn,T.Player,River,R.Player,Hands,Board,Chips Won/Lost,Big|Small
r300r900c,,r2250f,,,,,,AcJs3d2d,Kc5sQc,900|-900,qin.youwei.1|DeepStack 
r200r600f,,,,,,,,Ac9cTs5h,,200|-200,DeepStack|qin.youwei.1 
f,,,,,,,,As8d8c3h,,50|-50,qin.youwei.1|DeepStack 
r20000f,,,,,,,,Jd2c2d2h,,-100|100,DeepStack|qin.youwei.1 
cr500c,,k,,k,,k,,ThAsAc6c,Qd2h7c5d6d,-500|500,qin.youwei.1|DeepStack 
r300c,,r400r1200c,,k,,k,,8s7h9d7d,2dQh8cKd6c,1200|-1200,qin.youwei.2|DeepStack 
k,,k,,cr400f,,,,2c3hQc9s,Jd3c4hQh,-100|100,DeepStack|qin.youwei.1 
r300c,,cr500c,,k,,k,,Ac6dJsAs,Tc4s7h8h3h,-500|500,DeepStack|qin.youwei.2 
r300f,,,,,,,,8hQd9h6h,,-100|100,qin.youwei.1|DeepStack 
r200c,,cr400c,,cr600c,,cr1400c,,Jc8hKd9d,3d3s8c5dKh,-1400|1400,DeepStack|qin.youwei.1 
k,,k,,k,,k,,2c9sTc4s,3h6dKsAc2h,100|-100,qin.youwei.2|DeepStack 
k,,k,,cr300c,,k,,6s8hTc5c,Ac5h8d2d2c,300|-300,DeepStack|qin.youwei.2 
r200c,,k,,k,,k,,2cJh8s6d,8cTsAcKh4d,-200|200,qin.youwei.1|DeepStack 
r300c,,r600f,,,,,,Qh7d6dTc,8h4sAs,300|-300,qin.youwei.2|DeepStack 
k,,cr400f,,,,,,9dTcQs4c,5dJs5h,-100|100,DeepStack|qin.youwei.1 
cr300f,,,,,,,,9dJhTs4d,,100|-100,DeepStack|qin.youwei.2 
r300f,,,,,,,,6sJd9d2d,,-100|100,qin.youwei.1|DeepStack 
r300r1000c,,cr2000r3400r6800r10500r20000c,,,,,,JcAh5c5s,JdJs5dJhTc,20000|-20000,qin.youwei.2|DeepStack 
r300r900r1800r3600c,,cr9000f,,,,,,JcKdAsQd,3h2s2d,-3600|3600,DeepStack|qin.youwei.1 
r200f,,,,,,,,2d8h7d8d,,-100|100,DeepStack|qin.youwei.2 
r300c,,k,,k,,k,,9dThAcKs,2d6s8s3h5c,-300|300,qin.youwei.1|DeepStack 
f,,,,,,,,5cJs4s2h,,50|-50,qin.youwei.2|DeepStack 
cr300f,,,,,,,,8c8s2h5c,,100|-100,DeepStack|qin.youwei.2 
k,,k,,k,,k,,Jd6hTh3s,9h7d4s7s9d,100|-100,qin.youwei.2|DeepStack 
r200r600c,,r1200f,,,,,,7dKdJd9d,3d7cTc,600|-600,DeepStack|qin.youwei.1 
cr300c,,k,,r600f,,,,JsKh8c5c,Jh5sAhKs,300|-300,qin.youwei.1|DeepStack 
k,,k,,r200c,,r400r2000c,,Td7cTh5c,Jc3d9h8cQh,0|0,DeepStack|qin.youwei.2 
cr300c,,r600c,,cr1200f,,,,AsTs2c8h,6d2s9h5d,-600|600,DeepStack|qin.youwei.1 
f,,,,,,,,5sKsAh4d,,50|-50,qin.youwei.2|DeepStack 
r300c,,r600f,,,,,,8d7d6sAh,4h7hJd,300|-300,qin.youwei.1|DeepStack 
f,,,,,,,,7s3d3s9c,,50|-50,qin.youwei.2|DeepStack 
cr300f,,,,,,,,AsTs5d2s,,100|-100,DeepStack|qin.youwei.2 
k,,cr300c,,cr600f,,,,7hQdJd2s,9cAsAh3s,-300|300,DeepStack|qin.youwei.1 
r300c,,r750f,,,,,,Qd5dAsKh,3h5s4c,300|-300,qin.youwei.2|DeepStack 
r300r900r2000c,,cr5000c,,cr10000r20000c,,,,Td9dAcAh,KhJhQsKs5h,20000|-20000,DeepStack|qin.youwei.2 
f,,,,,,,,5s9d8c3s,,50|-50,qin.youwei.1|DeepStack 
cr300c,,r600c,,k,,k,,4h6d8s2s,Jh6s3s5d8h,-600|600,DeepStack|qin.youwei.1 
r300r500c,,r600c,,k,,r1200c,,Ac3c5c2c,4dKhQs5hAd,1200|-1200,qin.youwei.1|DeepStack 
k,,r200f,,,,,,3s6c9d4s,As2c5c,100|-100,qin.youwei.2|DeepStack 
r400f,,,,,,,,4h2s5d5h,,-100|100,DeepStack|qin.youwei.2 
r200c,,k,,k,,k,,3hAd5dKd,6hTc7cQh9h,200|-200,DeepStack|qin.youwei.1 
r300r600c,,r1500f,,,,,,9h6c3dAh,4cTc9c,600|-600,qin.youwei.2|DeepStack 
k,,cr200f,,,,,,Qd3h3d9c,7s9d4h,-100|100,DeepStack|qin.youwei.2 
cr500c,,r600c,,k,,k,,4h4d7dAd,9d2cJsTh6s,600|-600,qin.youwei.1|DeepStack 
r300r750c,,r950r1900f,,,,,,5c9d6sJs,6d2d6h,-950|950,qin.youwei.2|DeepStack 
r200c,,cr600f,,,,,,Jc6s9dQh,7dQc9s,-200|200,DeepStack|qin.youwei.1 
k,,k,,cr300f,,,,2s8c8h5c,AdJh7d9d,-100|100,qin.youwei.2|DeepStack 
r300c,,cr600f,,,,,,5s7d6dJh,Kc6cKd,-300|300,qin.youwei.1|DeepStack 
r200c,,k,,r400c,,r1200f,,TsAc4hJd,TdKc9c3h2h,400|-400,DeepStack|qin.youwei.2 
r200c,,cr500f,,,,,,6h7sTh5h,KsJs3s,-200|200,DeepStack|qin.youwei.1 
k,,cr200c,,k,,cr600f,,6c5hAd5s,4h9hAcJsQc,-200|200,qin.youwei.1|DeepStack 
r300c,,cr600f,,,,,,7sQc7c5d,4hKd2c,-300|300,qin.youwei.2|DeepStack 
r400f,,,,,,,,2c6c3h5c,,-100|100,DeepStack|qin.youwei.2 
k,,k,,r200r400c,,k,,2cQs7hQh,5c2h8s7cAc,-400|400,DeepStack|qin.youwei.1 
cr400f,,,,,,,,KcAd7c3d,,100|-100,qin.youwei.2|DeepStack 
r500c,,cr1250c,,cr3125r9375f,,,,5hAdQc5d,4c4d2h8d,3125|-3125,DeepStack|qin.youwei.2 
cr500c,,r1250c,,r3125c,,r7812f,,2h3h2dQd,Kc2s6h4d5d,3125|-3125,qin.youwei.1|DeepStack 
f,,,,,,,,7h3c7d3h,,50|-50,qin.youwei.2|DeepStack 
r500r1500r2500c,,cr7500c,,cr20000f,,,,9s8sQsAs,7h4s5sQc,-7500|7500,DeepStack|qin.youwei.2 
r500f,,,,,,,,9sAh5c7s,,-100|100,DeepStack|qin.youwei.1 
cr225c,,r550r1100f,,,,,,5dJd6h4h,7hKs8h,-550|550,takeda.tsuneaki.1|DeepStack 
r200c,,cr400r800f,,,,,,2sAd7c9s,Ac3s3c,400|-400,qin.youwei.2|DeepStack 
r200c,,k,,cr600f,,,,8d6c4cAd,ThQh7hTd,-200|200,DeepStack|qin.youwei.2 
r300r500c,,r1100f,,,,,,Jd2dKc2c,5s9s3d,500|-500,qin.youwei.1|DeepStack 
k,,cr225f,,,,,,7dJh4s9c,2d5dQh,-100|100,DeepStack|takeda.tsuneaki.1 
r500r1500f,,,,,,,,KdAdJc4d,,500|-500,DeepStack|qin.youwei.1 
r200c,,cr600f,,,,,,Jc4dQd9c,8h2cTh,-200|200,qin.youwei.2|DeepStack 
r300f,,,,,,,,2cJd4hAh,,-100|100,qin.youwei.1|DeepStack 
cr225c,,r500c,,k,,r950c,,7cJc8c9h,5s9dJdQdJs,950|-950,takeda.tsuneaki.1|DeepStack 
r200c,,k,,r600r1000c,,cr3000c,,8h3h7h9c,4d4s4h3c6s,3000|-3000,DeepStack|qin.youwei.2 
r200c,,cr400f,,,,,,7c8d2h9d,9h9sKc,-200|200,DeepStack|qin.youwei.1 
r300r500c,,r800r1600c,,cr4800f,,,,Ac2s9cJd,3d5c7s3s,-1600|1600,qin.youwei.1|DeepStack 
cr300f,,,,,,,,5h7h6h9s,,100|-100,DeepStack|takeda.tsuneaki.1 
r300r700f,,,,,,,,AhTcQs6d,,300|-300,qin.youwei.2|DeepStack 
cr275f,,,,,,,,7c2d5d9s,,100|-100,takeda.tsuneaki.1|DeepStack 
k,,k,,r300c,,r900f,,7d4c2h9d,4d7hTc8c2c,300|-300,DeepStack|takeda.tsuneaki.1 
cr300c,,k,,k,,k,,AdJd4c2c,8sKh6h3hKc,300|-300,DeepStack|qin.youwei.2 
r300f,,,,,,,,4sJsAc9d,,-100|100,takeda.tsuneaki.1|DeepStack 
r225c,,cr550f,,,,,,Qd2cQsTs,4h4d5s,-225|225,DeepStack|takeda.tsuneaki.1 
r300r500c,,r1250f,,,,,,8sJd5cAd,7h6sJs,500|-500,qin.youwei.2|DeepStack 
cr200c,,r500f,,,,,,Jd8h4d9h,QdTs3c,200|-200,qin.youwei.1|DeepStack 
r200c,,r425f,,,,,,6sTs4dAd,Tc2s8s,200|-200,takeda.tsuneaki.1|DeepStack 
k,,k,,cr300f,,,,Td5sAs5c,8c8h3hKs,-100|100,DeepStack|qin.youwei.2 
r300c,,cr750c,,cr1875c,,k,,TdKhAhTh,KcAdJc3h2c,-1875|1875,DeepStack|qin.youwei.1 
r200f,,,,,,,,Tc3d5dJc,,-100|100,DeepStack|takeda.tsuneaki.1 
cr200c,,r300c,,k,,cr600c,,7hAc8cQc,JcTdQdAs9d,-600|600,takeda.tsuneaki.1|DeepStack 
