PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
cr300c,r900c,r2100f,,8dAhKc7c6s8h9c2h,900|-900,lesnoy.dmitry.1,DeepStack 
r200r600c,r1200c,r3600r8400c,cr14400c,8sTs9s8h7s5s3cTdQd,14400|-14400,DeepStack,lesnoy.dmitry.1 
r200c,cr400r800c,r2000f,,6c2c6hAsAc8cTs4c,800|-800,lesnoy.dmitry.1,DeepStack 
f,,,,6dQc7c4d,50|-50,DeepStack,lesnoy.dmitry.1 
k,r300c,k,k,Kh5h5cTh5s9sTc7s8h,-300|300,lesnoy.dmitry.1,DeepStack 
r250r750c,k,cr1950f,,5s5hJdQhAdKcQsQd,-750|750,DeepStack,lesnoy.dmitry.1 
cr300c,k,r700f,,QhThAs9h4d5cJcKh,300|-300,lesnoy.dmitry.1,DeepStack 
r200c,cr350c,k,k,6cAc5dKdQcQs2sTh9s,350|-350,DeepStack,lesnoy.dmitry.1 
f,,,,AcQc9d2s,50|-50,lesnoy.dmitry.1,DeepStack 
r300c,cr700f,,,5h7hKdQcQsKh3s,-300|300,DeepStack,lesnoy.dmitry.1 
r300c,k,r600c,r1800f,8cQhTd6h2sJcThAc7s,600|-600,lesnoy.dmitry.1,DeepStack 
r200c,cr500c,k,k,Ks7hTcKh4c7cAsJc3d,500|-500,DeepStack,lesnoy.dmitry.1 
r300c,k,r900f,,5d3hKsAd6c9dJd3c,300|-300,lesnoy.dmitry.1,DeepStack 
cr300f,,,,Tc8hJd2s,100|-100,DeepStack,lesnoy.dmitry.1 
r300r900c,r2250c,r6750r20000c,,KcQc2d3dJs4d2c3cAc,20000|-20000,lesnoy.dmitry.1,DeepStack 
r300f,,,,2d5sAs8c,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,k,cr600c,Th2hQd8c5d9s5sQhTs,-600|600,lesnoy.dmitry.1,DeepStack 
f,,,,6sTd4s9c,50|-50,DeepStack,lesnoy.dmitry.1 
r300f,,,,3s2c9s4s,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,7dKd3c9d,50|-50,DeepStack,lesnoy.dmitry.1 
r300r750c,r1875f,,,AdJcQcKc6d9dTd,750|-750,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,Qd5c6dAd3d4d9c,-200|200,DeepStack,lesnoy.dmitry.1 
k,cr300c,k,r750c,Ah9c9d8h4hJd2h8sKc,-750|750,lesnoy.dmitry.1,DeepStack 
f,,,,KsTh4d2h,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,5h7d2h7s,50|-50,lesnoy.dmitry.1,DeepStack 
r200f,,,,Tc2s2dTd,-100|100,DeepStack,lesnoy.dmitry.1 
f,,,,3cAs3d8s,50|-50,lesnoy.dmitry.1,DeepStack 
f,,,,Ad3d2h8s,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,cr600f,,,7c9sQhThKh8sJh,-200|200,lesnoy.dmitry.1,DeepStack 
f,,,,4h2s2c3s,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,6s2d3d8h,50|-50,lesnoy.dmitry.1,DeepStack 
f,,,,3sQs7c4s,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,k,r750c,k,7d8cQhQdJd5cKcTc8h,-750|750,lesnoy.dmitry.1,DeepStack 
r300c,cr750c,k,r2250r6750f,Js8cAsQd7h2dTsKs3s,-2250|2250,DeepStack,lesnoy.dmitry.1 
r200c,k,r500f,,9hKh6c8c4dAd7dAh,200|-200,lesnoy.dmitry.1,DeepStack 
cr300c,k,r600c,r3000f,Th5hAs8hJcJsQc7dKd,600|-600,DeepStack,lesnoy.dmitry.1 
r300c,cr900f,,,Td2dAhJcQhTsJh,-300|300,lesnoy.dmitry.1,DeepStack 
f,,,,5dTs3c9h,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,Ah8d9d3c,50|-50,lesnoy.dmitry.1,DeepStack 
r200c,cr400f,,,3sAdQd8d4dTh7h,-200|200,DeepStack,lesnoy.dmitry.1 
k,k,r250r500f,,6c2hTc9sAcTd7c6s,-250|250,lesnoy.dmitry.1,DeepStack 
k,r200c,cr400c,k,3s8d7sThQc3d2sQh2d,400|-400,DeepStack,lesnoy.dmitry.1 
r300c,k,r600f,,4s3s5dTd2s9c9h4c,300|-300,lesnoy.dmitry.1,DeepStack 
r200f,,,,8c3h4dJh,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,r300f,,3d4dTc4c6d7c7hKd,200|-200,lesnoy.dmitry.1,DeepStack 
r200f,,,,6c3s4h6s,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,r500r1000c,cr2000r5000f,,Kc5c8s7s5s2d4h3d,2000|-2000,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,Jc3dTdAs6sKsQs,-200|200,DeepStack,lesnoy.dmitry.1 
f,,,,Qc6s8h3c,50|-50,lesnoy.dmitry.1,DeepStack 
r250f,,,,Qs5cAh9h,-100|100,DeepStack,lesnoy.dmitry.1 
r200r600c,r1500f,,,KcAh4sAc9cQh7h,600|-600,lesnoy.dmitry.1,DeepStack 
r250f,,,,3h6cAc4d,-100|100,DeepStack,lesnoy.dmitry.1 
f,,,,QsAh3d2h,50|-50,lesnoy.dmitry.1,DeepStack 
f,,,,2d8h9d6s,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,cr600c,cr1200f,,4dAsAd9s5d6dKd5h,-600|600,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,Kh7d8h9d9s3dAs,-200|200,DeepStack,lesnoy.dmitry.1 
k,r200f,,,4c3d9h4sQh3cTs,100|-100,lesnoy.dmitry.1,DeepStack 
r200r600c,r1200f,,,Kc7c9sTsQs6c2h,600|-600,DeepStack,lesnoy.dmitry.1 
f,,,,9cTs2h4c,50|-50,lesnoy.dmitry.1,DeepStack 
r200r600c,r1200c,cr2400f,,3c3s9d6d6hJhJc7d,-1200|1200,DeepStack,lesnoy.dmitry.1 
r300c,k,r900f,,Th6h9s5s2hTc6cKd,300|-300,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,8h4hAcAsQsTh9d,-200|200,DeepStack,lesnoy.dmitry.1 
