PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
f,,,,Js6d2d4c,50|-50,laak.phil.1,DeepStack 
r250c,cr500c,k,k,KhJd6sKs3d5c5sAd4s,500|-500,DeepStack,laak.phil.1 
r300f,,,,2sJd3d9d,-100|100,laak.phil.1,DeepStack 
f,,,,7d5sTc2d,50|-50,DeepStack,laak.phil.1 
r300c,cr600c,cr1800f,,Kd9cJs4s5d2h8s7c,-600|600,laak.phil.1,DeepStack 
r250c,cr500c,cr1250c,k,5d6h9hTc6d7d5c4cJc,1250|-1250,DeepStack,laak.phil.1 
r300f,,,,2cJs6h6s,-100|100,laak.phil.1,DeepStack 
r300c,cr525f,,,4h3h4d5d8sQd7h,-300|300,DeepStack,laak.phil.1 
r300f,,,,Ts5h6s6c,-100|100,laak.phil.1,DeepStack 
r300c,cr601c,r1202f,,JdQs8sJhKc3cAd5s,601|-601,DeepStack,laak.phil.1 
r300c,r622r1244f,,,3s7sKcTc2c4cJc,-622|622,laak.phil.1,DeepStack 
r300f,,,,4d9hThKh,-100|100,DeepStack,laak.phil.1 
r300r945f,,,,TdJs5s7h,300|-300,laak.phil.1,DeepStack 
r350r1050f,,,,JdAdTs5c,350|-350,DeepStack,laak.phil.1 
cr300f,,,,Ks8s5sQd,100|-100,laak.phil.1,DeepStack 
r300f,,,,3sTcJd8h,-100|100,DeepStack,laak.phil.1 
cr325f,,,,3c6cJh2s,100|-100,laak.phil.1,DeepStack 
r250f,,,,7d4hKh8s,-100|100,DeepStack,laak.phil.1 
r300f,,,,4h8dTs8s,-100|100,laak.phil.1,DeepStack 
r250c,r500c,cr1210f,,JhAdKhKsTc9s7c2c,-500|500,DeepStack,laak.phil.1 
r300c,k,k,r545c,8dAdKs4d8h3cJcKc2d,-545|545,laak.phil.1,DeepStack 
r250c,cr438c,cr823c,k,TcAhThQh5h2s3c8sAc,823|-823,DeepStack,laak.phil.1 
r300c,cr900c,cr2700f,,4dQh8h7h6hTs4h3s,-900|900,laak.phil.1,DeepStack 
r255f,,,,3h7d8h7c,-100|100,DeepStack,laak.phil.1 
r300r900c,r1688c,r3432f,,TdAdKsQh5h2c2dJh,1688|-1688,laak.phil.1,DeepStack 
f,,,,9cJs3s8d,50|-50,DeepStack,laak.phil.1 
r200r674r2022c,cr6066f,,,Jh8hQhQs6d4cQc,-2022|2022,laak.phil.1,DeepStack 
r250c,k,cr500c,r1500c,KdQhAd5dJh7h9d8cTd,1500|-1500,DeepStack,laak.phil.1 
r300r981f,,,,AdTdAs2c,300|-300,laak.phil.1,DeepStack 
f,,,,9cTd8c4d,50|-50,DeepStack,laak.phil.1 
k,k,k,cr300f,8s3s2cKdJsJd8cKc5c,-100|100,laak.phil.4,DeepStack 
