"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"1",-2.39,2.39,0,0,1010,990
"2",-11.03,11.03,0,0,1010,990
"3",-13.48,13.48,159.74,-159.74,980,1020
"4",-12.88,12.88,-631.12,631.12,0,2000
"5",-3.32,3.32,0,0,1010,990
"6",-9.41,9.41,0,0,1010,990
"7",-0.23,0.229999999999999,0,0,1010,990
"8",-4.4,4.4,0,0,1010,990
"9",-1.67,1.67,0,0,1010,990
"10",-13.48,13.48,159.74,-159.74,980,1020
"11",-1.1,1.1,0,0,1010,990
"12",-7.46,7.46,0,0,1010,990
"13",-3.17,3.17,0,0,1010,990
"14",-8.36,8.36,285.18,-285.18,980,1020
"15",-4.88,4.88,0,0,1010,990
"16",0.789999999999999,-0.789999999999999,0,0,1010,990
"17",-5.48,5.48,0,0,1010,990
"18",3.04,-3.04,0,0,1010,990
"19",4.27,-4.27,0,0,1010,990
"20",1.87,-1.87,0,0,1010,990
"21",-7.85,7.85,0,0,1010,990
"22",-1.88,1.88,0,0,1010,990
"23",-3.59,3.59,0,0,1010,990
"24",-7.76,7.76,0,0,1010,990
"25",0.0100000000000016,-0.0100000000000016,0,0,1010,990
"26",-2.6,2.6,0,0,1010,990
"27",-0.800000000000001,0.799999999999999,0,0,1010,990
"28",-13.36,13.36,162.68,-162.68,980,1020
"29",-1.32,1.32,-64.6799999999999,64.6799999999998,0,2000
"30",-3.77,3.77,0,0,1010,990
"31",1.69,-1.69,0,0,1010,990
"32",0.880000000000003,-0.880000000000003,43.12,-43.12,2000,0
"33",-8.39,8.39,0,0,1010,990
"34",-5.96,5.96,0,0,1010,990
"35",-10.1,10.1,0,0,1010,990
"36",-8.24,8.24,0,0,1010,990
"37",-7.73,7.73,0,0,1010,990
"38",-2.57,2.57,0,0,1010,990
"39",-7.19,7.19,0,0,1010,990
"40",3.25,-3.25,0,0,1010,990
"41",-8.87,8.87,0,0,1010,990
"42",-0.23,0.229999999999999,0,0,1010,990
"43",1.18,-1.18,0,0,1010,990
"44",-8.84,8.84,0,0,1010,990
"45",-7.79,7.79,0,0,1010,990
"46",-6.14,6.14,0,0,1010,990
"47",-5.84,5.84,0,0,1010,990
"48",-11.84,11.84,-580.16,580.16,0,2000
"49",-8.84,8.84,0,0,1010,990
"50",-4.94,4.94,0,0,1010,990
"51",-8.39,8.39,0,0,1010,990
"52",4.66,-4.66,0,0,1010,990
"53",-9.11,9.11,0,0,1010,990
"54",-3.65,3.65,0,0,1010,990
"55",2.89,-2.89,0,0,1010,990
"56",-5.24,5.24,0,0,1010,990
"57",1.54,-1.54,0,0,1010,990
"58",-6.08,6.08,341.04,-341.04,980,1020
"59",-3.83,3.83,0,0,1010,990
"60",-9.62,9.62,0,0,1010,990
"61",-1.07,1.07,0,0,1010,990
"62",-2.18,2.18,0,0,1010,990
"63",-8.66,8.66,0,0,1010,990
"64",-6.59,6.59,0,0,1010,990
"65",-9.38,9.38,0,0,1010,990
"66",3.19,-3.19,0,0,1010,990
"67",-9.59,9.59,0,0,1010,990
"68",-3.52,3.52,-172.48,172.48,0,2000
"69",-6.95,6.95,0,0,1010,990
"70",-7.91,7.91,0,0,1010,990
"71",-5.12,5.12,0,0,1010,990
"72",-9.5,9.5,0,0,1010,990
"73",-9.44,9.44,0,0,1010,990
"74",-7.88,7.88,0,0,1010,990
"75",1.36,-1.36,0,0,1010,990
"76",-7.52,7.52,0,0,1010,990
"77",-1.94,1.94,0,0,1010,990
"78",-3.71,3.71,0,0,1010,990
"79",-9.23,9.23,0,0,1010,990
"80",9.79,-9.79,0,0,1010,990
"81",2.08,-2.08,0,0,1010,990
"82",-8.24,8.24,0,0,1010,990
"83",-2.36,2.36,-115.64,115.64,0,2000
"84",1.36,-1.36,0,0,1010,990
"85",-8.12,8.12,291.06,-291.06,980,1020
"86",-8.3,8.3,0,0,1010,990
"87",-11.03,11.03,0,0,1010,990
"88",-3.71,3.71,0,0,1010,990
"89",-9.65,9.65,0,0,1010,990
"90",-0.289999999999999,0.289999999999999,0,0,1010,990
"91",-2.21,2.21,0,0,1010,990
"92",-7.28,7.28,0,0,1010,990
"93",-5.27,5.27,0,0,1010,990
"94",-9.53,9.53,0,0,1010,990
"95",-7.73,7.73,0,0,1010,990
"96",-5.78,5.78,0,0,1010,990
"97",-4.25,4.25,0,0,1010,990
"98",-13.72,13.72,-672.28,672.28,0,2000
"99",-6.71,6.71,0,0,1010,990
"100",-8.72,8.72,0,0,1010,990
"101",-2.39,2.39,0,0,1010,990
"102",-8.84,8.84,0,0,1010,990
"103",-1.37,1.37,0,0,1010,990
"104",-2.15,2.15,0,0,1010,990
"105",0.0700000000000003,-0.0700000000000003,0,0,1010,990
"106",-8.72,8.72,0,0,1010,990
"107",-2.69,2.69,0,0,1010,990
"108",-0.379999999999999,0.379999999999999,0,0,1010,990
"109",-2.57,2.57,0,0,1010,990
"110",-7.88,7.88,0,0,1010,990
"111",-1.01,1.01,0,0,1010,990
"112",-2.27,2.27,0,0,1010,990
"113",-6.56,6.56,0,0,1010,990
"114",1.33,-1.33,0,0,1010,990
"115",-5.39,5.39,0,0,1010,990
"116",-1.22,1.22,0,0,1010,990
"117",0.580000000000002,-0.580000000000002,0,0,1010,990
"118",-5.06,5.06,0,0,1010,990
