"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"1",-7.19,7.19,0,0,1010,990
"2",-6.74,6.74,0,0,1010,990
"3",-5.06,5.06,0,0,1010,990
"4",-7.73,7.73,0,0,1010,990
"5",-8.36,8.36,0,0,1010,990
"6",-11.09,11.09,0,0,1010,990
"7",-8.27,8.27,0,0,1010,990
"8",2.14,-2.14,0,0,1010,990
"9",0.610000000000003,-0.610000000000001,0,0,1010,990
"10",-9.02,9.02,0,0,1010,990
"11",-9.56,9.56,0,0,1010,990
"12",-6.56,6.56,0,0,1010,990
"13",-1.25,1.25,0,0,1010,990
"14",-2.51,2.51,0,0,1010,990
"15",-1.28,1.28,0,0,1010,990
"16",3.94,-3.94,0,0,1010,990
"17",-1.01,1.01,0,0,1010,990
"18",-9.32,9.32,0,0,1010,990
"19",1.84,-1.84,0,0,1010,990
"20",1.48,-1.48,0,0,1010,990
"21",0.0700000000000003,-0.0700000000000003,0,0,1010,990
"22",-5,5,0,0,1010,990
"23",-6.32,6.32,0,0,1010,990
"24",0.939999999999998,-0.939999999999998,0,0,1010,990
"25",0.370000000000001,-0.370000000000001,0,0,1010,990
"26",-5.81,5.81,0,0,1010,990
"27",-10.79,10.79,0,0,1010,990
"28",-6.32,6.32,0,0,1010,990
"29",-3.89,3.89,0,0,1010,990
"30",-5.66,5.66,0,0,1010,990
"31",-10.01,10.01,0,0,1010,990
"32",-8.78,8.78,0,0,1010,990
"33",0.939999999999998,-0.939999999999998,0,0,1010,990
"34",-3.11,3.11,0,0,1010,990
"35",-9.05,9.05,0,0,1010,990
"36",-3.29,3.29,0,0,1010,990
"37",2.29,-2.29,0,0,1010,990
"38",-7.58,7.58,0,0,1010,990
"39",-10.08,10.08,-493.92,493.92,0,2000
"40",-4.04,4.04,0,0,1010,990
"41",-3.2,3.2,0,0,1010,990
"42",-1.13,1.13,0,0,1010,990
"43",-6.86,6.86,0,0,1010,990
"44",-5.69,5.69,0,0,1010,990
"45",4.27,-4.27,0,0,1010,990
"46",-7.48,7.48,306.74,-306.74,980,1020
"47",1.96,-1.96,0,0,1010,990
"48",-2.84,2.84,0,0,1010,990
"49",-5.78,5.78,0,0,1010,990
"50",-8.9,8.9,0,0,1010,990
"51",1.99,-1.99,0,0,1010,990
"52",-3.95,3.95,0,0,1010,990
"53",-0.960000000000001,0.960000000000001,466.48,-466.48,980,1020
"54",2.2,-2.2,0,0,1010,990
"55",-4.61,4.61,0,0,1010,990
"56",1.9,-1.9,0,0,1010,990
"57",-3.23,3.23,0,0,1010,990
"58",1.6,-1.6,0,0,1010,990
"59",-6.4,6.4,333.2,-333.2,980,1020
"60",-0.59,0.59,0,0,1010,990
"61",-3.29,3.29,0,0,1010,990
"62",-1.28,1.28,0,0,1010,990
"63",-9.86,9.86,0,0,1010,990
"64",0.759999999999998,-0.759999999999998,0,0,1010,990
"65",-0.530000000000001,0.529999999999999,0,0,1010,990
"66",-9.56,9.56,0,0,1010,990
"67",-6.2,6.2,0,0,1010,990
"68",-9.24,9.24,263.62,-263.62,980,1020
"69",0.310000000000002,-0.310000000000002,0,0,1010,990
"70",0.0400000000000027,-0.0400000000000009,0,0,1010,990
"71",2.74,-2.74,0,0,1010,990
"72",-6.05,6.05,0,0,1010,990
"73",-15.08,15.08,120.54,-120.54,980,1020
"74",-7.94,7.94,0,0,1010,990
"75",1.24,-1.24,0,0,1010,990
"76",-9.23,9.23,0,0,1010,990
"77",-3.89,3.89,0,0,1010,990
"78",-7.76,7.76,0,0,1010,990
"79",-1.4,1.4,0,0,1010,990
"80",-8.16,8.16,290.08,-290.08,980,1020
"81",-0.199999999999999,0.199999999999999,0,0,1010,990
"82",4.66,-4.66,0,0,1010,990
"83",-1.19,1.19,0,0,1010,990
"84",-6.62,6.62,0,0,1010,990
"85",-9.56,9.56,255.78,-255.78,980,1020
"86",-1.64,1.64,0,0,1010,990
"87",-4.19,4.19,0,0,1010,990
"88",-10.31,10.31,0,0,1010,990
"89",-9.44,9.44,0,0,1010,990
"90",-8.66,8.66,0,0,1010,990
"91",9.34,-9.34,0,0,1010,990
"92",-2.84,2.84,0,0,1010,990
"93",2.02,-2.02,0,0,1010,990
"94",-6.68,6.68,0,0,1010,990
"95",0.520000000000003,-0.520000000000001,0,0,1010,990
"96",7.93,-7.93,0,0,1010,990
"97",-7.61,7.61,0,0,1010,990
"98",-4.07,4.07,0,0,1010,990
"99",0.130000000000003,-0.130000000000001,0,0,1010,990
"100",-8.06,8.06,0,0,1010,990
"101",-6.74,6.74,0,0,1010,990
"102",-9.41,9.41,0,0,1010,990
"103",-0.59,0.59,0,0,1010,990
"104",-3.95,3.95,0,0,1010,990
"105",0.669999999999998,-0.669999999999998,0,0,1010,990
"106",-6.38,6.38,0,0,1010,990
"107",1.09,-1.09,0,0,1010,990
"108",-8.57,8.57,0,0,1010,990
"109",-2.09,2.09,0,0,1010,990
"110",-2.09,2.09,0,0,1010,990
"111",-11.12,11.12,0,0,1010,990
"112",-3.59,3.59,0,0,1010,990
"113",2.74,-2.74,0,0,1010,990
"114",-1.88,1.88,0,0,1010,990
"115",2.08,-2.08,0,0,1010,990
"116",-6.11,6.11,0,0,1010,990
"117",2.65,-2.65,0,0,1010,990
"118",-4.82,4.82,0,0,1010,990
"119",-3.02,3.02,0,0,1010,990
"120",-4.4,4.4,0,0,1010,990
"121",-8.87,8.87,0,0,1010,990
"122",-3.47,3.47,0,0,1010,990
"123",-0.199999999999999,0.199999999999999,0,0,1010,990
"124",-7.85,7.85,0,0,1010,990
"125",-6.53,6.53,0,0,1010,990
"126",3.73,-3.73,0,0,1010,990
"127",-6.26,6.26,0,0,1010,990
