"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"1",-1.22,1.22,0,0,1010,990
"2",-3.32,3.32,0,0,1010,990
"3",-0.68,0.68,0,0,1010,990
"4",-11.12,11.12,0,0,1010,990
"5",-4.79,4.79,0,0,1010,990
"6",0.220000000000002,-0.220000000000001,0,0,1010,990
"7",-1.07,1.07,0,0,1010,990
"8",-2.36,2.36,0,0,1010,990
"9",-5.48,5.48,0,0,1010,990
"10",-8.51,8.51,0,0,1010,990
"11",-0.0499999999999972,0.0499999999999989,0,0,1010,990
"12",-11.24,11.24,0,0,1010,990
"13",0.490000000000002,-0.490000000000002,0,0,1010,990
"14",-7.55,7.55,0,0,1010,990
"15",4.03,-4.03,0,0,1010,990
"16",-6.53,6.53,0,0,1010,990
"17",-7.56,7.56,304.78,-304.78,980,1020
"18",-1.79,1.79,0,0,1010,990
"19",1.18,-1.18,0,0,1010,990
"20",2.5,-2.5,0,0,1010,990
"21",-2.45,2.45,0,0,1010,990
"22",-5.12,5.12,0,0,1010,990
"23",-1.61,1.61,0,0,1010,990
"24",-6.65,6.65,0,0,1010,990
"25",-2.56,2.56,427.28,-427.28,980,1020
"26",-2.3,2.3,0,0,1010,990
"27",-10.4,10.4,0,0,1010,990
"28",-6.71,6.71,0,0,1010,990
"29",-11.3,11.3,0,0,1010,990
"30",-9.29,9.29,0,0,1010,990
"31",-4.88,4.88,0,0,1010,990
"32",-8.96,8.96,0,0,1010,990
"33",-1.76,1.76,0,0,1010,990
"34",-10.7,10.7,0,0,1010,990
"35",2.17,-2.17,0,0,1010,990
"36",-5.21,5.21,0,0,1010,990
"37",-6.29,6.29,0,0,1010,990
"38",-5.93,5.93,0,0,1010,990
"39",-8.21,8.21,0,0,1010,990
"40",-3.02,3.02,0,0,1010,990
"41",0.669999999999998,-0.669999999999998,0,0,1010,990
"42",-2.16,2.16,437.08,-437.08,980,1020
"43",-15.36,15.36,113.68,-113.68,980,1020
"44",-8.9,8.9,0,0,1010,990
"45",-1.88,1.88,0,0,1010,990
"46",3.01,-3.01,0,0,1010,990
"47",-10.49,10.49,0,0,1010,990
"48",0.610000000000003,-0.610000000000001,0,0,1010,990
"49",-4.58,4.58,0,0,1010,990
"50",-9.47,9.47,0,0,1010,990
"51",-7.1,7.1,0,0,1010,990
"52",-7.28,7.28,0,0,1010,990
"53",-11.28,11.28,213.64,-213.64,980,1020
"54",-2.81,2.81,0,0,1010,990
"55",-3.02,3.02,0,0,1010,990
"56",-9.14,9.14,0,0,1010,990
"57",-3.53,3.53,0,0,1010,990
"58",-5.06,5.06,0,0,1010,990
"59",-9.83,9.83,0,0,1010,990
"60",-8.84,8.84,0,0,1010,990
"61",-7.64,7.64,0,0,1010,990
"62",-2.39,2.39,0,0,1010,990
"63",-9.35,9.35,0,0,1010,990
"64",-6.98,6.98,0,0,1010,990
"65",-8.06,8.06,0,0,1010,990
"66",0.34,-0.340000000000002,0,0,1010,990
"67",-6.38,6.38,0,0,1010,990
