"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"1",0.16,-0.160000000000002,0,0,1010,990
"2",0.600000000000001,-0.600000000000001,504.7,-504.7,980,1020
"3",-3.88,3.88,394.94,-394.94,980,1020
"4",2.08,-2.08,0,0,1010,990
"5",1.36,-1.36,0,0,1010,990
"6",-6.04,6.04,342.02,-342.02,980,1020
"7",-4.52,4.52,379.26,-379.26,980,1020
"8",2.28,-2.28,545.86,-545.86,980,1020
"9",0.640000000000001,-0.640000000000001,505.68,-505.68,980,1020
"10",2.2,-2.2,0,0,1010,990
"11",4.96,-4.96,611.52,-611.52,980,1020
"12",-4.88,4.88,370.44,-370.44,980,1020
"13",0.719999999999999,-0.719999999999999,507.64,-507.64,980,1020
"14",-6.72,6.72,325.36,-325.36,980,1020
"15",3.36,-3.36,572.32,-572.32,980,1020
"16",-4.56,4.56,378.28,-378.28,980,1020
"17",1.57,-1.57,0,0,1010,990
"18",0.560000000000002,-0.560000000000002,27.4400000000001,-27.4400000000001,2000,0
"19",-6.47,6.47,0,0,1010,990
"20",-5.52,5.52,354.76,-354.76,980,1020
"21",0.939999999999998,-0.939999999999998,0,0,1010,990
"22",-1.52,1.52,452.76,-452.76,980,1020
"23",-0.120000000000001,0.120000000000001,487.06,-487.06,980,1020
"24",-4.84,4.84,371.42,-371.42,980,1020
"25",-1.72,1.72,447.86,-447.86,980,1020
"26",-5.08,5.08,365.54,-365.54,980,1020
"27",-0.41,0.41,0,0,1010,990
"28",-7.68,7.68,301.84,-301.84,980,1020
"29",-4.6,4.6,377.3,-377.3,980,1020
"30",-3.08,3.08,414.54,-414.54,980,1020
"31",-2.08,2.08,439.04,-439.04,980,1020
"32",1.12,-1.12,0,0,1010,990
"33",-1.37,1.37,0,0,1010,990
"34",0.440000000000001,-0.440000000000001,500.78,-500.78,980,1020
"35",3.88,-3.88,585.06,-585.06,980,1020
"36",0.789999999999999,-0.789999999999999,0,0,1010,990
"37",-5.04,5.04,366.52,-366.52,980,1020
"38",-6.92,6.92,0,0,1010,990
"39",-2.24,2.24,435.12,-435.12,980,1020
"40",-3.2,3.2,411.6,-411.6,980,1020
"41",-4.37,4.37,0,0,1010,990
"42",-6.88,6.88,321.44,-321.44,980,1020
"43",4.32,-4.32,595.84,-595.84,980,1020
"44",4.64,-4.64,603.68,-603.68,980,1020
"45",-4.6,4.6,377.3,-377.3,980,1020
"46",-0.23,0.229999999999999,0,0,1010,990
"47",-1.94,1.94,0,0,1010,990
"48",-6.52,6.52,330.26,-330.26,980,1020
"49",-8.21,8.21,0,0,1010,990
"50",-6.48,6.48,331.24,-331.24,980,1020
"51",-7.64,7.64,302.82,-302.82,980,1020
"52",-9.83,9.83,0,0,1010,990
"53",-5.24,5.24,361.62,-361.62,980,1020
"54",3.76,-3.76,582.12,-582.12,980,1020
"55",-8.33,8.33,0,0,1010,990
"56",-1.64,1.64,449.82,-449.82,980,1020
"57",1.64,-1.64,530.18,-530.18,980,1020
"58",-5.12,5.12,364.56,-364.56,980,1020
"59",-3.92,3.92,393.96,-393.96,980,1020
"60",2.38,-2.38,0,0,1010,990
"61",-5.87,5.87,0,0,1010,990
"62",-4.72,4.72,374.36,-374.36,980,1020
"63",-5,5,367.5,-367.5,980,1020
"64",-6.77,6.77,0,0,1010,990
"65",0.16,-0.160000000000002,0,0,1010,990
"66",2.5,-2.5,0,0,1010,990
"67",-7.7,7.7,0,0,1010,990
"68",3,-3,563.5,-563.5,980,1020
"69",-5.36,5.36,358.68,-358.68,980,1020
"70",-0.469999999999999,0.469999999999999,0,0,1010,990
"71",-0.120000000000001,0.120000000000001,487.06,-487.06,980,1020
"72",4.27,-4.27,0,0,1010,990
"73",-5,5,367.5,-367.5,980,1020
"74",-3.8,3.8,396.9,-396.9,980,1020
"75",2.64,-2.64,554.68,-554.68,980,1020
"76",4.52,-4.52,600.74,-600.74,980,1020
"77",-1.24,1.24,459.62,-459.62,980,1020
"78",0.640000000000001,-0.640000000000001,505.68,-505.68,980,1020
"79",2.48,-2.48,550.76,-550.76,980,1020
"80",-6.24,6.24,337.12,-337.12,980,1020
"81",-2.4,2.4,431.2,-431.2,980,1020
"82",-6.53,6.53,0,0,1010,990
"83",0.640000000000001,-0.640000000000001,505.68,-505.68,980,1020
"84",15.8,-15.8,774.2,-774.2,2000,0
"85",4.64,-4.64,603.68,-603.68,980,1020
"86",1.06,-1.06,0,0,1010,990
"87",-1.68,1.68,448.84,-448.84,980,1020
"88",-1.07,1.07,0,0,1010,990
"89",-6.52,6.52,330.26,-330.26,980,1020
"90",0.16,-0.16,493.92,-493.92,980,1020
"91",3.76,-3.76,582.12,-582.12,980,1020
"92",-8.08,8.08,292.04,-292.04,980,1020
"93",-4.4,4.4,382.2,-382.2,980,1020
"94",0.719999999999999,-0.719999999999999,507.64,-507.64,980,1020
"95",-10.88,10.88,223.44,-223.44,980,1020
"96",-0.919999999999998,0.92,0,0,1010,990
"97",-1.92,1.92,442.96,-442.96,980,1020
"98",-0.620000000000001,0.619999999999999,0,0,1010,990
"99",-2.24,2.24,435.12,-435.12,980,1020
"100",-2.36,2.36,432.18,-432.18,980,1020
"101",-6.98,6.98,0,0,1010,990
"102",-6.8,6.8,323.4,-323.4,980,1020
"103",-6.44,6.44,332.22,-332.22,980,1020
"104",2.56,-2.56,552.72,-552.72,980,1020
