"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"1",-8,8,0,0,1010,990
"2",1.6,-1.6,529.2,-529.2,980,1020
"3",0.48,-0.48,501.76,-501.76,980,1020
"4",-2.72,2.72,423.36,-423.36,980,1020
"5",-10.08,10.08,243.04,-243.04,980,1020
"6",-3.05,3.05,0,0,1010,990
"7",-0.32,0.319999999999999,0,0,1010,990
"8",-3.16,3.16,412.58,-412.58,980,1020
"9",-0.399999999999999,0.399999999999999,480.2,-480.2,980,1020
"10",12.6,-12.6,617.4,-617.4,2000,0
"11",0.220000000000002,-0.220000000000001,0,0,1010,990
"12",4.24,-4.24,593.88,-593.88,980,1020
"13",-0.32,0.319999999999999,0,0,1010,990
"14",-6.86,6.86,0,0,1010,990
"15",4.8,-4.8,607.6,-607.6,980,1020
"16",-6.64,6.64,327.32,-327.32,980,1020
"17",-7.88,7.88,0,0,1010,990
"18",-4.8,4.8,372.4,-372.4,980,1020
"19",2.12,-2.12,541.94,-541.94,980,1020
"20",19.32,-19.32,963.34,-963.34,980,1020
"21",-4.84,4.84,371.42,-371.42,980,1020
"22",-4.24,4.24,386.12,-386.12,980,1020
"23",-2.64,2.64,425.32,-425.32,980,1020
"24",3.46,-3.46,0,0,1010,990
"25",-3.04,3.04,415.52,-415.52,980,1020
"26",1.08,-1.08,516.46,-516.46,980,1020
"27",-2.09,2.09,0,0,1010,990
"28",-5.92,5.92,344.96,-344.96,980,1020
"29",-0.710000000000001,0.709999999999999,0,0,1010,990
"30",-7.67,7.67,0,0,1010,990
"31",-1.68,1.68,448.84,-448.84,980,1020
"32",5.64,-5.64,628.18,-628.18,980,1020
"33",-3.92,3.92,0,0,1010,990
"34",-6.56,6.56,329.28,-329.28,980,1020
"35",-13.32,13.32,163.66,-163.66,980,1020
"36",-3.76,3.76,397.88,-397.88,980,1020
"37",-5.27,5.27,0,0,1010,990
"38",-0.800000000000001,0.799999999999999,0,0,1010,990
