"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"1",-4.04,4.04,391.02,-391.02,980,1020
"2",10.56,-10.56,748.72,-748.72,980,1020
"3",1.51,-1.51,0,0,1010,990
"4",3.76,-3.76,582.12,-582.12,980,1020
"5",0.800000000000001,-0.800000000000001,509.6,-509.6,980,1020
"6",-2.6,2.6,426.3,-426.3,980,1020
"7",-2.99,2.99,0,0,1010,990
"8",-0.23,0.229999999999999,0,0,1010,990
"9",-9.65,9.65,0,0,1010,990
"10",-6.92,6.92,320.46,-320.46,980,1020
"11",1.92,-1.92,537.04,-537.04,980,1020
"12",-3.48,3.48,404.74,-404.74,980,1020
"13",-5.18,5.18,0,0,1010,990
"14",-5.2,5.2,362.6,-362.6,980,1020
"15",-4.92,4.92,369.46,-369.46,980,1020
"16",-2.6,2.6,0,0,1010,990
"17",-8.03,8.03,0,0,1010,990
"18",-8.33,8.33,0,0,1010,990
"19",-8.52,8.52,281.26,-281.26,980,1020
"20",6.24,-6.24,642.88,-642.88,980,1020
"21",-4.24,4.24,386.12,-386.12,980,1020
"22",0.400000000000002,-0.400000000000002,0,0,1010,990
"23",-1.79,1.79,0,0,1010,990
"24",-1,1,465.5,-465.5,980,1020
"25",-2.18,2.18,0,0,1010,990
"26",-7.4,7.4,0,0,1010,990
"27",3.76,-3.76,582.12,-582.12,980,1020
"28",-1.88,1.88,443.94,-443.94,980,1020
"29",-5.56,5.56,353.78,-353.78,980,1020
"30",2.04,-2.04,539.98,-539.98,980,1020
"31",2.16,-2.16,542.92,-542.92,980,1020
"32",-1.72,1.72,447.86,-447.86,980,1020
"33",-5.4,5.4,357.7,-357.7,980,1020
"34",-7.82,7.82,0,0,1010,990
"35",-7.01,7.01,0,0,1010,990
"36",-4.44,4.44,381.22,-381.22,980,1020
"37",-1.28,1.28,0,0,1010,990
"38",-0.559999999999999,0.559999999999999,0,0,1010,990
"39",-0.240000000000002,0.240000000000002,484.12,-484.12,980,1020
"40",-7,7,318.5,-318.5,980,1020
"41",-2.28,2.28,434.14,-434.14,980,1020
"42",5.2,-5.2,617.4,-617.4,980,1020
"43",-0.559999999999999,0.559999999999999,0,0,1010,990
"44",6.8,-6.8,656.6,-656.6,980,1020
"45",-8.24,8.24,0,0,1010,990
"46",-8.54,8.54,0,0,1010,990
"47",-7.28,7.28,311.64,-311.64,980,1020
"48",-3.36,3.36,407.68,-407.68,980,1020
"49",-4.64,4.64,376.32,-376.32,980,1020
"50",-0.559999999999999,0.559999999999999,0,0,1010,990
"51",-1.92,1.92,442.96,-442.96,980,1020
"52",10.16,-10.16,738.92,-738.92,980,1020
"53",-4.76,4.76,373.38,-373.38,980,1020
"54",-6.48,6.48,331.24,-331.24,980,1020
"55",2.32,-2.32,546.84,-546.84,980,1020
"56",3.32,-3.32,571.34,-571.34,980,1020
"57",0.91,-0.909999999999998,0,0,1010,990
"58",-6.84,6.84,322.42,-322.42,980,1020
"59",2.04,-2.04,99.96,-99.96,2000,0
"60",-0.84,0.84,469.42,-469.42,980,1020
"61",-6.08,6.08,341.04,-341.04,980,1020
"62",1.6,-1.6,529.2,-529.2,980,1020
"63",-2.66,2.66,0,0,1010,990
"64",-1.64,1.64,0,0,1010,990
"65",7.12,-7.12,664.44,-664.44,980,1020
"66",-0.120000000000001,0.120000000000001,487.06,-487.06,980,1020
"67",2.17,-2.17,0,0,1010,990
"68",6.72,-6.72,654.64,-654.64,980,1020
"69",-1.44,1.44,454.72,-454.72,980,1020
"70",6.52,-6.52,649.74,-649.74,980,1020
"71",7.44,-7.44,672.28,-672.28,980,1020
"72",-6.88,6.88,321.44,-321.44,980,1020
"73",2.59,-2.59,0,0,1010,990
"74",-6.26,6.26,0,0,1010,990
"75",-5.93,5.93,0,0,1010,990
"76",-6.38,6.38,0,0,1010,990
"77",0.760000000000002,-0.760000000000002,508.62,-508.62,980,1020
"78",-6.62,6.62,0,0,1010,990
"79",-5.56,5.56,353.78,-353.78,980,1020
"80",0.639999999999997,-0.639999999999999,0,0,1010,990
"81",-3.95,3.95,0,0,1010,990
"82",2.56,-2.56,552.72,-552.72,980,1020
"83",-5.68,5.68,350.84,-350.84,980,1020
"84",-2.72,2.72,423.36,-423.36,980,1020
"85",-4.4,4.4,382.2,-382.2,980,1020
