"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"1",-3.98,3.98,0,0,1010,990
"2",-8.21,8.21,0,0,1010,990
"3",1.27,-1.27,0,0,1010,990
"4",-6.92,6.92,0,0,1010,990
"5",-5.3,5.3,0,0,1010,990
"6",-1.01,1.01,0,0,1010,990
"7",-7.58,7.58,0,0,1010,990
"8",-0.5,0.5,0,0,1010,990
"9",1.69,-1.69,0,0,1010,990
"10",7.24,-7.24,0,0,1010,990
"11",5.53,-5.53,0,0,1010,990
"12",4,-4,0,0,1010,990
"13",0.0400000000000027,-0.0400000000000009,0,0,1010,990
"14",-2.3,2.3,0,0,1010,990
"15",-0.890000000000001,0.890000000000001,0,0,1010,990
"16",-9.17,9.17,0,0,1010,990
"17",-8.03,8.03,0,0,1010,990
"18",1.36,-1.36,0,0,1010,990
"19",-8.51,8.51,0,0,1010,990
"20",6.01,-6.01,0,0,1010,990
"21",-0.379999999999999,0.379999999999999,0,0,1010,990
"22",-1.31,1.31,0,0,1010,990
"23",-0.0199999999999996,0.0199999999999996,0,0,1010,990
"24",0.34,-0.340000000000002,0,0,1010,990
"25",-2.54,2.54,0,0,1010,990
"26",-6.86,6.86,0,0,1010,990
"27",-7.28,7.28,0,0,1010,990
"28",-7.94,7.94,0,0,1010,990
"29",-5.06,5.06,0,0,1010,990
"30",-2.06,2.06,0,0,1010,990
"31",-9.2,9.2,0,0,1010,990
"32",2.08,-2.08,0,0,1010,990
"33",-9.26,9.26,0,0,1010,990
"34",-9.11,9.11,0,0,1010,990
"35",-2.12,2.12,0,0,1010,990
"36",-3.14,3.14,0,0,1010,990
"37",-7.85,7.85,0,0,1010,990
"38",-10.16,10.16,0,0,1010,990
"39",-4.67,4.67,0,0,1010,990
"40",-1.64,1.64,0,0,1010,990
"41",-3.8,3.8,0,0,1010,990
"42",-0.199999999999999,0.199999999999999,0,0,1010,990
"43",0.34,-0.340000000000002,0,0,1010,990
"44",-1.19,1.19,0,0,1010,990
"45",-6.77,6.77,0,0,1010,990
"46",-4.01,4.01,0,0,1010,990
"47",-7.43,7.43,0,0,1010,990
"48",-7.04,7.04,0,0,1010,990
"49",0.699999999999999,-0.699999999999999,0,0,1010,990
"50",-5.3,5.3,0,0,1010,990
"51",0.550000000000001,-0.550000000000001,0,0,1010,990
"52",-7.07,7.07,0,0,1010,990
"53",-6.59,6.59,0,0,1010,990
"54",-5.99,5.99,0,0,1010,990
"55",-7.7,7.7,0,0,1010,990
"56",-10.04,10.04,0,0,1010,990
"57",-5.81,5.81,0,0,1010,990
"58",-9.38,9.38,0,0,1010,990
"59",-2.57,2.57,0,0,1010,990
"60",-1.37,1.37,0,0,1010,990
"61",5.47,-5.47,0,0,1010,990
"62",-0.199999999999999,0.199999999999999,0,0,1010,990
"63",-4.1,4.1,0,0,1010,990
"64",-10.58,10.58,0,0,1010,990
