"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"1",-1.55,1.55,0,0,1010,990
"2",-2.9,2.9,0,0,1010,990
"3",-2.84,2.84,0,0,1010,990
"4",0.400000000000002,-0.400000000000002,0,0,1010,990
"5",0.0400000000000027,-0.0400000000000009,0,0,1010,990
"6",6.37,-6.37,0,0,1010,990
"7",-6.89,6.89,0,0,1010,990
"8",-1.67,1.67,0,0,1010,990
"9",-1.49,1.49,0,0,1010,990
"10",-1.94,1.94,0,0,1010,990
"11",-5.15,5.15,0,0,1010,990
"12",4.51,-4.51,0,0,1010,990
"13",-7.1,7.1,0,0,1010,990
"14",-2.03,2.03,0,0,1010,990
"15",-8.33,8.33,0,0,1010,990
"16",0.0400000000000027,-0.0400000000000009,0,0,1010,990
"17",-4.64,4.64,0,0,1010,990
"18",-2.6,2.6,0,0,1010,990
"19",-5.84,5.84,0,0,1010,990
"20",2.53,-2.53,0,0,1010,990
"21",1.93,-1.93,0,0,1010,990
"22",2.5,-2.5,0,0,1010,990
"23",-0.0799999999999983,0.0799999999999983,0,0,1010,990
"24",-7.94,7.94,0,0,1010,990
"25",-7.94,7.94,0,0,1010,990
"26",2.56,-2.56,0,0,1010,990
"27",-0.949999999999999,0.949999999999999,0,0,1010,990
"28",-8.72,8.72,0,0,1010,990
"29",4.51,-4.51,0,0,1010,990
"30",-2.03,2.03,0,0,1010,990
"31",1.36,-1.36,0,0,1010,990
"32",-6.5,6.5,0,0,1010,990
"33",-0.829999999999998,0.83,0,0,1010,990
"34",-6.11,6.11,0,0,1010,990
"35",-2.33,2.33,0,0,1010,990
"36",-1.07,1.07,0,0,1010,990
"37",-3.5,3.5,0,0,1010,990
"38",-5.06,5.06,0,0,1010,990
"39",-1.04,1.04,0,0,1010,990
"40",-4.01,4.01,0,0,1010,990
"41",-3.41,3.41,0,0,1010,990
"42",-6.56,6.56,0,0,1010,990
"43",-9.29,9.29,0,0,1010,990
"44",-0.890000000000001,0.890000000000001,0,0,1010,990
"45",-6.5,6.5,0,0,1010,990
"46",-8.03,8.03,0,0,1010,990
"47",-2.06,2.06,0,0,1010,990
"48",-5.78,5.78,0,0,1010,990
"49",-11.21,11.21,0,0,1010,990
"50",-2.6,2.6,0,0,1010,990
"51",1.63,-1.63,0,0,1010,990
"52",-8.96,8.96,0,0,1010,990
"53",6.31,-6.31,0,0,1010,990
"54",-3.8,3.8,0,0,1010,990
"55",-4.7,4.7,0,0,1010,990
"56",-15.2,15.2,-744.8,744.8,0,2000
"57",-1.34,1.34,0,0,1010,990
"58",-7.43,7.43,0,0,1010,990
"59",-10.31,10.31,0,0,1010,990
"60",-4.1,4.1,0,0,1010,990
"61",-1.04,1.04,0,0,1010,990
"62",-11.3,11.3,0,0,1010,990
"63",-1.37,1.37,0,0,1010,990
"64",0.639999999999997,-0.639999999999999,0,0,1010,990
"65",-0.710000000000001,0.709999999999999,0,0,1010,990
"66",-3.65,3.65,0,0,1010,990
"67",-5.03,5.03,0,0,1010,990
"68",-12.71,12.71,0,0,1010,990
"69",-15.59,15.59,0,0,1010,990
"70",1,-0.999999999999998,0,0,1010,990
"71",-1.61,1.61,0,0,1010,990
"72",-1.04,1.04,0,0,1010,990
"73",1.33,-1.33,0,0,1010,990
"74",-6.32,6.32,0,0,1010,990
"75",-2.12,2.12,0,0,1010,990
"76",-11.21,11.21,0,0,1010,990
"77",-3.95,3.95,0,0,1010,990
