"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"1",-5.84,5.84,0,0,1010,990
"2",-5.18,5.18,0,0,1010,990
"3",-5.36,5.36,0,0,1010,990
"4",-6.32,6.32,0,0,1010,990
"5",-6.96,6.96,23.146,-23.146,980,1020
"6",-8.42,8.42,0,0,1010,990
"7",-2.66,2.66,0,0,1010,990
"8",-8.72,8.72,0,0,1010,990
"9",-2.09,2.09,0,0,1010,990
"10",-8.69,8.69,0,0,1010,990
"11",-6.98,6.98,0,0,1010,990
"12",-7.79,7.79,0,0,1010,990
"13",-1.7,1.7,0,0,1010,990
"14",-2.96,2.96,0,0,1010,990
"15",-9.23,9.23,0,0,1010,990
"16",-1.85,1.85,0,0,1010,990
"17",-0.98,0.98,0,0,1010,990
"18",3.82,-3.82,0,0,1010,990
"19",-7.07,7.07,0,0,1010,990
"20",-3.59,3.59,0,0,1010,990
"21",-3.92,3.92,0,0,1010,990
"22",-1.31,1.31,0,0,1010,990
"23",2.5,-2.5,0,0,1010,990
"24",-7.28,7.28,0,0,1010,990
"25",-30.64,30.64,0,0,980,1020
"26",-2.12,2.12,0,0,1010,990
"27",0.370000000000001,-0.370000000000001,0,0,1010,990
"28",-10.49,10.49,0,0,1010,990
"29",-1.1,1.1,0,0,1010,990
"30",7.68,-7.68,-301.84,301.84,1020,980
"31",-7.37,7.37,0,0,1010,990
"32",-0.109999999999999,0.109999999999999,0,0,1010,990
"33",-4.2,4.2,94.01,-94.01,980,1020
"34",-10.55,10.55,0,0,1010,990
"35",-4.46,4.46,0,0,1010,990
"36",-17.08,17.08,0,0,980,1020
"37",-3.83,3.83,0,0,1010,990
"38",-4.67,4.67,0,0,1010,990
"39",-3.29,3.29,0,0,1010,990
"40",-7.28,7.28,0,0,1010,990
"41",-6.14,6.14,0,0,1010,990
"42",-8.24,8.24,0,0,1010,990
"43",-6.83,6.83,0,0,1010,990
"44",-7.49,7.49,0,0,1010,990
"45",-6.38,6.38,0,0,1010,990
"46",-9.53,9.53,0,0,1010,990
"47",-3.2,3.2,0,0,1010,990
"48",-5.36,5.36,0,0,1010,990
"49",-30.2,30.2,0,0,980,1020
"50",-10.16,10.16,0,0,1010,990
"51",-31.2,31.2,0,0,980,1020
"52",-13.28,13.28,39.984,-39.984,980,1020
"53",-7.91,7.91,0,0,1010,990
"54",-5.66,5.66,0,0,1010,990
"55",0.220000000000002,-0.220000000000001,0,0,1010,990
"56",-5.36,5.36,87.108,-87.108,980,1020
"57",-0.919999999999998,0.92,0,0,1010,990
"58",-4.28,4.28,0,0,1010,990
"59",3.55,-3.55,0,0,1010,990
"60",-0.289999999999999,0.289999999999999,0,0,1010,990
"61",-4.64,4.64,0,0,1010,990
"62",-8.72,8.72,0,0,1010,990
"63",-11.4,11.4,4.3,-4.3,980,1020
"64",-11.33,11.33,0,0,1010,990
"65",-6.38,6.38,0,0,1010,990
"66",-4.46,4.46,0,0,1010,990
"67",0.849999999999998,-0.849999999999998,0,0,1010,990
"68",-8.57,8.57,0,0,1010,990
"69",-2.99,2.99,0,0,1010,990
"70",-10.04,10.04,0,0,1010,990
"71",-17.6,17.6,2.4,-2.40000000000001,980,1020
"72",40.72,-40.72,0,0,1020,980
"73",-7.43,7.43,0,0,1010,990
"74",-11.36,11.36,51.408,-51.408,980,1020
"75",-5.9,5.9,0,0,1010,990
"76",0.370000000000001,-0.370000000000001,0,0,1010,990
"77",-7.73,7.73,0,0,1010,990
"78",-9.04,9.04,144.06,-144.06,980,1020
"79",-0.439999999999998,0.44,0,0,1010,990
"80",-2.03,2.03,0,0,1010,990
"81",-2.9,2.9,0,0,1010,990
"82",2.38,-2.38,0,0,1010,990
"83",-2,2,0,0,1010,990
"84",-3.2,3.2,0,0,1010,990
"85",-4.82,4.82,0,0,1010,990
"86",-17.44,17.44,2.56,-2.56,980,1020
"87",1.18,-1.18,0,0,1010,990
"88",-0.32,0.319999999999999,0,0,1010,990
"89",-0.0799999999999983,0.0799999999999983,0,0,1010,990
"90",-1.94,1.94,0,0,1010,990
"91",-17.16,17.16,2.84,-2.84,980,1020
"92",37.28,-37.28,0,0,1020,980
"93",-5.18,5.18,0,0,1010,990
"94",-1.88,1.88,0,0,1010,990
"95",0.759999999999998,-0.759999999999998,0,0,1010,990
"96",-8.36,8.36,0,0,1010,990
"97",1.03,-1.03,0,0,1010,990
"98",-3.23,3.23,0,0,1010,990
"99",-8.87,8.87,0,0,1010,990
