"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"1",-5.99,5.99,0,0,1010,990
"2",-2.87,2.87,0,0,1010,990
"3",-3.95,3.95,0,0,1010,990
"4",-5.81,5.81,0,0,1010,990
"5",-0.640000000000001,0.640000000000001,-505.68,505.68,1020,980
"6",-9.92,9.92,0,0,1010,990
"7",-7.25,7.25,0,0,1010,990
"8",-3.38,3.38,0,0,1010,990
"9",2.74,-2.74,0,0,1010,990
"10",-9.24,9.24,5.38,-5.38,980,1020
"11",-18.64,18.64,1.36,-1.36,980,1020
"12",-9.35,9.35,0,0,1010,990
"13",-31.68,31.68,0,0,980,1020
"14",-10.13,10.13,0,0,1010,990
"15",-0.859999999999999,0.859999999999999,0,0,1010,990
"16",-2.24,2.24,0,0,1010,990
"17",-5.57,5.57,0,0,1010,990
"18",-3,3,-563.5,563.5,1020,980
"19",1.03,-1.03,0,0,1010,990
"20",-0.59,0.59,0,0,1010,990
"21",1.27,-1.27,0,0,1010,990
"22",-16.68,16.68,-817.32,817.32,0,2000
"23",-8.88,8.88,-707.56,707.56,1020,980
"24",-5.21,5.21,0,0,1010,990
"25",0.849999999999998,-0.849999999999998,0,0,1010,990
"26",3.28,-3.28,0,0,1010,990
"27",-10.43,10.43,0,0,1010,990
"28",-4.55,4.55,0,0,1010,990
"29",1.96,-1.96,0,0,1010,990
"30",67.12,-67.12,0,0,1020,980
"31",-0.800000000000001,0.799999999999999,0,0,1010,990
"32",-14.8,14.8,5.2,-5.2,980,1020
"33",-9.68,9.68,0,0,1010,990
"34",3.46,-3.46,0,0,1010,990
"35",7.28,-7.28,-311.64,311.64,1020,980
"36",-9.71,9.71,0,0,1010,990
"37",-8.18,8.18,0,0,1010,990
"38",-6.38,6.38,0,0,1010,990
"39",1.36,-1.36,0,0,1010,990
"40",-15.32,15.32,8.307,-8.307,980,1020
"41",-3.02,3.02,0,0,1010,990
"42",3.82,-3.82,0,0,1010,990
"43",-10.07,10.07,0,0,1010,990
"44",-4.25,4.25,0,0,1010,990
"45",-11.76,11.76,-778.12,778.12,1020,980
"46",-3.74,3.74,0,0,1010,990
"47",-9.2,9.2,0,0,1010,990
"48",-13.96,13.96,10.721,-10.721,980,1020
"49",-9.65,9.65,0,0,1010,990
"50",-0.48,0.48,-501.76,501.76,1020,980
"51",-14.52,14.52,-711.48,711.48,0,2000
"52",-2.75,2.75,0,0,1010,990
"53",-6.2,6.2,0,0,1010,990
"54",-3.62,3.62,0,0,1010,990
"55",-8.21,8.21,0,0,1010,990
"56",-5.64,5.64,-628.18,628.18,1020,980
"57",-1.22,1.22,0,0,1010,990
"58",-5.9,5.9,0,0,1010,990
"59",-9.2,9.2,0,0,1010,990
"60",-7.34,7.34,0,0,1010,990
"61",-5,5,-612.5,612.5,1020,980
"62",-13.01,13.01,0,0,1010,990
"63",-7.04,7.04,-662.48,662.48,1020,980
"64",-1.31,1.31,0,0,1010,990
"65",-11.66,11.66,0,0,1010,990
"66",-1.31,1.31,0,0,1010,990
"67",-4.52,4.52,0,0,1010,990
"68",-10.82,10.82,0,0,1010,990
"69",0.580000000000002,-0.580000000000002,0,0,1010,990
"70",-3.53,3.53,0,0,1010,990
"71",-9.62,9.62,0,0,1010,990
"72",-1.67,1.67,0,0,1010,990
"73",-15.6,15.6,-764.4,764.4,0,2000
"74",-5.04,5.04,-613.48,613.48,1020,980
"75",-4.44,4.44,-598.78,598.78,1020,980
"76",-5.78,5.78,0,0,1010,990
"77",-6.86,6.86,0,0,1010,990
"78",-6.62,6.62,0,0,1010,990
"79",-7.85,7.85,0,0,1010,990
"80",-8.9,8.9,0,0,1010,990
"81",-2.48,2.48,0,0,1010,990
"82",-5.36,5.36,0,0,1010,990
"83",-3.17,3.17,0,0,1010,990
"84",-4.73,4.73,0,0,1010,990
"85",2.53,-2.53,0,0,1010,990
"86",-4.16,4.16,0,0,1010,990
"87",-10.64,10.64,0,0,1010,990
"88",-2.54,2.54,0,0,1010,990
"89",-11.33,11.33,0,0,1010,990
"90",-9.52,9.52,0,0,980,1020
"91",-10.22,10.22,0,0,1010,990
"92",-7.91,7.91,0,0,1010,990
"93",-7.58,7.58,0,0,1010,990
"94",-9.83,9.83,0,0,1010,990
"95",-3.29,3.29,0,0,1010,990
"96",-3.11,3.11,0,0,1010,990
"97",-6.83,6.83,0,0,1010,990
"98",-8.39,8.39,0,0,1010,990
"99",-5.87,5.87,0,0,1010,990
"100",-0.349999999999998,0.35,0,0,1010,990
"101",-2.27,2.27,0,0,1010,990
"102",-3.17,3.17,0,0,1010,990
"103",-5.12,5.12,-589.028,589.028,1091,909
"104",-6.77,6.77,0,0,1010,990
"105",2.47,-2.47,0,0,1010,990
"106",-1.61,1.61,0,0,1010,990
"107",-3.11,3.11,0,0,1010,990
"108",0.610000000000003,-0.610000000000001,0,0,1010,990
"109",-11.12,11.12,0,0,1010,990
"110",0.310000000000002,-0.310000000000002,0,0,1010,990
"111",-1.1,1.1,0,0,1010,990
"112",-7.43,7.43,0,0,1010,990
"113",-5.33,5.33,0,0,1010,990
"114",-3.59,3.59,0,0,1010,990
"115",-8.54,8.54,0,0,1010,990
"116",-4.4,4.4,0,0,1010,990
"117",-2.3,2.3,0,0,1010,990
"118",50.6,-50.6,0,0,1020,980
"119",-2.03,2.03,0,0,1010,990
"120",4.44,-4.44,-381.22,381.22,1020,980
"121",-3.95,3.95,0,0,1010,990
"122",-0.41,0.41,0,0,1010,990
"123",-5.72,5.72,0,0,1010,990
"124",1.81,-1.81,0,0,1010,990
"125",49.8,-49.8,0,0,1020,980
"126",-13.72,13.72,6.28,-6.28,980,1020
"127",-4.82,4.82,0,0,1010,990
"128",50.4,-50.4,0,0,1020,980
"129",-8.78,8.78,0,0,1010,990
"130",-0.109999999999999,0.109999999999999,0,0,1010,990
"131",-8.09,8.09,0,0,1010,990
"132",3.08,-3.08,150.92,-150.92,2000,0
"133",-3.41,3.41,0,0,1010,990
"134",-6.5,6.5,0,0,1010,990
"135",-4.8,4.8,-607.6,607.6,1020,980
"136",-8.78,8.78,0,0,1010,990
"137",-0.469999999999999,0.469999999999999,0,0,1010,990
"138",-10.16,10.16,0,0,1010,990
"139",8.72,-8.72,14.36,-14.36,980,1020
"140",0.310000000000002,-0.310000000000002,0,0,1010,990
"141",5.44,-5.44,0,0,1010,990
"142",-1.7,1.7,0,0,1010,990
"143",5.65,-5.65,0,0,1010,990
"144",-5.36,5.36,87.108,-87.108,980,1020
"145",-11,11,0,0,1010,990
"146",-8.39,8.39,0,0,1010,990
"147",-3.71,3.71,0,0,1010,990
"148",-10.88,10.88,0,0,1010,990
"149",-4.1,4.1,0,0,1010,990
"150",-2.87,2.87,0,0,1010,990
"151",-7.37,7.37,0,0,1010,990
"152",-1.19,1.19,0,0,1010,990
"153",-8.72,8.72,0,0,1010,990
"154",6.61,-6.61,0,0,1010,990
"155",-8.15,8.15,0,0,1010,990
"156",-8.21,8.21,0,0,1010,990
"157",-3.5,3.5,0,0,1010,990
"158",-4.48,4.48,-599.76,599.76,1020,980
"159",-6.62,6.62,0,0,1010,990
"160",-9.65,9.65,0,0,1010,990
"161",-3.68,3.68,0,0,1010,990
"162",-5.6,5.6,0,0,1010,990
"163",-5.03,5.03,0,0,1010,990
"164",-0.739999999999998,0.74,0,0,1010,990
"165",-10.7,10.7,0,0,1010,990
"166",-23.8,23.8,0,0,980,1020
"167",-4.7,4.7,0,0,1010,990
"168",-2.03,2.03,0,0,1010,990
"169",-2.39,2.39,0,0,1010,990
"170",-9.88,9.88,-732.06,732.06,1020,980
"171",0.610000000000003,-0.610000000000001,0,0,1010,990
"172",4,-4,0,0,1010,990
"173",-0.0499999999999972,0.0499999999999989,0,0,1010,990
"174",-1.76,1.76,0,0,1010,990
"175",-6.29,6.29,0,0,1010,990
"176",-7.64,7.64,6.18,-6.18,980,1020
"177",1.21,-1.21,0,0,1010,990
"178",-3.77,3.77,0,0,1010,990
"179",-4.28,4.28,0,0,1010,990
"180",-0.259999999999998,0.26,0,0,1010,990
"181",1.42,-1.42,0,0,1010,990
"182",-10.16,10.16,0,0,1010,990
"183",9.6,-9.6,-254.8,254.8,1020,980
"184",-9.05,9.05,0,0,1010,990
"185",-7.46,7.46,0,0,1010,990
"186",3.22,-3.22,0,0,1010,990
"187",-17.72,17.72,2.28,-2.28,980,1020
"188",-2.03,2.03,0,0,1010,990
"189",-5.75,5.75,0,0,1010,990
"190",-0.859999999999999,0.859999999999999,0,0,1010,990
"191",-2.21,2.21,0,0,1010,990
"192",-12.04,12.04,-589.96,589.96,0,2000
"193",-5.76,5.76,-631.12,631.12,1020,980
"194",-5.57,5.57,0,0,1010,990
"195",-9.5,9.5,0,0,1010,990
"196",-9.65,9.65,0,0,1010,990
"197",9.37,-9.37,0,0,1010,990
"198",-6.2,6.2,0,0,1010,990
"199",0.91,-0.909999999999998,0,0,1010,990
"200",-7.07,7.07,0,0,1010,990
"201",-0.739999999999998,0.74,0,0,1010,990
"202",-6.92,6.92,0,0,1010,990
"203",-5.33,5.33,0,0,1010,990
"204",-3.38,3.38,0,0,1010,990
"205",-3.59,3.59,0,0,1010,990
"206",-4.46,4.46,0,0,1010,990
"207",0.190000000000001,-0.190000000000001,0,0,1010,990
"208",-2.45,2.45,0,0,1010,990
"209",-8.8,8.8,-705.6,705.6,1020,980
"210",-7.32,7.32,-358.68,358.68,0,2000
"211",0.789999999999999,-0.789999999999999,0,0,1010,990
"212",-0.41,0.41,0,0,1010,990
"213",-5,5,-612.5,612.5,1020,980
"214",-11.51,11.51,0,0,1010,990
"215",-3.38,3.38,0,0,1010,990
