"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"1",-4.13,4.13,0,0,1010,990
"2",36.28,-36.28,0,0,1020,980
"3",-3.14,3.14,0,0,1010,990
"4",-8.15,8.15,0,0,1010,990
"5",-9.05,9.05,0,0,1010,990
"6",1.18,-1.18,0,0,1010,990
"7",1.57,-1.57,0,0,1010,990
"8",-6.83,6.83,0,0,1010,990
"9",-2.15,2.15,0,0,1010,990
"10",-2.15,2.15,0,0,1010,990
"11",-3.92,3.92,0,0,1010,990
"12",2.5,-2.5,0,0,1010,990
"13",0.400000000000002,-0.400000000000002,0,0,1010,990
"14",4.78,-4.78,0,0,1010,990
"15",-3.23,3.23,0,0,1010,990
"16",-2.96,2.96,0,0,1010,990
"17",-13.44,13.44,39.032,-39.032,980,1020
"18",-2.21,2.21,0,0,1010,990
"19",-7.13,7.13,0,0,1010,990
"20",-6.98,6.98,0,0,1010,990
"21",-2.12,2.12,0,0,1010,990
"22",-7.79,7.79,0,0,1010,990
"23",-10.34,10.34,0,0,1010,990
"24",-1.7,1.7,0,0,1010,990
"25",-6.52,6.52,80.206,-80.206,980,1020
"26",50.64,-50.64,0,0,1020,980
"27",5.29,-5.29,0,0,1010,990
"28",0.91,-0.909999999999998,0,0,1010,990
"29",1.93,-1.93,0,0,1010,990
"30",-0.649999999999999,0.649999999999999,0,0,1010,990
"31",0.220000000000002,-0.220000000000001,0,0,1010,990
"32",-5.03,5.03,0,0,1010,990
"33",-10.28,10.28,0,0,1010,990
"34",-5.72,5.72,0,0,1010,990
"35",0.310000000000002,-0.310000000000002,0,0,1010,990
"36",-8.4,8.4,-690,690,1040,960
"37",-1.28,1.28,0,0,1010,990
"38",-1.46,1.46,0,0,1010,990
"39",0.669999999999998,-0.669999999999998,0,0,1010,990
"40",-9.62,9.62,0,0,1010,990
"41",-4.58,4.58,0,0,1010,990
"42",-1.49,1.49,0,0,1010,990
"43",-1.28,1.28,0,0,1010,990
"44",-9.74,9.74,0,0,1010,990
"45",-36.92,36.92,0,0,980,1020
"46",-21.12,21.12,0,0,980,1020
"47",-11.52,11.52,-768,768,1040,960
"48",-7.61,7.61,0,0,1010,990
"49",-2,2,0,0,1010,990
"50",-25.28,25.28,66.64,-66.6400000000001,980,1020
"51",0.280000000000001,-0.280000000000001,0,0,1010,990
"52",2.14,-2.14,0,0,1010,990
"53",-0.919999999999998,0.92,0,0,1010,990
"54",-6.71,6.71,0,0,1010,990
"55",-9.05,9.05,0,0,1010,990
"56",3.37,-3.37,0,0,1010,990
"57",28.6,-28.6,0,0,1020,980
"58",-13.32,13.32,6.68,-6.68,980,1020
"59",-9.62,9.62,0,0,1010,990
"60",-4.55,4.55,0,0,1010,990
"61",-5.99,5.99,0,0,1010,990
"62",-8.93,8.93,0,0,1010,990
"63",-13.28,13.28,6.72,-6.72,980,1020
"64",-1.31,1.31,0,0,1010,990
"65",-2.15,2.15,0,0,1010,990
"66",-5.21,5.21,0,0,1010,990
"67",-2.72,2.72,0,0,1010,990
"68",-0.800000000000001,0.799999999999999,0,0,1010,990
"69",-8,8,0,0,1010,990
"70",2.11,-2.11,0,0,1010,990
"71",-12.14,12.14,0,0,1010,990
"72",-10.37,10.37,0,0,1010,990
"73",-57.68,57.68,0,0,980,1020
"74",-8.42,8.42,0,0,1010,990
"75",-5.69,5.69,0,0,1010,990
"76",-13.25,13.25,0,0,1010,990
"77",-3.68,3.68,0,0,1010,990
"78",-0.349999999999998,0.35,0,0,1010,990
"79",-9.04,9.04,-706,706,1040,960
"80",-8.78,8.78,0,0,1010,990
"81",-4.04,4.04,0,0,1010,990
"82",0.669999999999998,-0.669999999999998,0,0,1010,990
"83",-9.2,9.2,-450.8,450.8,0,2000
"84",-5.57,5.57,0,0,1010,990
"85",-3.77,3.77,0,0,1010,990
"86",-6.26,6.26,0,0,1010,990
"87",-5.3,5.3,0,0,1010,990
"88",-17.48,17.48,2.52,-2.52,980,1020
"89",-0.530000000000001,0.529999999999999,0,0,1010,990
"90",-0.140000000000001,0.139999999999999,0,0,1010,990
"91",5.17,-5.17,0,0,1010,990
"92",-9.74,9.74,0,0,1010,990
"93",-8.63,8.63,0,0,1010,990
"94",-0.0499999999999972,0.0499999999999989,0,0,1010,990
"95",-9.14,9.14,0,0,1010,990
"96",-2.12,2.12,0,0,1010,990
"97",-2.36,2.36,0,0,1010,990
"98",66.36,-66.36,0,0,1020,980
"99",-3.23,3.23,0,0,1010,990
"100",29.88,-29.88,0,0,1020,980
"101",2.53,-2.53,0,0,1010,990
"102",3.22,-3.22,0,0,1010,990
