Name,Nationality,Earnings,Uncertain,Hands,LA WR,Uncertainty,U WR,Uncertainty
Martin Sturc,Austria,26917,,3000,70,119,-515,575
Stanislav Voloshin,Ukraine,,,3000,126,103,-65,648
Prakshat Shrimankar,India,,,3000,139,97,174,667
Ivan Shabalin,Russia,25141,,3000,170,99,153,633
Lucas Schaumann,Germany,3528,,3000,207,87,160,576
Phil Laak,United States,3693714,,3000,212,143,774,677
Kaishi Sun,China,,,3000,363,116,5,729
Dmitry Lesnoy,Cyprus,,122480,3000,411,138,-87,753
Antonio Parlavecchio,Italy,8842,,3000,618,212,1096,962
Muskan Sethi,India,55044,,3000,1009,184,2144,1019
Pol Dmit,Russia,,,3000,1008,156,883,793
Tsuneaki Takeda,Japan,13494,,1901,628,231,-332,1228
Youwei Qin,Australia,,,1759,1311,331,1958,1799
Fintan Gavin,Ireland,1611804,,1555,635,278,-26,1647
Giedrius Talacka,Lithuania,,,1514,1063,338,459,1707
Juergan Bachmann,Germany,13828,,1088,527,198,1769,1662
Sergey Indenok,Russia,,,852,881,371,253,2507
Sebastian Schwab,Germany,,279,516,1086,598,1800,2162
Dara Ruairi O'Kearney,Ireland,956797,,456,78,250,223,1688
Roman Shaposhnikov,Russia,104412,,330,131,305,-898,2153
Shai Zurr,Israel,889592,,330,499,360,1154,2206
Luca Moschitta,Italy,860365,,328,444,580,1438,2388
Stas Tishekvich,Israel,,,295,-45,433,-346,2264
Eyal Eshkar,Israel,273074,,191,18,608,715,4227
Jefri Islam,Austria,65589,,176,997,700,3822,4834
Fan Sun,China,,,122,531,774,-1291,5456
Igor Naumenko,Ukraine,,,102,-137,638,851,1536
Silvio Pizzarello,Italy,,,90,1500,2100,5134,6766
Gaia Marino Freire,Brazil,9454,,76,369,136,138,694
Alexander Bos,Austria,52649,,74,487,756,1,2628
Victor Santos,Brazil,110604,,58,475,462,1,2628
Mike Phan,Argentina,,53737,32,-1019,2352,-11223,18235
Juan Manuel Pastor,Spain,647160,,7,2744,3521,7286,9856
