"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-91.7,91.7,-8.3,8.3,-100,100
"2",77.2,-77.2,22.8,-22.8,100,-100
"3",35,-35,65,-65,100,-100
"4",-81.5,81.5,-18.5,18.5,-100,100
"5",90.9,-90.9,9.09999999999999,-9.09999999999999,100,-100
"6",-69.1,69.1,-30.9,30.9,-100,100
"7",-79.5,79.5,-20.5,20.5,-100,100
"8",-139.6,139.6,39.6,-39.6,-100,100
"9",99.4,-99.4,0.599999999999994,-0.599999999999994,100,-100
"10",25.5,-25.5,74.5,-74.5,100,-100
"11",-128.3,128.3,28.3,-28.3,-100,100
"12",123.4,-123.4,-23.4,23.4,100,-100
"13",121.3,-121.3,-21.3,21.3,100,-100
"14",-129,129,29,-29,-100,100
"15",-58.2,58.2,-41.8,41.8,-100,100
"16",-88.8,88.8,-11.2,11.2,-100,100
"17",-36.8,36.8,-63.2,63.2,-100,100
"18",76.4,-76.4,23.6,-23.6,100,-100
"19",128.3,-128.3,-28.3,28.3,100,-100
"20",105.6,-105.6,-5.59999999999999,5.60000000000001,100,-100
"21",141,-141,-41,41,100,-100
"22",-89.9,89.9,-10.1,10.1,-100,100
"23",-68.7,68.7,-31.3,31.3,-100,100
"24",-131.6,131.6,31.6,-31.6,-100,100
"25",99.1,-99.1,0.899999999999991,-0.899999999999991,100,-100
"26",-70.9,70.9,-29.1,29.1,-100,100
"27",78.8,-78.8,21.2,-21.2,100,-100
"28",-128.5,128.5,28.5,-28.5,-100,100
"29",-66.5,66.5,-33.5,33.5,-100,100
"30",82.9,-82.9,17.1,-17.1,100,-100
"31",129.6,-129.6,-29.6,29.6,100,-100
"32",-84.2,84.2,-15.8,15.8,-100,100
"33",73.4,-73.4,26.6,-26.6,100,-100
"34",121.2,-121.2,-21.2,21.2,100,-100
"35",-57.2,57.2,-42.8,42.8,-100,100
"36",79.3,-79.3,20.7,-20.7,100,-100
"37",131.2,-131.2,-31.2,31.2,100,-100
"38",-66,66,-34,34,-100,100
"39",106.4,-106.4,-6.39999999999999,6.40000000000001,100,-100
"40",73,-73,27,-27,100,-100
"41",0.1,-0.099999999999989,-0.0999999999999943,0.0999999999999943,5.77315972805081e-15,5.32907051820075e-15
"42",-78.3,78.3,-21.7,21.7,-100,100
"43",77.3,-77.3,22.7,-22.7,100,-100
"44",84.6,-84.6,15.4,-15.4,100,-100
"45",-9.79999999999999,9.79999999999999,9.79999999999998,-9.79999999999998,-3.5527136788005e-15,3.5527136788005e-15
"46",67.1,-67.1,32.9,-32.9,100,-100
"47",-29.6,29.6,-70.4,70.4,-100,100
"48",69.5,-69.5,30.5,-30.5,100,-100
"49",-91.1,91.1,-8.89999999999999,8.89999999999999,-100,100
"50",119.3,-119.3,-19.3,19.3,100,-100
"51",59.2,-59.2,40.8,-40.8,100,-100
"52",-83.1,83.1,-16.9,16.9,-100,100
"53",141.9,-141.9,-41.9,41.9,100,-100
"54",144.9,-144.9,-44.9,44.9,100,-100
"55",-144.2,144.2,44.2,-44.2,-100,100
"56",123.2,-123.2,-23.2,23.2,100,-100
"57",-111.1,111.1,11.1,-11.1,-100,100
"58",67.4,-67.4,32.6,-32.6,100,-100
"59",-93.8,93.8,-6.19999999999999,6.19999999999999,-100,100
"60",72.8,-72.8,27.2,-27.2,100,-100
"61",23,-23,77,-77,100,-100
"62",-119.8,119.8,19.8,-19.8,-100,100
"63",-64.8,64.8,-35.2,35.2,-100,100
"64",-116.1,116.1,16.1,-16.1,-100,100
"65",89.5,-89.5,10.5,-10.5,100,-100
"66",52.7,-52.7,47.3,-47.3,100,-100
"67",-101.6,101.6,1.59999999999999,-1.59999999999999,-100,100
"68",87.9,-87.9,12.1,-12.1,100,-100
"69",79.5,-79.5,20.5,-20.5,100,-100
"70",29.4,-29.4,70.6,-70.6,100,-100
"71",128.1,-128.1,-28.1,28.1,100,-100
"72",115.4,-115.4,-15.4,15.4,100,-100
"73",-57.9,57.9,-42.1,42.1,-100,100
"74",52.5,-52.5,47.5,-47.5,100,-100
"75",92.6,-92.6,7.40000000000001,-7.40000000000001,100,-100
"76",-59.3,59.3,-40.7,40.7,-100,100
"77",125.2,-125.2,-25.2,25.2,100,-100
"78",68.1,-68.1,31.9,-31.9,100,-100
"79",-133,133,33,-33,-100,100
"80",-135.4,135.4,35.4,-35.4,-100,100
"81",-130.7,130.7,30.7,-30.7,-100,100
"82",53.3,-53.3,46.7,-46.7,100,-100
"83",67.1,-67.1,32.9,-32.9,100,-100
"84",-71.2,71.2,-28.8,28.8,-100,100
"85",-142.8,142.8,42.8,-42.8,-100,100
"86",-64.8,64.8,-35.2,35.2,-100,100
"87",-117.4,117.4,17.4,-17.4,-100,100
"88",126.8,-126.8,-26.8,26.8,100,-100
"89",-92.3,92.3,-7.69999999999999,7.69999999999999,-100,100
"90",-133.5,133.5,33.5,-33.5,-100,100
"91",115.2,-115.2,-15.2,15.2,100,-100
"92",132.3,-132.3,-32.3,32.3,100,-100
"93",-127.7,127.7,27.7,-27.7,-100,100
"94",-128.1,128.1,28.1,-28.1,-100,100
"95",-65.8,65.8,-34.2,34.2,-100,100
"96",-139,139,39,-39,-100,100
"97",135.4,-135.4,-35.4,35.4,100,-100
"98",-128.6,128.6,28.6,-28.6,-100,100
"99",93.4,-93.4,6.60000000000001,-6.60000000000001,100,-100
"100",-70.5,70.5,-29.5,29.5,-100,100
"101",-50.8,50.8,-49.2,49.2,-100,100
"102",46.7,-46.7,53.3,-53.3,100,-100
"103",-82,82,-18,18,-100,100
"104",65.6,-65.6,34.4,-34.4,100,-100
"105",-128.3,128.3,28.3,-28.3,-100,100
"106",-168.6,168.6,68.6,-68.6,-100,100
"107",113.9,-113.9,-13.9,13.9,100,-100
"108",109.1,-109.1,-9.09999999999999,9.09999999999999,100,-100
"109",-61.8,61.8,-38.2,38.2,-100,100
"110",89.2,-89.2,10.8,-10.8,100,-100
"111",33.1,-33.1,66.9,-66.9,100,-100
"112",108.3,-108.3,-8.3,8.3,100,-100
"113",-105.6,105.6,5.60000000000001,-5.60000000000001,-100,100
"114",-121.6,121.6,21.6,-21.6,-100,100
"115",-102.6,102.6,2.60000000000001,-2.60000000000001,-100,100
"116",-70.6,70.6,-29.4,29.4,-100,100
"117",54.2,-54.2,45.8,-45.8,100,-100
"118",-59.8,59.8,-40.2,40.2,-100,100
"119",69.7,-69.7,30.3,-30.3,100,-100
"120",-59.8,59.8,-40.2,40.2,-100,100
"121",52.3,-52.3,47.7,-47.7,100,-100
"122",92.3,-92.3,7.69999999999999,-7.69999999999999,100,-100
"123",-87,87,-13,13,-100,100
"124",-75.9,75.9,-24.1,24.1,-100,100
"125",117.8,-117.8,-17.8,17.8,100,-100
"126",-72.3,72.3,-27.7,27.7,-100,100
"127",-123.4,123.4,23.4,-23.4,-100,100
"128",117.1,-117.1,-17.1,17.1,100,-100
"129",118.8,-118.8,-18.8,18.8,100,-100
"130",-67.1,67.1,-32.9,32.9,-100,100
"131",83,-83,17,-17,100,-100
"132",40.2,-40.2,59.8,-59.8,100,-100
"133",-41.9,41.9,41.9,-41.9,0,0
"134",108,-108,-8,8,100,-100
"135",60.9,-60.9,39.1,-39.1,100,-100
"136",13.2,-13.2,-13.2,13.2,-1.77635683940025e-15,5.32907051820075e-15
"137",3.9,-3.90000000000001,-3.90000000000001,3.90000000000002,-3.5527136788005e-15,7.105427357601e-15
"138",-140.7,140.7,40.7,-40.7,-100,100
"139",-52.3,52.3,-47.7,47.7,-100,100
"140",-57.2,57.2,-42.8,42.8,-100,100
"141",-92.2,92.2,-7.80000000000001,7.80000000000001,-100,100
"142",129.6,-129.6,-29.6,29.6,100,-100
"143",-110.3,110.3,10.3,-10.3,-100,100
"144",171.5,-171.5,-71.5,71.5,100,-100
"145",-64.7,64.7,-35.3,35.3,-100,100
"146",-126.2,126.2,26.2,-26.2,-100,100
"147",115.1,-115.1,-15.1,15.1,100,-100
"148",-130.6,130.6,30.6,-30.6,-100,100
"149",-52.8,52.8,52.8,-52.8,1.4210854715202e-14,-7.105427357601e-15
"150",116.9,-116.9,-16.9,16.9,100,-100
"151",137.7,-137.7,-37.7,37.7,100,-100
"152",-113.7,113.7,13.7,-13.7,-100,100
"153",60.4,-60.4,39.6,-39.6,100,-100
"154",40.3,-40.3,59.7,-59.7,100,-100
"155",-48.5,48.5,-51.5,51.5,-100,100
"156",129.9,-129.9,-29.9,29.9,100,-100
"157",83,-83,17,-17,100,-100
"158",128.4,-128.4,-28.4,28.4,100,-100
"159",-66.1,66.1,-33.9,33.9,-100,100
"160",-0.099999999999989,0.099999999999989,0.0999999999999943,-0.0999999999999943,5.32907051820075e-15,-5.32907051820075e-15
"161",5.69999999999999,-5.69999999999999,-5.69999999999999,5.69999999999999,5.32907051820075e-15,-5.32907051820075e-15
"162",-50.3,50.3,-49.7,49.7,-100,100
"163",-123.9,123.9,23.9,-23.9,-100,100
"164",57.3,-57.3,42.7,-42.7,100,-100
"165",-107.3,107.3,7.3,-7.3,-100,100
"166",-105.7,105.7,5.69999999999999,-5.69999999999999,-100,100
"167",-93.8,93.8,-6.19999999999999,6.19999999999999,-100,100
"168",-112.3,112.3,12.3,-12.3,-100,100
"169",-71.4,71.4,-28.6,28.6,-100,100
"170",-123.7,123.7,23.7,-23.7,-100,100
"171",-51.9,51.9,-48.1,48.1,-100,100
"172",-10.9,10.9,-89.1,89.1,-100,100
"173",-90,90,-10,10,-100,100
"174",109.9,-109.9,-9.89999999999999,9.89999999999999,100,-100
"175",-68.3,68.3,-31.7,31.7,-100,100
"176",-95.6,95.6,-4.40000000000001,4.40000000000001,-100,100
"177",-67.3,67.3,-32.7,32.7,-100,100
"178",-63,63,-37,37,-100,100
"179",-113.6,113.6,13.6,-13.6,-100,100
"180",70.8,-70.8,29.2,-29.2,100,-100
"181",-68.8,68.8,-31.2,31.2,-100,100
"182",121.4,-121.4,-21.4,21.4,100,-100
"183",70.5,-70.5,29.5,-29.5,100,-100
"184",-65.5,65.5,-34.5,34.5,-100,100
"185",57.7,-57.7,42.3,-42.3,100,-100
"186",-150,150,50,-50,-100,100
"187",33.3,-33.3,66.7,-66.7,100,-100
"188",124.6,-124.6,-24.6,24.6,100,-100
"189",96,-96,4,-4,100,-100
"190",-122.4,122.4,22.4,-22.4,-100,100
"191",-61,61,-39,39,-100,100
"192",74,-74,26,-26,100,-100
"193",125.4,-125.4,-25.4,25.4,100,-100
"194",73.2,-73.2,26.8,-26.8,100,-100
"195",69.5,-69.5,30.5,-30.5,100,-100
"196",-80.2,80.2,-19.8,19.8,-100,100
"197",-76.9,76.9,-23.1,23.1,-100,100
"198",-129.4,129.4,29.4,-29.4,-100,100
"199",65.9,-65.9,34.1,-34.1,100,-100
"200",74.4,-74.4,25.6,-25.6,100,-100
"201",-69.7,69.7,-30.3,30.3,-100,100
"202",125.2,-125.2,-25.2,25.2,100,-100
"203",131.5,-131.5,-31.5,31.5,100,-100
"204",51.3,-51.3,48.7,-48.7,100,-100
"205",117.4,-117.4,-17.4,17.4,100,-100
"206",-81.4,81.4,-18.6,18.6,-100,100
"207",-73.3,73.3,-26.7,26.7,-100,100
"208",29.9,-29.9,-29.9,29.9,1.4210854715202e-14,1.4210854715202e-14
"209",-128.4,128.4,28.4,-28.4,-100,100
"210",-87.4,87.4,-12.6,12.6,-100,100
"211",-58.4,58.4,-41.6,41.6,-100,100
"212",-121.4,121.4,21.4,-21.4,-100,100
"213",54.4,-54.4,45.6,-45.6,100,-100
"214",-132.6,132.6,32.6,-32.6,-100,100
"215",-9.8,9.8,9.80000000000001,-9.80000000000001,1.4210854715202e-14,-1.4210854715202e-14
"216",-118.5,118.5,18.5,-18.5,-100,100
"217",-61.3,61.3,-38.7,38.7,-100,100
"218",-37,37,-63,63,-100,100
"219",75.6,-75.6,24.4,-24.4,100,-100
"220",86,-86,14,-14,100,-100
"221",81.4,-81.4,18.6,-18.6,100,-100
"222",-104.9,104.9,4.89999999999999,-4.89999999999999,-100,100
"223",-54.2,54.2,-45.8,45.8,-100,100
"224",74.3,-74.3,25.7,-25.7,100,-100
"225",-99.5,99.5,-0.5,0.499999999999986,-100,100
"226",-55.4,55.4,-44.6,44.6,-100,100
"227",51.1,-51.1,48.9,-48.9,100,-100
"228",81,-81,19,-19,100,-100
"229",-81.9,81.9,-18.1,18.1,-100,100
"230",-73,73,-27,27,-100,100
"231",-78.7,78.7,-21.3,21.3,-100,100
"232",-126.5,126.5,26.5,-26.5,-100,100
"233",-64.8,64.8,-35.2,35.2,-100,100
"234",-60.4,60.4,-39.6,39.6,-100,100
"235",73.4,-73.4,26.6,-26.6,100,-100
"236",-83.5,83.5,-16.5,16.5,-100,100
"237",-52,52,-48,48,-100,100
"238",125.5,-125.5,-25.5,25.5,100,-100
"239",-140,140,40,-40,-100,100
"240",-92.3,92.3,-7.69999999999999,7.69999999999999,-100,100
"241",132.4,-132.4,-32.4,32.4,100,-100
"242",-70,70,-30,30,-100,100
"243",84.3,-84.3,15.7,-15.7,100,-100
"244",-65.3,65.3,-34.7,34.7,-100,100
"245",72.1,-72.1,27.9,-27.9,100,-100
"246",137.7,-137.7,-37.7,37.7,100,-100
"247",69.3,-69.3,30.7,-30.7,100,-100
"248",-62.9,62.9,-37.1,37.1,-100,100
"249",-119.7,119.7,19.7,-19.7,-100,100
"250",-53.2,53.2,-46.8,46.8,-100,100
"251",-46.8,46.8,-53.2,53.2,-100,100
"252",30,-30,70,-70,100,-100
"253",93.9,-93.9,6.09999999999999,-6.09999999999999,100,-100
"254",69.6,-69.6,30.4,-30.4,100,-100
"255",-54.1,54.1,-45.9,45.9,-100,100
"256",114.7,-114.7,-14.7,14.7,100,-100
