,p1_luck,p2_luck,p1_skill,p2_skill,p1_chip,p2_chip
1,100,-100,0,0,100,-100
2,-103.030303,103.030303,-1696.969697,1696.969697,-1800,1800
3,100,-100,0,0,100,-100
4,269.6969697,-269.6969697,330.3030303,-330.3030303,600,-600
5,-100,100,-200,200,-300,300
6,-340.9090909,340.9090909,-2359.090909,2359.090909,-2700,2700
7,-154.8484848,154.8484848,-445.1515152,445.1515152,-600,600
8,-100,100,0,0,-100,100
9,100,-100,0,0,100,-100
10,254.5454545,-254.5454545,645.4545455,-645.4545455,900,-900
11,100,-100,0,0,100,-100
12,118.8888889,-118.8888889,81.11111111,-81.11111111,200,-200
13,-100,100,-200,200,-300,300
14,100,-100,0,0,100,-100
15,100,-100,0,0,100,-100
16,100,-100,0,0,100,-100
17,100,-100,0,0,100,-100
18,100,-100,0,0,100,-100
19,-133.3333333,133.3333333,-266.6666667,266.6666667,-400,400
20,-136.7676768,136.7676768,-263.2323232,263.2323232,-400,400
21,100,-71.4,0,-28.6,100,-100
22,-100,100,-200,200,-300,300
23,1568.282828,-1568.282828,1131.717172,-1131.717172,2700,-2700
24,-145.1515152,145.1515152,-54.84848485,54.84848485,-200,200
25,-136.3636364,136.3636364,-763.6363636,763.6363636,-900,900
26,-100,100,0,0,-100,100
27,100,-100,0,0,100,-100
28,-150.8080808,150.8080808,-449.1919192,449.1919192,-600,600
29,100,-100,0,0,100,-100
30,-100,100,-200,200,-300,300
31,-152.8282828,152.8282828,-1647.171717,1647.171717,-1800,1800
32,100,-96.5,100,-103.5,200,-200
33,100,-100,0,0,100,-100
34,100,-100,100,-100,200,-200
35,100,-100,0,0,100,-100
36,100,-100,200,-200,300,-300
37,100,-100,0,0,100,-100
38,-213.6363636,213.6363636,-686.3636364,686.3636364,-900,900
39,-100,100,0,0,-100,100
40,-140.4040404,140.4040404,-59.5959596,59.5959596,-200,200
41,140.1010101,-140.1010101,259.8989899,-259.8989899,400,-400
42,0,0,0,0,0,0
43,150.8080808,-150.8080808,49.19191919,-49.19191919,200,-200
44,-100,100,0,0,-100,100
45,100,-100,0,0,100,-100
46,290.5050505,-290.5050505,-90.50505051,90.50505051,200,-200
47,-100,100,-200,200,-300,300
48,100,-100,0,0,100,-100
49,-100,100,-800,800,-900,900
50,100,-100,0,0,100,-100
51,323.5333333,-323.5333333,176.4666667,-176.4666667,500,-500
52,-104.6464646,104.6464646,-95.35353535,95.35353535,-200,200
53,100,-100,0,0,100,-100
54,140.7070707,-140.7070707,459.2929293,-459.2929293,600,-600
55,100.2020202,-87.0020202,499.7979798,-512.9979798,600,-600
56,186.7676768,-186.7676768,1613.232323,-1613.232323,1800,-1800
57,-229.4949495,229.4949495,-970.5050505,970.5050505,-1200,1200
58,100,-100,0,0,100,-100
59,100,-100,200,-200,300,-300
60,100,-100,0,0,100,-100
61,152.2222222,-152.2222222,447.7777778,-447.7777778,600,-600
62,-338.7878788,338.7878788,-2361.212121,2361.212121,-2700,2700
63,117.1717172,-117.1717172,82.82828283,-82.82828283,200,-200
64,100,-100,0,0,100,-100
65,-100,100,0,0,-100,100
66,-100,100,0,0,-100,100
67,-126.4646465,126.4646465,-73.53535354,73.53535354,-200,200
68,-154.5454545,154.5454545,-745.4545455,745.4545455,-900,900
69,100.9090909,-100.9090909,1699.090909,-1699.090909,1800,-1800
70,-150.8080808,150.8080808,-1649.191919,1649.191919,-1800,1800
71,-119.3939394,119.3939394,-80.60606061,80.60606061,-200,200
72,-183.030303,183.030303,-16.96969697,16.96969697,-200,200
73,-286.6666667,286.6666667,-2413.333333,2413.333333,-2700,2700
74,100,-100,0,0,100,-100
75,-345.0505051,345.0505051,-1454.949495,1454.949495,-1800,1800
76,134.9494949,-134.9494949,465.0505051,-465.0505051,600,-600
77,-100,100,0,0,-100,100
78,100,-100,0,0,100,-100
79,100,-100,0,0,100,-100
80,-100,100,-200,200,-300,300
81,-100,100,0,0,-100,100
82,100,-100,0,0,100,-100
83,100,-100,0,0,100,-100
84,132.8282828,-132.8282828,67.17171717,-67.17171717,200,-200
85,271.1111111,-271.1111111,-71.11111111,71.11111111,200,-200
86,-100,100,-200,200,-300,300
87,-100,100,-100,100,-200,200
88,-115.959596,115.959596,-2584.040404,2584.040404,-2700,2700
89,100,-100,0,0,100,-100
90,-144.2424242,144.2424242,-1655.757576,1655.757576,-1800,1800
91,100,-100,0,0,100,-100
92,100,-100,0,0,100,-100
93,-217.2727273,217.2727273,-382.7272727,382.7272727,-600,600
94,-201.6161616,201.6161616,-698.3838384,698.3838384,-900,900
95,-100,100,0,0,-100,100
96,-180.8080808,180.8080808,-19.19191919,19.19191919,-200,200
97,100,-100,0,0,100,-100
98,106.5656566,-106.5656566,493.4343434,-493.4343434,600,-600
99,100,-100,0,0,100,-100
100,265.2525253,-265.2525253,334.7474747,-334.7474747,600,-600
101,143.2323232,-143.2323232,256.7676768,-256.7676768,400,-400
102,100,-100,0,0,100,-100
103,-100,100,0,0,-100,100
104,266.0606061,-266.0606061,-66.06060606,66.06060606,200,-200
105,109.1919192,-90.29191919,490.8080808,-509.7080808,600,-600
106,-100,100,0,0,-100,100
107,100,-100,100,-100,200,-200
108,-100,100,0,0,-100,100
109,-106.2626263,106.2626263,-493.7373737,493.7373737,-600,600
110,-320.2020202,320.2020202,-1479.79798,1479.79798,-1800,1800
111,-100,100,0,0,-100,100
112,0,0,0,0,0,0
113,-100,100,0,0,-100,100
114,100,-100,0,0,100,-100
115,100,-100,0,0,100,-100
116,250.6060606,-250.6060606,1549.393939,-1549.393939,1800,-1800
117,100,-100,0,0,100,-100
118,100,-100,0,0,100,-100
119,32.52525253,-32.52525253,-32.52525253,32.52525253,-7.11E-14,9.95E-14
120,100,-100,100,-100,200,-200
