,p1_luck,p2_luck,p1_skill,p2_skill,p1_chip,p2_chip
1,61.21212121,-61.21212121,38.78787879,-38.78787879,100,-100
2,-76.6,76.6,-23.4,23.4,-100,100
3,-100,100,0,0,-100,100
4,100,-97.7,0,-2.3,100,-100
5,-100,100,0,0,-100,100
6,-100,100,0,0,-100,100
7,-100,100,0,0,-100,100
8,-55.45454545,55.45454545,155.4545455,-155.4545455,100,-100
9,-100,100,200,-200,100,-100
10,-100,100,0,0,-100,100
11,92.52525253,-92.52525253,7.474747475,-7.474747475,100,-100
12,100,-100,0,0,100,-100
13,-73.23232323,73.23232323,173.2323232,-173.2323232,100,-100
14,-100,100,0,0,-100,100
15,100,-100,0,0,100,-100
16,-100,100,200,-200,100,-100
17,50.60606061,-50.60606061,49.39393939,-49.39393939,100,-100
18,-100,100,200,-200,100,-100
19,-63.83838384,63.83838384,163.8383838,-163.8383838,100,-100
20,86.36363636,-86.36363636,13.63636364,-13.63636364,100,-100
21,24.74747475,-24.74747475,75.25252525,-75.25252525,100,-100
22,72.72727273,-72.72727273,27.27272727,-27.27272727,100,-100
23,100,-100,0,0,100,-100
24,-36.36363636,36.36363636,136.3636364,-136.3636364,100,-100
25,16.36363636,-16.36363636,83.63636364,-83.63636364,100,-100
26,100,-100,0,0,100,-100
27,86.36363636,-86.36363636,13.63636364,-13.63636364,100,-100
28,78.78787879,-78.78787879,21.21212121,-21.21212121,100,-100
29,94.54545455,-94.54545455,5.454545455,-5.454545455,100,-100
30,41.81818182,-41.81818182,58.18181818,-58.18181818,100,-100
31,-100,100,0,0,-100,100
32,-65.90909091,65.90909091,165.9090909,-165.9090909,100,-100
33,100,-100,0,0,100,-100
34,-100,100,0,0,-100,100
35,-100,100,200,-200,100,-100
36,81.61616162,-81.61616162,18.38383838,-18.38383838,100,-100
37,-41.11111111,41.11111111,141.1111111,-141.1111111,100,-100
38,-81.81818182,81.81818182,181.8181818,-181.8181818,100,-100
39,-100,100,0,0,-100,100
40,100,-97.9,0,-2.1,100,-100
41,99.09090909,-99.09090909,0.909090909,-0.909090909,100,-100
42,-100,100,0,0,-100,100
43,-64.84848485,64.84848485,164.8484848,-164.8484848,100,-100
44,72.72727273,-72.72727273,27.27272727,-27.27272727,100,-100
45,-81.81818182,81.81818182,181.8181818,-181.8181818,100,-100
46,81.81818182,-81.81818182,18.18181818,-18.18181818,100,-100
47,100,-100,0,0,100,-100
48,43.83838384,-43.83838384,56.16161616,-56.16161616,100,-100
49,77.27272727,-77.27272727,22.72727273,-22.72727273,100,-100
50,63.63636364,-63.63636364,36.36363636,-36.36363636,100,-100
51,7.11E-15,-7.11E-15,-20000,20000,-20000,20000
52,-70.1010101,70.1010101,170.1010101,-170.1010101,100,-100
53,27.4,-27.4,72.6,-72.6,100,-100
54,-100,100,0,0,-100,100
55,-100,100,0,0,-100,100
56,-86.36363636,86.36363636,186.3636364,-186.3636364,100,-100
57,100,-100,0,0,100,-100
58,-100,100,200,-200,100,-100
59,100,-100,0,0,100,-100
60,-100,100,200,-200,100,-100
61,-100,100,0,0,-100,100
62,-54.54545455,54.54545455,154.5454545,-154.5454545,100,-100
63,-100,100,0,0,-100,100
64,-54.54545455,54.54545455,154.5454545,-154.5454545,100,-100
65,-92.52525253,92.52525253,192.5252525,-192.5252525,100,-100
