,p1_luck,p2_luck,p1_skill,p2_skill,p1_chip,p2_chip
1,100,-100,0,0,100,-100
2,68.18181818,-68.18181818,31.81818182,-31.81818182,100,-100
3,8.88E-16,-8.88E-16,-100,100,-100,100
4,100,-100,0,0,100,-100
5,-125.6565657,125.6565657,-19874.34343,19874.34343,-20000,20000
6,-33.93939394,33.93939394,-66.06060606,66.06060606,-100,100
7,7.11E-15,-7.11E-15,-100,100,-100,100
8,90.70707071,-90.70707071,-20090.70707,20090.70707,-20000,20000
9,-341.8181818,341.8181818,-19658.18182,19658.18182,-20000,20000
10,24.24242424,-24.24242424,75.75757576,-75.75757576,100,-100
11,-117.979798,117.979798,-82.02020202,82.02020202,-200,200
12,50,-50,50,-50,100,-100
13,100,-100,0,0,100,-100
14,100,-100,0,0,100,-100
15,55.05050505,-55.05050505,-20055.05051,20055.05051,-20000,20000
16,-70.4040404,70.4040404,-29.5959596,29.5959596,-100,100
17,139.6464646,-139.6464646,-139.6464646,139.6464646,0,2.84E-14
18,-78.78787879,78.78787879,-21.21212121,21.21212121,-100,100
19,-37,37,-63,63,-100,100
20,-115.1515152,115.1515152,-484.8484848,484.8484848,-600,600
21,-100,100,-200,200,-300,300
22,-107.8787879,107.8787879,407.8787879,-407.8787879,300,-300
23,-154.5454545,154.5454545,-145.4545455,145.4545455,-300,300
24,-625.5818182,625.5818182,-3931.418182,3931.418182,-4557,4557
25,154.5454545,-154.5454545,745.4545455,-745.4545455,900,-900
26,-100,100,0,0,-100,100
27,-100,100,0,0,-100,100
28,54.54545455,-54.54545455,45.45454545,-45.45454545,100,-100
29,148.989899,-148.989899,-20148.9899,20148.9899,-20000,20000
30,100,-100,0,0,100,-100
31,90,-90,10,-10,100,-100
32,-100,100,-400,400,-500,500
33,-113.6363636,113.6363636,-3186.363636,3186.363636,-3300,3300
34,100,-100,0,0,100,-100
35,100,-100,0,0,100,-100
36,625,-625,725,-725,1350,-1350
37,72.72727273,-72.72727273,27.27272727,-27.27272727,100,-100
38,-72.72727273,72.72727273,172.7272727,-172.7272727,100,-100
39,-53.63636364,53.63636364,-19946.36364,19946.36364,-20000,20000
40,53.93939394,-53.93939394,46.06060606,-46.06060606,100,-100
41,-88.63636364,88.63636364,188.6363636,-188.6363636,100,-100
42,-154.5454545,154.5454545,-145.4545455,145.4545455,-300,300
43,100,-100,300,-300,400,-400
44,-100,100,-200,200,-300,300
45,-1594.325253,1594.325253,-1822.674747,1822.674747,-3417,3417
46,-100,100,-1000,1000,-1100,1100
47,4304.016162,-4282.716162,7229.983838,-7251.283838,11534,-11534
48,82.02020202,-66.42020202,17.97979798,-33.57979798,100,-100
49,92.92929293,-92.92929293,-20092.92929,20092.92929,-20000,20000
50,-100,100,0,0,-100,100
51,94.14141414,-71.94141414,5.858585859,-28.05858586,100,-100
52,247.5757576,-247.5757576,2152.424242,-2152.424242,2400,-2400
53,88.68686869,-88.68686869,11.31313131,-11.31313131,100,-100
54,-151.4141414,151.4141414,-48.58585859,48.58585859,-200,200
55,510.9090909,-510.9090909,3989.090909,-3989.090909,4500,-4500
56,-120.6060606,120.6060606,-2579.393939,2579.393939,-2700,2700
57,227.2727273,-227.2727273,672.7272727,-672.7272727,900,-900
58,-191.5151515,191.5151515,-5808.484848,5808.484848,-6000,6000
59,-227.2727273,227.2727273,-72.72727273,72.72727273,-300,300
60,-44.44444444,44.44444444,-55.55555556,55.55555556,-100,100
61,99.39393939,-99.39393939,-20099.39394,20099.39394,-20000,20000
62,86.36363636,-86.36363636,13.63636364,-13.63636364,100,-100
63,-227.2727273,227.2727273,-72.72727273,72.72727273,-300,300
64,62.52525253,-62.52525253,37.47474747,-37.47474747,100,-100
65,65.65656566,-65.65656566,34.34343434,-34.34343434,100,-100
66,-736.3636364,736.3636364,-19263.63636,19263.63636,-20000,20000
67,-100,100,-200,200,-300,300
68,56.06060606,-56.06060606,43.93939394,-43.93939394,100,-100
69,-100,100,-200,200,-300,300
70,297.1,-297.1,-20297.1,20297.1,-20000,20000
71,-143.3333333,143.3333333,-456.6666667,456.6666667,-600,600
72,100,-100,200,-200,300,-300
73,-72.72727273,72.72727273,172.7272727,-172.7272727,100,-100
74,-94.74747475,94.74747475,-5.252525253,5.252525253,-100,100
75,-62.82828283,62.82828283,-37.17171717,37.17171717,-100,100
76,127.2727273,-127.2727273,-20127.27273,20127.27273,-20000,20000
77,77.27272727,-77.27272727,22.72727273,-22.72727273,100,-100
78,-66.66666667,66.66666667,-33.33333333,33.33333333,-100,100
79,100,-100,0,0,100,-100
80,-100,100,0,0,-100,100
81,-365.0505051,365.0505051,-2334.949495,2334.949495,-2700,2700
82,-36.86868687,36.86868687,-63.13131313,63.13131313,-100,100
83,2337.878788,-2337.878788,-22337.87879,22337.87879,-20000,20000
84,-62.72727273,62.72727273,-37.27272727,37.27272727,-100,100
85,43.43434343,-43.43434343,56.56565657,-56.56565657,100,-100
86,-86.86868687,86.86868687,-13.13131313,13.13131313,-100,100
87,-138.5858586,138.5858586,-2061.414141,2061.414141,-2200,2200
88,107.2727273,-107.2727273,92.72727273,-92.72727273,200,-200
89,-58.68686869,58.68686869,258.6868687,-258.6868687,200,-200
90,-100,100,-200,200,-300,300
91,-68.48484848,68.48484848,-31.51515152,31.51515152,-100,100
92,-100,100,0,0,-100,100
93,100,-100,0,0,100,-100
94,57.47474747,-57.47474747,-20057.47475,20057.47475,-20000,20000
95,253.8383838,-253.8383838,346.1616162,-346.1616162,600,-600
96,-100,100,-200,200,-300,300
97,-90.3030303,90.3030303,-9.696969697,9.696969697,-100,100
98,-136.7676768,136.7676768,-463.2323232,463.2323232,-600,600
99,-20183.0303,20183.0303,183.030303,-183.030303,-20000,20000
100,-100,100,-200,200,-300,300
101,172.7272727,-172.7272727,727.2727273,-727.2727273,900,-900
102,-72.72727273,72.72727273,172.7272727,-172.7272727,100,-100
103,-100,100,-200,200,-300,300
104,-48.28282828,48.28282828,-51.71717172,51.71717172,-100,100
105,-54.14141414,54.14141414,-45.85858586,45.85858586,-100,100
106,-1467.006061,1467.006061,-8783.993939,8783.993939,-10251,10251
107,88.88888889,-88.88888889,11.11111111,-11.11111111,100,-100
108,-100,100,0,0,-100,100
109,-100,100,0,0,-100,100
110,5.050505051,-5.050505051,-105.0505051,105.0505051,-100,100
111,355.5555556,-355.5555556,-20355.55556,20355.55556,-20000,20000
112,-136.2626263,136.2626263,-463.7373737,463.7373737,-600,600
113,68.18181818,-66.28181818,31.81818182,-33.71818182,100,-100
114,-162.6479798,162.6479798,-19837.35202,19837.35202,-20000,20000
115,-181.6161616,181.6161616,-2518.383838,2518.383838,-2700,2700
116,50.70707071,-50.70707071,49.29292929,-49.29292929,100,-100
117,100,-100,0,0,100,-100
118,52.52525253,-52.52525253,47.47474747,-47.47474747,100,-100
119,127.2727273,-125.3727273,472.7272727,-474.6272727,600,-600
120,-57.57575758,57.57575758,-42.42424242,42.42424242,-100,100
121,-129.0909091,129.0909091,-3170.909091,3170.909091,-3300,3300
122,842.6262626,-842.6262626,-242.6262626,242.6262626,600,-600
123,68.58585859,-68.58585859,31.41414141,-31.41414141,100,-100
124,100,-100,0,0,100,-100
125,85.85858586,-85.85858586,14.14141414,-14.14141414,100,-100
126,4.44E-15,-4.44E-15,0,0,4.44E-15,-4.44E-15
127,-137.8787879,137.8787879,-8462.121212,8462.121212,-8600,8600
128,-50.50505051,50.50505051,-149.4949495,149.4949495,-200,200
129,-100,100,0,0,-100,100
130,-100,100,0,0,-100,100
131,-100,100,0,0,-100,100
132,-29.6,29.6,-70.4,70.4,-100,100
