"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-71.4,71.4,-28.6,28.6,-100,100
"2",0.2,-0.2,-0.200000000000003,0.200000000000003,-2.66453525910038e-15,2.66453525910038e-15
"3",53.5,-53.5,46.5,-46.5,100,-100
"4",68.5,-68.5,31.5,-31.5,100,-100
"5",-73.6,73.6,-26.4,26.4,-100,100
"6",143.9,-143.9,-43.9,43.9,100,-100
"7",56.7,-56.7,43.3,-43.3,100,-100
"8",0,0,100,-100,100,-100
"9",110.7,-110.7,-10.7,10.7,100,-100
"10",109.6,-109.6,-9.59999999999999,9.60000000000001,100,-100
"11",89.1,-89.1,10.9,-10.9,100,-100
"12",75.3,-75.3,24.7,-24.7,100,-100
"13",133.3,-133.3,-33.3,33.3,100,-100
"14",-64.3545454545455,64.3545454545455,-35.6454545454545,35.6454545454545,-100,100
"15",-122.454545454545,122.454545454545,22.4545454545455,-22.4545454545455,-100,100
"16",-116.2,116.2,16.2,-16.2,-100,100
"17",0,0,100,-100,100,-100
"18",70.1,-70.1,29.9,-29.9,100,-100
"19",72.2,-72.2,27.8,-27.8,100,-100
"20",-72.5,72.5,-27.5,27.5,-100,100
"21",-125.5,125.5,25.5,-25.5,-100,100
"22",129.8,-129.8,-29.8,29.8,100,-100
"23",-62.2,62.2,-37.8,37.8,-100,100
"24",85.5,-85.5,14.5,-14.5,100,-100
"25",71.4,-71.4,28.6,-28.6,100,-100
"26",-92.8,92.8,-7.19999999999999,7.2,-100,100
"27",65.2,-65.2,34.8,-34.8,100,-100
"28",-64.8,64.8,-35.2,35.2,-100,100
"29",-151.9,151.9,51.9,-51.9,-100,100
"30",0,0,100,-100,100,-100
"31",-92.1,92.1,-7.89999999999999,7.89999999999999,-100,100
"32",132.6,-132.6,-32.6,32.6,100,-100
"33",-95.7,95.7,-4.3,4.30000000000001,-100,100
"34",76.2,-76.2,23.8,-23.8,100,-100
"35",-125.7,125.7,25.7,-25.7,-100,100
"36",69.9,-69.9,30.1,-30.1,100,-100
"37",-71.4,71.4,-28.6,28.6,-100,100
"38",72.3,-72.3,27.7,-27.7,100,-100
"39",-77.7,77.7,-22.3,22.3,-100,100
"40",-75.7,75.7,-24.3,24.3,-100,100
"41",-89,89,-11,11,-100,100
"42",114.7,-114.7,-14.7,14.7,100,-100
"43",97.7,-97.7,2.3,-2.3,100,-100
"44",0,0,-100,100,-100,100
"45",-128.6,128.6,28.6,-28.6,-100,100
"46",-123.4,123.4,23.4,-23.4,-100,100
"47",-62.5,62.5,-37.5,37.5,-100,100
"48",-112.9,112.9,12.9,-12.9,-100,100
"49",65.6,-65.6,34.4,-34.4,100,-100
"50",-48.9,48.9,-51.1,51.1,-100,100
"51",-68.4,68.4,-31.6,31.6,-100,100
"52",-60.9,60.9,-39.1,39.1,-100,100
"53",145,-145,-45,45,100,-100
"54",-14.3,14.3,-85.7,85.7,-100,100
"55",136.7,-136.7,-36.7,36.7,100,-100
"56",54.4,-54.4,45.6,-45.6,100,-100
"57",62.8,-62.8,37.2,-37.2,100,-100
"58",65.9,-65.9,34.1,-34.1,100,-100
"59",-105.4,105.4,5.40000000000001,-5.40000000000001,-100,100
"60",118.9,-118.9,-18.9,18.9,100,-100
"61",-89.4,89.4,-10.6,10.6,-100,100
"62",-58,58,-42,42,-100,100
"63",-36.5,36.5,36.5,-36.5,0,0
"64",-133.1,133.1,33.1,-33.1,-100,100
"65",108.1,-108.1,-8.09999999999999,8.09999999999999,100,-100
"66",92.5,-92.5,7.5,-7.5,100,-100
"67",0,0,100,-100,100,-100
"68",-83.6,83.6,-16.4,16.4,-100,100
"69",89.1,-89.1,10.9,-10.9,100,-100
"70",-53.4,53.4,-46.6,46.6,-100,100
"71",-111,111,11,-11,-100,100
"72",-23.3,23.3,23.3,-23.3,0,0
"73",-71,71,-29,29,-100,100
"74",-117.7,117.7,17.7,-17.7,-100,100
"75",0,0,100,-100,100,-100
"76",63.6,-63.6,36.4,-36.4,100,-100
"77",120.1,-120.1,-20.1,20.1,100,-100
"78",-109.2,109.2,9.2,-9.2,-100,100
"79",123.1,-123.1,-23.1,23.1,100,-100
"80",11.8818181818182,-11.8818181818182,-111.881818181818,111.881818181818,-100,100
"81",-85.5,85.5,-14.5,14.5,-100,100
"82",31.8,-31.8,-31.8,31.8,0,0
"83",-23.7,23.7,-76.3,76.3,-100,100
"84",51.2,-51.2,-151.2,151.2,-100,100
"85",138.9,-138.9,-38.9,38.9,100,-100
"86",75.1,-75.1,24.9,-24.9,100,-100
"87",-100.3,100.3,0.299999999999983,-0.299999999999983,-100,100
"88",54.6,-54.6,45.4,-45.4,100,-100
"89",-77.3,77.3,-22.7,22.7,-100,100
"90",-55.7,55.7,-44.3,44.3,-100,100
"91",-49.8,49.8,-50.2,50.2,-100,100
"92",111.4,-111.4,-11.4,11.4,100,-100
"93",-130.1,130.1,30.1,-30.1,-100,100
"94",68,-68,32,-32,100,-100
"95",71.4,-71.4,28.6,-28.6,100,-100
"96",-62.4,62.4,-37.6,37.6,-100,100
"97",131.1,-131.1,-31.1,31.1,100,-100
"98",65.4,-65.4,34.6,-34.6,100,-100
"99",-60.4,60.4,-39.6,39.6,-100,100
"100",-146.1,146.1,46.1,-46.1,-100,100
"101",0,0,100,-100,100,-100
"102",-124.4,124.4,24.4,-24.4,-100,100
"103",118.2,-118.2,-18.2,18.2,100,-100
"104",59.9,-59.9,40.1,-40.1,100,-100
"105",-106.5,106.5,6.5,-6.5,-100,100
"106",143.3,-143.3,-243.3,243.3,-100,100
"107",0,0,100,-100,100,-100
"108",57.1,-57.1,-157.1,157.1,-100,100
"109",55.6,-55.6,44.4,-44.4,100,-100
"110",57.2,-57.2,42.8,-42.8,100,-100
"111",126,-126,-226,226,-100,100
"112",-64.5,64.5,-35.5,35.5,-100,100
"113",-124.8,124.8,24.8,-24.8,-100,100
"114",54.8,-54.8,45.2,-45.2,100,-100
"115",64.1,-64.1,35.9,-35.9,100,-100
"116",131.6,-131.6,-31.6,31.6,100,-100
"117",-76.7,76.7,-23.3,23.3,-100,100
"118",62.4,-62.4,37.6,-37.6,100,-100
"119",-125.3,125.3,25.3,-25.3,-100,100
"120",-71.9,71.9,-28.1,28.1,-100,100
"121",-67.8,67.8,-32.2,32.2,-100,100
"122",-60.8,60.8,-39.2,39.2,-100,100
"123",143,-143,-43,43,100,-100
"124",131,-131,-31,31,100,-100
"125",133.9,-133.9,-33.9,33.9,100,-100
"126",72.7,-72.7,27.3,-27.3,100,-100
"127",-74.5,74.5,-25.5,25.5,-100,100
"128",-54.4,54.4,-45.6,45.6,-100,100
"129",105.5,-105.5,-5.5,5.5,100,-100
"130",-79.2,79.2,-20.8,20.8,-100,100
"131",-71.8,71.8,-28.2,28.2,-100,100
"132",0,0,100,-100,100,-100
"133",0,0,-100,100,-100,100
"134",-146.8,146.8,46.8,-46.8,-100,100
"135",144.1,-144.1,-44.1,44.1,100,-100
"136",-54.8,54.8,-45.2,45.2,-100,100
"137",-0.2,0.2,0.200000000000003,-0.200000000000003,2.66453525910038e-15,-2.66453525910038e-15
"138",122.4,-122.4,-22.4,22.4,100,-100
"139",55.9,-55.9,44.1,-44.1,100,-100
"140",-73.3,73.3,-26.7,26.7,-100,100
"141",-129.3,129.3,29.3,-29.3,-100,100
"142",108.7,-108.7,-8.7,8.7,100,-100
"143",52.1,-52.1,47.9,-47.9,100,-100
"144",77.4,-77.4,22.6,-22.6,100,-100
"145",-72.4,72.4,-27.6,27.6,-100,100
"146",128.6,-128.6,-28.6,28.6,100,-100
"147",54.7,-54.7,45.3,-45.3,100,-100
"148",-114.318181818182,114.318181818182,14.3181818181818,-14.3181818181818,-100,100
"149",0,0,100,-100,100,-100
"150",-62.7,62.7,-37.3,37.3,-100,100
"151",-90.9,90.9,-9.09999999999999,9.09999999999999,-100,100
"152",143.9,-143.9,-43.9,43.9,100,-100
"153",-49.7818181818182,49.7818181818182,-50.2181818181818,50.2181818181818,-100,100
"154",-68.9,68.9,-31.1,31.1,-100,100
"155",84.9,-84.9,15.1,-15.1,100,-100
"156",63.9,-63.9,36.1,-36.1,100,-100
"157",-50.3,50.3,-49.7,49.7,-100,100
"158",0,0,100,-100,100,-100
"159",-94.8,94.8,-5.2,5.2,-100,100
"160",-50.3,50.3,-49.7,49.7,-100,100
"161",-0.299999999999989,0.299999999999989,-99.7,99.7,-100,100
"162",-73.3,73.3,-26.7,26.7,-100,100
"163",68.3,-68.3,31.7,-31.7,100,-100
"164",-72.5,72.5,-27.5,27.5,-100,100
"165",117.2,-117.2,-17.2,17.2,100,-100
"166",74.5,-74.5,25.5,-25.5,100,-100
"167",-71.7,71.7,-28.3,28.3,-100,100
"168",68.5,-68.5,31.5,-31.5,100,-100
"169",49.4,-49.4,50.6,-50.6,100,-100
"170",-69.8,69.8,-30.2,30.2,-100,100
"171",-131.6,131.6,31.6,-31.6,-100,100
"172",-73.6,73.6,-26.4,26.4,-100,100
