"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-101.509090909091,101.509090909091,1.50909090909093,-1.50909090909093,-100,100
"2",-57.850505050505,57.850505050505,-42.149494949495,42.149494949495,-100,100
"3",-75.9,75.9,-24.1,24.1,-100,100
"4",-51.1181818181818,51.1181818181818,-48.8818181818182,48.8818181818182,-100,100
"5",19.5545454545455,-19.5545454545455,-119.554545454545,119.554545454545,-100,100
"6",-55.7,55.7,-44.3,44.3,-100,100
"7",32.3,-32.3,-132.3,132.3,-100,100
"8",-71.7,71.7,-28.3,28.3,-100,100
"9",122.5,-122.5,-222.5,222.5,-100,100
"10",55.7,-55.7,44.3,-44.3,100,-100
"11",71,-71,29,-29,100,-100
"12",-61.8272727272727,61.8272727272727,-38.1727272727273,38.1727272727273,-100,100
"13",116.6,-116.6,-216.6,216.6,-100,100
"14",36.3868686868687,-36.3868686868687,-136.386868686869,136.386868686869,-100,100
"15",75.2,-75.2,-175.2,175.2,-100,100
"16",42.8272727272727,-42.8272727272727,-142.827272727273,142.827272727273,-100,100
"17",44.8272727272727,-44.8272727272727,-144.827272727273,144.827272727273,-100,100
"18",-73.6,73.6,-26.4,26.4,-100,100
"19",36.0323232323232,-36.0323232323232,-136.032323232323,136.032323232323,-100,100
"20",-74.3555555555556,74.3555555555556,-25.6444444444444,25.6444444444444,-100,100
"21",17.2414141414142,-17.2414141414142,-117.241414141414,117.241414141414,-100,100
"22",-122,122,22,-22,-100,100
"23",38.6727272727273,-38.6727272727273,-138.672727272727,138.672727272727,-100,100
"24",0,0,100,-100,100,-100
"25",36.1868686868687,-36.1868686868687,-136.186868686869,136.186868686869,-100,100
"26",-48.1272727272727,48.1272727272727,-51.8727272727273,51.8727272727273,-100,100
"27",113.2,-113.2,-213.2,213.2,-100,100
"28",72.4,-72.4,-172.4,172.4,-100,100
"29",112.3,-112.3,-12.3,12.3,100,-100
"30",75.8181818181818,-75.8181818181818,-175.818181818182,175.818181818182,-100,100
"31",106.1,-106.1,-206.1,206.1,-100,100
"32",-79.0070707070707,79.0070707070707,-20.9929292929293,20.9929292929293,-100,100
"33",-27.6979797979798,27.6979797979798,-72.3020202020202,72.3020202020202,-100,100
"34",38.4909090909091,-38.4909090909091,-138.490909090909,138.490909090909,-100,100
"35",126.8,-126.8,-26.8,26.8,100,-100
"36",-111.6,111.6,11.6,-11.6,-100,100
"37",62.1,-62.1,-162.1,162.1,-100,100
"38",65.9,-65.9,-165.9,165.9,-100,100
"39",84.2,-84.2,-184.2,184.2,-100,100
"40",-15.7525252525253,15.7525252525253,-84.2474747474748,84.2474747474747,-100,100
"41",55.9,-55.9,44.1,-44.1,100,-100
"42",-67.3,67.3,-32.7,32.7,-100,100
"43",0,0,100,-100,100,-100
"44",71.2,-71.2,-171.2,171.2,-100,100
"45",11.8191919191919,-11.8191919191919,-111.819191919192,111.819191919192,-100,100
"46",18.6090909090909,-18.6090909090909,-118.609090909091,118.609090909091,-100,100
"47",-64.4,64.4,-35.6,35.6,-100,100
"48",-61.6090909090909,61.6090909090909,-38.3909090909091,38.3909090909091,-100,100
"49",-109.818181818182,109.818181818182,9.81818181818181,-9.81818181818181,-100,100
"50",86.5,-86.5,-186.5,186.5,-100,100
"51",32.3848484848485,-32.3848484848485,-132.384848484848,132.384848484848,-100,100
"52",-76.8131313131313,76.8131313131313,-23.1868686868687,23.1868686868687,-100,100
"53",117.919191919192,-117.919191919192,-217.919191919192,217.919191919192,-100,100
"54",-43.7727272727273,43.7727272727273,-56.2272727272727,56.2272727272727,-100,100
"55",46.4,-46.4,-146.4,146.4,-100,100
"56",0,0,100,-100,100,-100
"57",0,0,100,-100,100,-100
"58",-30.2969696969697,30.2969696969697,-69.7030303030303,69.7030303030303,-100,100
"59",81.0868686868687,-81.0868686868687,-181.086868686869,181.086868686869,-100,100
"60",-38.3989898989899,38.3989898989899,-61.6010101010101,61.6010101010101,-100,100
"61",-82.5,82.5,-17.5,17.5,-100,100
"62",124.6,-124.6,-24.6,24.6,100,-100
"63",10.9727272727273,-10.9727272727273,-110.972727272727,110.972727272727,-100,100
"64",0,0,100,-100,100,-100
"65",-97.5,97.5,-2.5,2.49999999999999,-100,100
"66",17.1636363636364,-17.1636363636364,-117.163636363636,117.163636363636,-100,100
"67",-112.6,112.6,12.6,-12.6,-100,100
"68",-86.4,86.4,-13.6,13.6,-100,100
"69",-52.4272727272727,52.4272727272727,-47.5727272727273,47.5727272727272,-100,100
"70",-76.5030303030303,76.5030303030303,-23.4969696969697,23.4969696969697,-100,100
"71",-56.5636363636364,56.5636363636364,-43.4363636363636,43.4363636363636,-100,100
"72",-28.4808080808081,28.4808080808081,-71.5191919191919,71.5191919191919,-100,100
"73",70.1,-70.1,29.9,-29.9,100,-100
"74",81.4,-81.4,18.6,-18.6,100,-100
"75",-68.5222222222222,68.5222222222222,-31.4777777777778,31.4777777777778,-100,100
"76",-123.8,123.8,23.8,-23.8,-100,100
"77",-75.3,75.3,-24.7,24.7,-100,100
"78",63.0636363636364,-63.0636363636364,-163.063636363636,163.063636363636,-100,100
"79",14.2090909090909,-14.2090909090909,-114.209090909091,114.209090909091,-100,100
"80",61.4,-61.4,38.6,-38.6,100,-100
"81",-75.1,75.1,-24.9,24.9,-100,100
"82",-57.5636363636364,57.5636363636364,-42.4363636363636,42.4363636363636,-100,100
"83",-112.888888888889,112.888888888889,12.8888888888889,-12.8888888888889,-100,100
"84",14.8494949494949,-14.8494949494949,-114.849494949495,114.849494949495,-100,100
"85",-65.2646464646465,65.2646464646465,-34.7353535353535,34.7353535353535,-100,100
"86",-134.1,134.1,34.1,-34.1,-100,100
"87",40.1323232323233,-40.1323232323233,-140.132323232323,140.132323232323,-100,100
"88",128.5,-128.5,-28.5,28.5,100,-100
"89",-63.4,63.4,-36.6,36.6,-100,100
"90",113.5,-113.5,-213.5,213.5,-100,100
"91",-124.263636363636,124.263636363636,24.2636363636364,-24.2636363636364,-100,100
"92",78.3,-78.3,21.7,-21.7,100,-100
"93",67,-67,-167,167,-100,100
"94",-18.579797979798,18.579797979798,-81.420202020202,81.420202020202,-100,100
"95",129.963636363636,-129.963636363636,-229.963636363636,229.963636363636,-100,100
"96",-77.7727272727273,77.7727272727273,-22.2272727272727,22.2272727272727,-100,100
"97",65.5,-65.5,-165.5,165.5,-100,100
"98",73.9,-73.9,26.1,-26.1,100,-100
"99",70.6,-70.6,29.4,-29.4,100,-100
"100",-72.2,72.2,-27.8,27.8,-100,100
"101",80.1,-80.1,-180.1,180.1,-100,100
"102",51.9818181818182,-51.9818181818182,-151.981818181818,151.981818181818,-100,100
"103",-70.4,70.4,-29.6,29.6,-100,100
"104",-19.4909090909091,19.4909090909091,-80.5090909090909,80.5090909090909,-100,100
"105",-66.5,66.5,-33.5,33.5,-100,100
"106",126.6,-126.6,-226.6,226.6,-100,100
"107",-77,77,-23,23,-100,100
"108",66,-66,34,-34,100,-100
"109",72.5,-72.5,-172.5,172.5,-100,100
"110",79.6,-79.6,-179.6,179.6,-100,100
"111",-65.5,65.5,-34.5,34.5,-100,100
"112",-77.4,77.4,-22.6,22.6,-100,100
"113",-53.3272727272727,53.3272727272727,-46.6727272727273,46.6727272727273,-100,100
"114",-113.8,113.8,13.8,-13.8,-100,100
"115",96,-96,-196,196,-100,100
"116",-40.0232323232323,40.0232323232323,-59.9767676767677,59.9767676767677,-100,100
"117",-67.7070707070707,67.7070707070707,-32.2929292929293,32.2929292929293,-100,100
