"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",69.7,-69.7,30.3,-30.3,100,-100
"2",38.5,-38.5,-138.5,138.5,-100,100
"3",-87.4,87.4,-12.6,12.6,-100,100
"4",-132.881818181818,132.881818181818,32.8818181818182,-32.8818181818182,-100,100
"5",76.9,-76.9,23.1,-23.1,100,-100
"6",-117.1,117.1,17.1,-17.1,-100,100
"7",-74.6272727272727,74.6272727272727,-25.3727272727273,25.3727272727273,-100,100
"8",19.9131313131313,-19.9131313131313,-119.913131313131,119.913131313131,-100,100
"9",-55.1,55.1,-44.9,44.9,-100,100
"10",89.8,-89.8,10.2,-10.2,100,-100
"11",-125.1,125.1,25.1,-25.1,-100,100
"12",-53.4282828282828,53.4282828282828,-46.5717171717172,46.5717171717172,-100,100
"13",114.3,-114.3,-14.3,14.3,100,-100
"14",14.0878787878788,-14.0878787878788,-114.087878787879,114.087878787879,-100,100
"15",109.5,-109.5,-9.5,9.5,100,-100
"16",-73.5,73.5,-26.5,26.5,-100,100
"17",-88.0919191919192,88.0919191919192,-11.9080808080808,11.9080808080808,-100,100
"18",48.4,-48.4,51.6,-51.6,100,-100
"19",114.4,-114.4,-14.4,14.4,100,-100
"20",12.8636363636363,-12.8636363636363,-112.863636363636,112.863636363636,-100,100
"21",-48.820202020202,48.820202020202,-51.179797979798,51.179797979798,-100,100
"22",0,0,-100,100,-100,100
"23",-71.3,71.3,-28.7,28.7,-100,100
"24",-24.4010101010101,24.4010101010101,-75.5989898989899,75.5989898989899,-100,100
"25",-120.8,120.8,20.8,-20.8,-100,100
"26",78.5,-78.5,21.5,-21.5,100,-100
"27",19.3,-19.3,-19.3,19.3,-1.4210854715202e-14,7.105427357601e-15
"28",-22.4323232323232,22.4323232323232,-77.5676767676768,77.5676767676767,-100,100
"29",-60.9,60.9,-39.1,39.1,-100,100
"30",0,0,100,-100,100,-100
"31",-39.3292929292929,39.3292929292929,-60.6707070707071,60.6707070707071,-100,100
"32",-68.5,68.5,-31.5,31.5,-100,100
"33",131.3,-131.3,-31.3,31.3,100,-100
"34",37.8,-37.8,-37.8,37.8,0,0
"35",-51.6808080808081,51.6808080808081,-48.3191919191919,48.3191919191919,-100,100
"36",126.8,-126.8,-26.8,26.8,100,-100
"37",52.7282828282828,-52.7282828282828,-152.728282828283,152.728282828283,-100,100
"38",67.2,-67.2,32.8,-32.8,100,-100
"39",27.4333333333333,-27.4333333333333,-127.433333333333,127.433333333333,-100,100
"40",-74.0909090909091,74.0909090909091,-25.9090909090909,25.9090909090909,-100,100
"41",71.7545454545455,-71.7545454545455,-171.754545454545,171.754545454545,-100,100
"42",55.2,-55.2,-155.2,155.2,-100,100
"43",0,0,100,-100,100,-100
"44",-31.6292929292929,31.6292929292929,-68.3707070707071,68.3707070707071,-100,100
"45",70.4,-70.4,29.6,-29.6,100,-100
"46",19.6262626262626,-19.6262626262626,-119.626262626263,119.626262626263,-100,100
"47",8.96565656565656,-8.96565656565656,-108.965656565657,108.965656565657,-100,100
"48",106.6,-106.6,-6.59999999999999,6.59999999999998,100,-100
"49",-62.2262626262626,62.2262626262626,-37.7737373737374,37.7737373737374,-100,100
"50",-113.5,113.5,13.5,-13.5,-100,100
"51",126.1,-126.1,-26.1,26.1,100,-100
"52",-11.6383838383838,11.6383838383838,-88.3616161616162,88.3616161616162,-100,100
"53",9.5,-9.5,-9.5,9.5,-3.5527136788005e-15,3.5527136788005e-15
"54",34.4,-34.4,-134.4,134.4,-100,100
"55",-16.9393939393939,16.9393939393939,-83.0606060606061,83.0606060606061,-100,100
"56",-67.2131313131313,67.2131313131313,-32.7868686868687,32.7868686868687,-100,100
"57",0,0,-100,100,-100,100
"58",134.5,-134.5,-34.5,34.5,100,-100
"59",100.389898989899,-100.389898989899,-200.389898989899,200.389898989899,-100,100
"60",-74.1,74.1,-25.9,25.9,-100,100
"61",-58.2484848484848,58.2484848484848,-41.7515151515152,41.7515151515152,-100,100
"62",165.1,-165.1,-65.1,65.1,100,-100
"63",22.2,-22.2,-22.2,22.2,-7.105427357601e-15,7.105427357601e-15
"64",-69.6,69.6,-30.4,30.4,-100,100
"65",-114.4,114.4,14.4,-14.4,-100,100
"66",-73.5,73.5,-26.5,26.5,-100,100
"67",64.2,-64.2,35.8,-35.8,100,-100
"68",59.830303030303,-59.830303030303,-159.830303030303,159.830303030303,-100,100
"69",0,0,100,-100,100,-100
"70",-27.5040404040404,27.5040404040404,-72.4959595959596,72.4959595959596,-100,100
"71",70.0282828282828,-70.0282828282828,-170.028282828283,170.028282828283,-100,100
"72",-62.2767676767677,62.2767676767677,-37.7232323232323,37.7232323232323,-100,100
"73",11.6404040404041,-11.6404040404041,-111.640404040404,111.640404040404,-100,100
"74",-65.2414141414141,65.2414141414141,-34.7585858585859,34.7585858585859,-100,100
"75",-130.3,130.3,30.3,-30.3,-100,100
"76",69.7,-69.7,-169.7,169.7,-100,100
"77",0,0,100,-100,100,-100
"78",120.5,-120.5,-220.5,220.5,-100,100
"79",150.7,-150.7,-50.7,50.7,100,-100
"80",85.3,-85.3,14.7,-14.7,100,-100
"81",42.1181818181818,-42.1181818181818,-142.118181818182,142.118181818182,-100,100
"82",144.7,-144.7,-44.7,44.7,100,-100
"83",12.2838383838384,-12.2838383838384,-112.283838383838,112.283838383838,-100,100
"84",-59.6,59.6,-40.4,40.4,-100,100
"85",-13.5616161616162,13.5616161616162,-86.4383838383838,86.4383838383838,-100,100
"86",-26.5,26.5,-73.5,73.5,-100,100
