"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-45.3,45.3,45.3,-45.3,0,0
"2",89.8404040404041,-89.8404040404041,-20089.8404040404,20089.8404040404,-20000,20000
"3",45,-45,55,-55,100,-100
"4",24.2262626262626,-24.2262626262626,-20024.2262626263,20024.2262626263,-20000,20000
"5",-239.89898989899,239.89898989899,39.8989898989899,-39.8989898989899,-200,200
"6",141.690909090909,-141.690909090909,-20141.6909090909,20141.6909090909,-20000,20000
"7",-170.509090909091,170.509090909091,-29.4909090909091,29.4909090909091,-200,200
"8",4.49999999999999,-4.49999999999999,-4.5,4.5,-7.99360577730113e-15,7.99360577730113e-15
"9",-57.2,57.2,-42.8,42.8,-100,100
"10",-118.6,118.6,18.6,-18.6,-100,100
"11",-416.578787878788,416.578787878788,116.578787878788,-116.578787878788,-300,300
"12",104,-104,-20104,20104,-20000,20000
"13",-117.7,117.7,17.7,-17.7,-100,100
"14",82.7,-82.7,17.3,-17.3,100,-100
"15",118.887878787879,-118.887878787879,-20118.8878787879,20118.8878787879,-20000,20000
"16",-7101.324,7101.324,2025.324,-2025.324,-5076,5076
"17",35.5,-35.5,64.5,-64.5,100,-100
"18",-140.557575757576,140.557575757576,-59.4424242424242,59.4424242424242,-200,200
"19",110.707070707071,-110.707070707071,-20110.7070707071,20110.7070707071,-20000,20000
"20",-83.2,83.2,-16.8,16.8,-100,100
"21",-73.9,73.9,-26.1,26.1,-100,100
"22",70.3535353535353,-70.3535353535353,-20070.3535353535,20070.3535353535,-20000,20000
"23",49.3,-49.3,50.7,-50.7,100,-100
"24",106.6,-106.6,-6.59999999999999,6.59999999999998,100,-100
"25",1622.73054545454,-1622.73054545454,-21622.7305454545,21622.7305454545,-20000,20000
"26",92.3,-92.3,7.69999999999999,-7.69999999999999,100,-100
"27",-134.431313131313,134.431313131313,-65.5686868686869,65.5686868686869,-200,200
"28",-91.4,91.4,-8.59999999999999,8.59999999999998,-100,100
"29",137.182828282828,-137.182828282828,-20137.1828282828,20137.1828282828,-20000,20000
