"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",145.4,-145.4,-45.4,45.4,100,-100
"2",0,0,100,-100,100,-100
"3",-64.7575757575758,64.7575757575758,-35.2424242424242,35.2424242424242,-100,100
"4",12.6676767676768,-12.6676767676767,-112.667676767677,112.667676767677,-100,100
"5",-72.5,72.5,-27.5,27.5,-100,100
"6",-113.2,113.2,13.2,-13.2,-100,100
"7",-90.8575757575757,90.8575757575757,-9.14242424242426,9.14242424242426,-100,100
"8",-80.8121212121212,80.8121212121212,-19.1878787878788,19.1878787878788,-100,100
"9",32.7343434343435,-32.7343434343435,67.2656565656565,-67.2656565656565,100,-100
"10",-162.936363636364,162.936363636364,-37.0636363636364,37.0636363636364,-200,200
"11",-3.20606060606061,3.20606060606061,103.206060606061,-103.206060606061,100,-100
"12",21.6484848484848,-21.6484848484848,78.3515151515151,-78.3515151515151,100,-100
"13",66.9,-66.9,-20066.9,20066.9,-20000,20000
"14",27.8222222222222,-27.8222222222222,72.1777777777778,-72.1777777777777,100,-100
"15",-28.9737373737374,28.9737373737374,-171.026262626263,171.026262626263,-200,200
"16",70.6,-70.6,29.4,-29.4,100,-100
"17",69.7212121212121,-69.7212121212121,30.2787878787879,-30.2787878787879,100,-100
"18",35.9727272727273,-35.9727272727273,64.0272727272727,-64.0272727272727,100,-100
"19",-89.8090909090909,89.8090909090909,-10.1909090909091,10.1909090909091,-100,100
"20",69.8454545454545,-69.8454545454545,30.1545454545455,-30.1545454545455,100,-100
"21",65.7363636363636,-65.7363636363636,-165.736363636364,165.736363636364,-100,100
"22",-92.3131313131313,92.3131313131313,-7.68686868686869,7.68686868686869,-100,100
"23",95.5474747474747,-95.5474747474747,204.452525252525,-204.452525252525,300,-300
"24",115,-115,85,-85,200,-200
"25",-42.6777777777778,42.6777777777778,-57.3222222222222,57.3222222222222,-100,100
"26",51.8,-51.8,48.2,-48.2,100,-100
"27",-82.4,82.4,-17.6,17.6,-100,100
"28",-17.5070707070707,17.5070707070707,-82.4929292929293,82.4929292929293,-100,100
"29",-23.8929292929293,23.8929292929293,123.892929292929,-123.892929292929,100,-100
"30",53.7838383838384,-53.7838383838384,46.2161616161616,-46.2161616161616,100,-100
"31",39.7191919191919,-39.7191919191919,-139.719191919192,139.719191919192,-100,100
"32",-78.5747474747475,78.5747474747475,-21.4252525252525,21.4252525252525,-100,100
"33",-77.1363636363636,77.1363636363636,-22.8636363636364,22.8636363636364,-100,100
"34",-124.884848484848,124.884848484848,24.8848484848485,-24.8848484848485,-100,100
"35",-84.5969696969697,84.5969696969697,-15.4030303030303,15.4030303030303,-100,100
"36",40.0666666666667,-40.0666666666667,59.9333333333333,-59.9333333333333,100,-100
"37",73.3909090909091,-73.3909090909091,26.6090909090909,-26.6090909090909,100,-100
"38",0,0,-100,100,-100,100
"39",110,-110,-10,10,100,-100
"40",-71.0747474747475,71.0747474747475,-28.9252525252525,28.9252525252525,-100,100
"41",81.4434343434343,-81.4434343434343,18.5565656565657,-18.5565656565657,100,-100
"42",-112.591919191919,112.591919191919,-87.4080808080808,87.4080808080808,-200,200
"43",-70.8,70.8,-29.2,29.2,-100,100
"44",-111.9,111.9,11.9,-11.9,-100,100
"45",-141.4,141.4,-19858.6,19858.6,-20000,20000
"46",111.1,-111.1,-11.1,11.1,100,-100
"47",66.6,-66.6,33.4,-33.4,100,-100
"48",-29.6323232323232,29.6323232323232,-70.3676767676768,70.3676767676768,-100,100
"49",0,0,100,-100,100,-100
"50",49.6363636363636,-49.6363636363636,50.3636363636364,-50.3636363636364,100,-100
"51",-9.52525252525254,9.52525252525254,109.525252525253,-109.525252525253,100,-100
"52",-187.320202020202,187.320202020202,-12.679797979798,12.679797979798,-200,200
"53",-72.5,72.5,-27.5,27.5,-100,100
"54",108.5,-108.5,-8.5,8.5,100,-100
"55",-86.6,86.6,-13.4,13.4,-100,100
