"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",112.710101010101,-112.710101010101,-12.710101010101,12.710101010101,100,-100
"2",-14.9,14.9,64.9,-64.9,50,-50
"3",-22.2,22.2,72.2,-72.2,50,-50
"4",-61.1,61.1,-38.9,38.9,-100,100
"5",0,0,-100,100,-100,100
"6",-21.9373737373737,21.9373737373737,121.937373737374,-121.937373737374,100,-100
"7",-24.6,24.6,74.6,-74.6,50,-50
"8",54,-50,-4,0,50,-50
"9",29.1,-29.1,20.9,-20.9,50,-50
"10",37.1,-37.1,12.9,-12.9,50,-50
"11",-30.8,30.8,80.8,-80.8,50,-50
"12",40.1,-40.1,9.90000000000001,-9.9,50,-50
"13",33.7,-33.7,16.3,-16.3,50,-50
"14",-36.8,36.8,86.8,-86.8,50,-50
"15",-44.9,44.9,94.9,-94.9,50,-50
"16",47.2,-47.2,2.80000000000001,-2.8,50,-50
"17",84.5,-50,-34.5,0,50,-50
"18",-31.2343434343434,31.2343434343434,-68.7656565656566,68.7656565656566,-100,100
"19",26.8,-26.8,23.2,-23.2,50,-50
"20",15.7,-15.7,34.3,-34.3,50,-50
"21",-23.6292929292929,23.6292929292929,123.629292929293,-123.629292929293,100,-100
"22",41,-41,9,-9.00000000000001,50,-50
"23",36.4,-36.4,13.6,-13.6,50,-50
"24",19.2,-19.2,30.8,-30.8,50,-50
"25",0,0,-100,100,-100,100
"26",52.6,-50,-2.59999999999999,0,50,-50
"27",18.8,-18.8,31.2,-31.2,50,-50
"28",-23.5,23.5,73.5,-73.5,50,-50
"29",-12.8,12.8,62.8,-62.8,50,-50
"30",42.8,-42.8,7.20000000000002,-7.2,50,-50
"31",23.3,-23.3,26.7,-26.7,50,-50
"32",-29.2,29.2,79.2,-79.2,50,-50
"33",21.1,-21.1,28.9,-28.9,50,-50
"34",-30.6,30.6,80.6,-80.6,50,-50
"35",37.7,-37.7,12.3,-12.3,50,-50
"36",-31.4464646464647,31.4464646464647,-68.5535353535354,68.5535353535353,-100,100
"37",-14.7,14.7,64.7,-64.7,50,-50
"38",2.89999999999999,-2.89999999999999,47.1,-47.1,50,-50
"39",-31.8,31.8,81.8,-81.8,50,-50
"40",31.2,-31.2,18.8,-18.8,50,-50
"41",-28.8,28.8,78.8,-78.8,50,-50
"42",-14.6,14.6,64.6,-64.6,50,-50
"43",-25.2,25.2,75.2,-75.2,50,-50
"44",33.1,-33.1,16.9,-16.9,50,-50
"45",29,-29,21,-21,50,-50
"46",-25.7,25.7,75.7,-75.7,50,-50
"47",12.9,-12.9,37.1,-37.1,50,-50
"48",-32.8,32.8,82.8,-82.8,50,-50
"49",0,0,-100,100,-100,100
"50",-44.5,44.5,94.5,-94.5,50,-50
"51",31.7,-31.7,18.3,-18.3,50,-50
"52",41.5,-41.5,8.5,-8.5,50,-50
"53",-33.2,33.2,83.2,-83.2,50,-50
"54",2.69999999999999,-2.69999999999999,47.3,-47.3,50,-50
"55",33.7,-33.7,16.3,-16.3,50,-50
"56",-23.5,23.5,73.5,-73.5,50,-50
"57",32.7,-32.7,17.3,-17.3,50,-50
"58",16,-16,34,-34,50,-50
"59",14.7,-14.7,35.3,-35.3,50,-50
"60",40.1,-40.1,9.90000000000003,-9.90000000000002,50,-50
"61",34.1,-34.1,15.9,-15.9,50,-50
"62",22.5,-22.5,27.5,-27.5,50,-50
"63",16.1,-16.1,33.9,-33.9,50,-50
"64",-14.9727272727273,14.9727272727273,-85.0272727272727,85.0272727272727,-100,100
"65",53.9,-50,-3.90000000000001,0,50,-50
"66",48,-48,2,-2,50,-50
"67",0,0,-100,100,-100,100
"68",-31.3,31.3,81.3,-81.3,50,-50
"69",-26,26,76,-76,50,-50
"70",31.1,-31.1,18.9,-18.9,50,-50
"71",-45.5,45.5,95.5,-95.5,50,-50
"72",0,0,-100,100,-100,100
"73",-22,22,72,-72,50,-50
"74",36.6,-36.6,13.4,-13.4,50,-50
"75",-25.4,25.4,75.4,-75.4,50,-50
"76",-26.3,26.3,76.3,-76.3,50,-50
"77",-6.89999999999999,6.89999999999999,56.9,-56.9,50,-50
"78",-31.3,31.3,81.3,-81.3,50,-50
"79",25.5,-25.5,24.5,-24.5,50,-50
"80",-37.7,37.7,87.7,-87.7,50,-50
"81",-23.6,23.6,73.6,-73.6,50,-50
"82",-31.7,31.7,81.7,-81.7,50,-50
"83",-6.19898989898989,6.1989898989899,-93.8010101010101,93.8010101010101,-100,100
"84",-31.8,31.8,81.8,-81.8,50,-50
"85",88.2929292929293,-88.2929292929293,111.707070707071,-111.707070707071,200,-200
"86",-53.9,53.9,103.9,-103.9,50,-50
"87",-20.3,20.3,70.3,-70.3,50,-50
"88",70.1,-50,-20.1,0,50,-50
"89",-33.3,33.3,83.3,-83.3,50,-50
"90",13.2,-13.2,36.8,-36.8,50,-50
"91",14.9,-14.9,35.1,-35.1,50,-50
"92",42.5,-42.5,7.50000000000003,-7.50000000000001,50,-50
"93",27,-27,23,-23,50,-50
"94",-20.3,20.3,70.3,-70.3,50,-50
"95",-25.5,25.5,75.5,-75.5,50,-50
"96",-22.7,22.7,72.7,-72.7,50,-50
"97",24.7,-24.7,25.3,-25.3,50,-50
"98",31.9,-31.9,18.1,-18.1,50,-50
"99",-66.2,66.2,-33.8,33.8,-100,100
"100",48.5,-48.5,1.5,-1.50000000000001,50,-50
"101",-39.7,39.7,89.7,-89.7,50,-50
"102",42.3,-42.3,7.70000000000002,-7.70000000000002,50,-50
"103",-33.9,33.9,83.9,-83.9,50,-50
"104",23.9,-23.9,26.1,-26.1,50,-50
"105",-10,10,60,-60,50,-50
"106",51.6,-50,-1.59999999999999,0,50,-50
"107",-33,33,83,-83,50,-50
"108",-21,21,71,-71,50,-50
"109",20,-20,30,-30,50,-50
"110",-30.9,30.9,80.9,-80.9,50,-50
"111",31.8,-31.8,18.2,-18.2,50,-50
"112",26.6,-26.6,23.4,-23.4,50,-50
"113",-7.5,7.5,57.5,-57.5,50,-50
"114",13.4,-13.4,36.6,-36.6,50,-50
"115",-31.4,31.4,81.4,-81.4,50,-50
"116",34.9,-34.9,15.1,-15.1,50,-50
"117",-16.1686868686869,16.1686868686869,116.168686868687,-116.168686868687,100,-100
"118",23.9,-23.9,26.1,-26.1,50,-50
"119",-35.4,35.4,85.4,-85.4,50,-50
"120",24.5,-24.5,25.5,-25.5,50,-50
"121",21.6,-21.6,28.4,-28.4,50,-50
"122",68.2,-50,-18.2,0,50,-50
"123",-41.2020202020202,41.2020202020202,-58.7979797979798,58.7979797979798,-100,100
"124",27.5,-27.5,22.5,-22.5,50,-50
"125",-31.7,31.7,81.7,-81.7,50,-50
"126",32.4,-32.4,17.6,-17.6,50,-50
"127",20.3,-20.3,29.7,-29.7,50,-50
"128",38.9,-38.9,11.1,-11.1,50,-50
"129",32.6,-32.6,17.4,-17.4,50,-50
"130",14.6,-14.6,35.4,-35.4,50,-50
"131",19.1,-19.1,30.9,-30.9,50,-50
"132",36.8,-36.8,13.2,-13.2,50,-50
"133",-2.60000000000001,2.60000000000001,52.6,-52.6,50,-50
"134",-9.2,9.2,59.2,-59.2,50,-50
"135",-34,34,84,-84,50,-50
