"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-90.6,90.6,-9.39999999999999,9.39999999999999,-100,100
"2",75.25,-75.25,24.75,-24.75,100,-100
"3",60.75,-60.75,39.25,-39.25,100,-100
"4",70.65,-70.65,29.35,-29.35,100,-100
"5",-71.2,71.2,-28.8,28.8,-100,100
"6",124.65,-124.65,-24.65,24.65,100,-100
"7",-91.8272727272727,91.8272727272727,-19908.1727272727,19908.1727272727,-20000,20000
"8",95.2,-95.2,4.79999999999998,-4.79999999999998,100,-100
"9",-57.75,57.75,-42.25,42.25,-100,100
"10",130.85,-130.85,-30.85,30.85,100,-100
"11",-90.1,90.1,-19909.9,19909.9,-20000,20000
"12",-51.7,51.7,-48.3,48.3,-100,100
"13",-68.2,68.2,-31.8,31.8,-100,100
"14",-126.35,126.35,26.35,-26.35,-100,100
"15",79.6,-79.6,20.4,-20.4,100,-100
"16",61.9,-61.9,38.1,-38.1,100,-100
"17",99.15,-99.15,-20099.15,20099.15,-20000,20000
"18",65.1,-65.1,34.9,-34.9,100,-100
"19",-72.75,72.75,-27.25,27.25,-100,100
"20",127.75,-127.75,-27.75,27.75,100,-100
"21",-51.05,51.05,-48.95,48.95,-100,100
"22",0,0,-20000,20000,-20000,20000
"23",95.2,-95.2,4.80000000000001,-4.80000000000001,100,-100
"24",-21.7,21.7,-78.3,78.3,-100,100
"25",131.8,-131.8,-31.8,31.8,100,-100
"26",0,0,-20000,20000,-20000,20000
"27",-76.3,76.3,-23.7,23.7,-100,100
"28",132.5,-132.5,-32.5,32.5,100,-100
"29",138.55,-138.55,-38.55,38.55,100,-100
"30",67.15,-67.15,32.85,-32.85,100,-100
"31",-129.8,129.8,29.8,-29.8,-100,100
"32",-91.2,91.2,-8.8,8.80000000000001,-100,100
"33",0,0,-20000,20000,-20000,20000
"34",84.65,-84.65,15.35,-15.35,100,-100
"35",126.95,-126.95,-26.95,26.95,100,-100
"36",44.65,-44.65,55.35,-55.35,100,-100
"37",-65.1,65.1,-34.9,34.9,-100,100
"38",-103.5,103.5,3.49999999999999,-3.49999999999999,-100,100
"39",-66.65,66.65,-33.35,33.35,-100,100
"40",124.2,-124.2,-24.2,24.2,100,-100
"41",-74.6,74.6,-25.4,25.4,-100,100
"42",-73.25,73.25,-26.75,26.75,-100,100
"43",-33.45,33.45,-66.55,66.55,-100,100
"44",66.75,-66.75,33.25,-33.25,100,-100
"45",-134.05,134.05,34.05,-34.05,-100,100
"46",29.85,-29.85,-20029.85,20029.85,-20000,20000
"47",-120.5,120.5,20.5,-20.5,-100,100
"48",74,-74,26,-26,100,-100
"49",76.7,-76.7,23.3,-23.3,100,-100
"50",77.9,-77.9,22.1,-22.1,100,-100
"51",-105.55,105.55,5.54999999999998,-5.54999999999998,-100,100
"52",-131.55,131.55,31.55,-31.55,-100,100
"53",-107.45,107.45,7.45,-7.45,-100,100
"54",-69.2,69.2,-30.8,30.8,-100,100
"55",133.45,-133.45,-33.45,33.45,100,-100
"56",79.05,-79.05,20.95,-20.95,100,-100
"57",146.55,-146.55,-46.55,46.55,100,-100
"58",86.85,-86.85,13.15,-13.15,100,-100
"59",69.7,-69.7,30.3,-30.3,100,-100
"60",119.7,-119.7,-19.7,19.7,100,-100
"61",-73.65,73.65,-26.35,26.35,-100,100
"62",118.55,-118.55,-18.55,18.55,100,-100
"63",75.05,-75.05,24.95,-24.95,100,-100
"64",-84.6,84.6,-15.4,15.4,-100,100
"65",0,0,-20000,20000,-20000,20000
"66",68.95,-68.95,31.05,-31.05,100,-100
"67",-71.15,71.15,-28.85,28.85,-100,100
"68",-125.2,125.2,25.2,-25.2,-100,100
"69",73.95,-73.95,26.05,-26.05,100,-100
