"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",68.75,-68.75,31.25,-31.25,100,-100
"2",156.443434343434,-156.443434343434,1643.55656565657,-1643.55656565657,1800,-1800
"3",-67.1856060606061,67.1856060606061,-6682.81439393939,6682.81439393939,-6750,6750
"4",-84.0949494949495,84.0949494949495,-115.905050505051,115.905050505051,-200,200
"5",-73,73,-227,227,-300,300
"6",118.65,-118.65,-18.65,18.65,100,-100
"7",71.3,-71.3,28.7,-28.7,100,-100
"8",73.85,-73.85,26.15,-26.15,100,-100
"9",-87.75,87.75,-212.25,212.25,-300,300
"10",100.733838383838,-100.733838383838,99.2661616161616,-99.2661616161616,200,-200
"11",-60.1,60.1,-39.9,39.9,-100,100
"12",127.35,-127.35,-27.35,27.35,100,-100
"13",-172.153535353535,172.153535353535,-227.846464646465,227.846464646465,-400,400
"14",6.55000000000001,-6.55000000000001,-6.55000000000001,6.55000000000001,0,0
"15",331.625,-331.625,-81.625,81.625,250,-250
"16",92.880303030303,-92.880303030303,107.119696969697,-107.119696969697,200,-200
"17",114.75,-114.75,-14.75,14.75,100,-100
"18",76.1,-76.1,23.9,-23.9,100,-100
"19",109.001515151515,-109.001515151515,490.998484848485,-490.998484848485,600,-600
"20",-108.081818181818,108.081818181818,-91.9181818181818,91.9181818181818,-200,200
"21",111.1,-111.1,-11.1,11.1,100,-100
"22",-53.05,53.05,-246.95,246.95,-300,300
"23",157.525757575758,-157.525757575758,42.4742424242424,-42.4742424242424,200,-200
"24",-116.75,116.75,16.75,-16.75,-100,100
"25",208.992929292929,-208.992929292929,-8.9929292929293,8.99292929292932,200,-200
"26",58.3,-58.3,41.7,-41.7,100,-100
"27",-377.116161616162,377.116161616162,-2322.88383838384,2322.88383838384,-2700,2700
"28",50.55,-50.55,49.45,-49.45,100,-100
"29",111.637373737374,-111.637373737374,88.3626262626263,-88.3626262626263,200,-200
"30",113.95,-113.95,-13.95,13.95,100,-100
"31",1263.79343434343,-1263.79343434343,1436.20656565657,-1436.20656565657,2700,-2700
"32",68.05,-68.05,31.95,-31.95,100,-100
"33",83.9,-83.9,16.1,-16.1,100,-100
"34",74.3,-74.3,25.7,-25.7,100,-100
"35",54.45,-54.45,45.55,-45.55,100,-100
"36",-182.855555555556,182.855555555556,-17.1444444444444,17.1444444444444,-200,200
"37",74.2,-74.2,125.8,-125.8,200,-200
"38",112.3,-112.3,-12.3,12.3,100,-100
"39",132,-132,-32,32,100,-100
"40",47.3,-47.3,52.7,-52.7,100,-100
"41",-104.564141414141,104.564141414141,-95.4358585858586,95.4358585858586,-200,200
"42",-69.95,69.95,-30.05,30.05,-100,100
"43",-126.462121212121,126.462121212121,-273.537878787879,273.537878787879,-400,400
"44",-121.745454545455,121.745454545455,-78.2545454545455,78.2545454545455,-200,200
"45",-297.963636363636,297.963636363636,-2402.03636363636,2402.03636363636,-2700,2700
"46",723.646464646465,-723.646464646465,1076.35353535354,-1076.35353535354,1800,-1800
"47",-78.8,78.8,-21.2,21.2,-100,100
"48",-62.65,62.65,-137.35,137.35,-200,200
"49",-55.5136363636364,55.5136363636364,-544.486363636364,544.486363636364,-600,600
"50",101.2,-101.2,-1.2,1.2,100,-100
"51",126.65,-126.65,73.35,-73.35,200,-200
"52",64,-64,36,-36,100,-100
"53",81.2,-81.2,18.8,-18.8,100,-100
"54",-117.716161616162,117.716161616162,-82.2838383838384,82.2838383838384,-200,200
"55",69.5,-69.5,30.5,-30.5,100,-100
"56",128.8,-128.8,71.2,-71.2,200,-200
"57",-122.5,122.5,-177.5,177.5,-300,300
"58",110.4,-110.4,-10.4,10.4,100,-100
"59",56.2,-56.2,43.8,-43.8,100,-100
"60",116.45,-116.45,-16.45,16.45,100,-100
"61",-211.65101010101,211.65101010101,-1588.34898989899,1588.34898989899,-1800,1800
"62",119.35,-119.35,-19.35,19.35,100,-100
"63",111.8,-111.8,-11.8,11.8,100,-100
"64",157.571717171717,-157.571717171717,442.428282828283,-442.428282828283,600,-600
"65",68.4,-68.4,31.6,-31.6,100,-100
"66",81.75,-81.75,18.25,-18.25,100,-100
"67",-65.15,65.15,-34.85,34.85,-100,100
"68",110.705555555556,-110.705555555556,1689.29444444444,-1689.29444444444,1800,-1800
"69",109.587878787879,-109.587878787879,90.4121212121212,-90.4121212121212,200,-200
"70",-87.4,87.4,-12.6,12.6,-100,100
"71",54.8,-54.8,45.2,-45.2,100,-100
"72",144.55,-144.55,-44.55,44.55,100,-100
"73",-106.24696969697,106.24696969697,-493.75303030303,493.75303030303,-600,600
"74",-139.05,139.05,-60.95,60.95,-200,200
"75",268.842929292929,-268.842929292929,-68.8429292929293,68.8429292929293,200,-200
"76",115.1,-115.1,-15.1,15.1,100,-100
"77",89.8,-89.8,10.2,-10.2,100,-100
"78",-280.286363636364,280.286363636364,-319.713636363636,319.713636363636,-600,600
"79",-65.65,65.65,-234.35,234.35,-300,300
"80",-68.9,68.9,-231.1,231.1,-300,300
"81",-90.7,90.7,-209.3,209.3,-300,300
"82",86.5,-86.5,13.5,-13.5,100,-100
"83",-275.599494949495,275.599494949495,-1524.4005050505,1524.4005050505,-1800,1800
"84",123.15,-123.15,-23.15,23.15,100,-100
"85",-204.423737373737,204.423737373737,-395.576262626263,395.576262626263,-600,600
"86",148.356565656566,-148.356565656566,451.643434343434,-451.643434343434,600,-600
"87",93.940404040404,-93.940404040404,106.059595959596,-106.059595959596,200,-200
"88",-108.122222222222,108.122222222222,-1691.87777777778,1691.87777777778,-1800,1800
"89",155.045454545455,-155.045454545455,44.9545454545455,-44.9545454545455,200,-200
"90",95.35,-95.35,204.65,-204.65,300,-300
"91",86.0631313131314,-86.0631313131314,513.936868686869,-513.936868686869,600,-600
"92",68.2,-68.2,131.8,-131.8,200,-200
"93",67.85,-67.85,32.15,-32.15,100,-100
"94",-124.95,124.95,-175.05,175.05,-300,300
"95",-83.7,83.7,-116.3,116.3,-200,200
"96",-69.2,69.2,-30.8,30.8,-100,100
"97",-82.55,82.55,-217.45,217.45,-300,300
"98",-253.919191919192,253.919191919192,-346.080808080808,346.080808080808,-600,600
"99",125.262121212121,-125.262121212121,74.7378787878788,-74.7378787878788,200,-200
"100",-458.382828282828,458.382828282828,-2241.61717171717,2241.61717171717,-2700,2700
"101",273.552525252525,-273.552525252525,1526.44747474747,-1526.44747474747,1800,-1800
"102",121.5,-121.5,-21.5,21.5,100,-100
"103",-173.95,173.95,-726.05,726.05,-900,900
"104",-76.3868686868687,76.3868686868687,-123.613131313131,123.613131313131,-200,200
"105",-78.95,78.95,-121.05,121.05,-200,200
"106",-199.131818181818,199.131818181818,-700.868181818182,700.868181818182,-900,900
"107",76.55,-76.55,23.45,-23.45,100,-100
"108",-124.35,124.35,-75.65,75.65,-200,200
"109",987.205808080808,-987.205808080808,1262.79419191919,-1262.79419191919,2250,-2250
"110",-114.6,114.6,-185.4,185.4,-300,300
"111",-254.738888888889,254.738888888889,-2445.26111111111,2445.26111111111,-2700,2700
"112",68.15,-68.15,231.85,-231.85,300,-300
"113",69.4,-69.4,130.6,-130.6,200,-200
"114",-72.6434343434343,72.6434343434343,-127.356565656566,127.356565656566,-200,200
"115",135.4,-135.4,-35.4,35.4,100,-100
"116",-68.9,68.9,-231.1,231.1,-300,300
"117",-58.5,58.5,-41.5,41.5,-100,100
"118",-76.9651515151515,76.9651515151515,-123.034848484848,123.034848484848,-200,200
"119",84.65,-84.65,15.35,-15.35,100,-100
"120",66.7,-66.7,33.3,-33.3,100,-100
"121",-76.9,76.9,-23.1,23.1,-100,100
"122",-172.799494949495,172.799494949495,-227.200505050505,227.200505050505,-400,400
"123",119.05,-119.05,80.95,-80.95,200,-200
"124",359.300505050505,-359.300505050505,240.699494949495,-240.699494949495,600,-600
"125",-91.1030303030303,91.1030303030303,-508.89696969697,508.89696969697,-600,600
"126",87.6,-87.6,112.4,-112.4,200,-200
"127",76.05,-76.05,223.95,-223.95,300,-300
"128",87.1,-87.1,12.9,-12.9,100,-100
"129",134.2,-134.2,65.8,-65.8,200,-200
"130",-149.625,149.625,-350.375,350.375,-500,500
"131",138.432828282828,-138.432828282828,461.567171717172,-461.567171717172,600,-600
"132",-154.95,154.95,54.95,-54.95,-100,100
"133",103.808080808081,-103.808080808081,96.1919191919192,-96.1919191919192,200,-200
"134",-5.25,5.25,5.25,-5.25,8.88178419700125e-16,-8.88178419700125e-16
"135",-124.975757575758,124.975757575758,-1675.02424242424,1675.02424242424,-1800,1800
"136",75.65,-75.65,24.35,-24.35,100,-100
"137",-69.75,69.75,-30.25,30.25,-100,100
"138",104.417676767677,-104.417676767677,95.5823232323232,-95.5823232323232,200,-200
"139",105.5,-105.5,-5.5,5.5,100,-100
"140",-346.870202020202,346.870202020202,-1453.1297979798,1453.1297979798,-1800,1800
"141",253.731818181818,-253.731818181818,-53.7318181818182,53.7318181818182,200,-200
"142",-102.285353535354,102.285353535354,-497.714646464646,497.714646464646,-600,600
"143",-120.211616161616,120.211616161616,-79.7883838383839,79.7883838383839,-200,200
"144",-155.512121212121,155.512121212121,-444.487878787879,444.487878787879,-600,600
"145",-89.8085858585859,89.8085858585858,-1710.19141414141,1710.19141414141,-1800,1800
"146",82.9,-82.9,17.1,-17.1,100,-100
"147",67.85,-67.85,32.15,-32.15,100,-100
"148",66.65,-66.65,33.35,-33.35,100,-100
"149",-150.55,150.55,-49.45,49.45,-200,200
"150",96.35,-96.35,103.65,-103.65,200,-200
"151",322.876262626263,-322.876262626263,77.1237373737374,-77.1237373737374,400,-400
"152",68.5,-68.5,31.5,-31.5,100,-100
"153",119.9,-119.9,180.1,-180.1,300,-300
"154",132.05,-132.05,-32.05,32.05,100,-100
"155",848.99797979798,-848.99797979798,951.00202020202,-951.00202020202,1800,-1800
"156",0.700000000000001,-0.700000000000012,-0.700000000000003,0.700000000000017,-1.77635683940025e-15,5.32907051820075e-15
"157",248.356060606061,-248.356060606061,-48.3560606060606,48.3560606060606,200,-200
"158",-94.4409090909091,94.4409090909091,-105.559090909091,105.559090909091,-200,200
"159",131.85,-131.85,-31.85,31.85,100,-100
"160",105.1,-105.1,-5.10000000000001,5.10000000000002,100,-100
"161",247.015151515152,-247.015151515152,-47.0151515151515,47.0151515151515,200,-200
"162",-70.65,70.65,-29.35,29.35,-100,100
"163",-168.913636363636,168.913636363636,-731.086363636364,731.086363636364,-900,900
"164",137.25,-137.25,-37.25,37.25,100,-100
"165",71.1954545454546,-71.1954545454546,328.804545454545,-328.804545454545,400,-400
"166",69.7,-69.7,30.3,-30.3,100,-100
"167",-52.9676767676768,52.9676767676768,-147.032323232323,147.032323232323,-200,200
"168",-221.035353535354,221.035353535354,-278.964646464646,278.964646464646,-500,500
"169",14.2,-14.2,85.8,-85.8,100,-100
"170",-50.95,50.95,-49.05,49.05,-100,100
"171",59.790404040404,-59.790404040404,140.209595959596,-140.209595959596,200,-200
"172",-90.2,90.2,-9.8,9.79999999999998,-100,100
"173",72.1,-72.1,827.9,-827.9,900,-900
"174",-59.15,59.15,-240.85,240.85,-300,300
"175",94.2,-94.2,5.80000000000001,-5.80000000000001,100,-100
"176",-83.9191919191919,83.9191919191919,-516.080808080808,516.080808080808,-600,600
"177",92.05,-92.05,7.95000000000002,-7.95000000000002,100,-100
"178",132.9,-132.9,67.1,-67.1,200,-200
"179",66.9,-66.9,33.1,-33.1,100,-100
"180",-65.8444444444444,65.8444444444444,-534.155555555556,534.155555555556,-600,600
"181",-58.25,58.25,-41.75,41.75,-100,100
"182",-117.65,117.65,-182.35,182.35,-300,300
"183",53.15,-53.15,46.85,-46.85,100,-100
"184",78.9,-78.9,21.1,-21.1,100,-100
"185",-154.095454545455,154.095454545455,-445.904545454545,445.904545454545,-600,600
"186",84.55,-84.55,15.45,-15.45,100,-100
"187",-68.8,68.8,-231.2,231.2,-300,300
"188",322.941414141414,-322.941414141414,-122.941414141414,122.941414141414,200,-200
