"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",109.55,-109.55,-20109.55,20109.55,-20000,20000
"2",-115.6,115.6,15.6,-15.6,-100,100
"3",80.1,-80.1,19.9,-19.9,100,-100
"4",-109.1,109.1,9.09999999999999,-9.09999999999999,-100,100
"5",-133,133,33,-33,-100,100
"6",-127.35,127.35,27.35,-27.35,-100,100
"7",54.3510101010101,-54.3510101010101,45.6489898989899,-45.6489898989899,100,-100
"8",118.1,-118.1,-18.1,18.1,100,-100
"9",-114.5,114.5,14.5,-14.5,-100,100
"10",65.65,-65.65,34.35,-34.35,100,-100
"11",25.7,-25.7,74.3,-74.3,100,-100
"12",111,-111,-11,11,100,-100
"13",66.35,-66.35,33.65,-33.65,100,-100
"14",138.8,-138.8,-38.8,38.8,100,-100
"15",-184.9,184.9,84.9,-84.9,-100,100
"16",-84.85,84.85,-15.15,15.15,-100,100
"17",-35.7,35.7,-64.3,64.3,-100,100
"18",121.8,-121.8,-21.8,21.8,100,-100
"19",49.75,-49.75,50.25,-50.25,100,-100
"20",-115.681818181818,115.681818181818,15.6818181818182,-15.6818181818182,-100,100
"21",-37.8,37.8,-62.2,62.2,-100,100
"22",136.35,-136.35,-36.35,36.35,100,-100
"23",-68.95,68.95,-31.05,31.05,-100,100
"24",-70.4,70.4,-29.6,29.6,-100,100
"25",134.04797979798,-134.04797979798,-34.0479797979798,34.0479797979798,100,-100
"26",-136.85,136.85,36.85,-36.85,-100,100
"27",-73.6,73.6,-26.4,26.4,-100,100
"28",-110.55,110.55,10.55,-10.55,-100,100
"29",-74.45,74.45,-25.55,25.55,-100,100
"30",-125.25,125.25,25.25,-25.25,-100,100
"31",-78.25,78.25,-21.75,21.75,-100,100
"32",-93.55,93.55,-6.45,6.45,-100,100
"33",-66.05,66.05,-33.95,33.95,-100,100
"34",62.65,-62.65,37.35,-37.35,100,-100
"35",-50,50,-50,50,-100,100
"36",85.85,-85.85,14.15,-14.15,100,-100
"37",60.35,-60.35,39.65,-39.65,100,-100
"38",83.95,-83.95,16.05,-16.05,100,-100
"39",70.05,-70.05,29.95,-29.95,100,-100
"40",-130.65,130.65,30.65,-30.65,-100,100
"41",-114.95,114.95,14.95,-14.95,-100,100
"42",-49.25,49.25,-50.75,50.75,-100,100
"43",-22.3,22.3,22.3,-22.3,-3.5527136788005e-15,3.5527136788005e-15
"44",-129.4,129.4,29.4,-29.4,-100,100
"45",-29.1,29.1,-70.9,70.9,-100,100
"46",137,-137,-37,37,100,-100
"47",-38.65,38.65,38.65,-38.65,-7.105427357601e-15,0
"48",-110.3,110.3,10.3,-10.3,-100,100
"49",114.5,-114.5,-14.5,14.5,100,-100
"50",0,0,100,-100,100,-100
"51",-58.1,58.1,-41.9,41.9,-100,100
"52",-8.80000000000001,8.80000000000001,8.80000000000001,-8.80000000000001,3.5527136788005e-15,-3.5527136788005e-15
"53",127.85,-127.85,-27.85,27.85,100,-100
"54",-72.05,72.05,-27.95,27.95,-100,100
"55",70.85,-70.85,29.15,-29.15,100,-100
"56",-132.95,132.95,32.95,-32.95,-100,100
"57",55.6,-55.6,44.4,-44.4,100,-100
"58",-122.631818181818,122.631818181818,22.6318181818182,-22.6318181818182,-100,100
"59",-82.75,82.75,-17.25,17.25,-100,100
"60",-50.95,50.95,-49.05,49.05,-100,100
"61",131.45,-131.45,-31.45,31.45,100,-100
"62",-48.6045454545454,48.6045454545454,-19951.3954545455,19951.3954545455,-20000,20000
"63",121.1,-121.1,-21.1,21.1,100,-100
"64",-84.05,84.05,-15.95,15.95,-100,100
"65",140.5,-140.5,-40.5,40.5,100,-100
"66",78.5,-78.5,21.5,-21.5,100,-100
"67",-67.3409090909091,67.3409090909091,-32.6590909090909,32.6590909090909,-100,100
"68",124.75,-124.75,-24.75,24.75,100,-100
"69",75.25,-75.25,24.75,-24.75,100,-100
"70",-66,66,-34,34,-100,100
"71",-4.80000000000001,4.80000000000001,4.80000000000001,-4.80000000000001,5.32907051820075e-15,-5.32907051820075e-15
"72",4.55000000000001,-4.55000000000001,-20004.55,20004.55,-20000,20000
"73",117.95,-117.95,-17.95,17.95,100,-100
"74",0,0,100,-100,100,-100
"75",11.45,-11.45,-11.45,11.45,1.77635683940025e-15,-3.5527136788005e-15
"76",-68.8,68.8,-31.2,31.2,-100,100
"77",-68,68,-32,32,-100,100
"78",71.75,-71.75,28.25,-28.25,100,-100
"79",129.4,-129.4,-29.4,29.4,100,-100
"80",128.05,-128.05,-28.05,28.05,100,-100
"81",-77.35,77.35,-22.65,22.65,-100,100
"82",-53.4,53.4,-46.6,46.6,-100,100
"83",142.05,-142.05,-42.05,42.05,100,-100
"84",84.65,-84.65,15.35,-15.35,100,-100
"85",130.45,-130.45,-30.45,30.45,100,-100
"86",144.4,-144.4,-44.4,44.4,100,-100
"87",92.7,-92.7,7.3,-7.3,100,-100
"88",-110.45,110.45,10.45,-10.45,-100,100
"89",80.6,-80.6,19.4,-19.4,100,-100
"90",82.5,-82.5,17.5,-17.5,100,-100
"91",-63.0818181818182,63.0818181818182,-36.9181818181818,36.9181818181818,-100,100
"92",-143.2,143.2,-19856.8,19856.8,-20000,20000
"93",65.2,-65.2,34.8,-34.8,100,-100
"94",-117.4,117.4,17.4,-17.4,-100,100
"95",-29.6,29.6,-70.4,70.4,-100,100
"96",-90.15,90.15,-9.85000000000001,9.85000000000001,-100,100
"97",88.6,-88.6,11.4,-11.4,100,-100
"98",-111.418181818182,111.418181818182,11.4181818181818,-11.4181818181818,-100,100
"99",68.7,-68.7,31.3,-31.3,100,-100
"100",-137.95,137.95,37.95,-37.95,-100,100
"101",81.35,-81.35,18.65,-18.65,100,-100
"102",-65.7,65.7,-34.3,34.3,-100,100
"103",83.8,-83.8,16.2,-16.2,100,-100
"104",113.75,-113.75,-13.75,13.75,100,-100
"105",-131.15,131.15,31.15,-31.15,-100,100
"106",-134.5,134.5,34.5,-34.5,-100,100
"107",0,0,100,-100,100,-100
"108",-52.9,52.9,-47.1,47.1,-100,100
"109",-74.75,74.75,-25.25,25.25,-100,100
"110",61.7,-61.7,38.3,-38.3,100,-100
"111",0,0,-100,100,-100,100
"112",-43.7,43.7,43.7,-43.7,7.105427357601e-15,0
"113",-73.45,73.45,-26.55,26.55,-100,100
"114",62.4,-62.4,37.6,-37.6,100,-100
"115",138.35,-138.35,-38.35,38.35,100,-100
"116",61.4,-61.4,38.6,-38.6,100,-100
"117",26.15,-26.15,-26.15,26.15,7.105427357601e-15,-7.105427357601e-15
"118",59.3,-59.3,40.7,-40.7,100,-100
"119",-70.4,70.4,-29.6,29.6,-100,100
"120",88.8,-88.8,11.2,-11.2,100,-100
"121",-76.05,76.05,-23.95,23.95,-100,100
"122",78.15,-78.15,21.85,-21.85,100,-100
"123",119.15,-119.15,-19.15,19.15,100,-100
"124",64.9,-64.9,35.1,-35.1,100,-100
"125",-72.2,72.2,-27.8,27.8,-100,100
"126",117.25,-117.25,-17.25,17.25,100,-100
"127",-69.65,69.65,-30.35,30.35,-100,100
"128",-44.7,44.7,44.7,-44.7,7.105427357601e-15,7.105427357601e-15
"129",-120,120,20,-20,-100,100
"130",-93.7,93.7,-6.3,6.3,-100,100
"131",-106.9,106.9,6.89999999999999,-6.89999999999999,-100,100
"132",-80.9,80.9,-19.1,19.1,-100,100
"133",-117.7,117.7,17.7,-17.7,-100,100
"134",-9.45,9.45,9.45,-9.45,0,0
"135",-138.95,138.95,38.95,-38.95,-100,100
"136",-69.15,69.15,-30.85,30.85,-100,100
"137",-120.1,120.1,20.1,-20.1,-100,100
"138",-136.7,136.7,36.7,-36.7,-100,100
"139",80.55,-80.55,19.45,-19.45,100,-100
"140",-39,39,-19961,19961,-20000,20000
"141",-126.6,126.6,26.6,-26.6,-100,100
"142",50.3,-50.3,49.7,-49.7,100,-100
"143",-48.4,48.4,-51.6,51.6,-100,100
"144",-81.2,81.2,-18.8,18.8,-100,100
"145",0,0,-100,100,-100,100
"146",135.95,-135.95,-35.95,35.95,100,-100
"147",81.8,-81.8,18.2,-18.2,100,-100
"148",68.9,-68.9,31.1,-31.1,100,-100
"149",93.6,-93.6,6.39999999999998,-6.39999999999998,100,-100
"150",-147.9,147.9,47.9,-47.9,-100,100
"151",-63.65,63.65,-36.35,36.35,-100,100
"152",66.9636363636364,-66.9636363636364,33.0363636363636,-33.0363636363636,100,-100
"153",30.85,-30.85,-30.85,30.85,7.105427357601e-15,-7.105427357601e-15
"154",-52.05,52.05,-47.95,47.95,-100,100
"155",61.5,-61.5,38.5,-38.5,100,-100
"156",-79.35,79.35,-20.65,20.65,-100,100
"157",-67.25,67.25,-32.75,32.75,-100,100
"158",133.05,-133.05,-33.05,33.05,100,-100
"159",-127.9,127.9,27.9,-27.9,-100,100
"160",119.35,-119.35,-19.35,19.35,100,-100
"161",98.6,-98.6,1.40000000000001,-1.40000000000001,100,-100
"162",-31.6,31.6,-68.4,68.4,-100,100
"163",-129.9,129.9,29.9,-29.9,-100,100
"164",136.55,-136.55,-36.55,36.55,100,-100
"165",-131.15,131.15,31.15,-31.15,-100,100
"166",-12.3,12.3,12.3,-12.3,-3.5527136788005e-15,1.77635683940025e-15
"167",-54.45,54.45,-45.55,45.55,-100,100
"168",-84.45,84.45,-15.55,15.55,-100,100
"169",122.3,-122.3,-22.3,22.3,100,-100
"170",-84.55,84.55,-15.45,15.45,-100,100
"171",74.95,-74.95,25.05,-25.05,100,-100
"172",-92.3,92.3,-7.69999999999999,7.69999999999999,-100,100
"173",88.7,-88.7,11.3,-11.3,100,-100
"174",-48.5,48.5,-51.5,51.5,-100,100
"175",-128.25,128.25,28.25,-28.25,-100,100
"176",87.25,-87.25,12.75,-12.75,100,-100
"177",-125,125,25,-25,-100,100
"178",105.6,-105.6,-5.60000000000001,5.60000000000001,100,-100
"179",-71.5,71.5,-28.5,28.5,-100,100
"180",-126.35,126.35,26.35,-26.35,-100,100
"181",59.75,-59.75,40.25,-40.25,100,-100
