"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-23.85,23.85,73.85,-73.85,50,-50
"2",-23.2,23.2,73.2,-73.2,50,-50
"3",24.1,-24.1,25.9,-25.9,50,-50
"4",-29.45,29.45,79.45,-79.45,50,-50
"5",21.5,-21.5,28.5,-28.5,50,-50
"6",-28.1,28.1,78.1,-78.1,50,-50
"7",0,0,-100,100,-100,100
"8",-28.25,28.25,78.25,-78.25,50,-50
"9",20.25,-20.25,29.75,-29.75,50,-50
"10",-32.45,32.45,82.45,-82.45,50,-50
"11",10,-10,40,-40,50,-50
"12",17.7,-17.7,32.3,-32.3,50,-50
"13",13.85,-13.85,36.15,-36.15,50,-50
"14",-46,46,96,-96,50,-50
"15",12.45,-12.45,37.55,-37.55,50,-50
"16",34.85,-34.85,15.15,-15.15,50,-50
"17",-37.2131313131313,37.2131313131313,-62.7868686868687,62.7868686868687,-100,100
"18",42.3,-42.3,7.69999999999999,-7.7,50,-50
"19",25.9,-25.9,24.1,-24.1,50,-50
"20",13.65,-13.65,36.35,-36.35,50,-50
"21",5.45,-5.45,44.55,-44.55,50,-50
"22",-48.25,48.25,98.25,-98.25,50,-50
"23",-27.05,27.05,77.05,-77.05,50,-50
"24",-27.25,27.25,77.25,-77.25,50,-50
"25",-48.95,48.95,98.95,-98.95,50,-50
"26",34.55,-34.55,15.45,-15.45,50,-50
"27",75.4050505050505,-75.4050505050505,-175.405050505051,175.40505050505,-100,100
"28",-12.9,12.9,62.9,-62.9,50,-50
"29",-32.8,32.8,82.8,-82.8,50,-50
"30",32.2,-32.2,17.8,-17.8,50,-50
"31",0,0,-100,100,-100,100
"32",33.6,-33.6,16.4,-16.4,50,-50
"33",0,0,-100,100,-100,100
"34",14.55,-14.55,35.45,-35.45,50,-50
"35",-13.95,13.95,63.95,-63.95,50,-50
"36",-26.15,26.15,76.15,-76.15,50,-50
"37",70.65,-50,-20.65,0,50,-50
"38",-27.5,27.5,77.5,-77.5,50,-50
"39",-29.9,29.9,79.9,-79.9,50,-50
"40",49.8,-49.8,0.199999999999989,-0.200000000000003,50,-50
"41",-14.95,14.95,64.95,-64.95,50,-50
"42",47.25,-47.25,2.75,-2.74999999999999,50,-50
"43",0,0,-100,100,-100,100
"44",23.6,-23.6,26.4,-26.4,50,-50
"45",52.95,-50,-2.95000000000002,0,50,-50
"46",-14.6,14.6,64.6,-64.6,50,-50
"47",44.6,-44.6,5.40000000000001,-5.40000000000001,50,-50
"48",-19.1,19.1,69.1,-69.1,50,-50
"49",35.6,-35.6,14.4,-14.4,50,-50
"50",-22.6,22.6,72.6,-72.6,50,-50
"51",28.65,-28.65,21.35,-21.35,50,-50
"52",-38,38,88,-88,50,-50
"53",-18.75,18.75,68.75,-68.75,50,-50
"54",-31.3,31.3,81.3,-81.3,50,-50
"55",-37.6,37.6,87.6,-87.6,50,-50
"56",-31.3671717171717,31.3671717171717,-68.6328282828283,68.6328282828283,-100,100
"57",5.3,-5.3,44.7,-44.7,50,-50
"58",42.45,-42.45,7.55000000000001,-7.55000000000001,50,-50
"59",33.15,-33.15,16.85,-16.85,50,-50
"60",-47.530303030303,47.530303030303,-52.469696969697,52.469696969697,-100,100
"61",-27.6,27.6,77.6,-77.6,50,-50
"62",0.950000000000003,-0.950000000000003,49.05,-49.05,50,-50
"63",34.35,-34.35,15.65,-15.65,50,-50
"64",43,-43,7,-7.00000000000001,50,-50
"65",-85.4242424242424,85.4242424242424,-14.5757575757576,14.5757575757576,-100,100
"66",42.55,-42.55,7.44999999999999,-7.45,50,-50
"67",0,0,-100,100,-100,100
"68",37.55,-37.55,12.45,-12.45,50,-50
"69",-21.5,21.5,71.5,-71.5,50,-50
"70",-36.6227272727273,36.6227272727273,-63.3772727272727,63.3772727272727,-100,100
"71",32.45,-32.45,17.55,-17.55,50,-50
"72",26.85,-26.85,23.15,-23.15,50,-50
"73",38.8,-38.8,11.2,-11.2,50,-50
"74",30,-30,20,-20,50,-50
"75",26.15,-26.15,23.85,-23.85,50,-50
"76",-28.25,28.25,78.25,-78.25,50,-50
"77",11.7,-11.7,38.3,-38.3,50,-50
"78",-17.4,17.4,67.4,-67.4,50,-50
"79",41.95,-41.95,8.05000000000001,-8.05,50,-50
"80",-107.240909090909,107.240909090909,7.2409090909091,-7.2409090909091,-100,100
"81",8.2,-8.2,41.8,-41.8,50,-50
"82",23.15,-23.15,26.85,-26.85,50,-50
"83",0,0,-100,100,-100,100
"84",35.85,-35.85,14.15,-14.15,50,-50
"85",-29.95,29.95,79.95,-79.95,50,-50
"86",49.85,-49.85,0.150000000000006,-0.150000000000006,50,-50
"87",-39,39,89,-89,50,-50
"88",9.05,-9.05,40.95,-40.95,50,-50
"89",9.75000000000001,-9.75000000000001,40.25,-40.25,50,-50
"90",-17.1,17.1,67.1,-67.1,50,-50
"91",0,0,-100,100,-100,100
"92",-56.7,56.7,106.7,-106.7,50,-50
"93",-15.5,15.5,65.5,-65.5,50,-50
"94",71.5,-50,-21.5,0,50,-50
"95",38.6,-38.6,11.4,-11.4,50,-50
"96",31.8,-31.8,18.2,-18.2,50,-50
"97",4.80000000000001,-4.80000000000001,45.2,-45.2,50,-50
"98",-17.15,17.15,67.15,-67.15,50,-50
"99",-26.25,26.25,76.25,-76.25,50,-50
"100",0,0,-100,100,-100,100
"101",-15.65,15.65,65.65,-65.65,50,-50
"102",0,0,-100,100,-100,100
"103",80.1121212121212,-80.1121212121212,-180.112121212121,180.112121212121,-100,100
"104",-29.3,29.3,79.3,-79.3,50,-50
"105",0,0,-100,100,-100,100
"106",-35.35,35.35,85.35,-85.35,50,-50
"107",-23.3,23.3,73.3,-73.3,50,-50
"108",20.45,-20.45,29.55,-29.55,50,-50
"109",-23.2,23.2,73.2,-73.2,50,-50
"110",22.55,-22.55,27.45,-27.45,50,-50
"111",-71.2530303030303,71.2530303030303,-28.7469696969697,28.7469696969697,-100,100
"112",72.8,-50,-22.8,0,50,-50
"113",-16.9,16.9,66.9,-66.9,50,-50
"114",18.45,-18.45,31.55,-31.55,50,-50
"115",-5.45,5.45,55.45,-55.45,50,-50
"116",-23.1353535353535,23.1353535353535,-76.8646464646465,76.8646464646465,-100,100
"117",-28.9,28.9,78.9,-78.9,50,-50
"118",-32.55,32.55,82.55,-82.55,50,-50
"119",-11.1,11.1,61.1,-61.1,50,-50
"120",1,-1,49,-49,50,-50
"121",26.45,-26.45,23.55,-23.55,50,-50
"122",25.9,-25.9,24.1,-24.1,50,-50
"123",-61.85,61.85,-38.15,38.15,-100,100
"124",-26.8,26.8,76.8,-76.8,50,-50
"125",-3.95,3.94999999999999,53.95,-53.95,50,-50
"126",32.8,-32.8,17.2,-17.2,50,-50
"127",21.25,-21.25,28.75,-28.75,50,-50
"128",-12.55,12.55,62.55,-62.55,50,-50
"129",19.05,-19.05,30.95,-30.95,50,-50
"130",-41.35,41.35,91.35,-91.35,50,-50
"131",-50.4681818181818,50.4681818181818,-49.5318181818182,49.5318181818182,-100,100
"132",-44.8,44.8,94.8,-94.8,50,-50
"133",-56.2,56.2,-43.8,43.8,-100,100
"134",38.25,-38.25,11.75,-11.75,50,-50
"135",-32.65,32.65,82.65,-82.65,50,-50
"136",19.9,-19.9,30.1,-30.1,50,-50
"137",0,0,-100,100,-100,100
"138",-33.3,33.3,83.3,-83.3,50,-50
"139",-56.5732323232323,56.5732323232323,-43.4267676767677,43.4267676767677,-100,100
"140",120.5,-120.5,-20.5,20.5,100,-100
"141",20.75,-20.75,29.25,-29.25,50,-50
"142",-31.2,31.2,81.2,-81.2,50,-50
"143",32.2,-32.2,17.8,-17.8,50,-50
"144",7.39999999999998,-7.39999999999998,42.6,-42.6,50,-50
"145",-36.1,36.1,86.1,-86.1,50,-50
"146",24.25,-24.25,25.75,-25.75,50,-50
"147",-27.15,27.15,77.15,-77.15,50,-50
