"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-30.95,30.95,80.95,-80.95,50,-50
"2",-18,18,68,-68,50,-50
"3",23.2,-23.2,26.8,-26.8,50,-50
"4",-37.7,37.7,87.7,-87.7,50,-50
"5",-27.95,27.95,77.95,-77.95,50,-50
"6",32.05,-32.05,17.95,-17.95,50,-50
"7",-132.057575757576,132.057575757576,-19867.9424242424,19867.9424242424,-20000,20000
"8",-99.6090909090909,99.6090909090909,-19900.3909090909,19900.3909090909,-20000,20000
"9",28.45,-28.45,21.55,-21.55,50,-50
"10",-31.45,31.45,81.45,-81.45,50,-50
"11",-13.3,13.3,63.3,-63.3,50,-50
"12",-2.39999999999999,2.40000000000001,52.4,-52.4,50,-50
"13",-47.5,47.5,97.5,-97.5,50,-50
"14",-38.75,38.75,88.75,-88.75,50,-50
"15",-85.010101010101,85.010101010101,-19914.9898989899,19914.9898989899,-20000,20000
"16",-11.4893939393939,11.4893939393939,111.489393939394,-111.489393939394,100,-100
"17",37.6,-37.6,12.4,-12.4,50,-50
"18",12.2,-12.2,37.8,-37.8,50,-50
"19",-19.35,19.35,69.35,-69.35,50,-50
"20",-36.9,36.9,86.9,-86.9,50,-50
"21",19.7,-19.7,30.3,-30.3,50,-50
"22",-33.15,33.15,83.15,-83.15,50,-50
"23",0.5,-0.499999999999989,-20000.5,20000.5,-20000,20000
"24",75.15,-50,-25.15,0,50,-50
"25",28.15,-28.15,21.85,-21.85,50,-50
"26",14.3424242424242,-14.3424242424242,-114.342424242424,114.342424242424,-100,100
"27",-45.5,45.5,95.5,-95.5,50,-50
"28",28.55,-28.55,21.45,-21.45,50,-50
"29",-34.8,34.8,84.8,-84.8,50,-50
"30",-25.55,25.55,75.55,-75.55,50,-50
"31",-22,22,72,-72,50,-50
"32",24.85,-24.85,25.15,-25.15,50,-50
"33",25.8,-25.8,24.2,-24.2,50,-50
"34",-35,35,85,-85,50,-50
"35",18.45,-18.45,31.55,-31.55,50,-50
"36",-36.25,36.25,86.25,-86.25,50,-50
"37",20.75,-20.75,29.25,-29.25,50,-50
"38",-45.6,45.6,-54.4,54.4,-100,100
"39",34.0318181818182,-34.0318181818182,65.9681818181818,-65.9681818181818,100,-100
"40",-25.65,25.65,75.65,-75.65,50,-50
"41",-28.5,28.5,78.5,-78.5,50,-50
"42",36.35,-36.35,13.65,-13.65,50,-50
"43",-52.85,52.85,102.85,-102.85,50,-50
"44",40.8,-40.8,9.20000000000002,-9.20000000000001,50,-50
"45",42.85,-42.85,7.15000000000001,-7.15000000000001,50,-50
"46",-29,29,79,-79,50,-50
"47",-23.5,23.5,73.5,-73.5,50,-50
"48",36.65,-36.65,13.35,-13.35,50,-50
"49",34.9,-34.9,15.1,-15.1,50,-50
"50",-19.1,19.1,69.1,-69.1,50,-50
"51",0,0,-100,100,-100,100
"52",-45.7,45.7,95.7,-95.7,50,-50
"53",32.45,-32.45,17.55,-17.55,50,-50
"54",-13.55,13.55,63.55,-63.55,50,-50
"55",-40.2,40.2,90.2,-90.2,50,-50
"56",41.15,-41.15,8.84999999999999,-8.85,50,-50
"57",54.55,-50,-4.54999999999998,0,50,-50
"58",-51.0772727272727,51.0772727272727,151.077272727273,-151.077272727273,100,-100
"59",0.25,-0.25,49.75,-49.75,50,-50
"60",14.05,-14.05,35.95,-35.95,50,-50
"61",-11.9,11.9,61.9,-61.9,50,-50
"62",19.3,-19.3,30.7,-30.7,50,-50
"63",20.85,-20.85,29.15,-29.15,50,-50
"64",-69.45,69.45,-30.55,30.55,-100,100
"65",40.3,-40.3,9.69999999999999,-9.7,50,-50
"66",-17.1,17.1,67.1,-67.1,50,-50
"67",34.3,-34.3,15.7,-15.7,50,-50
"68",35.6,-35.6,14.4,-14.4,50,-50
"69",44.95,-44.95,5.05000000000001,-5.05,50,-50
"70",10.15,-10.15,39.85,-39.85,50,-50
"71",15.05,-15.05,34.95,-34.95,50,-50
"72",-41.2,41.2,91.2,-91.2,50,-50
"73",33.2,-33.2,16.8,-16.8,50,-50
"74",-5.59999999999999,5.60000000000001,55.6,-55.6,50,-50
"75",-29.3,29.3,79.3,-79.3,50,-50
"76",31.7,-31.7,18.3,-18.3,50,-50
"77",20.25,-20.25,29.75,-29.75,50,-50
"78",-30.95,30.95,80.95,-80.95,50,-50
"79",44.25,-44.25,5.75,-5.75000000000001,50,-50
"80",18.4,-18.4,31.6,-31.6,50,-50
"81",-42.2,42.2,92.2,-92.2,50,-50
"82",-0.5,0.499999999999986,50.5,-50.5,50,-50
"83",24.05,-24.05,25.95,-25.95,50,-50
"84",-51.3161616161616,51.3161616161617,-19948.6838383838,19948.6838383838,-20000,20000
"85",-7.05,7.05,57.05,-57.05,50,-50
"86",38.35,-38.35,11.65,-11.65,50,-50
"87",13.4,-13.4,36.6,-36.6,50,-50
"88",47.55,-47.55,2.44999999999999,-2.45,50,-50
"89",17.25,-17.25,32.75,-32.75,50,-50
"90",37.3,-37.3,12.7,-12.7,50,-50
"91",-16.7,16.7,66.7,-66.7,50,-50
"92",-9,8.99999999999999,59,-59,50,-50
"93",32,-32,18,-18,50,-50
"94",-31.2,31.2,81.2,-81.2,50,-50
"95",20.4,-20.4,29.6,-29.6,50,-50
"96",22.15,-22.15,27.85,-27.85,50,-50
"97",47.45,-47.45,2.54999999999998,-2.54999999999998,50,-50
"98",-50,50,100,-100,50,-50
"99",-26.5,26.5,76.5,-76.5,50,-50
"100",-25.25,25.25,75.25,-75.25,50,-50
"101",-18.15,18.15,68.15,-68.15,50,-50
"102",-9.35000000000001,9.35000000000001,59.35,-59.35,50,-50
"103",-12.4,12.4,62.4,-62.4,50,-50
"104",25.85,-25.85,24.15,-24.15,50,-50
"105",26.45,-26.45,23.55,-23.55,50,-50
"106",-39.3,39.3,89.3,-89.3,50,-50
"107",10.55,-10.55,39.45,-39.45,50,-50
"108",31.85,-31.85,18.15,-18.15,50,-50
"109",-35.35,35.35,85.35,-85.35,50,-50
"110",18.1,-18.1,31.9,-31.9,50,-50
"111",-8.25,8.25,58.25,-58.25,50,-50
"112",37.75,-37.75,12.25,-12.25,50,-50
"113",-22.15,22.15,72.15,-72.15,50,-50
"114",-50.9,50.9,100.9,-100.9,50,-50
"115",19.8,-19.8,30.2,-30.2,50,-50
"116",5.45,-5.45,44.55,-44.55,50,-50
"117",30.4,-30.4,19.6,-19.6,50,-50
"118",0.550000000000011,-0.550000000000011,49.45,-49.45,50,-50
"119",-51.45,51.45,151.45,-151.45,100,-100
"120",-28.35,28.35,78.35,-78.35,50,-50
"121",36.25,-36.25,13.75,-13.75,50,-50
"122",45.4,-45.4,4.59999999999999,-4.6,50,-50
"123",-96.4,96.4,-3.60000000000001,3.60000000000001,-100,100
"124",30.85,-30.85,19.15,-19.15,50,-50
"125",-16.95,16.95,66.95,-66.95,50,-50
"126",28.25,-28.25,21.75,-21.75,50,-50
"127",-27.45,27.45,77.45,-77.45,50,-50
"128",-34.4,34.4,84.4,-84.4,50,-50
"129",-29.15,29.15,79.15,-79.15,50,-50
"130",46.8,-46.8,3.19999999999999,-3.2,50,-50
"131",-44.95,44.95,94.95,-94.95,50,-50
"132",27.5,-27.5,22.5,-22.5,50,-50
"133",9.19999999999999,-9.19999999999999,40.8,-40.8,50,-50
"134",33.7,-33.7,16.3,-16.3,50,-50
"135",24.45,-24.45,25.55,-25.55,50,-50
"136",44.1,-44.1,5.90000000000001,-5.90000000000002,50,-50
"137",70.3,-50,-20.3,0,50,-50
"138",24.65,-24.65,25.35,-25.35,50,-50
"139",-41.4338383838384,41.4338383838384,-58.5661616161616,58.5661616161616,-100,100
"140",25.45,-25.45,24.55,-24.55,50,-50
"141",-22.4,22.4,72.4,-72.4,50,-50
"142",-2.86767676767677,2.86767676767676,102.867676767677,-102.867676767677,100,-100
"143",-43.3181818181818,43.3181818181818,-19956.6818181818,19956.6818181818,-20000,20000
"144",26.45,-26.45,23.55,-23.55,50,-50
"145",39.05,-39.05,10.95,-10.95,50,-50
"146",-89.6843434343434,89.6843434343434,-10.3156565656566,10.3156565656566,-100,100
"147",23.85,-23.85,26.15,-26.15,50,-50
"148",-4.95,4.95000000000002,54.95,-54.95,50,-50
"149",46.6,-46.6,3.39999999999998,-3.39999999999998,50,-50
"150",32.45,-32.45,17.55,-17.55,50,-50
"151",-22.35,22.35,72.35,-72.35,50,-50
"152",29.5,-29.5,20.5,-20.5,50,-50
"153",30.25,-30.25,19.75,-19.75,50,-50
"154",36.8,-36.8,13.2,-13.2,50,-50
"155",26.85,-26.85,23.15,-23.15,50,-50
"156",-24.25,24.25,74.25,-74.25,50,-50
"157",33.1,-33.1,16.9,-16.9,50,-50
"158",-41,41,91,-91,50,-50
"159",12.6,-12.6,37.4,-37.4,50,-50
"160",31.3,-31.3,18.7,-18.7,50,-50
"161",-29.15,29.15,79.15,-79.15,50,-50
"162",-26.5,26.5,76.5,-76.5,50,-50
"163",-43.9,43.9,93.9,-93.9,50,-50
"164",21.55,-21.55,28.45,-28.45,50,-50
"165",-18.35,18.35,68.35,-68.35,50,-50
"166",-9.8,9.79999999999998,59.8,-59.8,50,-50
"167",-37.2,37.2,87.2,-87.2,50,-50
"168",10.55,-10.55,39.45,-39.45,50,-50
"169",30.25,-30.25,19.75,-19.75,50,-50
"170",-68.6,68.6,168.6,-168.6,100,-100
"171",0,0,-100,100,-100,100
"172",18.1,-18.1,31.9,-31.9,50,-50
"173",-21,21,71,-71,50,-50
