"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",76.25,-76.25,23.75,-23.75,100,-100
"2",72.0212121212122,-72.0212121212122,27.9787878787878,-27.9787878787878,100,-100
"3",61.019696969697,-61.019696969697,38.980303030303,-38.980303030303,100,-100
"4",-747.392424242424,747.392424242424,-2669.60757575758,2669.60757575758,-3417,3417
"5",-181.605555555556,181.605555555556,-18.3944444444444,18.3944444444444,-200,200
"6",-60.7075757575758,60.7075757575758,-39.2924242424242,39.2924242424242,-100,100
"7",-60.140404040404,60.1404040404041,-39.859595959596,39.8595959595959,-100,100
"8",-29.05,29.05,-19970.95,19970.95,-20000,20000
"9",65.8611111111111,-65.8611111111111,34.1388888888889,-34.1388888888889,100,-100
"10",-1302.30555555555,1302.30555555555,8991.30555555555,-8991.30555555555,7689,-7689
"11",48.7611111111111,-48.7611111111111,51.2388888888889,-51.2388888888889,100,-100
"12",0,0,100,-100,100,-100
"13",-92.9,92.9,-207.1,207.1,-300,300
"14",246.39595959596,-246.39595959596,203.60404040404,-203.60404040404,450,-450
"15",-253.184848484848,253.184848484848,-19746.8151515152,19746.8151515152,-20000,20000
"16",1537.3702020202,-1537.3702020202,-21537.3702020202,21537.3702020202,-20000,20000
"17",119.45,-119.45,-19.45,19.45,100,-100
"18",-96.0055555555556,96.0055555555555,-1703.99444444444,1703.99444444444,-1800,1800
"19",71.6,-71.6,228.4,-228.4,300,-300
"20",181.933333333333,-181.933333333333,15418.0666666667,-15418.0666666667,15600,-15600
"21",-98.9686868686869,98.9686868686869,-101.031313131313,101.031313131313,-200,200
"22",-76.55,76.55,-19923.45,19923.45,-20000,20000
"23",86.0813131313131,-86.0813131313132,13.9186868686869,-13.9186868686868,100,-100
"24",66.7959595959596,-66.7959595959596,-20066.795959596,20066.795959596,-20000,20000
"25",-63.7873737373737,63.7873737373737,-36.2126262626263,36.2126262626263,-100,100
"26",12.3722222222222,-12.3722222222222,-112.372222222222,112.372222222222,-100,100
"27",118.35,-118.35,-18.35,18.35,100,-100
"28",-24.3823232323232,24.3823232323232,-19975.6176767677,19975.6176767677,-20000,20000
"29",-67.5,67.5,-32.5,32.5,-100,100
"30",52.3631313131313,-52.3631313131313,47.6368686868687,-47.6368686868687,100,-100
"31",-38.4979797979798,38.4979797979798,-61.5020202020202,61.5020202020202,-100,100
"32",23.0984848484848,-23.0984848484848,76.9015151515152,-76.9015151515152,100,-100
"33",65.55,-65.55,34.45,-34.45,100,-100
"34",103.243434343435,-103.243434343435,-20103.2434343434,20103.2434343434,-20000,20000
"35",-57.1631313131313,57.1631313131313,-42.8368686868687,42.8368686868687,-100,100
"36",-1768.71464646465,1768.71464646465,-18231.2853535354,18231.2853535354,-20000,20000
"37",12827.595959596,-12827.595959596,2550.40404040404,-2550.40404040404,15378,-15378
"38",728.3,-728.3,-20728.3,20728.3,-20000,20000
"39",-89.5414141414142,89.5414141414142,-10.4585858585859,10.4585858585859,-100,100
"40",-24.909595959596,24.9095959595959,-19975.0904040404,19975.0904040404,-20000,20000
"41",2.83484848484847,-2.83484848484847,97.1651515151515,-97.1651515151515,100,-100
"42",49.1,-49.1,50.9,-50.9,100,-100
"43",194.514141414141,-194.514141414141,-20194.5141414141,20194.5141414141,-20000,20000
"44",-5029.68232323232,5029.68232323232,-14970.3176767677,14970.3176767677,-20000,20000
"45",-91.1393939393939,91.1393939393939,-8.86060606060605,8.86060606060606,-100,100
"46",1129.07323232323,-1129.07323232323,-21129.0732323232,21129.0732323232,-20000,20000
"47",151.25,-151.25,148.75,-148.75,300,-300
"48",0,0,-100,100,-100,100
"49",121.169191919192,-121.169191919192,-21.1691919191919,21.1691919191919,100,-100
"50",83.4247474747475,-83.4247474747475,16.5752525252525,-16.5752525252525,100,-100
"51",74.6929292929293,-74.6929292929293,25.3070707070707,-25.3070707070707,100,-100
"52",122.069191919192,-122.069191919192,-22.0691919191919,22.0691919191919,100,-100
"53",-92.3010101010101,92.3010101010101,-7.69898989898989,7.69898989898989,-100,100
"54",215.452525252525,-215.452525252525,184.547474747475,-184.547474747475,400,-400
"55",-37.2641414141414,37.2641414141414,-62.7358585858586,62.7358585858586,-100,100
"56",-91.3989898989899,91.3989898989899,-8.60101010101008,8.60101010101008,-100,100
"57",-67.4,67.4,-32.6,32.6,-100,100
"58",-51.0823232323232,51.0823232323232,-19948.9176767677,19948.9176767677,-20000,20000
"59",92.0873737373737,-92.0873737373738,7.91262626262627,-7.91262626262624,100,-100
"60",83.2747474747475,-83.2747474747475,16.7252525252525,-16.7252525252525,100,-100
"61",99.3232323232323,-99.3232323232323,0.676767676767675,-0.676767676767675,100,-100
"62",-1538.28787878788,1538.28787878788,-18461.7121212121,18461.7121212121,-20000,20000
"63",-35.8909090909091,35.8909090909091,-64.1090909090909,64.1090909090909,-100,100
"64",68.05,-68.05,31.95,-31.95,100,-100
"65",-48.8338383838384,48.8338383838384,-51.1661616161616,51.1661616161616,-100,100
"66",-67.3207070707071,67.3207070707071,-532.679292929293,532.679292929293,-600,600
"67",82,-82,18,-18,100,-100
"68",-51.3388888888889,51.3388888888889,-48.6611111111111,48.6611111111111,-100,100
"69",173.145454545455,-173.145454545455,-20173.1454545455,20173.1454545455,-20000,20000
"70",404.30303030303,-404.30303030303,-20404.303030303,20404.303030303,-20000,20000
"71",-120,120,-180,180,-300,300
"72",73.3,-73.3,126.7,-126.7,200,-200
"73",-139.099494949495,139.099494949495,-160.900505050505,160.900505050505,-300,300
"74",-3.95303030303029,3.95303030303029,-19996.046969697,19996.046969697,-20000,20000
"75",-59.2,59.2,-40.8,40.8,-100,100
"76",-74.9090909090909,74.9090909090909,-25.0909090909091,25.0909090909091,-100,100
"77",65.4,-65.4,34.6,-34.6,100,-100
"78",-76.3,76.3,-223.7,223.7,-300,300
"79",-33.7646464646465,33.7646464646465,-66.2353535353535,66.2353535353535,-100,100
"80",23.3691919191919,-23.3691919191919,-323.369191919192,323.369191919192,-300,300
"81",84.6,-84.6,15.4,-15.4,100,-100
"82",57.4681818181818,-57.4681818181818,42.5318181818182,-42.5318181818182,100,-100
"83",-80.9732323232323,80.9732323232323,-19.0267676767677,19.0267676767677,-100,100
"84",-65.4712121212121,65.4712121212121,-34.5287878787879,34.5287878787879,-100,100
"85",-9.5449494949495,9.54494949494951,-90.4550505050505,90.4550505050505,-100,100
"86",56.8525252525253,-56.8525252525253,43.1474747474747,-43.1474747474747,100,-100
"87",-109.340909090909,109.340909090909,9.34090909090907,-9.34090909090907,-100,100
"88",-58.3,58.3,-41.7,41.7,-100,100
"89",-175.968181818182,175.968181818182,-124.031818181818,124.031818181818,-300,300
"90",0,0,100,-100,100,-100
"91",75.2414141414141,-75.2414141414141,24.7585858585859,-24.7585858585859,100,-100
"92",23089.7409090909,-23089.7409090909,-43089.7409090909,43089.7409090909,-20000,20000
"93",0,0,-100,100,-100,100
"94",68.95,-68.95,231.05,-231.05,300,-300
"95",-54.5262626262626,54.5262626262626,-45.4737373737374,45.4737373737374,-100,100
"96",-80.1,80.1,-19.9,19.9,-100,100
"97",58.55,-58.55,41.45,-41.45,100,-100
"98",-141.494949494949,141.494949494949,-19858.505050505,19858.505050505,-20000,20000
"99",90.7828282828283,-90.7828282828283,-20090.7828282828,20090.7828282828,-20000,20000
"100",192.190404040404,-192.190404040404,2507.8095959596,-2507.8095959596,2700,-2700
"101",131.598484848485,-131.598484848485,68.4015151515152,-68.4015151515152,200,-200
"102",76.6631313131313,-76.6631313131313,23.3368686868687,-23.3368686868687,100,-100
"103",67.35,-67.35,32.65,-32.65,100,-100
"104",-918.25,918.25,-19081.75,19081.75,-20000,20000
"105",22.4878787878788,-22.4878787878788,-20022.4878787879,20022.4878787879,-20000,20000
"106",-1.29999999999999,1.29999999999999,1.29999999999998,-1.29999999999998,-7.105427357601e-15,7.105427357601e-15
"107",-6.64343434343435,6.64343434343435,-19993.3565656566,19993.3565656566,-20000,20000
"108",3611.41818181818,-3611.41818181818,10059.5818181818,-10059.5818181818,13671,-13671
"109",-111.95,111.95,-188.05,188.05,-300,300
"110",-2914.31919191919,2914.31919191919,-17085.6808080808,17085.6808080808,-20000,20000
"111",50.2,-50.2,-20050.2,20050.2,-20000,20000
"112",114.05,-114.05,185.95,-185.95,300,-300
"113",148.09696969697,-148.09696969697,151.90303030303,-151.90303030303,300,-300
"114",-0.4,0.4,-299.6,299.6,-300,300
"115",82.0252525252525,-82.0252525252525,17.9747474747475,-17.9747474747475,100,-100
"116",-114.05,114.05,-85.95,85.95,-200,200
"117",-264.953535353535,264.953535353535,-335.046464646465,335.046464646465,-600,600
"118",65.2353535353535,-65.2353535353535,-20065.2353535354,20065.2353535354,-20000,20000
"119",48.85,-48.85,51.15,-51.15,100,-100
"120",6.49999999999999,-6.49999999999999,-6.5,6.5,-7.105427357601e-15,7.105427357601e-15
"121",33.2070707070707,-33.2070707070707,-20033.2070707071,20033.2070707071,-20000,20000
"122",-189.116161616162,189.116161616162,-19810.8838383838,19810.8838383838,-20000,20000
"123",-71.6,71.6,-28.4,28.4,-100,100
"124",-42.7823232323232,42.7823232323233,-19957.2176767677,19957.2176767677,-20000,20000
"125",-259.013636363636,259.013636363636,-190.986363636364,190.986363636364,-450,450
"126",-78.75,78.75,-21.25,21.25,-100,100
"127",-39.4833333333333,39.4833333333333,-60.5166666666667,60.5166666666667,-100,100
"128",-81.6,81.6,-19918.4,19918.4,-20000,20000
"129",101.95,-101.95,198.05,-198.05,300,-300
"130",-203.616666666667,203.616666666667,3.61666666666665,-3.61666666666665,-200,200
"131",74.8,-74.8,25.2,-25.2,100,-100
"132",165.236868686869,-165.236868686869,434.763131313131,-434.763131313131,600,-600
"133",-140.25,140.25,-59.75,59.75,-200,200
"134",130.65,-130.65,-30.65,30.65,100,-100
"135",71.1,-71.1,28.9,-28.9,100,-100
"136",63.3893939393939,-63.389393939394,36.6106060606061,-36.610606060606,100,-100
"137",-78.3,78.3,-21.7,21.7,-100,100
"138",81.3388888888889,-81.3388888888889,8918.66111111111,-8918.66111111111,9000,-9000
"139",70.75,-70.75,29.25,-29.25,100,-100
"140",-175.147474747475,175.147474747475,-19824.8525252525,19824.8525252525,-20000,20000
"141",-86.4,86.4,-13.6,13.6,-100,100
"142",2251.28333333333,-2251.28333333333,-22251.2833333333,22251.2833333333,-20000,20000
"143",-7381.20909090909,7381.20909090909,-12618.7909090909,12618.7909090909,-20000,20000
"144",54.6,-54.6,45.4,-45.4,100,-100
"145",0,0,100,-100,100,-100
"146",-65.7070707070707,65.7070707070707,-34.2929292929293,34.2929292929293,-100,100
"147",28.7020202020202,-28.7020202020202,571.29797979798,-571.29797979798,600,-600
"148",66.45,-66.45,33.55,-33.55,100,-100
"149",104.597474747475,-104.597474747475,495.402525252525,-495.402525252525,600,-600
"150",73.9580808080808,-73.9580808080808,26.0419191919192,-26.0419191919192,100,-100
"151",92.5,-92.5,7.5,-7.5,100,-100
"152",71.05,-71.05,28.95,-28.95,100,-100
"153",-337.979292929293,337.979292929293,-2362.02070707071,2362.02070707071,-2700,2700
"154",50.2954545454546,-50.2954545454546,49.7045454545454,-49.7045454545454,100,-100
"155",-127.3,127.3,27.3,-27.3,-100,100
"156",-83.1974747474747,83.1974747474747,-16.8025252525253,16.8025252525253,-100,100
"157",8.3,-8.3,-8.3,8.3,0,0
"158",30.45,-30.45,-30.45,30.45,-3.5527136788005e-15,-1.06581410364015e-14
"159",30.6363636363636,-30.6363636363636,69.3636363636363,-69.3636363636364,100,-100
"160",-42.5848484848485,42.5848484848485,-57.4151515151515,57.4151515151515,-100,100
"161",129.513636363636,-129.513636363636,1070.48636363636,-1070.48636363636,1200,-1200
"162",55.1469696969697,-55.1469696969697,-20055.146969697,20055.146969697,-20000,20000
"163",47.1707070707071,-47.1707070707071,52.8292929292929,-52.8292929292929,100,-100
"164",100.181313131313,-100.181313131313,-0.181313131313146,0.181313131313146,100,-100
"165",50.05,-50.05,-20050.05,20050.05,-20000,20000
"166",-69.3,69.3,-130.7,130.7,-200,200
"167",-53.2,53.2,-46.8,46.8,-100,100
"168",15.3737373737374,-15.3737373737374,-20015.3737373737,20015.3737373737,-20000,20000
"169",-4511.26363636364,4511.26363636364,-15488.7363636364,15488.7363636364,-20000,20000
"170",-83.7,83.7,-216.3,216.3,-300,300
"171",63.35,-63.35,236.65,-236.65,300,-300
"172",87.2974747474748,-87.2974747474748,12.7025252525252,-12.7025252525252,100,-100
"173",-67.1,67.1,-232.9,232.9,-300,300
"174",75.6085858585859,-75.6085858585859,-20075.6085858586,20075.6085858586,-20000,20000
"175",60.6227272727273,-60.6227272727273,39.3772727272727,-39.3772727272727,100,-100
"176",60.0515151515151,-60.0515151515151,39.9484848484849,-39.9484848484849,100,-100
"177",130.843939393939,-130.843939393939,-20130.8439393939,20130.8439393939,-20000,20000
"178",0,0,-100,100,-100,100
"179",-71.5954545454545,71.5954545454545,-28.4045454545454,28.4045454545454,-100,100
"180",0,0,-100,100,-100,100
"181",75.839898989899,-75.839898989899,724.160101010101,-724.160101010101,800,-800
"182",-81,81,-19,19,-100,100
"183",-89.0813131313131,89.0813131313131,-10.9186868686869,10.9186868686869,-100,100
"184",-200.830808080808,200.830808080808,-19799.1691919192,19799.1691919192,-20000,20000
"185",29.8585858585859,-29.8585858585859,70.1414141414141,-70.1414141414141,100,-100
"186",55.95,-55.95,44.05,-44.05,100,-100
"187",225.029797979798,-225.029797979798,-20225.0297979798,20225.0297979798,-20000,20000
"188",712.191919191919,-712.191919191919,-20712.1919191919,20712.1919191919,-20000,20000
"189",-65.75,65.75,-234.25,234.25,-300,300
"190",-99.0863636363636,99.0863636363636,-0.913636363636357,0.913636363636371,-100,100
"191",-230.836868686869,230.836868686869,-169.163131313131,169.163131313131,-400,400
"192",76.6828282828283,-76.6828282828283,23.3171717171717,-23.3171717171717,100,-100
"193",71.5863636363636,-71.5863636363636,28.4136363636364,-28.4136363636364,100,-100
"194",93.55,-93.55,3206.45,-3206.45,3300,-3300
"195",123.85,-123.85,176.15,-176.15,300,-300
"196",-35.9257575757576,35.9257575757576,-64.0742424242424,64.0742424242424,-100,100
"197",0,0,-100,100,-100,100
"198",-95.2494949494949,95.2494949494949,-4.75050505050507,4.75050505050507,-100,100
"199",-83.15,83.15,-16.85,16.85,-100,100
"200",80.4085858585858,-80.4085858585858,19.5914141414142,-19.5914141414142,100,-100
"201",-143.4,143.4,43.4,-43.4,-100,100
"202",154.797474747475,-154.797474747475,45.2025252525252,-45.2025252525252,200,-200
"203",692.486363636364,-692.486363636363,-20692.4863636364,20692.4863636364,-20000,20000
"204",75.7,-75.7,24.3,-24.3,100,-100
"205",-16.3363636363636,16.3363636363636,-283.663636363636,283.663636363636,-300,300
"206",-85.2535353535344,85.2535353535344,-19914.7464646465,19914.7464646465,-20000,20000
"207",35.2808080808081,-35.2808080808081,-20035.2808080808,20035.2808080808,-20000,20000
