"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-21.25,21.25,71.25,-71.25,50,-50
"2",76.25,-50,-26.25,0,50,-50
"3",-44.1,44.1,94.1,-94.1,50,-50
"4",30.4,-30.4,19.6,-19.6,50,-50
"5",33,-33,17,-17,50,-50
"6",16.35,-16.35,33.65,-33.65,50,-50
"7",29.9,-29.9,20.1,-20.1,50,-50
"8",0,0,-100,100,-100,100
"9",0,0,-100,100,-100,100
"10",14.9,-14.9,35.1,-35.1,50,-50
"11",-19.45,19.45,69.45,-69.45,50,-50
"12",-18.2,18.2,68.2,-68.2,50,-50
"13",-31.55,31.55,81.55,-81.55,50,-50
"14",23.05,-23.05,26.95,-26.95,50,-50
"15",42.2,-42.2,7.80000000000001,-7.8,50,-50
"16",10.45,-10.45,39.55,-39.55,50,-50
"17",-19.8,19.8,69.8,-69.8,50,-50
"18",0,0,-100,100,-100,100
"19",31.9,-31.9,18.1,-18.1,50,-50
"20",39.7,-39.7,10.3,-10.3,50,-50
"21",-32.15,32.15,82.15,-82.15,50,-50
"22",-13.25,13.25,63.25,-63.25,50,-50
"23",20.55,-20.55,29.45,-29.45,50,-50
"24",-25.15,25.15,75.15,-75.15,50,-50
"25",26.9,-26.9,23.1,-23.1,50,-50
"26",-13.85,13.85,63.85,-63.85,50,-50
"27",23.9,-23.9,26.1,-26.1,50,-50
"28",-20.15,20.15,70.15,-70.15,50,-50
"29",-34.1,34.1,84.1,-84.1,50,-50
"30",30.95,-30.95,19.05,-19.05,50,-50
"31",10.9,-10.9,39.1,-39.1,50,-50
"32",19.7,-19.7,30.3,-30.3,50,-50
"33",0,0,-100,100,-100,100
"34",0,0,-100,100,-100,100
"35",-26.15,26.15,76.15,-76.15,50,-50
"36",22.85,-22.85,27.15,-27.15,50,-50
"37",-30.25,30.25,80.25,-80.25,50,-50
"38",-22.6,22.6,72.6,-72.6,50,-50
"39",34.35,-34.35,15.65,-15.65,50,-50
"40",-32.3,32.3,82.3,-82.3,50,-50
"41",41.5,-41.5,8.5,-8.5,50,-50
"42",-39,39,89,-89,50,-50
"43",33.65,-33.65,16.35,-16.35,50,-50
"44",-23.5,23.5,73.5,-73.5,50,-50
"45",30.2,-30.2,19.8,-19.8,50,-50
"46",-32.3,32.3,82.3,-82.3,50,-50
"47",38.55,-38.55,11.45,-11.45,50,-50
"48",15.95,-15.95,34.05,-34.05,50,-50
"49",41.3,-41.3,8.70000000000002,-8.70000000000002,50,-50
"50",41.1,-41.1,8.90000000000001,-8.9,50,-50
"51",41.3,-41.3,8.70000000000002,-8.70000000000002,50,-50
"52",18.25,-18.25,31.75,-31.75,50,-50
"53",-23.05,23.05,73.05,-73.05,50,-50
"54",18.3,-18.3,31.7,-31.7,50,-50
"55",15.8,-15.8,34.2,-34.2,50,-50
"56",27.1,-27.1,22.9,-22.9,50,-50
"57",20.1,-20.1,29.9,-29.9,50,-50
"58",30.3,-30.3,19.7,-19.7,50,-50
"59",-28.55,28.55,78.55,-78.55,50,-50
"60",1.79999999999998,-1.79999999999998,48.2,-48.2,50,-50
"61",30.3,-30.3,19.7,-19.7,50,-50
"62",-14.8,14.8,64.8,-64.8,50,-50
"63",27.25,-27.25,22.75,-22.75,50,-50
"64",20.85,-20.85,29.15,-29.15,50,-50
"65",-32.75,32.75,82.75,-82.75,50,-50
"66",-26.5,26.5,76.5,-76.5,50,-50
"67",28.25,-28.25,21.75,-21.75,50,-50
"68",36.75,-36.75,13.25,-13.25,50,-50
"69",0,0,-100,100,-100,100
"70",0,0,-100,100,-100,100
"71",51.15,-50,-1.15000000000001,0,50,-50
"72",44.8,-44.8,5.20000000000002,-5.2,50,-50
"73",-29.2,29.2,79.2,-79.2,50,-50
"74",-46.6,46.6,96.6,-96.6,50,-50
"75",-50.3,50.3,100.3,-100.3,50,-50
"76",42.7,-42.7,7.29999999999998,-7.3,50,-50
"77",0,0,-100,100,-100,100
"78",-38.25,38.25,88.25,-88.25,50,-50
"79",-26.75,26.75,76.75,-76.75,50,-50
"80",17,-17,33,-33,50,-50
"81",0,0,-100,100,-100,100
"82",-10.3,10.3,60.3,-60.3,50,-50
"83",-22,22,72,-72,50,-50
"84",-26.8,26.8,76.8,-76.8,50,-50
"85",23.8,-23.8,26.2,-26.2,50,-50
"86",34.25,-34.25,15.75,-15.75,50,-50
"87",-24.35,24.35,74.35,-74.35,50,-50
"88",29.25,-29.25,20.75,-20.75,50,-50
"89",-8.95,8.95000000000002,58.95,-58.95,50,-50
"90",36.65,-36.65,13.35,-13.35,50,-50
"91",37.35,-37.35,12.65,-12.65,50,-50
"92",-27.5,27.5,77.5,-77.5,50,-50
"93",-25.15,25.15,75.15,-75.15,50,-50
"94",-17.55,17.55,67.55,-67.55,50,-50
"95",0,0,-100,100,-100,100
"96",-34.25,34.25,84.25,-84.25,50,-50
"97",30.1,-30.1,19.9,-19.9,50,-50
"98",-28.45,28.45,78.45,-78.45,50,-50
"99",19.75,-19.75,30.25,-30.25,50,-50
"100",-29,29,79,-79,50,-50
"101",-23.4,23.4,73.4,-73.4,50,-50
"102",2.25,-2.25,47.75,-47.75,50,-50
"103",29.35,-29.35,20.65,-20.65,50,-50
"104",-24.15,24.15,74.15,-74.15,50,-50
"105",-16.45,16.45,66.45,-66.45,50,-50
"106",7.3,-7.3,42.7,-42.7,50,-50
"107",26.25,-26.25,23.75,-23.75,50,-50
"108",47.15,-47.15,2.85000000000002,-2.85000000000002,50,-50
"109",10.35,-10.35,39.65,-39.65,50,-50
"110",-28.1,28.1,78.1,-78.1,50,-50
"111",-14.6,14.6,64.6,-64.6,50,-50
"112",-17.65,17.65,67.65,-67.65,50,-50
"113",36.7,-36.7,13.3,-13.3,50,-50
"114",11.8,-11.8,38.2,-38.2,50,-50
"115",-50.45,50.45,100.45,-100.45,50,-50
"116",9.79999999999998,-9.79999999999998,40.2,-40.2,50,-50
"117",-36,36,86,-86,50,-50
"118",-33.65,33.65,83.65,-83.65,50,-50
"119",-12.1,12.1,62.1,-62.1,50,-50
"120",7.95000000000002,-7.95000000000002,42.05,-42.05,50,-50
"121",-41.05,41.05,91.05,-91.05,50,-50
"122",-41.75,41.75,91.75,-91.75,50,-50
"123",0,0,-100,100,-100,100
"124",34.75,-34.75,15.25,-15.25,50,-50
"125",-17.8,17.8,67.8,-67.8,50,-50
"126",-8.85000000000001,8.85000000000001,58.85,-58.85,50,-50
"127",31,-31,19,-19,50,-50
"128",0,0,-100,100,-100,100
"129",20.85,-20.85,29.15,-29.15,50,-50
"130",35.45,-35.45,14.55,-14.55,50,-50
"131",37.1,-37.1,12.9,-12.9,50,-50
"132",-15.05,15.05,65.05,-65.05,50,-50
"133",-43.95,43.95,93.95,-93.95,50,-50
"134",-33.8,33.8,83.8,-83.8,50,-50
"135",15.4,-15.4,34.6,-34.6,50,-50
"136",55.25,-50,-5.25,0,50,-50
"137",-45.45,45.45,95.45,-95.45,50,-50
"138",-30.75,30.75,80.75,-80.75,50,-50
"139",40.2,-40.2,9.80000000000001,-9.80000000000001,50,-50
"140",-19.75,19.75,69.75,-69.75,50,-50
"141",-11.15,11.15,61.15,-61.15,50,-50
"142",-41.55,41.55,91.55,-91.55,50,-50
"143",33.05,-33.05,16.95,-16.95,50,-50
"144",-37.65,37.65,87.65,-87.65,50,-50
"145",-32.35,32.35,82.35,-82.35,50,-50
"146",-26.1,26.1,76.1,-76.1,50,-50
"147",-27.5,27.5,77.5,-77.5,50,-50
"148",0,0,-100,100,-100,100
"149",0,0,-100,100,-100,100
"150",25.75,-25.75,24.25,-24.25,50,-50
"151",48.9,-48.9,1.10000000000002,-1.10000000000001,50,-50
"152",-35.65,35.65,85.65,-85.65,50,-50
"153",-49.05,49.05,99.05,-99.05,50,-50
"154",10.85,-10.85,39.15,-39.15,50,-50
"155",76.7,-50,-26.7,0,50,-50
"156",-17.5,17.5,67.5,-67.5,50,-50
"157",23.5,-23.5,26.5,-26.5,50,-50
"158",-26.65,26.65,76.65,-76.65,50,-50
"159",5.2,-5.2,44.8,-44.8,50,-50
"160",-18.25,18.25,68.25,-68.25,50,-50
"161",-54.05,54.05,104.05,-104.05,50,-50
"162",-45.8,45.8,95.8,-95.8,50,-50
"163",26.9,-26.9,23.1,-23.1,50,-50
"164",-25.6,25.6,75.6,-75.6,50,-50
"165",24.25,-24.25,25.75,-25.75,50,-50
"166",-46.75,46.75,96.75,-96.75,50,-50
"167",31.1,-31.1,18.9,-18.9,50,-50
"168",-37.35,37.35,87.35,-87.35,50,-50
"169",-32.75,32.75,82.75,-82.75,50,-50
"170",-24.85,24.85,74.85,-74.85,50,-50
"171",-38.7,38.7,88.7,-88.7,50,-50
"172",26.15,-26.15,23.85,-23.85,50,-50
"173",28.45,-28.45,21.55,-21.55,50,-50
"174",-21.3,21.3,71.3,-71.3,50,-50
"175",-12.45,12.45,62.45,-62.45,50,-50
"176",-36.75,36.75,86.75,-86.75,50,-50
"177",33.7,-33.7,16.3,-16.3,50,-50
"178",34,-34,16,-16,50,-50
"179",-21.05,21.05,71.05,-71.05,50,-50
"180",-5.40000000000001,5.40000000000001,55.4,-55.4,50,-50
"181",-5.15000000000001,5.15000000000001,55.15,-55.15,50,-50
"182",43.55,-43.55,6.44999999999999,-6.45,50,-50
"183",-31.15,31.15,81.15,-81.15,50,-50
"184",-27.5,27.5,77.5,-77.5,50,-50
"185",-32.9,32.9,82.9,-82.9,50,-50
"186",8.25,-8.25,41.75,-41.75,50,-50
"187",-15.9,15.9,65.9,-65.9,50,-50
"188",-13.8,13.8,63.8,-63.8,50,-50
"189",-28.3,28.3,78.3,-78.3,50,-50
"190",36.45,-36.45,13.55,-13.55,50,-50
"191",23.8,-23.8,26.2,-26.2,50,-50
"192",25.6,-25.6,24.4,-24.4,50,-50
"193",-15.3,15.3,65.3,-65.3,50,-50
