"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",42.4,-42.4,7.59999999999999,-7.60000000000001,50,-50
"2",-34.7,34.7,84.7,-84.7,50,-50
"3",35.7,-35.7,14.3,-14.3,50,-50
"4",11.15,-11.15,38.85,-38.85,50,-50
"5",30.1,-30.1,19.9,-19.9,50,-50
"6",21.25,-21.25,28.75,-28.75,50,-50
"7",-11.15,11.15,61.15,-61.15,50,-50
"8",3.84999999999999,-3.84999999999999,46.15,-46.15,50,-50
"9",4.75000000000001,-4.75000000000001,45.25,-45.25,50,-50
"10",23.9,-23.9,26.1,-26.1,50,-50
"11",-7.59999999999999,7.60000000000001,57.6,-57.6,50,-50
"12",25.7,-25.7,24.3,-24.3,50,-50
"13",0,0,-100,100,-100,100
"14",-38.45,38.45,88.45,-88.45,50,-50
"15",37.35,-37.35,12.65,-12.65,50,-50
"16",28.3,-28.3,21.7,-21.7,50,-50
"17",26.95,-26.95,23.05,-23.05,50,-50
"18",40.95,-40.95,9.05000000000001,-9.05,50,-50
"19",18.85,-18.85,31.15,-31.15,50,-50
"20",-26.85,26.85,76.85,-76.85,50,-50
"21",27.45,-27.45,22.55,-22.55,50,-50
"22",-8.2,8.19999999999999,58.2,-58.2,50,-50
"23",31.95,-31.95,18.05,-18.05,50,-50
"24",46.4,-46.4,3.59999999999999,-3.6,50,-50
"25",29.2,-29.2,20.8,-20.8,50,-50
"26",30.5,-30.5,19.5,-19.5,50,-50
"27",-13.05,13.05,63.05,-63.05,50,-50
"28",-15.6,15.6,65.6,-65.6,50,-50
"29",28.35,-28.35,21.65,-21.65,50,-50
"30",-26.6,26.6,76.6,-76.6,50,-50
"31",-31.35,31.35,81.35,-81.35,50,-50
"32",29.25,-29.25,20.75,-20.75,50,-50
"33",-44.45,44.45,94.45,-94.45,50,-50
"34",-46.9,46.9,96.9,-96.9,50,-50
"35",3.84999999999999,-3.84999999999999,46.15,-46.15,50,-50
"36",-27.8,27.8,77.8,-77.8,50,-50
"37",43.7,-43.7,6.29999999999998,-6.3,50,-50
"38",27.9,-27.9,22.1,-22.1,50,-50
"39",-18.7,18.7,68.7,-68.7,50,-50
"40",0,0,-100,100,-100,100
"41",32.85,-32.85,17.15,-17.15,50,-50
"42",37.45,-37.45,12.55,-12.55,50,-50
"43",-30.5,30.5,80.5,-80.5,50,-50
"44",45.15,-45.15,4.84999999999999,-4.85,50,-50
"45",31.25,-31.25,18.75,-18.75,50,-50
"46",45.7,-45.7,4.29999999999998,-4.29999999999999,50,-50
"47",31.1,-31.1,18.9,-18.9,50,-50
"48",-3.84999999999999,3.84999999999999,53.85,-53.85,50,-50
"49",16.55,-16.55,33.45,-33.45,50,-50
"50",-43.4,43.4,93.4,-93.4,50,-50
"51",-49,49,99,-99,50,-50
"52",-27.7,27.7,77.7,-77.7,50,-50
"53",44.4,-44.4,5.59999999999999,-5.60000000000001,50,-50
"54",28.25,-28.25,21.75,-21.75,50,-50
"55",15.15,-15.15,34.85,-34.85,50,-50
"56",-23.4,23.4,73.4,-73.4,50,-50
"57",-12.55,12.55,62.55,-62.55,50,-50
"58",-22.55,22.55,72.55,-72.55,50,-50
"59",-24.15,24.15,74.15,-74.15,50,-50
"60",14.6,-14.6,35.4,-35.4,50,-50
"61",-32.45,32.45,82.45,-82.45,50,-50
"62",-21.6,21.6,71.6,-71.6,50,-50
"63",18.35,-18.35,31.65,-31.65,50,-50
"64",-15.45,15.45,65.45,-65.45,50,-50
"65",42.8,-42.8,7.19999999999999,-7.19999999999998,50,-50
"66",44,-44,6,-6.00000000000001,50,-50
"67",46.5,-46.5,3.5,-3.50000000000001,50,-50
"68",0,0,-100,100,-100,100
"69",-32.65,32.65,82.65,-82.65,50,-50
"70",28.4,-28.4,21.6,-21.6,50,-50
"71",40.45,-40.45,9.54999999999998,-9.54999999999999,50,-50
"72",-23.4,23.4,73.4,-73.4,50,-50
"73",29.25,-29.25,20.75,-20.75,50,-50
"74",16.3,-16.3,33.7,-33.7,50,-50
"75",0,0,-20000,20000,-20000,20000
"76",0,0,-100,100,-100,100
"77",29.35,-29.35,20.65,-20.65,50,-50
"78",29.2,-29.2,20.8,-20.8,50,-50
"79",24.65,-24.65,25.35,-25.35,50,-50
"80",39.25,-39.25,10.75,-10.75,50,-50
"81",43.3,-43.3,6.70000000000002,-6.70000000000002,50,-50
"82",-0.599999999999994,0.599999999999994,50.6,-50.6,50,-50
"83",28.35,-28.35,21.65,-21.65,50,-50
"84",12.35,-12.35,37.65,-37.65,50,-50
"85",-25.7,25.7,75.7,-75.7,50,-50
"86",-25.25,25.25,75.25,-75.25,50,-50
"87",47.65,-47.65,2.34999999999999,-2.34999999999999,50,-50
"88",-15.5,15.5,65.5,-65.5,50,-50
"89",30.25,-30.25,19.75,-19.75,50,-50
"90",16.75,-16.75,33.25,-33.25,50,-50
"91",6.45,-6.45,43.55,-43.55,50,-50
"92",66.05,-50,-16.05,0,50,-50
"93",25.8,-25.8,24.2,-24.2,50,-50
"94",28.1,-28.1,21.9,-21.9,50,-50
"95",-29.55,29.55,79.55,-79.55,50,-50
"96",0,0,-100,100,-100,100
"97",20.8,-20.8,29.2,-29.2,50,-50
"98",19.75,-19.75,30.25,-30.25,50,-50
"99",-36.15,36.15,86.15,-86.15,50,-50
"100",0,0,-100,100,-100,100
"101",26.35,-26.35,23.65,-23.65,50,-50
"102",11.45,-11.45,38.55,-38.55,50,-50
"103",11.55,-11.55,38.45,-38.45,50,-50
"104",46,-46,4,-4,50,-50
"105",-14.05,14.05,64.05,-64.05,50,-50
"106",-23.5,23.5,73.5,-73.5,50,-50
"107",52.55,-50,-2.55000000000001,0,50,-50
"108",68.45,-50,-18.45,0,50,-50
"109",-20.15,20.15,70.15,-70.15,50,-50
"110",31.5,-31.5,18.5,-18.5,50,-50
"111",35.55,-35.55,14.45,-14.45,50,-50
"112",41.75,-41.75,8.25,-8.25,50,-50
"113",-13.1,13.1,63.1,-63.1,50,-50
"114",-21.05,21.05,71.05,-71.05,50,-50
