"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-29.4,29.4,79.4,-79.4,50,-50
"2",43.85,-43.85,6.15000000000001,-6.15000000000001,50,-50
"3",-57.3,57.3,-42.7,42.7,-100,100
"4",-30.85,30.85,80.85,-80.85,50,-50
"5",-25.35,25.35,75.35,-75.35,50,-50
"6",-32.15,32.15,82.15,-82.15,50,-50
"7",0,0,100,-100,100,-100
"8",-10.65,10.65,60.65,-60.65,50,-50
"9",0,0,-100,100,-100,100
"10",50.05,-50,-0.0500000000000114,0,50,-50
"11",-19.15,19.15,69.15,-69.15,50,-50
"12",10.65,-10.65,39.35,-39.35,50,-50
"13",25.2,-25.2,24.8,-24.8,50,-50
"14",-27.15,27.15,77.15,-77.15,50,-50
"15",56.65,-50,-6.65000000000001,0,50,-50
"16",-9,8.99999999999999,59,-59,50,-50
"17",-39.05,39.05,89.05,-89.05,50,-50
"18",-32.8217171717172,32.8217171717172,-67.1782828282828,67.1782828282828,-100,100
"19",93.0742424242424,-93.0742424242424,-193.074242424242,193.074242424242,-100,100
"20",-23.75,23.75,73.75,-73.75,50,-50
"21",-15.75,15.75,65.75,-65.75,50,-50
"22",3.34999999999998,-3.34999999999998,46.65,-46.65,50,-50
"23",28.35,-28.35,21.65,-21.65,50,-50
"24",18,-18,32,-32,50,-50
"25",26.1,-26.1,23.9,-23.9,50,-50
"26",-50.3,50.3,100.3,-100.3,50,-50
"27",22.85,-22.85,27.15,-27.15,50,-50
"28",-40.65,40.65,90.65,-90.65,50,-50
"29",13.45,-13.45,36.55,-36.55,50,-50
"30",-17.7,17.7,67.7,-67.7,50,-50
"31",-29.3,29.3,79.3,-79.3,50,-50
"32",-57.4181818181818,57.4181818181818,-42.5818181818182,42.5818181818182,-100,100
"33",25.9,-25.9,24.1,-24.1,50,-50
"34",30.1,-30.1,19.9,-19.9,50,-50
"35",-94.9,94.9,-5.09999999999999,5.09999999999999,-100,100
"36",-4.2,4.2,54.2,-54.2,50,-50
"37",23.85,-23.85,26.15,-26.15,50,-50
"38",-16.05,16.05,66.05,-66.05,50,-50
"39",-41.1808080808081,41.1808080808081,-58.8191919191919,58.8191919191919,-100,100
"40",-4.95000000000002,4.95000000000002,54.95,-54.95,50,-50
"41",34.7,-34.7,15.3,-15.3,50,-50
"42",25,-25,25,-25,50,-50
"43",-25.05,25.05,75.05,-75.05,50,-50
"44",29.85,-29.85,20.15,-20.15,50,-50
"45",-33.7,33.7,83.7,-83.7,50,-50
"46",-11.95,11.95,61.95,-61.95,50,-50
"47",33.25,-33.25,16.75,-16.75,50,-50
"48",27.55,-27.55,22.45,-22.45,50,-50
"49",0,0,-100,100,-100,100
"50",-111.443939393939,111.443939393939,11.4439393939394,-11.4439393939394,-100,100
"51",-11.2681818181818,11.2681818181818,-88.7318181818182,88.7318181818182,-100,100
"52",-10.65,10.65,60.65,-60.65,50,-50
"53",28.5,-28.5,21.5,-21.5,50,-50
"54",-14.85,14.85,64.85,-64.85,50,-50
"55",116.25,-116.25,-16.25,16.25,100,-100
"56",-30.5,30.5,80.5,-80.5,50,-50
"57",-69.6,69.6,-30.4,30.4,-100,100
"58",32.7,-32.7,17.3,-17.3,50,-50
"59",76.6,-50,-26.6,0,50,-50
"60",-15.5,15.5,65.5,-65.5,50,-50
"61",-19.3,19.3,69.3,-69.3,50,-50
"62",-28.25,28.25,78.25,-78.25,50,-50
"63",0.849999999999994,-0.849999999999994,49.15,-49.15,50,-50
"64",-31.35,31.35,81.35,-81.35,50,-50
"65",17.95,-17.95,32.05,-32.05,50,-50
"66",103.15,-103.15,-3.15000000000001,3.15000000000001,100,-100
"67",47.2,-47.2,2.80000000000001,-2.8,50,-50
"68",-8.11111111111111,8.11111111111111,-91.8888888888889,91.8888888888889,-100,100
"69",23.1,-23.1,26.9,-26.9,50,-50
"70",51.55,-50,-1.55000000000001,0,50,-50
"71",19.4,-19.4,30.6,-30.6,50,-50
"72",10.55,-10.55,39.45,-39.45,50,-50
"73",-59.15,59.15,-40.85,40.85,-100,100
"74",5.65000000000001,-5.65000000000001,44.35,-44.35,50,-50
"75",-26.4,26.4,76.4,-76.4,50,-50
"76",47.55,-47.55,2.44999999999999,-2.45,50,-50
"77",-30.5,30.5,80.5,-80.5,50,-50
"78",12.35,-12.35,37.65,-37.65,50,-50
"79",13.7,-13.7,36.3,-36.3,50,-50
"80",44.65,-44.65,5.34999999999999,-5.34999999999999,50,-50
"81",-53.6,53.6,103.6,-103.6,50,-50
"82",29.8,-29.8,20.2,-20.2,50,-50
"83",42.35,-42.35,7.65000000000001,-7.65,50,-50
"84",40.75,-40.75,9.25,-9.25,50,-50
"85",-21.6,21.6,71.6,-71.6,50,-50
"86",73.45,-50,-23.45,0,50,-50
"87",22.2,-22.2,27.8,-27.8,50,-50
"88",10.2,-10.2,39.8,-39.8,50,-50
"89",0,0,-100,100,-100,100
"90",0,0,-100,100,-100,100
"91",-8.8,8.80000000000001,58.8,-58.8,50,-50
"92",72.85,-50,-22.85,0,50,-50
"93",27.15,-27.15,22.85,-22.85,50,-50
"94",0,0,100,-100,100,-100
"95",6.05,-6.05,43.95,-43.95,50,-50
"96",-10.4,10.4,60.4,-60.4,50,-50
"97",-6.89999999999999,6.89999999999999,56.9,-56.9,50,-50
"98",99.4,-99.4,0.599999999999994,-0.599999999999994,100,-100
"99",-91.25,91.25,-8.75,8.74999999999999,-100,100
"100",52.7,-50,-2.70000000000002,0,50,-50
"101",74.5,-50,-24.5,0,50,-50
"102",-22.4,22.4,72.4,-72.4,50,-50
"103",-10.45,10.45,60.45,-60.45,50,-50
"104",11.9,-11.9,38.1,-38.1,50,-50
"105",-72.1,72.1,-27.9,27.9,-100,100
"106",-27.65,27.65,77.65,-77.65,50,-50
"107",25.55,-25.55,24.45,-24.45,50,-50
"108",-15.55,15.55,65.55,-65.55,50,-50
"109",12.6,-12.6,37.4,-37.4,50,-50
"110",-53.8873737373737,53.8873737373737,-46.1126262626263,46.1126262626263,-100,100
"111",21.6,-21.6,28.4,-28.4,50,-50
"112",-17.35,17.35,67.35,-67.35,50,-50
"113",31.6,-31.6,18.4,-18.4,50,-50
"114",16.2,-16.2,33.8,-33.8,50,-50
"115",6.84999999999999,-6.84999999999999,43.15,-43.15,50,-50
"116",0,0,-100,100,-100,100
"117",15.7,-15.7,34.3,-34.3,50,-50
"118",34.6,-34.6,15.4,-15.4,50,-50
"119",20.5,-20.5,29.5,-29.5,50,-50
"120",40.35,-40.35,9.65000000000001,-9.65000000000001,50,-50
"121",14.6,-14.6,35.4,-35.4,50,-50
"122",-33.3,33.3,83.3,-83.3,50,-50
"123",2.25,-2.25,47.75,-47.75,50,-50
"124",41.95,-41.95,8.05000000000001,-8.05,50,-50
"125",-17.15,17.15,67.15,-67.15,50,-50
"126",-25.75,25.75,75.75,-75.75,50,-50
"127",31.2,-31.2,18.8,-18.8,50,-50
"128",27.8,-27.8,22.2,-22.2,50,-50
"129",26.75,-26.75,23.25,-23.25,50,-50
"130",-39.3,39.3,89.3,-89.3,50,-50
"131",-27.65,27.65,77.65,-77.65,50,-50
"132",30.65,-30.65,19.35,-19.35,50,-50
"133",-18.8191919191919,18.8191919191919,-81.1808080808081,81.1808080808081,-100,100
"134",8.5,-8.5,41.5,-41.5,50,-50
"135",18,-18,32,-32,50,-50
"136",14.8,-14.8,35.2,-35.2,50,-50
"137",-9.15000000000001,9.14999999999999,59.15,-59.15,50,-50
"138",-98.3,98.3,-1.7,1.69999999999999,-100,100
"139",-13.75,13.75,63.75,-63.75,50,-50
"140",-20.6,20.6,70.6,-70.6,50,-50
"141",-10.3,10.3,60.3,-60.3,50,-50
"142",-24.9,24.9,74.9,-74.9,50,-50
"143",-12.25,12.25,62.25,-62.25,50,-50
"144",-19.9,19.9,69.9,-69.9,50,-50
"145",52.15,-50,-2.15000000000001,0,50,-50
"146",43.45,-43.45,6.54999999999998,-6.54999999999999,50,-50
"147",-20.7,20.7,70.7,-70.7,50,-50
"148",-29.8,29.8,79.8,-79.8,50,-50
"149",-74.4,74.4,-25.6,25.6,-100,100
"150",-21.45,21.45,71.45,-71.45,50,-50
"151",46.05,-46.05,3.94999999999999,-3.94999999999999,50,-50
"152",-11.4,11.4,61.4,-61.4,50,-50
"153",-37.15,37.15,87.15,-87.15,50,-50
"154",-65.4,65.4,-34.6,34.6,-100,100
"155",41.55,-41.55,8.44999999999999,-8.45,50,-50
"156",-6.75,6.74999999999999,56.75,-56.75,50,-50
"157",-15.8,15.8,65.8,-65.8,50,-50
"158",-8.7,8.7,58.7,-58.7,50,-50
"159",-28.7,28.7,78.7,-78.7,50,-50
"160",-56.05,56.05,-43.95,43.95,-100,100
"161",44.7,-44.7,5.29999999999998,-5.3,50,-50
"162",29.95,-29.95,20.05,-20.05,50,-50
"163",15.8,-15.8,34.2,-34.2,50,-50
"164",-36.2,36.2,86.2,-86.2,50,-50
"165",-29.8,29.8,79.8,-79.8,50,-50
"166",9.85000000000001,-9.85000000000001,40.15,-40.15,50,-50
"167",140.05,-140.05,-40.05,40.05,100,-100
"168",14.9,-14.9,35.1,-35.1,50,-50
"169",35.4,-35.4,14.6,-14.6,50,-50
"170",-57.1,57.1,107.1,-107.1,50,-50
"171",42.25,-42.25,7.75,-7.75000000000001,50,-50
"172",0,0,-100,100,-100,100
"173",-29.45,29.45,79.45,-79.45,50,-50
"174",-34.3747474747475,34.3747474747475,-65.6252525252525,65.6252525252525,-100,100
"175",24.45,-24.45,25.55,-25.55,50,-50
"176",-14.2,14.2,64.2,-64.2,50,-50
"177",24,-24,26,-26,50,-50
"178",-20.3,20.3,70.3,-70.3,50,-50
"179",141.15,-141.15,-41.15,41.15,100,-100
"180",-64.3045454545455,64.3045454545454,-35.6954545454545,35.6954545454545,-100,100
"181",33,-33,17,-17,50,-50
"182",-37.2,37.2,87.2,-87.2,50,-50
"183",-109.15,109.15,9.14999999999999,-9.14999999999999,-100,100
"184",43.85,-43.85,6.15000000000001,-6.15000000000001,50,-50
"185",106.95,-106.95,-6.95,6.95000000000002,100,-100
"186",-24.8,24.8,74.8,-74.8,50,-50
"187",0,0,-100,100,-100,100
"188",84.6772727272727,-84.6772727272727,-184.677272727273,184.677272727273,-100,100
"189",27.15,-27.15,22.85,-22.85,50,-50
"190",40.3,-40.3,9.70000000000002,-9.70000000000002,50,-50
"191",25.7,-25.7,24.3,-24.3,50,-50
