"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",16248.85,-16248.85,3751.15,-3751.15,20000,-20000,9
"2",16607.05,-16607.05,3392.95,-3392.95,20000,-20000,9
"3",-21910.4,21910.4,1910.4,-1910.4,-20000,20000,9
"4",6507.8,-6490,13492.2,-13510,20000,-20000,9
"5",14895.65,-14895.65,5104.35,-5104.35,20000,-20000,9
"6",-14826,14826,-5174,5174,-20000,20000,9
"7",-11413.15,11413.15,-8586.85,8586.85,-20000,20000,9
"8",15273.75,-15273.75,4726.25,-4726.25,20000,-20000,9
"9",12467.85,-12467.85,7532.15,-7532.15,20000,-20000,9
"10",10766.4,-10766.4,9233.6,-9233.6,20000,-20000,9
"11",-27870.45,27870.45,7870.45,-7870.45,-20000,20000,9
"12",-25691.4,25691.4,5691.4,-5691.4,-20000,20000,9
"13",-4686.45,4686.45,4686.45,-4686.45,-9.09494701772928e-13,9.09494701772928e-13,9
"14",-17273.7,17273.7,-2726.3,2726.3,-20000,20000,9
"15",-26497.35,26497.35,6497.35,-6497.35,-20000,20000,9
"16",-25363.05,25363.05,5363.05,-5363.05,-20000,20000,9
"17",9701.75,-9700,10298.25,-10300,20000,-20000,9
"18",25999.85,-25999.85,-5999.85,5999.85,20000,-20000,9
"19",16000.1,-16000.1,3999.9,-3999.9,20000,-20000,9
"20",25273.5,-25273.5,-5273.5,5273.5,20000,-20000,9
"21",14059.85,-14059.85,5940.15,-5940.15,20000,-20000,9
"22",10706.7,-10706.7,9293.3,-9293.3,20000,-20000,9
"23",-15562.3,15562.3,-4437.7,4437.7,-20000,20000,9
"24",-25840.65,25840.65,5840.65,-5840.65,-20000,20000,9
"25",-13214.1,13214.1,-6785.9,6785.9,-20000,20000,9
"26",-13641.95,13641.95,-6358.05,6358.05,-20000,20000,9
"27",-15064.8,15064.8,-4935.2,4935.2,-20000,20000,9
"28",-15880.7,15880.7,-4119.3,4119.3,-20000,20000,9
"29",25999.85,-25999.85,-5999.85,5999.85,20000,-20000,9
"30",29353,-29353,-9353,9353,20000,-20000,9
"31",-26865.5,26865.5,6865.5,-6865.5,-20000,20000,9
"32",14209.1,-14209.1,5790.9,-5790.9,20000,-20000,9
"33",15830.95,-15830.95,4169.05,-4169.05,20000,-20000,9
"34",13930.5,-13930.5,6069.5,-6069.5,20000,-20000,9
"35",-15542.4,15542.4,-4457.6,4457.6,-20000,20000,9
"36",-25144.15,25144.15,5144.15,-5144.15,-20000,20000,9
"37",-15214.05,15214.05,-4785.95,4785.95,-20000,20000,9
"38",14945.4,-14945.4,5054.6,-5054.6,20000,-20000,9
"39",13124.55,-13124.55,6875.45,-6875.45,20000,-20000,9
"40",11293.75,-11293.75,8706.25,-8706.25,20000,-20000,9
"41",-16786.15,16786.15,-3213.85,3213.85,-20000,20000,9
"42",-10587.3,10587.3,-9412.7,9412.7,-20000,20000,9
"43",17094.6,-17094.6,2905.4,-2905.4,20000,-20000,9
"44",26109.3,-26109.3,-6109.3,6109.3,20000,-20000,9
"45",-24885.45,24885.45,4885.45,-4885.45,-20000,20000,9
"46",11681.8,-11681.8,8318.2,-8318.2,20000,-20000,9
"47",-15751.35,15751.35,-4248.65,4248.65,-20000,20000,9
"48",-21691.5,21691.5,1691.5,-1691.5,-20000,20000,9
"49",30188.8,-30188.8,-10188.8,10188.8,20000,-20000,9
"50",13940.45,-13940.45,6059.55,-6059.55,20000,-20000,9
"51",24198.9,-24198.9,-4198.9,4198.9,20000,-20000,9
"52",-24606.85,24606.85,4606.85,-4606.85,-20000,20000,9
"53",13104.65,-13104.65,6895.35,-6895.35,20000,-20000,9
"54",-13562.35,13562.35,-6437.65,6437.65,-20000,20000,9
"55",14189.2,-14189.2,5810.8,-5810.8,20000,-20000,9
"56",16457.8,-16457.8,3542.2,-3542.2,20000,-20000,9
"57",-12676.8,12676.8,-7323.2,7323.2,-20000,20000,9
"58",-13880.75,13880.75,-6119.25,6119.25,-20000,20000,9
"59",14139.45,-14139.45,5860.55,-5860.55,20000,-20000,9
"60",4397.9,-4397.9,-4397.9,4397.9,0,-1.81898940354586e-12,9
"61",-10587.3,10587.3,-9412.7,9412.7,-20000,20000,9
"62",14487.7,-14487.7,5512.3,-5512.3,20000,-20000,9
"63",18945.3,-18945.3,1054.7,-1054.7,20000,-20000,9
"64",-14527.5,14527.5,-5472.5,5472.5,-20000,20000,9
"65",27492.35,-27492.35,-7492.35,7492.35,20000,-20000,9
"66",-12786.25,12786.25,-7213.75,7213.75,-20000,20000,9
"67",-26059.55,26059.55,6059.55,-6059.55,-20000,20000,9
"68",13054.9,-13054.9,6945.1,-6945.1,20000,-20000,9
"69",14109.6,-14109.6,5890.4,-5890.4,20000,-20000,9
"70",-26785.9,26785.9,6785.9,-6785.9,-20000,20000,9
"71",-11821.1,11821.1,-8178.9,8178.9,-20000,20000,9
"72",-22288.5,22288.5,2288.5,-2288.5,-20000,20000,9
"73",-11433.05,11433.05,-8566.95,8566.95,-20000,20000,9
"74",13900.65,-13900.65,6099.35,-6099.35,20000,-20000,9
"75",18437.85,-18437.85,1562.15,-1562.15,20000,-20000,9
"76",14985.2,-14985.2,5014.8,-5014.8,20000,-20000,9
"77",-15492.65,15492.65,-4507.35,4507.35,-20000,20000,9
"78",-16398.1,16398.1,-3601.9,3601.9,-20000,20000,9
"79",18209,-18209,1791,-1791,20000,-20000,9
"80",16109.55,-16109.55,3890.45,-3890.45,20000,-20000,9
"81",-12288.75,12288.75,-7711.25,7711.25,-20000,20000,9
"82",-14308.6,14308.6,-5691.4,5691.4,-20000,20000,9
"83",10915.65,-10915.65,9084.35,-9084.35,20000,-20000,9
"84",-11094.75,11094.75,-8905.25,8905.25,-20000,20000,9
"85",-11791.25,11791.25,-8208.75,8208.75,-20000,20000,9
"86",16915.5,-16915.5,3084.5,-3084.5,20000,-20000,9
"87",15363.3,-15363.3,4636.7,-4636.7,20000,-20000,9
"88",12696.7,-12696.7,7303.3,-7303.3,20000,-20000,9
"89",-21343.25,21343.25,1343.25,-1343.25,-20000,20000,9
"90",-14517.55,14517.55,-5482.45,5482.45,-20000,20000,9
"91",-8577.4,8577.4,-11422.6,11422.6,-20000,20000,9
"92",10388.3,-10388.3,9611.7,-9611.7,20000,-20000,9
"93",-13801.15,13801.15,-6198.85,6198.85,-20000,20000,9
"94",16626.95,-16626.95,3373.05,-3373.05,20000,-20000,9
"95",-18547.3,18547.3,-1452.7,1452.7,-20000,20000,9
"96",-13950.4,13950.4,-6049.6,6049.6,-20000,20000,9
"97",18059.75,-18059.75,1940.25,-1940.25,20000,-20000,9
"98",23472.55,-23472.55,-3472.55,3472.55,20000,-20000,9
"99",-19751.25,19751.25,-248.75,248.750000000004,-20000,20000,9
"100",18338.35,-18338.35,1661.65,-1661.65,20000,-20000,9
"101",12617.1,-12617.1,7382.9,-7382.9,20000,-20000,9
"102",21711.4,-21711.4,-1711.4,1711.4,20000,-20000,9
"103",-17512.5,17512.5,-2487.5,2487.5,-20000,20000,9
"104",-15562.3,15562.3,-4437.7,4437.7,-20000,20000,9
"105",-25810.8,25810.8,5810.8,-5810.8,-20000,20000,9
"106",-27124.2,27124.2,7124.2,-7124.2,-20000,20000,9
"107",-12945.45,12945.45,-7054.55,7054.55,-20000,20000,9
"108",5920.75,-5900,14079.25,-14100,20000,-20000,9
"109",-25681.45,25681.45,5681.45,-5681.45,-20000,20000,9
"110",24358.1,-24358.1,-4358.1,4358.1,20000,-20000,9
"111",-22547.2,22547.2,2547.2,-2547.2,-20000,20000,9
"112",-14328.5,14328.5,-5671.5,5671.5,-20000,20000,9
"113",25552.1,-25552.1,-5552.1,5552.1,20000,-20000,9
"114",26557.05,-26557.05,-6557.05,6557.05,20000,-20000,9
"115",5920.75,-5900,14079.25,-14100,20000,-20000,9
