"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-15.6,15.6,65.6,-65.6,50,-50,0
"2",9.55,-9.55,40.45,-40.45,50,-50,0
"3",-27.3,27.3,77.3,-77.3,50,-50,0
"4",44.4,-44.4,5.59999999999999,-5.60000000000001,50,-50,0
"5",15.5,-15.5,34.5,-34.5,50,-50,0
"6",28.85,-28.85,21.15,-21.15,50,-50,0
"7",-33.7,33.7,83.7,-83.7,50,-50,0
"8",-50,50,100,-100,50,-50,0
"9",34.75,-34.75,15.25,-15.25,50,-50,0
"10",-31.95,31.95,81.95,-81.95,50,-50,0
"11",-20.05,20.05,70.05,-70.05,50,-50,0
"12",2.89999999999999,-2.89999999999999,47.1,-47.1,50,-50,0
"13",-13.75,13.75,63.75,-63.75,50,-50,0
"14",-11.95,11.95,61.95,-61.95,50,-50,0
"15",-21.45,21.45,71.45,-71.45,50,-50,0
"16",24.5,-24.5,25.5,-25.5,50,-50,0
"17",-30.7,30.7,80.7,-80.7,50,-50,0
"18",34.5,-34.5,15.5,-15.5,50,-50,0
"19",-25.05,25.05,75.05,-75.05,50,-50,0
"20",44.2,-44.2,5.80000000000001,-5.8,50,-50,0
"21",26.55,-26.55,23.45,-23.45,50,-50,0
"22",10.8,-10.8,39.2,-39.2,50,-50,0
"23",4.65000000000001,-4.65000000000001,45.35,-45.35,50,-50,0
"24",-26.15,26.15,76.15,-76.15,50,-50,0
"25",-16.4,16.4,66.4,-66.4,50,-50,0
"26",27.95,-27.95,22.05,-22.05,50,-50,0
"27",34.2,-34.2,15.8,-15.8,50,-50,0
"28",-27.8,27.8,77.8,-77.8,50,-50,0
"29",10.55,-10.55,39.45,-39.45,50,-50,0
"30",-6.25,6.25,56.25,-56.25,50,-50,0
"31",23.45,-23.45,26.55,-26.55,50,-50,0
"32",40.75,-40.75,9.25,-9.25,50,-50,0
"33",24.4,-24.4,25.6,-25.6,50,-50,0
"34",-16.95,16.95,66.95,-66.95,50,-50,0
"35",41.9,-41.9,8.09999999999999,-8.09999999999999,50,-50,0
"36",-30.15,30.15,80.15,-80.15,50,-50,0
"37",-31.05,31.05,81.05,-81.05,50,-50,0
"38",35.2,-35.2,14.8,-14.8,50,-50,0
"39",11.65,-11.65,38.35,-38.35,50,-50,0
"40",35.55,-35.55,14.45,-14.45,50,-50,0
"41",30.25,-30.25,19.75,-19.75,50,-50,0
"42",-31.4,31.4,81.4,-81.4,50,-50,0
"43",29.25,-29.25,20.75,-20.75,50,-50,0
"44",-15.35,15.35,65.35,-65.35,50,-50,0
"45",28069.45,-28069.45,-8069.45,8069.45,20000,-20000,9
"46",-16.8,16.8,66.8,-66.8,50,-50,0
"47",27.15,-27.15,22.85,-22.85,50,-50,0
"48",-6766.5,6766.5,-13233.5,13233.5,-20000,20000,9
"49",-23.65,23.65,73.65,-73.65,50,-50,0
"50",35.25,-35.25,14.75,-14.75,50,-50,0
"51",39.2,-39.2,10.8,-10.8,50,-50,0
"52",-19.9,19.9,69.9,-69.9,50,-50,0
"53",-39.45,39.45,89.45,-89.45,50,-50,0
"54",-30.85,30.85,80.85,-80.85,50,-50,0
"55",-29.6,29.6,79.6,-79.6,50,-50,0
"56",-27.95,27.95,77.95,-77.95,50,-50,0
"57",28.15,-28.15,21.85,-21.85,50,-50,0
"58",13.55,-13.55,36.45,-36.45,50,-50,0
"59",-24.2,24.2,74.2,-74.2,50,-50,0
"60",34925,-34925,-14925,14925,20000,-20000,9
"61",49.15,-49.15,0.849999999999994,-0.849999999999994,50,-50,0
"62",-27.8,27.8,77.8,-77.8,50,-50,0
"63",-32.35,32.35,82.35,-82.35,50,-50,0
"64",-10.2,10.2,60.2,-60.2,50,-50,0
"65",-27.8,27.8,77.8,-77.8,50,-50,0
"66",-52.7,52.7,102.7,-102.7,50,-50,0
"67",-15.25,15.25,65.25,-65.25,50,-50,0
"68",-28.4,28.4,78.4,-78.4,50,-50,0
"69",-8,8,58,-58,50,-50,0
"70",-6438.15,6438.15,-13561.85,13561.85,-20000,20000,9
"71",26.35,-26.35,23.65,-23.65,50,-50,0
"72",33.6,-33.6,16.4,-16.4,50,-50,0
"73",-7.15000000000001,7.14999999999999,57.15,-57.15,50,-50,0
"74",10.4,-10.4,39.6,-39.6,50,-50,0
"75",-31.5,31.5,81.5,-81.5,50,-50,0
"76",28.25,-28.25,21.75,-21.75,50,-50,0
"77",8.85000000000001,-8.85000000000001,41.15,-41.15,50,-50,0
"78",-35.05,35.05,85.05,-85.05,50,-50,0
"79",-29,29,79,-79,50,-50,0
