"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-27.55,27.55,77.55,-77.55,50,-50,0
"2",-14.6,14.6,64.6,-64.6,50,-50,0
"3",36.15,-36.15,13.85,-13.85,50,-50,0
"4",-73,73,-27,27,-100,100,2
"5",-37.35,37.35,87.35,-87.35,50,-50,0
"6",0.550000000000011,-0.550000000000011,49.45,-49.45,50,-50,0
"7",-20.45,20.45,70.45,-70.45,50,-50,0
"8",23.1,-23.1,26.9,-26.9,50,-50,0
"9",-28.1,28.1,78.1,-78.1,50,-50,0
"10",27.5,-27.5,22.5,-22.5,50,-50,0
"11",18.25,-18.25,31.75,-31.75,50,-50,0
"12",28.15,-28.15,21.85,-21.85,50,-50,0
"13",37.25,-37.25,12.75,-12.75,50,-50,0
"14",29.45,-29.45,20.55,-20.55,50,-50,0
"15",24.55,-24.55,25.45,-25.45,50,-50,0
"16",22.95,-22.95,27.05,-27.05,50,-50,0
"17",-25.6,25.6,75.6,-75.6,50,-50,0
"18",50.75,-50,-0.75,0,50,-50,0
"19",-37.8,37.8,87.8,-87.8,50,-50,0
"20",-18.85,18.85,68.85,-68.85,50,-50,0
"21",25.2,-25.2,24.8,-24.8,50,-50,0
"22",33.4,-33.4,16.6,-16.6,50,-50,0
"23",-37.65,37.65,87.65,-87.65,50,-50,0
"24",-33.9,33.9,83.9,-83.9,50,-50,0
"25",24.9,-24.9,25.1,-25.1,50,-50,0
"26",-46.05,46.05,96.05,-96.05,50,-50,0
"27",-74.95,74.95,-25.05,25.05,-100,100,2
"28",-27.5,27.5,77.5,-77.5,50,-50,0
"29",-33.1,33.1,83.1,-83.1,50,-50,0
"30",39.75,-39.75,10.25,-10.25,50,-50,0
"31",-16.45,16.45,66.45,-66.45,50,-50,0
"32",28.35,-28.35,21.65,-21.65,50,-50,0
"33",-32.3,32.3,82.3,-82.3,50,-50,0
"34",-32.15,32.15,82.15,-82.15,50,-50,0
"35",44.4,-44.4,5.59999999999999,-5.60000000000001,50,-50,0
"36",-12.1,12.1,62.1,-62.1,50,-50,0
"37",-0.900000000000006,0.899999999999991,50.9,-50.9,50,-50,0
"38",5.69999999999999,-5.69999999999999,44.3,-44.3,50,-50,0
"39",-9.7,9.7,59.7,-59.7,50,-50,0
"40",30.25,-30.25,19.75,-19.75,50,-50,0
"41",-32.7,32.7,82.7,-82.7,50,-50,0
"42",-4.5,4.5,-95.5,95.5,-100,100,2
"43",-36.35,36.35,86.35,-86.35,50,-50,0
"44",26.45,-26.45,23.55,-23.55,50,-50,0
"45",-13.05,13.05,-86.95,86.95,-100,100,2
"46",-36.45,36.45,86.45,-86.45,50,-50,0
"47",26.85,-26.85,23.15,-23.15,50,-50,0
"48",41.85,-41.85,8.15000000000001,-8.15000000000001,50,-50,0
"49",0.200000000000003,-0.200000000000003,49.8,-49.8,50,-50,0
"50",26.5,-26.5,23.5,-23.5,50,-50,0
"51",48.25,-48.25,1.74999999999997,-1.74999999999999,50,-50,0
"52",-14,14,64,-64,50,-50,0
"53",-14.7,14.7,64.7,-64.7,50,-50,0
"54",-9.89999999999999,9.89999999999999,59.9,-59.9,50,-50,0
"55",13.15,-13.15,36.85,-36.85,50,-50,0
"56",47.65,-47.65,2.34999999999999,-2.35000000000001,50,-50,0
"57",16.2,-16.2,33.8,-33.8,50,-50,0
"58",43.45,-43.45,6.55000000000001,-6.55000000000001,50,-50,0
"59",15.75,-15.75,34.25,-34.25,50,-50,0
"60",-25.2,25.2,75.2,-75.2,50,-50,0
"61",-30.8,30.8,80.8,-80.8,50,-50,0
"62",29.9,-29.9,20.1,-20.1,50,-50,0
"63",1.34999999999998,-1.34999999999998,48.65,-48.65,50,-50,0
"64",27.6,-27.6,22.4,-22.4,50,-50,0
"65",-37.65,37.65,87.65,-87.65,50,-50,0
"66",17.2,-17.2,32.8,-32.8,50,-50,0
"67",-48,48,98,-98,50,-50,0
"68",25.05,-25.05,24.95,-24.95,50,-50,0
"69",75.45,-50,-25.45,0,50,-50,0
"70",-27.85,27.85,77.85,-77.85,50,-50,0
"71",75.9,-50,-25.9,0,50,-50,0
"72",44.6,-44.6,5.39999999999998,-5.39999999999998,50,-50,0
"73",32.4,-32.4,17.6,-17.6,50,-50,0
"74",27.45,-27.45,22.55,-22.55,50,-50,0
"75",21.45,-21.45,28.55,-28.55,50,-50,0
"76",22.05,-22.05,27.95,-27.95,50,-50,0
"77",16.75,-16.75,33.25,-33.25,50,-50,0
"78",38.15,-38.15,11.85,-11.85,50,-50,0
"79",11.25,-11.25,38.75,-38.75,50,-50,0
"80",-28.45,28.45,78.45,-78.45,50,-50,0
"81",-16.85,16.85,66.85,-66.85,50,-50,0
"82",-29.95,29.95,79.95,-79.95,50,-50,0
"83",-19.55,19.55,69.55,-69.55,50,-50,0
"84",-45.65,45.65,95.65,-95.65,50,-50,0
"85",26.05,-26.05,23.95,-23.95,50,-50,0
"86",-18.85,18.85,68.85,-68.85,50,-50,0
"87",-22.45,22.45,72.45,-72.45,50,-50,0
"88",35.3,-35.3,14.7,-14.7,50,-50,0
"89",-23,23,73,-73,50,-50,0
"90",-19.45,19.45,69.45,-69.45,50,-50,0
"91",26.2,-26.2,23.8,-23.8,50,-50,0
"92",27.1,-27.1,22.9,-22.9,50,-50,0
"93",-46.45,46.45,96.45,-96.45,50,-50,0
"94",-40,40,90,-90,50,-50,0
"95",43.95,-43.95,6.05000000000001,-6.05,50,-50,0
"96",36.75,-36.75,13.25,-13.25,50,-50,0
"97",5.40000000000001,-5.40000000000001,44.6,-44.6,50,-50,0
"98",21.35,-21.35,28.65,-28.65,50,-50,0
"99",-31.75,31.75,81.75,-81.75,50,-50,0
"100",-41.7,41.7,91.7,-91.7,50,-50,0
"101",-24.2,24.2,74.2,-74.2,50,-50,0
"102",20.6,-20.6,29.4,-29.4,50,-50,0
"103",12.85,-12.85,37.15,-37.15,50,-50,0
"104",36.75,-36.75,13.25,-13.25,50,-50,0
"105",-52.25,52.25,102.25,-102.25,50,-50,0
"106",-86.1,86.1,-13.9,13.9,-100,100,2
"107",-46,46,96,-96,50,-50,0
"108",31.4,-31.4,18.6,-18.6,50,-50,0
"109",-15.95,15.95,65.95,-65.95,50,-50,0
"110",-29.25,29.25,79.25,-79.25,50,-50,0
"111",-31.7,31.7,81.7,-81.7,50,-50,0
"112",28.35,-28.35,21.65,-21.65,50,-50,0
"113",23.6,-23.6,26.4,-26.4,50,-50,0
"114",39.95,-39.95,10.05,-10.05,50,-50,0
"115",-11.65,11.65,61.65,-61.65,50,-50,0
"116",14.15,-14.15,35.85,-35.85,50,-50,0
"117",-29.75,29.75,79.75,-79.75,50,-50,0
"118",25.9,-25.9,24.1,-24.1,50,-50,0
"119",-30.45,30.45,80.45,-80.45,50,-50,0
"120",-23.3,23.3,73.3,-73.3,50,-50,0
"121",19.7,-19.7,30.3,-30.3,50,-50,0
"122",27,-27,23,-23,50,-50,0
"123",33.45,-33.45,16.55,-16.55,50,-50,0
"124",-15.65,15.65,65.65,-65.65,50,-50,0
"125",-11.85,11.85,61.85,-61.85,50,-50,0
"126",47.3,-47.3,2.69999999999999,-2.69999999999999,50,-50,0
"127",-34.15,34.15,-65.85,65.85,-100,100,2
"128",28.05,-28.05,21.95,-21.95,50,-50,0
"129",23.9,-23.9,26.1,-26.1,50,-50,0
"130",-62.45,62.45,-37.55,37.55,-100,100,2
"131",-49.45,49.45,99.45,-99.45,50,-50,0
"132",39.9,-39.9,10.1,-10.1,50,-50,0
"133",31.45,-31.45,18.55,-18.55,50,-50,0
"134",25.2,-25.2,24.8,-24.8,50,-50,0
"135",-21.2,21.2,71.2,-71.2,50,-50,0
"136",-38.9,38.9,-61.1,61.1,-100,100,2
"137",-37.45,37.45,-62.55,62.55,-100,100,2
"138",-19.8,19.8,69.8,-69.8,50,-50,0
"139",28.4,-28.4,21.6,-21.6,50,-50,0
"140",29.5,-29.5,20.5,-20.5,50,-50,0
"141",33.1,-33.1,16.9,-16.9,50,-50,0
"142",-29.35,29.35,79.35,-79.35,50,-50,0
"143",23.7,-23.7,26.3,-26.3,50,-50,0
"144",26.2,-26.2,23.8,-23.8,50,-50,0
"145",29.35,-29.35,20.65,-20.65,50,-50,0
"146",74.4,-50,-24.4,0,50,-50,0
"147",-16,16,66,-66,50,-50,0
"148",17.65,-17.65,32.35,-32.35,50,-50,0
"149",-26.35,26.35,76.35,-76.35,50,-50,0
"150",22.55,-22.55,27.45,-27.45,50,-50,0
"151",11.55,-11.55,38.45,-38.45,50,-50,0
"152",14.95,-14.95,35.05,-35.05,50,-50,0
"153",39.85,-39.85,10.15,-10.15,50,-50,0
"154",-23.95,23.95,-76.05,76.05,-100,100,2
"155",-17.3,17.3,67.3,-67.3,50,-50,0
"156",-21.9,21.9,71.9,-71.9,50,-50,0
"157",23.55,-23.55,26.45,-26.45,50,-50,0
"158",-77.4,77.4,-22.6,22.6,-100,100,2
"159",42.25,-42.25,7.75,-7.75000000000001,50,-50,0
"160",32.3,-32.3,17.7,-17.7,50,-50,0
"161",50.55,-50,-0.550000000000011,0,50,-50,0
"162",-34.85,34.85,84.85,-84.85,50,-50,0
"163",-34.4,34.4,84.4,-84.4,50,-50,0
"164",-23.95,23.95,73.95,-73.95,50,-50,0
"165",24.35,-24.35,25.65,-25.65,50,-50,0
"166",19.6,-19.6,30.4,-30.4,50,-50,0
"167",-37.85,37.85,87.85,-87.85,50,-50,0
"168",17.85,-17.85,32.15,-32.15,50,-50,0
"169",10.3,-10.3,39.7,-39.7,50,-50,0
"170",-30.2,30.2,80.2,-80.2,50,-50,0
"171",41.85,-41.85,8.14999999999998,-8.14999999999999,50,-50,0
"172",-8.8,8.80000000000001,58.8,-58.8,50,-50,0
"173",42.95,-42.95,7.05000000000001,-7.05,50,-50,0
"174",-29.05,29.05,-70.95,70.95,-100,100,2
"175",-42.9,42.9,-57.1,57.1,-100,100,2
"176",-28.4,28.4,78.4,-78.4,50,-50,0
"177",42.15,-42.15,7.84999999999999,-7.85,50,-50,0
"178",16.9,-16.9,33.1,-33.1,50,-50,0
"179",34.2,-34.2,15.8,-15.8,50,-50,0
"180",-29.55,29.55,79.55,-79.55,50,-50,0
"181",-31.1,31.1,81.1,-81.1,50,-50,0
"182",-47.45,47.45,97.45,-97.45,50,-50,0
"183",-38.55,38.55,88.55,-88.55,50,-50,0
"184",-26.2,26.2,76.2,-76.2,50,-50,0
"185",-11.4,11.4,61.4,-61.4,50,-50,0
"186",24.9,-24.9,25.1,-25.1,50,-50,0
"187",-5.39999999999999,5.39999999999998,55.4,-55.4,50,-50,0
"188",-34.75,34.75,84.75,-84.75,50,-50,0
"189",-3.65000000000001,3.65000000000002,53.65,-53.65,50,-50,0
"190",-30.95,30.95,80.95,-80.95,50,-50,0
"191",-30.35,30.35,80.35,-80.35,50,-50,0
"192",42.45,-42.45,7.55000000000001,-7.55000000000001,50,-50,0
"193",32.3,-32.3,17.7,-17.7,50,-50,0
"194",36.65,-36.65,13.35,-13.35,50,-50,0
"195",37.3,-37.3,12.7,-12.7,50,-50,0
"196",-30.25,30.25,80.25,-80.25,50,-50,0
"197",9.89999999999999,-9.89999999999999,40.1,-40.1,50,-50,0
"198",-23.5,23.5,73.5,-73.5,50,-50,0
"199",-49.75,49.75,99.75,-99.75,50,-50,0
"200",26.8,-26.8,23.2,-23.2,50,-50,0
"201",35.65,-35.65,14.35,-14.35,50,-50,0
"202",-27.6,27.6,77.6,-77.6,50,-50,0
"203",10.3,-10.3,39.7,-39.7,50,-50,0
"204",29.05,-29.05,20.95,-20.95,50,-50,0
"205",33.9,-33.9,16.1,-16.1,50,-50,0
"206",-28.15,28.15,78.15,-78.15,50,-50,0
"207",-38.5,38.5,88.5,-88.5,50,-50,0
"208",11.6,-11.6,38.4,-38.4,50,-50,0
"209",-51.65,51.65,101.65,-101.65,50,-50,0
"210",-41.85,41.85,-58.15,58.15,-100,100,2
"211",27.65,-27.65,22.35,-22.35,50,-50,0
"212",-28.5,28.5,78.5,-78.5,50,-50,0
"213",-22.1,22.1,72.1,-72.1,50,-50,0
"214",-29.3,29.3,79.3,-79.3,50,-50,0
"215",-27.55,27.55,77.55,-77.55,50,-50,0
"216",30.55,-30.55,19.45,-19.45,50,-50,0
"217",14.95,-14.95,35.05,-35.05,50,-50,0
"218",54.8,-50,-4.80000000000001,0,50,-50,0
"219",31.95,-31.95,18.05,-18.05,50,-50,0
"220",-9.59999999999999,9.60000000000001,59.6,-59.6,50,-50,0
"221",54.05,-50,-4.05000000000001,0,50,-50,0
"222",-24,24,74,-74,50,-50,0
"223",-23.25,23.25,73.25,-73.25,50,-50,0
"224",51.1,-50,-1.09999999999999,0,50,-50,0
"225",-30.5,30.5,-69.5,69.5,-100,100,2
"226",-21,21,71,-71,50,-50,0
"227",39.8,-39.8,10.2,-10.2,50,-50,0
"228",22,-22,28,-28,50,-50,0
"229",34,-34,16,-16,50,-50,0
"230",13.75,-13.75,36.25,-36.25,50,-50,0
"231",47,-47,3,-3,50,-50,0
"232",3.05,-3.05,46.95,-46.95,50,-50,0
"233",-37.7,37.7,-62.3,62.3,-100,100,2
"234",-18.75,18.75,68.75,-68.75,50,-50,0
"235",-25.9,25.9,75.9,-75.9,50,-50,0
"236",27.9,-27.9,22.1,-22.1,50,-50,0
"237",-11.65,11.65,61.65,-61.65,50,-50,0
"238",-33.45,33.45,83.45,-83.45,50,-50,0
"239",-29.7,29.7,79.7,-79.7,50,-50,0
"240",32.95,-32.95,17.05,-17.05,50,-50,0
"241",35.9,-35.9,14.1,-14.1,50,-50,0
