"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-7431.85,7431.85,-12568.15,12568.15,-20000,20000,9
"2",8392.9,-8392.9,11607.1,-11607.1,20000,-20000,9
"3",2173.4,-2173.4,17826.6,-17826.6,20000,-20000,9
"4",-145.44696969697,145.44696969697,-854.55303030303,854.55303030303,-1000,1000,4
"5",-130.8,130.799999999998,-19869.2,19869.2,-20000,20000,9
"6",-2958.08080808081,2958.08080808081,-17041.9191919192,17041.9191919192,-20000,20000,9
"7",-72.3050505050505,72.3050505050505,-127.694949494949,127.694949494949,-200,200,4
"8",-30019.5,30019.5,10019.5,-10019.5,-20000,20000,9
"9",438.89090909091,-438.89090909091,-9038.89090909091,9038.89090909091,-8600,8600,6
"10",1024.45,-998.899999999999,18975.55,-19001.1,20000,-20000,9
"11",-153.312121212121,153.312121212121,-46.6878787878788,46.6878787878788,-200,200,4
"12",-117.444949494949,117.444949494949,-82.5550505050505,82.5550505050505,-200,200,4
"13",344.282323232323,-344.282323232323,19655.7176767677,-19655.7176767677,20000,-20000,9
"14",-23.9853535353535,23.9853535353535,-176.014646464646,176.014646464646,-200,200,4
"15",-11103.5757575758,11103.5757575758,-8896.42424242424,8896.42424242424,-20000,20000,9
"16",711.737373737374,-711.737373737374,19288.2626262626,-19288.2626262626,20000,-20000,9
"17",595.944949494949,-595.944949494949,4804.05505050505,-4804.05505050505,5400,-5400,9
"18",-969.940404040404,969.940404040404,-4430.0595959596,4430.0595959596,-5400,5400,9
"19",7301.55,-7301.55,12698.45,-12698.45,20000,-20000,9
"20",80.6090909090909,-80.6090909090909,-280.609090909091,280.609090909091,-200,200,4
"21",724.112121212121,-724.112121212121,19275.8878787879,-19275.8878787879,20000,-20000,9
"22",2215.86313131313,-2215.86313131313,17784.1368686869,-17784.1368686869,20000,-20000,9
"23",-106.773737373737,106.773737373737,-93.2262626262626,93.2262626262626,-200,200,4
"24",92.9454545454546,-92.9454545454546,-292.945454545455,292.945454545455,-200,200,4
"25",6167.01414141414,-6167.01414141414,13832.9858585859,-13832.9858585859,20000,-20000,9
"26",-459.465151515151,459.465151515151,-340.534848484849,340.534848484849,-800,800,4
"27",-806.20303030303,806.20303030303,-4593.79696969697,4593.79696969697,-5400,5400,9
"28",-13.5090909090909,13.5090909090909,-186.490909090909,186.490909090909,-200,200,4
"29",-73.2828282828283,73.2828282828282,-926.717171717172,926.717171717172,-1000,1000,4
"30",1007.7,-985.400000000001,18992.3,-19014.6,20000,-20000,9
"31",-69.9818181818182,69.9818181818182,-130.018181818182,130.018181818182,-200,200,4
"32",-226.266161616162,226.266161616162,-373.733838383838,373.733838383838,-600,600,6
"33",26.539393939394,-26.539393939394,-226.539393939394,226.539393939394,-200,200,4
"34",2787.36616161616,-2787.36616161616,17212.6338383838,-17212.6338383838,20000,-20000,9
"35",-151.498484848485,151.498484848485,-48.5015151515152,48.5015151515151,-200,200,4
"36",8409.39747474748,-8409.39747474748,11590.6025252525,-11590.6025252525,20000,-20000,9
"37",307.042424242424,-307.042424242424,-11307.0424242424,11307.0424242424,-11000,11000,6
"38",-80.1550505050505,80.1550505050505,-119.84494949495,119.84494949495,-200,200,4
"39",-356.035353535354,356.035353535353,-5043.96464646465,5043.96464646465,-5400,5400,9
"40",704.055555555556,-704.055555555556,4695.94444444445,-4695.94444444444,5400,-5400,9
"41",77.1363636363636,-77.1363636363636,-1077.13636363636,1077.13636363636,-1000,1000,4
"42",67.6186868686869,-67.6186868686869,-267.618686868687,267.618686868687,-200,200,4
"43",-74.1040404040404,74.1040404040404,-125.89595959596,125.89595959596,-200,200,4
"44",-163.15505050505,163.15505050505,-836.84494949495,836.84494949495,-1000,1000,4
