"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-100,100,0,0,-100,100,9
"2",-53.9393939393939,53.9393939393939,-46.0606060606061,46.0606060606061,-100,100,4
"3",-47.7272727272727,47.7272727272727,-52.2727272727273,52.2727272727273,-100,100,6
"4",-8060,8060,-11940,11940,-20000,20000,9
"5",-100,100,-19900,19900,-20000,20000,9
"6",100,-100,19900,-19900,20000,-20000,9
"7",258.888888888891,-258.888888888891,19741.1111111111,-19741.1111111111,20000,-20000,9
"8",-100,100,-200,200,-300,300,8
"9",-290.20202020202,290.20202020202,-1509.79797979798,1509.79797979798,-1800,1800,9
"10",-100,100,-200,200,-300,300,9
"11",-85.0505050505051,85.0505050505051,-14.949494949495,14.949494949495,-100,100,4
"12",-825.858585858586,825.858585858585,-11774.1414141414,11774.1414141414,-12600,12600,9
"13",-28321.8181818182,28321.8181818182,8321.81818181818,-8321.81818181818,-20000,20000,9
"14",-87.4747474747475,87.4747474747475,-12.5252525252525,12.5252525252525,-100,100,4
"15",-100,100,-900,900,-1000,1000,9
"16",100,-100,200,-200,300,-300,9
"17",93.1818181818182,-93.1818181818182,6.81818181818183,-6.81818181818183,100,-100,5
"18",100,-100,0,0,100,-100,9
"19",82.020202020202,-82.020202020202,17.979797979798,-17.979797979798,100,-100,3
"20",8683.13131313131,-8683.13131313131,11316.8686868687,-11316.8686868687,20000,-20000,9
"21",100,-100,100,-100,200,-200,9
"22",-12.020202020202,12.020202020202,12.020202020202,-12.020202020202,0,0,9
"23",-63.55,63.55,-36.45,36.45,-100,100,2
"24",-93.1818181818182,93.1818181818182,-6.81818181818181,6.81818181818181,-100,100,6
"25",100,-100,0,0,100,-100,9
"26",-100,107.8,0,-7.8,-100,100,9
"27",100,-100,200,-200,300,-300,9
"28",100,-100,-200,200,-100,100,8
"29",-100,100,0,0,-100,100,9
"30",7.105427357601e-15,-7.105427357601e-15,0,0,7.105427357601e-15,-7.105427357601e-15,9
"31",-73.4343434343434,73.4343434343434,-26.5656565656566,26.5656565656566,-100,100,4
"32",-100,100,0,0,-100,100,9
"33",-116.969696969697,116.969696969697,-183.030303030303,183.030303030303,-300,300,9
"34",-118.787878787879,118.787878787879,-181.212121212121,181.212121212121,-300,300,6
"35",-100,100,0,0,-100,100,9
"36",100,-100,0,0,100,-100,7
"37",229.79797979798,-229.79797979798,70.2020202020202,-70.2020202020202,300,-300,5
"38",-93.9393939393939,93.939393939394,-6.06060606060606,6.06060606060606,-100,100,4
"39",52.3232323232323,-52.3232323232323,47.6767676767677,-47.6767676767677,100,-100,3
"40",-30754.0404040404,30754.0404040404,10754.0404040404,-10754.0404040404,-20000,20000,9
"41",6612.72727272727,-6612.72727272727,13387.2727272727,-13387.2727272727,20000,-20000,9
"42",-100,100,-19900,19900,-20000,20000,9
"43",-39.7979797979798,39.7979797979798,-60.2020202020202,60.2020202020202,-100,100,4
"44",-100,100,-100,100,-200,200,9
"45",100,-100,200,-200,300,-300,9
"46",100,-97.4,0,-2.6,100,-100,9
"47",54.5454545454545,-54.5454545454545,45.4545454545455,-45.4545454545455,100,-100,5
"48",-13849.0909090909,13849.0909090909,-6150.90909090909,6150.90909090909,-20000,20000,9
"49",-239.59595959596,239.595959595959,-2460.40404040404,2460.40404040404,-2700,2700,9
"50",128.686868686869,-128.686868686869,71.3131313131313,-71.3131313131313,200,-200,9
"51",688.484848484848,-688.484848484848,1111.51515151515,-1111.51515151515,1800,-1800,9
"52",76.3636363636364,-76.3636363636364,23.6363636363636,-23.6363636363636,100,-100,3
"53",100,-100,0,0,100,-100,7
