"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",17.1,-17.1,32.9,-32.9,50,-50,0
"2",13.15,-13.15,36.85,-36.85,50,-50,0
"3",30.15,-30.15,19.85,-19.85,50,-50,0
"4",6.65000000000001,-6.65000000000001,43.35,-43.35,50,-50,0
"5",34,-34,16,-16,50,-50,0
"6",7.80000000000001,-7.80000000000001,42.2,-42.2,50,-50,0
"7",-27.4,27.4,77.4,-77.4,50,-50,0
"8",8,-8,42,-42,50,-50,0
"9",-15.5,15.5,65.5,-65.5,50,-50,0
"10",32.95,-32.95,17.05,-17.05,50,-50,0
"11",-13.6,13.6,63.6,-63.6,50,-50,0
"12",-11.6,11.6,61.6,-61.6,50,-50,0
"13",52.4,-50,-2.40000000000001,0,50,-50,0
"14",29.1,-29.1,20.9,-20.9,50,-50,0
"15",0.0999999999999943,-0.0999999999999943,49.9,-49.9,50,-50,0
"16",-16.15,16.15,66.15,-66.15,50,-50,0
"17",69.0909090909091,-69.0909090909091,30.9090909090909,-30.9090909090909,100,-100,3
"18",-100,100,0,0,-100,100,9
"19",52.55,-50,-2.55000000000001,0,50,-50,0
"20",-15.7,15.7,65.7,-65.7,50,-50,0
"21",29.1,-29.1,20.9,-20.9,50,-50,0
"22",-20,20,70,-70,50,-50,0
"23",23.1,-23.1,26.9,-26.9,50,-50,0
"24",-126.313131313131,126.313131313131,-173.686868686869,173.686868686869,-300,300,6
"25",-48,48,98,-98,50,-50,0
"26",-28.6,28.6,78.6,-78.6,50,-50,0
"27",-38.35,38.35,88.35,-88.35,50,-50,0
"28",32.5,-32.5,17.5,-17.5,50,-50,0
"29",24.75,-24.75,25.25,-25.25,50,-50,0
"30",47.8,-47.8,2.19999999999999,-2.2,50,-50,0
"31",11.85,-11.85,38.15,-38.15,50,-50,0
"32",11.35,-11.35,38.65,-38.65,50,-50,0
"33",-100,100,0,0,-100,100,6
"34",85.6565656565656,-85.6565656565656,14.3434343434343,-14.3434343434343,100,-100,3
"35",21,-21,29,-29,50,-50,0
"36",-18.45,18.45,68.45,-68.45,50,-50,0
"37",-2.5,2.49999999999999,52.5,-52.5,50,-50,0
"38",10.5,-10.5,39.5,-39.5,50,-50,0
"39",16.85,-16.85,33.15,-33.15,50,-50,0
"40",-17.2,17.2,67.2,-67.2,50,-50,0
"41",35.65,-35.65,14.35,-14.35,50,-50,0
"42",-27.5,27.5,77.5,-77.5,50,-50,0
"43",-43.9,43.9,-56.1,56.1,-100,100,2
"44",-28.85,28.85,78.85,-78.85,50,-50,0
"45",-18.55,18.55,68.55,-68.55,50,-50,0
"46",11.75,-11.75,38.25,-38.25,50,-50,0
"47",26.35,-26.35,23.65,-23.65,50,-50,0
"48",13.15,-13.15,36.85,-36.85,50,-50,0
"49",29.1,-29.1,20.9,-20.9,50,-50,0
"50",-23.8,23.8,73.8,-73.8,50,-50,0
"51",16.5,-16.5,33.5,-33.5,50,-50,0
"52",-8.65000000000001,8.65000000000001,58.65,-58.65,50,-50,0
"53",45.65,-45.65,4.34999999999999,-4.34999999999999,50,-50,0
"54",34.85,-34.85,15.15,-15.15,50,-50,0
"55",-37.2,37.2,87.2,-87.2,50,-50,0
"56",-25.9,25.9,75.9,-75.9,50,-50,0
"57",-53.05,53.05,103.05,-103.05,50,-50,0
"58",-17.4,17.4,67.4,-67.4,50,-50,0
"59",23.8,-23.8,26.2,-26.2,50,-50,0
"60",-27.8,27.8,77.8,-77.8,50,-50,0
"61",11.25,-11.25,38.75,-38.75,50,-50,0
"62",-93.7373737373737,93.7373737373738,-6.26262626262626,6.26262626262626,-100,100,4
"63",54.3434343434343,-54.3434343434343,-154.343434343434,154.343434343434,-100,100,4
"64",-26.05,26.05,76.05,-76.05,50,-50,0
"65",35.45,-35.45,14.55,-14.55,50,-50,0
"66",-30.65,30.65,-69.35,69.35,-100,100,2
"67",35.25,-35.25,14.75,-14.75,50,-50,0
"68",31.15,-31.15,18.85,-18.85,50,-50,0
"69",45.2525252525253,-45.2525252525253,54.7474747474747,-54.7474747474747,100,-100,3
"70",-31.65,31.65,81.65,-81.65,50,-50,0
"71",35.75,-35.75,14.25,-14.25,50,-50,0
"72",27,-27,23,-23,50,-50,0
"73",-7.15000000000001,7.14999999999999,57.15,-57.15,50,-50,0
"74",-19.15,19.15,69.15,-69.15,50,-50,0
"75",-12.6,12.6,62.6,-62.6,50,-50,0
"76",-28.75,28.75,78.75,-78.75,50,-50,0
"77",15.95,-15.95,34.05,-34.05,50,-50,0
"78",-7.39999999999999,7.39999999999998,57.4,-57.4,50,-50,0
"79",-85.0505050505051,85.0505050505051,185.050505050505,-185.050505050505,100,-100,3
"80",25,-25,25,-25,50,-50,0
"81",12.15,-12.15,37.85,-37.85,50,-50,0
"82",45.7,-45.7,4.29999999999998,-4.29999999999999,50,-50,0
"83",40.3,-40.3,9.70000000000002,-9.70000000000002,50,-50,0
"84",48.7,-48.7,51.3,-51.3,100,-100,1
"85",-25.65,25.65,75.65,-75.65,50,-50,0
"86",-41.2,41.2,-58.8,58.8,-100,100,2
"87",41.65,-41.65,8.35000000000002,-8.35000000000002,50,-50,0
"88",8.40000000000001,-8.40000000000001,41.6,-41.6,50,-50,0
"89",26.45,-26.45,23.55,-23.55,50,-50,0
"90",-38.15,38.15,88.15,-88.15,50,-50,0
"91",-4.25,4.25,54.25,-54.25,50,-50,0
"92",13.55,-13.55,36.45,-36.45,50,-50,0
"93",-31.65,31.65,81.65,-81.65,50,-50,0
"94",37.25,-37.25,12.75,-12.75,50,-50,0
"95",26.7,-26.7,23.3,-23.3,50,-50,0
"96",-23.15,23.15,73.15,-73.15,50,-50,0
"97",100,-100,0,0,100,-100,9
"98",48.95,-48.95,1.04999999999998,-1.05,50,-50,0
"99",33.3,-33.3,16.7,-16.7,50,-50,0
"100",12.95,-12.95,37.05,-37.05,50,-50,0
"101",-16.85,16.85,66.85,-66.85,50,-50,0
"102",26.7,-26.7,23.3,-23.3,50,-50,0
"103",-32.05,32.05,82.05,-82.05,50,-50,0
"104",23.05,-23.05,26.95,-26.95,50,-50,0
"105",-19.8,19.8,69.8,-69.8,50,-50,0
"106",-13.3,13.3,63.3,-63.3,50,-50,0
"107",-12.8,12.8,62.8,-62.8,50,-50,0
"108",27.6,-27.6,22.4,-22.4,50,-50,0
"109",27.15,-27.15,22.85,-22.85,50,-50,0
"110",-29,29,79,-79,50,-50,0
"111",-19.2,19.2,69.2,-69.2,50,-50,0
"112",38.05,-38.05,11.95,-11.95,50,-50,0
"113",17.85,-17.85,32.15,-32.15,50,-50,0
"114",-2.05,2.05,52.05,-52.05,50,-50,0
"115",-51.2,51.2,101.2,-101.2,50,-50,0
"116",8.2,-8.2,41.8,-41.8,50,-50,0
"117",-29.05,29.05,79.05,-79.05,50,-50,0
"118",-32.25,32.25,82.25,-82.25,50,-50,0
"119",-18504.696969697,18504.696969697,18504.696969697,-18504.696969697,-3.63797880709171e-12,-3.63797880709171e-12,9
"120",-31.45,31.45,81.45,-81.45,50,-50,0
"121",-45.65,45.65,95.65,-95.65,50,-50,0
"122",13.25,-13.25,36.75,-36.75,50,-50,0
"123",-20.4,20.4,70.4,-70.4,50,-50,0
"124",26.5,-26.5,23.5,-23.5,50,-50,0
