"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-17.1,17.1,67.1,-67.1,50,-50,0
"2",307.172727272727,-307.172727272727,292.827272727273,-292.827272727273,600,-600,3
"3",31.65,-31.65,18.35,-18.35,50,-50,0
"4",35.1,-35.1,14.9,-14.9,50,-50,0
"5",23.7,-23.7,26.3,-26.3,50,-50,0
"6",73.5,-50,-23.5,0,50,-50,0
"7",29.95,-29.95,20.05,-20.05,50,-50,0
"8",12.95,-12.95,37.05,-37.05,50,-50,0
"9",-14.5,14.5,64.5,-64.5,50,-50,0
"10",30.05,-30.05,19.95,-19.95,50,-50,0
"11",30.45,-30.45,19.55,-19.55,50,-50,0
"12",13.1,-13.1,36.9,-36.9,50,-50,0
"13",30.6,-30.6,19.4,-19.4,50,-50,0
"14",255.133333333333,-255.133333333333,44.8666666666667,-44.8666666666667,300,-300,3
"15",-32.05,32.05,82.05,-82.05,50,-50,0
"16",-39.85,39.85,89.85,-89.85,50,-50,0
"17",-141.581818181818,141.581818181818,441.581818181818,-441.581818181818,300,-300,3
"18",-16.9,16.9,66.9,-66.9,50,-50,0
"19",83.65,-50,-33.65,0,50,-50,0
"20",-25.45,25.45,75.45,-75.45,50,-50,0
"21",-111.424242424242,111.424242424242,411.424242424242,-411.424242424242,300,-300,3
"22",-114.027272727273,114.027272727273,714.027272727273,-714.027272727273,600,-600,3
"23",-19.65,19.65,69.65,-69.65,50,-50,0
"24",-14.75,14.75,64.75,-64.75,50,-50,0
"25",35.05,-35.05,14.95,-14.95,50,-50,0
"26",-16.1,16.1,66.1,-66.1,50,-50,0
"27",-27.5,27.5,77.5,-77.5,50,-50,0
"28",-30.4,30.4,80.4,-80.4,50,-50,0
"29",240.378787878788,-240.378787878788,359.621212121212,-359.621212121212,600,-600,3
"30",-41.95,41.95,91.95,-91.95,50,-50,0
"31",34.5,-34.5,15.5,-15.5,50,-50,0
"32",27.15,-27.15,22.85,-22.85,50,-50,0
"33",33.6,-33.6,16.4,-16.4,50,-50,0
"34",19.4,-19.4,30.6,-30.6,50,-50,0
"35",-28.7,28.7,78.7,-78.7,50,-50,0
"36",222.545454545455,-222.545454545455,377.454545454545,-377.454545454545,600,-600,3
"37",4.55000000000001,-4.55000000000001,45.45,-45.45,50,-50,0
"38",21.25,-21.25,28.75,-28.75,50,-50,0
"39",15.75,-15.75,34.25,-34.25,50,-50,0
"40",9.94999999999999,-9.94999999999999,40.05,-40.05,50,-50,0
"41",-24.95,24.95,74.95,-74.95,50,-50,0
"42",2.75000000000001,-2.75000000000001,47.25,-47.25,50,-50,0
"43",19.85,-19.85,30.15,-30.15,50,-50,0
"44",22.3,-22.3,27.7,-27.7,50,-50,0
"45",-4230.09155555556,4230.09155555556,23486.0915555556,-23486.0915555556,19256,-19256,3
"46",-16.75,16.75,66.75,-66.75,50,-50,0
"47",27.35,-27.35,22.65,-22.65,50,-50,0
"48",42.95,-42.95,7.05000000000001,-7.05,50,-50,0
"49",-101.818181818182,101.818181818182,401.818181818182,-401.818181818182,300,-300,3
"50",34,-34,16,-16,50,-50,0
"51",32.3,-32.3,17.7,-17.7,50,-50,0
"52",20.35,-20.35,29.65,-29.65,50,-50,0
"53",-26.55,26.55,76.55,-76.55,50,-50,0
"54",8.09999999999999,-8.09999999999999,41.9,-41.9,50,-50,0
"55",15.25,-15.25,34.75,-34.75,50,-50,0
"56",16.35,-16.35,33.65,-33.65,50,-50,0
"57",-22.1,22.1,72.1,-72.1,50,-50,0
"58",-24.25,24.25,74.25,-74.25,50,-50,0
"59",28.4,-28.4,21.6,-21.6,50,-50,0
"60",36.8,-36.8,13.2,-13.2,50,-50,0
"61",-16.65,16.65,66.65,-66.65,50,-50,0
"62",14.95,-14.95,35.05,-35.05,50,-50,0
"63",-103.890909090909,103.890909090909,403.890909090909,-403.890909090909,300,-300,3
"64",43.55,-43.55,6.44999999999999,-6.45,50,-50,0
"65",-25.65,25.65,75.65,-75.65,50,-50,0
"66",-35.05,35.05,85.05,-85.05,50,-50,0
"67",40.65,-40.65,9.34999999999999,-9.34999999999999,50,-50,0
"68",-26.3,26.3,76.3,-76.3,50,-50,0
"69",-14.8,14.8,64.8,-64.8,50,-50,0
"70",-6298.85,6298.85,-13701.15,13701.15,-20000,20000,9
"71",18.55,-18.55,31.45,-31.45,50,-50,0
"72",-84.6727272727273,84.6727272727273,384.672727272727,-384.672727272727,300,-300,3
"73",-14.25,14.25,64.25,-64.25,50,-50,0
"74",115.142424242424,-115.142424242424,184.857575757576,-184.857575757576,300,-300,3
"75",27.5,-27.5,22.5,-22.5,50,-50,0
"76",-31.05,31.05,81.05,-81.05,50,-50,0
"77",42.35,-42.35,7.65000000000001,-7.65,50,-50,0
