"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-100,100,0,0,-100,100,9
"2",100,-100,0,0,100,-100,9
"3",37.05,-37.05,62.95,-62.95,100,-100,1
"4",100,-100,0,0,100,-100,9
"5",100,-100,0,0,100,-100,9
"6",100,-100,0,0,100,-100,9
"7",100,-100,0,0,100,-100,9
"8",100,-100,0,0,100,-100,9
"9",-100,100,0,0,-100,100,9
"10",100,-100,0,0,100,-100,9
"11",100,-100,19900,-19900,20000,-20000,9
"12",-100,100,0,0,-100,100,9
"13",100,-100,0,0,100,-100,9
"14",-100,100,0,0,-100,100,9
"15",-100,100,0,0,-100,100,9
"16",-100,100,0,0,-100,100,9
"17",100,-100,0,0,100,-100,9
"18",-100,100,0,0,-100,100,9
"19",100,-100,0,0,100,-100,9
"20",5.32907051820075e-15,-5.32907051820075e-15,0,0,5.32907051820075e-15,-5.32907051820075e-15,9
"21",-100,100,0,0,-100,100,9
"22",-100,100,0,0,-100,100,9
"23",100,-100,0,0,100,-100,9
"24",100,-100,0,0,100,-100,9
"25",100,-100,0,0,100,-100,9
"26",100,-100,0,0,100,-100,9
"27",-100,100,0,0,-100,100,9
"28",100,-100,0,0,100,-100,9
"29",8.88178419700125e-16,-8.88178419700125e-16,0,0,8.88178419700125e-16,-8.88178419700125e-16,9
"30",-100,102,0,-1.99999999999998,-100,100,9
"31",-100,100,0,0,-100,100,9
"32",100,-100,0,0,100,-100,7
"33",-100,100,0,0,-100,100,9
"34",-100,100,0,0,-100,100,9
"35",-100,100,0,0,-100,100,9
"36",100,-100,0,0,100,-100,9
"37",100,-100,0,0,100,-100,9
"38",-100,100,0,0,-100,100,8
"39",100,-100,0,0,100,-100,9
"40",-1.06581410364015e-14,-3.5527136788005e-15,0,0,-1.06581410364015e-14,-3.5527136788005e-15,9
"41",100,-100,0,0,100,-100,9
"42",-100,100,0,0,-100,100,8
"43",-100,100,0,0,-100,100,9
"44",-100,100,0,0,-100,100,9
"45",-100,100,0,0,-100,100,8
"46",68.1818181818182,-68.1818181818182,31.8181818181818,-31.8181818181818,100,-100,5
"47",-100,100,0,0,-100,100,8
"48",100,-100,0,0,100,-100,9
"49",100,-100,0,0,100,-100,9
"50",-100,100,0,0,-100,100,9
"51",-100,100,0,0,-100,100,9
"52",100,-100,0,0,100,-100,9
"53",-100,100,0,0,-100,100,9
"54",-98.7878787878788,98.7878787878788,-1.21212121212122,1.21212121212122,-100,100,4
"55",-100,100,0,0,-100,100,9
"56",-100,100,0,0,-100,100,9
"57",100,-100,0,0,100,-100,9
"58",100,-100,0,0,100,-100,9
"59",100,-100,0,0,100,-100,9
"60",-100,100,0,0,-100,100,9
"61",-93.1818181818182,93.1818181818182,-6.81818181818181,6.81818181818181,-100,100,6
"62",100,-100,0,0,100,-100,9
"63",-100,100,0,0,-100,100,9
"64",100,-100,0,0,100,-100,9
"65",100,-100,0,0,100,-100,9
"66",100,-93.3,0,-6.7,100,-100,9
"67",-100,100,0,0,-100,100,9
"68",100,-100,0,0,100,-100,9
"69",100,-100,0,0,100,-100,9
"70",-100,100,0,0,-100,100,9
"71",-100,100,0,0,-100,100,6
"72",-100,100,0,0,-100,100,9
"73",100,-100,0,0,100,-100,9
"74",-100,100,0,0,-100,100,9
"75",-100,100,0,0,-100,100,9
"76",-100,100,0,0,-100,100,9
"77",-100,100,0,0,-100,100,9
"78",-100,100,0,0,-100,100,9
"79",100,-100,0,0,100,-100,9
"80",100,-100,0,0,100,-100,5
"81",100,-100,0,0,100,-100,9
"82",45.1,-45.1,54.9,-54.9,100,-100,1
"83",100,-100,0,0,100,-100,9
"84",1.4210854715202e-14,-1.4210854715202e-14,0,0,1.4210854715202e-14,-1.4210854715202e-14,9
"85",-100,100,0,0,-100,100,9
"86",-100,100,-19900,19900,-20000,20000,9
"87",-100,100,0,0,-100,100,9
"88",100,-99.75,0,-0.249999999999993,100,-100,9
"89",-100,100,0,0,-100,100,9
"90",-100,100,0,0,-100,100,8
"91",100,-100,0,0,100,-100,9
"92",100,-100,0,0,100,-100,9
"93",100,-100,0,0,100,-100,9
"94",-100,100,0,0,-100,100,9
"95",100,-100,0,0,100,-100,5
"96",-7.105427357601e-15,3.5527136788005e-15,0,0,-7.105427357601e-15,3.5527136788005e-15,9
"97",38.6,-38.6,61.4,-61.4,100,-100,1
"98",100,-100,0,0,100,-100,9
"99",-100,100,0,0,-100,100,9
"100",-100,100,0,0,-100,100,9
"101",100,-100,0,0,100,-100,9
"102",-100,100,0,0,-100,100,9
"103",100,-100,0,0,100,-100,9
"104",-100,100,0,0,-100,100,8
"105",-100,100,0,0,-100,100,9
"106",93.1818181818182,-93.1818181818182,6.81818181818183,-6.81818181818183,100,-100,5
"107",100,-100,0,0,100,-100,9
"108",100,-100,0,0,100,-100,9
"109",100,-100,0,0,100,-100,9
"110",-100,100,0,0,-100,100,9
"111",100,-100,0,0,100,-100,7
"112",3.5527136788005e-15,-3.5527136788005e-15,0,0,3.5527136788005e-15,-3.5527136788005e-15,9
"113",-100,100,0,0,-100,100,9
"114",-100,100,0,0,-100,100,9
"115",100,-100,0,0,100,-100,9
"116",-100,100,0,0,-100,100,9
"117",-100,100,0,0,-100,100,6
"118",100,-100,0,0,100,-100,9
"119",-100,100,0,0,-100,100,9
"120",-100,100,0,0,-100,100,8
"121",-100,100,0,0,-100,100,9
"122",-100,100,0,0,-100,100,9
"123",100,-100,0,0,100,-100,9
"124",-100,100,0,0,-100,100,9
"125",100,-100,0,0,100,-100,9
"126",100,-100,0,0,100,-100,9
"127",100,-100,0,0,100,-100,9
"128",100,-97.75,0,-2.25,100,-100,9
"129",-19.25,19.25,-80.75,80.75,-100,100,2
"130",33.7,-33.7,66.3,-66.3,100,-100,1
"131",-100,100,0,0,-100,100,9
"132",-100,100,0,0,-100,100,9
"133",-100,100,0,0,-100,100,9
"134",-100,100,0,0,-100,100,9
"135",100,-100,0,0,100,-100,9
"136",100,-100,0,0,100,-100,9
"137",-100,100,0,0,-100,100,8
"138",-100,100,0,0,-100,100,9
"139",100,-100,0,0,100,-100,9
"140",100,-100,0,0,100,-100,9
"141",-100,100,0,0,-100,100,9
"142",100,-100,0,0,100,-100,7
"143",-100,100,0,0,-100,100,9
"144",-100,100,0,0,-100,100,9
"145",100,-100,0,0,100,-100,7
"146",29.75,-29.75,70.25,-70.25,100,-100,1
"147",-100,100,0,0,-100,100,9
"148",100,-100,0,0,100,-100,9
"149",-100,100,0,0,-100,100,9
"150",100,-100,0,0,100,-100,9
"151",100,-100,0,0,100,-100,9
"152",100,-100,0,0,100,-100,9
"153",100,-100,0,0,100,-100,9
"154",100,-100,0,0,100,-100,7
"155",-100,100,0,0,-100,100,9
"156",100,-100,0,0,100,-100,7
"157",-100,100,0,0,-100,100,9
"158",100,-100,0,0,100,-100,9
"159",-100,100,0,0,-100,100,9
"160",100,-100,0,0,100,-100,9
"161",-100,100,0,0,-100,100,9
"162",100,-100,0,0,100,-100,9
"163",100,-100,0,0,100,-100,9
"164",-39.35,39.35,-60.65,60.65,-100,100,2
"165",100,-100,0,0,100,-100,9
"166",-100,100,0,0,-100,100,9
"167",-100,100,0,0,-100,100,9
"168",100,-100,0,0,100,-100,9
"169",-2.22044604925031e-15,5.32907051820075e-15,0,0,-2.22044604925031e-15,5.32907051820075e-15,9
"170",-100,100,0,0,-100,100,9
"171",100,-100,0,0,100,-100,3
"172",100,-100,0,0,100,-100,9
"173",100,-100,0,0,100,-100,9
"174",-100,100,0,0,-100,100,9
"175",-100,100,0,0,-100,100,9
"176",-100,100,0,0,-100,100,9
"177",100,-100,0,0,100,-100,5
"178",-100,100,0,0,-100,100,9
"179",-100,100,0,0,-100,100,9
"180",100,-100,0,0,100,-100,9
"181",100,-100,0,0,100,-100,9
"182",100,-100,0,0,100,-100,9
"183",-100,100,0,0,-100,100,9
"184",100,-100,0,0,100,-100,9
"185",-100,100,0,0,-100,100,8
"186",-100,100,0,0,-100,100,9
"187",100,-100,0,0,100,-100,7
"188",-100,100,0,0,-100,100,9
"189",-100,100,0,0,-100,100,9
"190",-100,100,0,0,-100,100,8
"191",-100,100,0,0,-100,100,9
"192",100,-100,0,0,100,-100,9
"193",-100,100,0,0,-100,100,9
"194",-100,100,0,0,-100,100,9
"195",100,-100,0,0,100,-100,7
"196",-100,100,0,0,-100,100,9
"197",-100,100,0,0,-100,100,9
"198",-100,100,0,0,-100,100,6
"199",8.88178419700125e-16,-8.88178419700125e-16,0,0,8.88178419700125e-16,-8.88178419700125e-16,9
"200",-100,100,0,0,-100,100,9
"201",-100,100,0,0,-100,100,9
"202",-100,100,0,0,-100,100,9
"203",16.5,-16.5,-116.5,116.5,-100,100,2
"204",100,-100,0,0,100,-100,9
"205",-100,100,0,0,-100,100,9
"206",-100,100,0,0,-100,100,9
"207",100,-100,0,0,100,-100,9
"208",-100,100,0,0,-100,100,9
"209",-100,100,0,0,-100,100,9
"210",-100,100,0,0,-100,100,8
"211",-100,100,0,0,-100,100,9
"212",100,-100,0,0,100,-100,9
"213",100,-100,0,0,100,-100,9
"214",100,-100,0,0,100,-100,9
"215",100,-100,0,0,100,-100,9
"216",100,-97.35,0,-2.65,100,-100,9
"217",-100,100,0,0,-100,100,9
"218",-100,100,0,0,-100,100,9
"219",-100,100,0,0,-100,100,9
"220",-100,100,0,0,-100,100,9
"221",100,-100,0,0,100,-100,9
"222",-100,100,0,0,-100,100,9
"223",100,-100,0,0,100,-100,9
"224",18.85,-18.85,81.15,-81.15,100,-100,1
"225",-100,100,0,0,-100,100,9
"226",100,-100,0,0,100,-100,9
"227",-100,100,0,0,-100,100,9
"228",-100,100,0,0,-100,100,9
"229",99.8989898989899,-99.8989898989899,0.101010101010113,-0.101010101010113,100,-100,3
"230",-100,100,0,0,-100,100,9
"231",100,-100,0,0,100,-100,9
"232",7.105427357601e-15,0,0,0,7.105427357601e-15,0,9
"233",-100,100,0,0,-100,100,9
"234",-3.5527136788005e-15,-1.06581410364015e-14,0,0,-3.5527136788005e-15,-1.06581410364015e-14,9
"235",-100,100,0,0,-100,100,8
"236",100,-100,0,0,100,-100,7
"237",-100,100,0,0,-100,100,9
"238",-100,100,0,0,-100,100,9
"239",-100,100,0,0,-100,100,9
"240",-100,100,0,0,-100,100,9
"241",-100,100,0,0,-100,100,9
"242",100,-100,0,0,100,-100,9
"243",100,-100,0,0,100,-100,9
"244",-100,100,0,0,-100,100,8
"245",-100,100,0,0,-100,100,8
"246",100,-100,0,0,100,-100,9
"247",100,-100,0,0,100,-100,7
"248",100,-100,0,0,100,-100,9
"249",-100,100,0,0,-100,100,9
"250",-100,100,0,0,-100,100,9
"251",100,-100,0,0,100,-100,5
"252",-100,100,0,0,-100,100,9
"253",-100,100,0,0,-100,100,9
"254",100,-100,0,0,100,-100,9
"255",100,-100,0,0,100,-100,9
"256",100,-100,0,0,100,-100,9
"257",100,-100,0,0,100,-100,9
"258",100,-100,0,0,100,-100,9
"259",-100,100,0,0,-100,100,9
"260",-100,100,0,0,-100,100,9
"261",-100,100,0,0,-100,100,8
"262",100,-100,0,0,100,-100,9
"263",100,-100,0,0,100,-100,9
"264",100,-100,0,0,100,-100,9
"265",0,0,0,0,0,0,9
"266",-100,100,0,0,-100,100,9
"267",-100,100,0,0,-100,100,9
"268",100,-100,0,0,100,-100,5
"269",-100,100,0,0,-100,100,9
"270",100,-100,0,0,100,-100,9
"271",100,-100,0,0,100,-100,5
"272",-100,100,0,0,-100,100,6
"273",100,-100,0,0,100,-100,9
"274",-100,100,0,0,-100,100,6
"275",-100,100,0,0,-100,100,9
"276",100,-100,0,0,100,-100,9
"277",100,-100,0,0,100,-100,9
"278",100,-100,0,0,100,-100,9
"279",-100,100,0,0,-100,100,9
"280",100,-100,0,0,100,-100,7
"281",100,-100,0,0,100,-100,9
"282",-100,100,0,0,-100,100,9
"283",-100,100,0,0,-100,100,9
"284",-100,100,0,0,-100,100,9
"285",100,-100,0,0,100,-100,9
"286",-100,100,0,0,-100,100,9
"287",-100,100,0,0,-100,100,9
"288",100,-100,0,0,100,-100,9
"289",100,-100,0,0,100,-100,9
"290",0,0,0,0,0,0,9
"291",100,-100,0,0,100,-100,5
"292",-100,100,0,0,-100,100,9
"293",-100,100,0,0,-100,100,9
"294",-100,100,0,0,-100,100,9
"295",-100,100,0,0,-100,100,9
"296",100,-100,0,0,100,-100,9
"297",100,-100,0,0,100,-100,7
"298",-100,100,0,0,-100,100,9
"299",-100,100,0,0,-100,100,9
"300",100,-100,0,0,100,-100,9
"301",-100,100,0,0,-100,100,9
"302",31.5,-31.5,68.5,-68.5,100,-100,1
"303",-100,100,0,0,-100,100,9
"304",-100,100,0,0,-100,100,9
"305",100,-100,0,0,100,-100,7
"306",60.35,-50,39.65,-50,100,-100,1
"307",100,-100,0,0,100,-100,9
"308",100,-100,0,0,100,-100,5
"309",-4.44089209850063e-15,4.44089209850063e-15,0,0,-4.44089209850063e-15,4.44089209850063e-15,9
"310",100,-100,0,0,100,-100,9
"311",62.3,-50,37.7,-50,100,-100,1
"312",100,-100,0,0,100,-100,7
"313",100,-100,0,0,100,-100,9
"314",-100,100,0,0,-100,100,9
"315",-100,100,0,0,-100,100,6
"316",-100,100,0,0,-100,100,9
"317",-100,100,0,0,-100,100,9
"318",100,-100,0,0,100,-100,9
"319",100,-100,0,0,100,-100,7
"320",100,-100,0,0,100,-100,9
"321",-100,100,0,0,-100,100,9
"322",100,-100,0,0,100,-100,9
"323",-100,100,0,0,-100,100,9
"324",-100,100,0,0,-100,100,9
"325",-100,100,0,0,-100,100,9
"326",100,-100,0,0,100,-100,9
"327",-100,100,0,0,-100,100,9
"328",100,-100,0,0,100,-100,9
"329",-100,100,0,0,-100,100,9
"330",100,-100,0,0,100,-100,9
"331",-100,100,0,0,-100,100,8
"332",100,-98.8,0,-1.2,100,-100,9
"333",-100,100,0,0,-100,100,9
"334",3.5527136788005e-15,1.06581410364015e-14,0,0,3.5527136788005e-15,1.06581410364015e-14,9
"335",-100,100,0,0,-100,100,9
"336",-100,100,0,0,-100,100,8
"337",100,-100,0,0,100,-100,9
"338",100,-100,0,0,100,-100,9
"339",100,-100,0,0,100,-100,9
"340",-100,100,0,0,-100,100,9
"341",100,-100,0,0,100,-100,9
"342",100,-100,0,0,100,-100,9
"343",-100,100,0,0,-100,100,6
"344",-100,100,0,0,-100,100,9
"345",-100,100,0,0,-100,100,9
"346",100,-100,0,0,100,-100,9
"347",-100,100,0,0,-100,100,8
"348",-100,100,0,0,-100,100,9
"349",-100,100,0,0,-100,100,9
"350",-100,100,0,0,-100,100,9
"351",-100,100,0,0,-100,100,8
"352",100,-100,0,0,100,-100,9
"353",100,-100,0,0,100,-100,9
"354",100,-100,0,0,100,-100,9
"355",100,-100,0,0,100,-100,9
"356",-100,100,0,0,-100,100,9
"357",100,-100,0,0,100,-100,9
"358",100,-100,0,0,100,-100,9
"359",100,-100,0,0,100,-100,7
"360",100,-100,0,0,100,-100,9
"361",100,-100,0,0,100,-100,9
"362",100,-100,0,0,100,-100,9
"363",-100,100,-19900,19900,-20000,20000,9
"364",-100,100,0,0,-100,100,9
"365",-100,100,0,0,-100,100,9
"366",-5.32907051820075e-15,5.32907051820075e-15,0,0,-5.32907051820075e-15,5.32907051820075e-15,9
"367",100,-100,0,0,100,-100,9
"368",-71.010101010101,71.010101010101,-28.989898989899,28.989898989899,-100,100,4
"369",-100,100,0,0,-100,100,9
"370",100,-100,0,0,100,-100,7
"371",100,-100,0,0,100,-100,9
"372",-100,100,0,0,-100,100,9
"373",100,-100,0,0,100,-100,5
"374",100,-100,0,0,100,-100,9
"375",100,-100,0,0,100,-100,9
"376",-100,100,0,0,-100,100,9
"377",100,-100,0,0,100,-100,9
"378",-100,100,0,0,-100,100,9
"379",-100,100,0,0,-100,100,9
"380",-95.4545454545454,95.4545454545455,-4.54545454545454,4.54545454545454,-100,100,6
"381",-1.06581410364015e-14,-1.06581410364015e-14,0,0,-1.06581410364015e-14,-1.06581410364015e-14,9
"382",100,-100,0,0,100,-100,5
"383",-100,100,0,0,-100,100,9
"384",100,-100,0,0,100,-100,9
"385",100,-100,0,0,100,-100,9
"386",-100,100,0,0,-100,100,9
"387",100,-100,0,0,100,-100,9
"388",-100,100,0,0,-100,100,9
"389",25.35,-25.35,74.65,-74.65,100,-100,1
"390",-100,100,0,0,-100,100,8
"391",100,-100,0,0,100,-100,9
"392",100,-100,0,0,100,-100,9
"393",-100,100,0,0,-100,100,6
"394",-100,100,0,0,-100,100,9
"395",100,-100,0,0,100,-100,9
"396",100,-100,0,0,100,-100,9
"397",-100,100,0,0,-100,100,9
"398",-100,100,0,0,-100,100,9
"399",-100,100,0,0,-100,100,9
"400",-100,100,0,0,-100,100,9
"401",100,-100,0,0,100,-100,9
"402",100,-100,0,0,100,-100,9
"403",-100,100,0,0,-100,100,9
"404",-100,100,0,0,-100,100,9
"405",-100,100,0,0,-100,100,9
"406",100,-100,0,0,100,-100,9
"407",100,-100,0,0,100,-100,9
"408",-100,100,0,0,-100,100,9
"409",100,-100,0,0,100,-100,7
"410",-1.06581410364015e-14,-3.5527136788005e-15,0,0,-1.06581410364015e-14,-3.5527136788005e-15,9
"411",-34.05,34.05,-65.95,65.95,-100,100,2
"412",100,-100,0,0,100,-100,9
"413",100,-100,0,0,100,-100,9
"414",49.95,-49.95,50.05,-50.05,100,-100,1
"415",-100,100,0,0,-100,100,9
"416",100,-100,0,0,100,-100,9
"417",-100,100,0,0,-100,100,8
"418",-100,100,0,0,-100,100,9
"419",-100,100,0,0,-100,100,9
"420",100,-100,0,0,100,-100,9
"421",100,-100,0,0,100,-100,9
"422",100,-100,0,0,100,-100,9
"423",-100,100,0,0,-100,100,9
"424",-100,100,0,0,-100,100,8
"425",100,-100,0,0,100,-100,9
"426",100,-100,0,0,100,-100,9
"427",98.7878787878788,-98.7878787878788,1.21212121212122,-1.21212121212122,100,-100,3
"428",-100,100,0,0,-100,100,9
"429",-100,100,0,0,-100,100,9
"430",100,-100,0,0,100,-100,9
"431",100,-100,0,0,100,-100,9
"432",-100,100,0,0,-100,100,9
"433",0,0,0,0,0,0,9
"434",100,-100,0,0,100,-100,9
"435",93.1818181818182,-93.1818181818182,6.81818181818183,-6.81818181818183,100,-100,5
"436",30.85,-30.85,69.15,-69.15,100,-100,1
"437",-100,100,0,0,-100,100,9
"438",100,-100,0,0,100,-100,9
"439",-100,100,0,0,-100,100,9
"440",-100,100,0,0,-100,100,9
"441",-100,100,0,0,-100,100,9
"442",100,-100,0,0,100,-100,9
"443",100,-100,0,0,100,-100,9
"444",-100,100.7,-19900,19899.3,-20000,20000,9
"445",100,-100,0,0,100,-100,9
"446",100,-100,0,0,100,-100,9
"447",-100,100,0,0,-100,100,9
"448",100,-100,0,0,100,-100,9
"449",-100,100,0,0,-100,100,9
"450",100,-100,0,0,100,-100,9
"451",100,-100,0,0,100,-100,9
"452",68.1818181818182,-68.1818181818182,31.8181818181818,-31.8181818181818,100,-100,5
"453",100,-83.95,0,-16.05,100,-100,9
"454",100,-100,0,0,100,-100,9
"455",100,-100,0,0,100,-100,9
"456",-100,100,0,0,-100,100,9
"457",-3.5527136788005e-15,0,0,0,-3.5527136788005e-15,0,9
"458",-100,100,0,0,-100,100,9
"459",-100,100,0,0,-100,100,9
"460",100,-100,0,0,100,-100,9
"461",-100,100,0,0,-100,100,9
"462",100,-100,0,0,100,-100,9
"463",-100,100,0,0,-100,100,9
"464",100,-100,0,0,100,-100,9
"465",-100,100,0,0,-100,100,9
"466",84.0909090909091,-84.0909090909091,15.9090909090909,-15.9090909090909,100,-100,5
"467",100,-100,0,0,100,-100,9
"468",-100,100,0,0,-100,100,9
"469",-100,100,0,0,-100,100,9
"470",100,-100,0,0,100,-100,9
"471",-100,100,0,0,-100,100,9
"472",-100,100,0,0,-100,100,9
"473",100,-100,0,0,100,-100,9
"474",100,-100,0,0,100,-100,9
"475",100,-100,0,0,100,-100,9
"476",-100,100,0,0,-100,100,9
"477",-100,100,0,0,-100,100,9
"478",-100,100,0,0,-100,100,9
"479",-28.75,28.75,-71.25,71.25,-100,100,2
"480",100,-100,0,0,100,-100,9
"481",-100,100,0,0,-100,100,8
"482",100,-100,0,0,100,-100,9
"483",-7.105427357601e-15,-1.4210854715202e-14,0,0,-7.105427357601e-15,-1.4210854715202e-14,9
"484",100,-100,0,0,100,-100,9
"485",100,-100,0,0,100,-100,7
"486",-100,100,0,0,-100,100,9
"487",100,-100,0,0,100,-100,9
"488",100,-100,0,0,100,-100,9
"489",-100,100,0,0,-100,100,9
"490",100,-100,0,0,100,-100,5
"491",-100,100,0,0,-100,100,9
"492",100,-100,0,0,100,-100,9
"493",30.8,-30.8,69.2,-69.2,100,-100,1
"494",100,-87,19900,-19913,20000,-20000,9
"495",100,-100,0,0,100,-100,9
"496",100,-100,0,0,100,-100,7
"497",-100,100,0,0,-100,100,9
"498",100,-100,0,0,100,-100,9
"499",100,-100,0,0,100,-100,9
"500",-100,100,0,0,-100,100,9
"501",-100,100,0,0,-100,100,9
"502",100,-100,0,0,100,-100,9
"503",-100,100,0,0,-100,100,9
"504",100,-100,0,0,100,-100,9
"505",-100,100,0,0,-100,100,9
"506",100,-100,0,0,100,-100,9
"507",100,-100,0,0,100,-100,9
"508",-100,100,0,0,-100,100,6
"509",100,-100,0,0,100,-100,9
"510",100,-100,0,0,100,-100,9
"511",100,-100,0,0,100,-100,9
"512",-100,100,0,0,-100,100,8
"513",100,-100,0,0,100,-100,9
"514",100,-100,0,0,100,-100,9
"515",100,-100,0,0,100,-100,9
"516",100,-100,0,0,100,-100,9
"517",100,-100,0,0,100,-100,9
"518",-100,100,0,0,-100,100,9
"519",100,-100,0,0,100,-100,9
"520",69.95,-50,30.05,-50,100,-100,1
"521",-100,100,0,0,-100,100,9
"522",100,-100,0,0,100,-100,9
"523",100,-100,0,0,100,-100,9
"524",-100,100,0,0,-100,100,9
"525",84.0909090909091,-84.0909090909091,15.9090909090909,-15.9090909090909,100,-100,5
"526",-100,100,0,0,-100,100,9
"527",-100,100,0,0,-100,100,9
"528",100,-100,0,0,100,-100,9
"529",-100,100,0,0,-100,100,9
"530",100,-100,0,0,100,-100,9
