"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",27.4,-27.4,22.6,-22.6,50,-50,0
"2",27.5,-27.5,22.5,-22.5,50,-50,0
"3",30.15,-30.15,19.85,-19.85,50,-50,0
"4",-51.3,51.3,101.3,-101.3,50,-50,0
"5",38.7,-38.7,11.3,-11.3,50,-50,0
"6",-35.25,35.25,85.25,-85.25,50,-50,0
"7",17.75,-17.75,32.25,-32.25,50,-50,0
"8",-16.9,16.9,66.9,-66.9,50,-50,0
"9",26,-26,24,-24,50,-50,0
"10",-29.7979797979798,29.7979797979798,-70.2020202020202,70.2020202020202,-100,100,4
"11",-17.1,17.1,67.1,-67.1,50,-50,0
"12",-18.15,18.15,68.15,-68.15,50,-50,0
"13",20.55,-20.55,29.45,-29.45,50,-50,0
"14",24.45,-24.45,25.55,-25.55,50,-50,0
"15",37.95,-37.95,12.05,-12.05,50,-50,0
"16",-31.1,31.1,81.1,-81.1,50,-50,0
"17",13.25,-13.25,36.75,-36.75,50,-50,0
"18",28.95,-28.95,21.05,-21.05,50,-50,0
"19",-9.15000000000001,9.14999999999999,59.15,-59.15,50,-50,0
"20",-59.3939393939394,59.3939393939394,-40.6060606060606,40.6060606060606,-100,100,4
"21",28.45,-28.45,21.55,-21.55,50,-50,0
"22",28.15,-28.15,21.85,-21.85,50,-50,0
"23",-27.95,27.95,77.95,-77.95,50,-50,0
"24",14.65,-14.65,35.35,-35.35,50,-50,0
"25",10.65,-10.65,39.35,-39.35,50,-50,0
"26",40.05,-40.05,9.95000000000002,-9.95000000000002,50,-50,0
"27",-35.65,35.65,85.65,-85.65,50,-50,0
"28",-100,100,0,0,-100,100,9
"29",-30.85,30.85,80.85,-80.85,50,-50,0
"30",38.5,-38.5,11.5,-11.5,50,-50,0
"31",-13.7,13.7,63.7,-63.7,50,-50,0
"32",100,-100,0,0,100,-100,9
"33",-35.15,35.15,85.15,-85.15,50,-50,0
"34",-27.7,27.7,77.7,-77.7,50,-50,0
"35",-33.35,33.35,83.35,-83.35,50,-50,0
"36",-29.45,29.45,79.45,-79.45,50,-50,0
"37",-8.05,8.05,58.05,-58.05,50,-50,0
"38",65.5,-50,-15.5,0,50,-50,0
"39",-11.1,11.1,61.1,-61.1,50,-50,0
"40",22.15,-22.15,27.85,-27.85,50,-50,0
"41",21.35,-21.35,28.65,-28.65,50,-50,0
"42",-43.2323232323232,43.2323232323232,-56.7676767676768,56.7676767676768,-100,100,4
"43",-25.75,25.75,75.75,-75.75,50,-50,0
"44",19.6,-19.6,30.4,-30.4,50,-50,0
"45",100,-100,0,0,100,-100,9
"46",-41.2,41.2,91.2,-91.2,50,-50,0
"47",3.25,-3.25,46.75,-46.75,50,-50,0
"48",-100,100,0,0,-100,100,9
"49",61.35,-50,-11.35,0,50,-50,0
"50",46,-46,4,-4,50,-50,0
"51",100,-100,0,0,100,-100,9
"52",-15.05,15.05,65.05,-65.05,50,-50,0
"53",-35.35,35.35,85.35,-85.35,50,-50,0
"54",42.1,-42.1,7.90000000000001,-7.90000000000002,50,-50,0
"55",-64.7,64.7,-35.3,35.3,-100,100,2
"56",-15.25,15.25,65.25,-65.25,50,-50,0
"57",25.35,-25.35,24.65,-24.65,50,-50,0
"58",75.25,-50,-25.25,0,50,-50,0
"59",-27.75,27.75,77.75,-77.75,50,-50,0
"60",33.3,-33.3,16.7,-16.7,50,-50,0
"61",26.8,-26.8,23.2,-23.2,50,-50,0
"62",35.3,-35.3,14.7,-14.7,50,-50,0
"63",-17.3,17.3,67.3,-67.3,50,-50,0
"64",-39.8,39.8,89.8,-89.8,50,-50,0
"65",31.05,-31.05,18.95,-18.95,50,-50,0
"66",1.8,-1.8,48.2,-48.2,50,-50,0
"67",-50.2,50.2,100.2,-100.2,50,-50,0
"68",44.2,-44.2,5.80000000000001,-5.8,50,-50,0
"69",-22.3,22.3,72.3,-72.3,50,-50,0
"70",-100,100,0,0,-100,100,8
"71",85.45,-50,-35.45,0,50,-50,0
"72",-61.55,61.55,-38.45,38.45,-100,100,2
"73",26.05,-26.05,23.95,-23.95,50,-50,0
"74",26.15,-26.15,23.85,-23.85,50,-50,0
"75",20.5,-20.5,29.5,-29.5,50,-50,0
"76",-11,11,61,-61,50,-50,0
"77",-46,46,96,-96,50,-50,0
"78",-48.6,48.6,98.6,-98.6,50,-50,0
"79",100,-100,0,0,100,-100,7
"80",34.2,-34.2,15.8,-15.8,50,-50,0
"81",39.6,-39.6,10.4,-10.4,50,-50,0
"82",14.2,-14.2,35.8,-35.8,50,-50,0
"83",30.15,-30.15,19.85,-19.85,50,-50,0
"84",11.4,-11.4,38.6,-38.6,50,-50,0
"85",31.6,-31.6,18.4,-18.4,50,-50,0
"86",-32.2,32.2,82.2,-82.2,50,-50,0
"87",17.7,-17.7,32.3,-32.3,50,-50,0
"88",-16.15,16.15,66.15,-66.15,50,-50,0
"89",-43.55,43.55,-56.45,56.45,-100,100,2
"90",-10.85,10.85,60.85,-60.85,50,-50,0
"91",32,-32,18,-18,50,-50,0
"92",-25.5,25.5,75.5,-75.5,50,-50,0
"93",-25.25,25.25,75.25,-75.25,50,-50,0
"94",-100,100,0,0,-100,100,9
"95",28.85,-28.85,21.15,-21.15,50,-50,0
"96",-29.1,29.1,79.1,-79.1,50,-50,0
"97",-43.3,43.3,93.3,-93.3,50,-50,0
