"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-64.3434343434343,64.3434343434343,164.343434343434,-164.343434343434,100,-100,3
"2",-84.4444444444444,84.4444444444445,-15.5555555555555,15.5555555555555,-100,100,4
"3",-29950,29950,9950,-9950,-20000,20000,9
"4",100,-100,200,-200,300,-300,9
"5",-6.66666666666667,6.66666666666667,106.666666666667,-106.666666666667,100,-100,3
"6",141.212121212121,-141.212121212121,658.787878787879,-658.787878787879,800,-800,9
"7",-100,100,-200,200,-300,300,9
"8",-73.3333333333333,73.3333333333333,-26.6666666666667,26.6666666666667,-100,100,4
"9",3.5527136788005e-15,-3.5527136788005e-15,0,0,3.5527136788005e-15,-3.5527136788005e-15,9
"10",12.6262626262626,-12.6262626262626,87.3737373737374,-87.3737373737374,100,-100,3
"11",19174.0363636364,-19174.0363636364,825.963636363636,-825.963636363636,20000,-20000,9
"12",68.1818181818182,-68.1818181818182,31.8181818181818,-31.8181818181818,100,-100,5
"13",-77.2727272727273,77.2727272727273,177.272727272727,-177.272727272727,100,-100,5
"14",53.9393939393939,-53.9393939393939,46.0606060606061,-46.0606060606061,100,-100,3
"15",100,-100,0,0,100,-100,9
"16",-12884.2424242424,12884.2424242424,-7115.75757575758,7115.75757575757,-20000,20000,9
"17",82.020202020202,-82.020202020202,17.979797979798,-17.979797979798,100,-100,3
"18",-133.333333333333,133.333333333333,-19866.6666666667,19866.6666666667,-20000,20000,9
"19",-93.1818181818182,93.1818181818182,-406.818181818182,406.818181818182,-500,500,6
"20",-100,100,0,0,-100,100,9
"21",-50.7070707070707,50.7070707070707,-49.2929292929293,49.2929292929293,-100,100,4
"22",-3959.98787878788,3959.98787878788,-5304.01212121212,5304.01212121212,-9264,9264,9
"23",703.030303030303,-703.030303030303,19296.9696969697,-19296.9696969697,20000,-20000,9
"24",-71.1111111111111,71.1111111111111,-28.8888888888889,28.8888888888889,-100,100,4
"25",-100,100,-200,200,-300,300,9
