"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-41.4,41.4,91.4,-91.4,50,-50,0
"2",34.15,-34.15,15.85,-15.85,50,-50,0
"3",56.1,-50,-6.09999999999999,0,50,-50,0
"4",28.4,-28.4,21.6,-21.6,50,-50,0
"5",-32.1,32.1,82.1,-82.1,50,-50,0
"6",80.8080808080808,-80.8080808080808,119.191919191919,-119.191919191919,200,-200,5
"7",20.65,-20.65,29.35,-29.35,50,-50,0
"8",-31.8,31.8,81.8,-81.8,50,-50,0
"9",-100,100,200,-200,100,-100,7
"10",-47.75,47.75,97.75,-97.75,50,-50,0
"11",25.85,-25.85,24.15,-24.15,50,-50,0
"12",36.05,-36.05,13.95,-13.95,50,-50,0
"13",-29.65,29.65,79.65,-79.65,50,-50,0
"14",24.55,-24.55,25.45,-25.45,50,-50,0
"15",23.2,-23.2,26.8,-26.8,50,-50,0
"16",-25.55,25.55,75.55,-75.55,50,-50,0
"17",102.424242424242,-102.424242424242,297.575757575758,-297.575757575758,400,-400,5
"18",16.0606060606061,-16.0606060606061,83.9393939393939,-83.9393939393939,100,-100,3
"19",33.85,-33.85,16.15,-16.15,50,-50,0
"20",47.2,-47.2,2.80000000000001,-2.8,50,-50,0
"21",30.95,-30.95,19.05,-19.05,50,-50,0
"22",-27.6,27.6,77.6,-77.6,50,-50,0
"23",-20.05,20.05,70.05,-70.05,50,-50,0
"24",-71.65,71.65,-28.35,28.35,-100,100,2
"25",-42.35,42.35,92.35,-92.35,50,-50,0
"26",-18.4,18.4,68.4,-68.4,50,-50,0
"27",31.6,-31.6,18.4,-18.4,50,-50,0
"28",-30.3,30.3,80.3,-80.3,50,-50,0
"29",-26.35,26.35,-73.65,73.65,-100,100,2
"30",-14.4,14.4,64.4,-64.4,50,-50,0
"31",26.15,-26.15,23.85,-23.85,50,-50,0
"32",92.020202020202,-92.020202020202,7.979797979798,-7.979797979798,100,-100,3
"33",-20.6,20.6,70.6,-70.6,50,-50,0
"34",15.05,-15.05,34.95,-34.95,50,-50,0
"35",-9.39999999999999,9.39999999999999,59.4,-59.4,50,-50,0
"36",18.9,-18.9,31.1,-31.1,50,-50,0
"37",23.15,-23.15,26.85,-26.85,50,-50,0
"38",20.85,-20.85,29.15,-29.15,50,-50,0
"39",24.45,-24.45,25.55,-25.55,50,-50,0
"40",-31.35,31.35,81.35,-81.35,50,-50,0
"41",8.75000000000001,-8.75000000000001,41.25,-41.25,50,-50,0
"42",-10.25,10.25,60.25,-60.25,50,-50,0
"43",82.4242424242424,-82.4242424242424,17.5757575757576,-17.5757575757576,100,-100,3
"44",45.85,-45.85,4.15000000000001,-4.15000000000001,50,-50,0
"45",-28,28,78,-78,50,-50,0
"46",-36.7,36.7,86.7,-86.7,50,-50,0
"47",-72.75,72.75,-27.25,27.25,-100,100,2
"48",26.05,-26.05,23.95,-23.95,50,-50,0
"49",28,-28,22,-22,50,-50,0
"50",42.15,-42.15,7.84999999999999,-7.85,50,-50,0
"51",-8,8,58,-58,50,-50,0
"52",116.969696969697,-116.969696969697,283.030303030303,-283.030303030303,400,-400,5
