"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-100,100,0,0,-100,100,9
"2",-100,100,0,0,-100,100,9
"3",100,-100,0,0,100,-100,7
"4",55.7575757575758,-46.0075757575758,44.2424242424242,-53.9924242424242,100,-100,3
"5",-100,100,0,0,-100,100,9
"6",-100,100,0,0,-100,100,8
"7",55.7575757575758,-55.7575757575758,44.2424242424242,-44.2424242424242,100,-100,3
"8",-93.1818181818182,93.1818181818182,-6.81818181818181,6.81818181818181,-100,100,6
"9",-100,100,0,0,-100,100,9
"10",-100,100,200,-200,100,-100,7
"11",0,0,100,-100,100,-100,7
"12",96.7676767676768,-96.7676767676768,3.23232323232323,-3.23232323232323,100,-100,3
"13",-67.8787878787879,67.8787878787879,167.878787878788,-167.878787878788,100,-100,3
"14",99.3939393939394,-99.3939393939394,0.60606060606061,-0.60606060606061,100,-100,3
"15",-42.020202020202,42.020202020202,142.020202020202,-142.020202020202,100,-100,3
"16",-100,100,0,0,-100,100,9
"17",100,-100,0,0,100,-100,5
"18",68.2828282828283,-68.2828282828283,31.7171717171717,-31.7171717171717,100,-100,3
"19",-6.21724893790088e-15,6.21724893790088e-15,0,0,-6.21724893790088e-15,6.21724893790088e-15,9
"20",71.7171717171717,-71.7171717171717,28.2828282828283,-28.2828282828283,100,-100,3
"21",57.5757575757576,-57.5757575757576,42.4242424242424,-42.4242424242424,100,-100,3
"22",87.4747474747475,-87.4747474747475,12.5252525252525,-12.5252525252525,100,-100,3
"23",68.0808080808081,-68.0808080808081,31.9191919191919,-31.9191919191919,100,-100,3
"24",96.7676767676768,-96.7676767676768,3.23232323232323,-3.23232323232323,100,-100,3
"25",55.7575757575758,-55.7575757575758,44.2424242424242,-44.2424242424242,100,-100,3
"26",-100,100,0,0,-100,100,8
"27",74.3434343434343,-74.3434343434343,25.6565656565657,-25.6565656565657,100,-100,3
"28",-100,100,0,0,-100,100,9
"29",-47.1717171717172,47.1717171717172,147.171717171717,-147.171717171717,100,-100,3
"30",-100,100,0,0,-100,100,9
"31",-88.5858585858586,88.5858585858586,188.585858585859,-188.585858585859,100,-100,3
"32",100,-100,0,0,100,-100,9
"33",100,-100,0,0,100,-100,9
"34",-100,100,200,-200,100,-100,7
"35",100,-100,0,0,100,-100,7
"36",-100,100,0,0,-100,100,9
"37",-100,100,0,0,-100,100,9
"38",100,-100,0,0,100,-100,9
"39",82.1212121212121,-82.1212121212121,17.8787878787879,-17.8787878787879,100,-100,3
"40",74.3434343434344,-70.4434343434344,25.6565656565656,-29.5565656565656,100,-100,3
"41",-100,100,0,0,-100,100,9
"42",-50.7070707070707,50.7070707070707,150.707070707071,-150.707070707071,100,-100,3
"43",-100,100,200,-200,100,-100,7
"44",-100,100,0,0,-100,100,8
"45",-100,100,0,0,-100,100,9
"46",42.4242424242424,-42.4242424242424,57.5757575757576,-57.5757575757576,100,-100,3
"47",82.020202020202,-61.270202020202,17.979797979798,-38.729797979798,100,-100,3
"48",100,-100,0,0,100,-100,9
"49",100,-100,0,0,100,-100,7
"50",3.5527136788005e-15,-3.5527136788005e-15,100,-100,100,-100,3
"51",-100,100,0,0,-100,100,9
"52",71.8181818181818,-71.8181818181818,28.1818181818182,-28.1818181818182,100,-100,3
"53",0,3.5527136788005e-15,100,-100,100,-100,7
"54",100,-100,19900,-19900,20000,-20000,9
"55",-100,100,0,0,-100,100,8
"56",84.040404040404,-84.040404040404,15.959595959596,-15.959595959596,100,-100,3
"57",47.55,-47.55,52.45,-52.45,100,-100,1
"58",69.0909090909091,-69.0909090909091,30.9090909090909,-30.9090909090909,100,-100,3
"59",100,-77.5,0,-22.5,100,-100,5
"60",-100,100,0,0,-100,100,9
"61",90.9090909090909,-90.9090909090909,9.09090909090908,-9.09090909090908,100,-100,5
"62",65.7575757575758,-65.7575757575758,34.2424242424242,-34.2424242424242,100,-100,3
"63",-100,100,0,0,-100,100,4
"64",-100,100,0,0,-100,100,9
"65",-100,100,0,0,-100,100,8
"66",61.8181818181818,-61.8181818181818,38.1818181818182,-38.1818181818182,100,-100,3
"67",100,-100,0,0,100,-100,9
"68",100,-100,0,0,100,-100,9
"69",0,0,100,-100,100,-100,7
"70",37467.7777777778,-37467.7777777778,-17467.7777777778,17467.7777777778,20000,-20000,9
"71",80.6060606060606,-80.6060606060606,19.3939393939394,-19.3939393939394,100,-100,3
"72",-63.2323232323232,63.2323232323232,163.232323232323,-163.232323232323,100,-100,3
"73",-100,100,0,0,-100,100,9
"74",100,-100,0,0,100,-100,7
"75",100,-100,0,0,100,-100,7
"76",100,-100,0,0,100,-100,7
"77",-96.1616161616162,96.1616161616162,196.161616161616,-196.161616161616,100,-100,3
"78",55.1515151515152,-55.1515151515151,44.8484848484849,-44.8484848484849,100,-100,3
"79",51.010101010101,-51.010101010101,48.989898989899,-48.989898989899,100,-100,3
"80",-16.3636363636364,16.3636363636364,116.363636363636,-116.363636363636,100,-100,3
"81",-100,100,0,0,-100,100,9
"82",-100,100,0,0,-100,100,9
"83",100,-100,0,0,100,-100,9
"84",-89.3939393939394,89.3939393939394,189.393939393939,-189.393939393939,100,-100,3
"85",56.3636363636364,-56.3636363636364,43.6363636363636,-43.6363636363636,100,-100,3
"86",40.9090909090909,-40.9090909090909,59.0909090909091,-59.0909090909091,100,-100,3
"87",100,-100,0,0,100,-100,7
"88",-100,100,0,0,-100,100,9
"89",7.105427357601e-15,-7.105427357601e-15,0,0,7.105427357601e-15,-7.105427357601e-15,9
"90",73.1313131313131,-73.1313131313131,26.8686868686869,-26.8686868686869,100,-100,3
"91",50.1010101010101,-50.1010101010101,49.8989898989899,-49.8989898989899,100,-100,3
"92",-98.0808080808081,98.0808080808081,198.080808080808,-198.080808080808,100,-100,3
"93",-100,100,0,0,-100,100,8
"94",100,-100,0,0,100,-100,7
"95",-100,100,0,0,-100,100,9
"96",53.5353535353535,-53.5353535353535,46.4646464646464,-46.4646464646464,100,-100,3
"97",100,-100,0,0,100,-100,7
"98",50.5050505050505,-50.5050505050505,49.4949494949495,-49.4949494949495,100,-100,3
"99",56.3636363636364,-56.3636363636364,43.6363636363636,-43.6363636363636,100,-100,3
"100",100,-100,0,0,100,-100,9
"101",100,-100,0,0,100,-100,9
"102",-100,100,0,0,-100,100,9
"103",-47.7777777777778,47.7777777777778,147.777777777778,-147.777777777778,100,-100,3
"104",-80.4040404040404,80.4040404040404,180.40404040404,-180.40404040404,100,-100,3
"105",72.7272727272727,-72.7272727272727,27.2727272727273,-27.2727272727273,100,-100,3
"106",-100,100,0,0,-100,100,9
"107",89.6969696969697,-89.6969696969697,10.3030303030303,-10.3030303030303,100,-100,3
"108",100,-100,0,0,100,-100,7
"109",-34.4444444444444,34.4444444444445,134.444444444444,-134.444444444444,100,-100,3
"110",100,-100,0,0,100,-100,9
"111",100,-100,0,0,100,-100,9
"112",55.8585858585858,-55.8585858585858,44.1414141414141,-44.1414141414141,100,-100,3
"113",34.8484848484848,-34.8484848484848,65.1515151515152,-65.1515151515152,100,-100,3
"114",54.3434343434343,-28.6434343434344,45.6565656565657,-71.3565656565656,100,-100,3
"115",-100,100,0,0,-100,100,6
"116",50.9090909090909,-50.9090909090909,49.0909090909091,-49.0909090909091,100,-100,3
"117",100,-100,0,0,100,-100,9
"118",-100,100,0,0,-100,100,9
"119",100,-100,0,0,100,-100,7
"120",44.040404040404,-44.040404040404,55.959595959596,-55.959595959596,100,-100,3
"121",86.3636363636363,-86.3636363636363,13.6363636363636,-13.6363636363636,100,-100,5
"122",50.7070707070707,-50.7070707070707,49.2929292929293,-49.2929292929293,100,-100,3
"123",36.7676767676768,-36.7676767676768,63.2323232323232,-63.2323232323232,100,-100,3
"124",-72.2222222222222,72.2222222222222,172.222222222222,-172.222222222222,100,-100,3
"125",100,-100,0,0,100,-100,7
"126",-3.5527136788005e-15,3.5527136788005e-15,0,0,-3.5527136788005e-15,3.5527136788005e-15,9
"127",-59.6969696969697,59.6969696969697,159.69696969697,-159.69696969697,100,-100,3
"128",1.4210854715202e-14,0,100,-100,100,-100,7
"129",-100,100,200,-200,100,-100,7
"130",-100,100,0,0,-100,100,9
"131",-100,100,0,0,-100,100,9
"132",65.4545454545455,-65.4545454545455,34.5454545454545,-34.5454545454545,100,-100,3
"133",-100,100,0,0,-100,100,9
"134",100,-100,0,0,100,-100,9
"135",100,-100,0,0,100,-100,9
"136",-100,100,0,0,-100,100,9
"137",-100,100,0,0,-100,100,9
"138",1.4210854715202e-14,-1.4210854715202e-14,0,0,1.4210854715202e-14,-1.4210854715202e-14,9
"139",100,-100,0,0,100,-100,7
"140",26.15,-26.15,73.85,-73.85,100,-100,1
"141",-100,100,0,0,-100,100,9
"142",100,-100,0,0,100,-100,7
"143",93.7373737373737,-93.7373737373737,6.26262626262626,-6.26262626262626,100,-100,3
"144",88.0808080808081,-71.9808080808081,11.9191919191919,-28.0191919191919,100,-100,3
"145",95.4545454545455,-95.4545454545455,4.54545454545454,-4.54545454545454,100,-100,5
"146",-100,100,0,0,-100,100,9
"147",-47.65,47.65,-52.35,52.35,-100,100,2
"148",83.030303030303,-83.030303030303,16.969696969697,-16.969696969697,100,-100,3
"149",47.05,-47.05,52.95,-52.95,100,-100,1
"150",100,-100,0,0,100,-100,5
"151",-100,100,0,0,-100,100,9
"152",3.5527136788005e-15,-3.5527136788005e-15,100,-100,100,-100,7
"153",-100,100,0,0,-100,100,9
"154",100,-100,0,0,100,-100,9
"155",-100,100,0,0,-100,100,9
"156",93.9393939393939,-93.9393939393939,6.06060606060608,-6.06060606060608,100,-100,3
"157",-100,100,0,0,-100,100,8
"158",100,-100,0,0,100,-100,9
"159",38,-38,62,-62,100,-100,1
"160",92.1212121212121,-90.6212121212121,7.87878787878789,-9.37878787878788,100,-100,3
"161",35.3535353535353,-35.3535353535354,64.6464646464646,-64.6464646464646,100,-100,3
"162",-100,100,0,0,-100,100,9
"163",75.1515151515152,-75.1515151515152,24.8484848484849,-24.8484848484849,100,-100,3
"164",100,-100,0,0,100,-100,9
"165",40.4040404040404,-40.4040404040404,59.5959595959596,-59.5959595959596,100,-100,3
"166",-44.3434343434343,44.3434343434343,144.343434343434,-144.343434343434,100,-100,3
"167",85.6565656565656,-85.6565656565656,14.3434343434343,-14.3434343434343,100,-100,3
"168",-100,100,0,0,-100,100,9
"169",-63.2323232323232,63.2323232323232,163.232323232323,-163.232323232323,100,-100,3
"170",-100,100,200,-200,100,-100,7
"171",-100,100,0,0,-100,100,9
"172",33.9393939393939,-14.2393939393939,66.0606060606061,-85.7606060606061,100,-100,3
"173",100,-100,0,0,100,-100,9
"174",100,-100,0,0,100,-100,9
"175",89.3939393939394,-61.5439393939394,10.6060606060606,-38.4560606060606,100,-100,3
"176",-100,100,0,0,-100,100,9
"177",74.9494949494949,-74.9494949494949,25.0505050505051,-25.0505050505051,100,-100,3
"178",100,-100,0,0,100,-100,9
"179",100,-100,0,0,100,-100,5
"180",49.6969696969697,-49.6969696969697,50.3030303030303,-50.3030303030303,100,-100,3
"181",-100,100,0,0,-100,100,9
"182",93.1818181818182,-93.1818181818182,6.81818181818183,-6.81818181818183,100,-100,5
"183",74.5454545454545,-74.5454545454545,25.4545454545455,-25.4545454545455,100,-100,3
"184",70.7070707070707,-67.1070707070707,29.2929292929293,-32.8929292929293,100,-100,3
"185",26.8686868686869,-11.3686868686869,73.1313131313131,-88.6313131313131,100,-100,3
"186",71.3131313131313,-71.3131313131313,28.6868686868687,-28.6868686868687,100,-100,3
"187",-100,100,0,0,-100,100,8
"188",44.6464646464647,-44.6464646464647,55.3535353535354,-55.3535353535354,100,-100,3
"189",70.3030303030303,-70.3030303030303,29.6969696969697,-29.6969696969697,100,-100,3
"190",-100,100,0,0,-100,100,9
"191",30.9090909090909,-30.9090909090909,69.0909090909091,-69.0909090909091,100,-100,3
"192",100,-100,0,0,100,-100,9
"193",-61.3131313131313,61.3131313131313,161.313131313131,-161.313131313131,100,-100,3
"194",90.9090909090909,-90.9090909090909,9.09090909090908,-9.09090909090908,100,-100,3
"195",-1456.81818181818,1456.81818181818,-18543.1818181818,18543.1818181818,-20000,20000,9
"196",14.9494949494949,-14.9494949494949,85.0505050505051,-85.0505050505051,100,-100,3
"197",86.3636363636364,-86.3636363636364,13.6363636363636,-13.6363636363636,100,-100,5
"198",2.66453525910038e-15,-2.66453525910038e-15,0,0,2.66453525910038e-15,-2.66453525910038e-15,9
"199",100,-100,0,0,100,-100,9
"200",-100,100,0,0,-100,100,9
"201",-100,100,0,0,-100,100,9
"202",81.8181818181818,-81.8181818181818,18.1818181818182,-18.1818181818182,100,-100,5
"203",-70.9090909090909,70.9090909090909,170.909090909091,-170.909090909091,100,-100,3
"204",-100,100,0,0,-100,100,9
"205",92.2222222222222,-92.2222222222222,7.77777777777777,-7.77777777777777,100,-100,3
"206",100,-100,0,0,100,-100,9
"207",-100,100,0,0,-100,100,9
"208",-100,100,0,0,-100,100,8
"209",-100,100,0,0,-100,100,9
"210",-100,100,0,0,-100,100,9
"211",-100,100,0,0,-100,100,8
"212",100,-100,0,0,100,-100,9
"213",100,-100,0,0,100,-100,7
"214",-100,100,0,0,-100,100,9
"215",-100,100,0,0,-100,100,9
"216",-100,100,0,0,-100,100,9
"217",31.85,-31.85,68.15,-68.15,100,-100,1
"218",99.0909090909091,-99.0909090909091,0.909090909090904,-0.909090909090904,100,-100,3
"219",100,-100,0,0,100,-100,9
"220",-83.9393939393939,83.9393939393939,183.939393939394,-183.939393939394,100,-100,3
"221",-100,100,0,0,-100,100,9
"222",61.6161616161616,-61.6161616161616,38.3838383838384,-38.3838383838384,100,-100,3
"223",-7.105427357601e-15,0,0,0,-7.105427357601e-15,0,9
"224",47.6767676767677,-47.6767676767677,52.3232323232323,-52.3232323232323,100,-100,3
"225",18.989898989899,-18.989898989899,81.010101010101,-81.010101010101,100,-100,3
"226",68.0808080808081,-68.0808080808081,31.9191919191919,-31.9191919191919,100,-100,3
"227",-100,100,200,-200,100,-100,7
"228",-100,100,0,0,-100,100,9
"229",-100,100,0,0,-100,100,9
"230",57.7777777777778,-57.7777777777778,42.2222222222222,-42.2222222222222,100,-100,3
"231",100,-100,0,0,100,-100,9
"232",-7.105427357601e-15,7.105427357601e-15,0,0,-7.105427357601e-15,7.105427357601e-15,9
"233",46.7676767676768,-46.7676767676768,53.2323232323232,-53.2323232323232,100,-100,3
"234",72.7272727272727,-72.7272727272727,27.2727272727273,-27.2727272727273,100,-100,3
"235",41.7,-41.7,58.3,-58.3,100,-100,1
"236",-100,100,-19900,19900,-20000,20000,9
"237",-21.45,21.45,-78.55,78.55,-100,100,2
"238",100,-100,0,0,100,-100,3
"239",45.2525252525252,-45.2525252525253,54.7474747474747,-54.7474747474747,100,-100,3
"240",-100,100,0,0,-100,100,9
"241",45.8585858585859,-45.8585858585859,54.1414141414141,-54.1414141414141,100,-100,3
"242",-100,100,0,0,-100,100,9
"243",100,-100,0,0,100,-100,9
"244",-100,100,0,0,-100,100,9
"245",35.45,-35.45,64.55,-64.55,100,-100,1
"246",79.5959595959596,-79.5959595959596,20.4040404040404,-20.4040404040404,100,-100,3
"247",-1225.65656565657,1225.65656565656,-18774.3434343434,18774.3434343434,-20000,20000,9
"248",100,-100,0,0,100,-100,9
"249",-100,100,0,0,-100,100,9
"250",63.2323232323233,-63.2323232323232,36.7676767676768,-36.7676767676768,100,-100,3
"251",100,-100,0,0,100,-100,9
"252",57.1717171717172,-57.1717171717172,42.8282828282828,-42.8282828282828,100,-100,3
"253",100,-100,0,0,100,-100,9
"254",-2.66453525910038e-15,2.66453525910038e-15,0,0,-2.66453525910038e-15,2.66453525910038e-15,9
"255",74.9494949494949,-74.9494949494949,25.0505050505051,-25.0505050505051,100,-100,3
"256",100,-100,0,0,100,-100,9
"257",-38.3,38.3,-61.7,61.7,-100,100,2
"258",0,0,0,0,0,0,9
"259",-45.5555555555556,45.5555555555556,145.555555555556,-145.555555555556,100,-100,3
"260",-100,100,0,0,-100,100,9
"261",63.2323232323233,-63.2323232323232,36.7676767676768,-36.7676767676768,100,-100,3
"262",49.6969696969697,-49.6969696969697,50.3030303030303,-50.3030303030303,100,-100,3
"263",15.6565656565657,-15.6565656565657,84.3434343434343,-84.3434343434343,100,-100,3
"264",-68.8888888888889,68.8888888888889,168.888888888889,-168.888888888889,100,-100,3
"265",29.25,-29.25,70.75,-70.75,100,-100,1
"266",56.969696969697,-54.769696969697,43.030303030303,-45.230303030303,100,-100,3
"267",-100,100,200,-200,100,-100,7
"268",-66.4646464646465,66.4646464646465,166.464646464646,-166.464646464646,100,-100,3
"269",87.2727272727273,-87.2727272727273,12.7272727272727,-12.7272727272727,100,-100,3
"270",-100,100,200,-200,100,-100,7
"271",-100,100,0,0,-100,100,8
"272",-47.3737373737374,47.3737373737374,147.373737373737,-147.373737373737,100,-100,3
"273",-100,100,0,0,-100,100,9
"274",62.020202020202,-62.020202020202,37.979797979798,-37.979797979798,100,-100,3
"275",95.2525252525252,-95.2525252525253,4.74747474747474,-4.74747474747474,100,-100,3
"276",-96.7676767676768,96.7676767676768,196.767676767677,-196.767676767677,100,-100,3
"277",904.545454545454,-904.545454545454,-904.545454545452,904.545454545452,1.81898940354586e-12,-1.81898940354586e-12,9
"278",100,-100,0,0,100,-100,3
"279",85.3535353535353,-85.3535353535353,14.6464646464647,-14.6464646464647,100,-100,3
"280",-100,100,0,0,-100,100,9
"281",-46.6666666666667,46.6666666666667,146.666666666667,-146.666666666667,100,-100,3
"282",100,-100,0,0,100,-100,9
"283",-100,100,0,0,-100,100,9
"284",26.0606060606061,-26.0606060606061,73.9393939393939,-73.9393939393939,100,-100,3
"285",-29.2929292929293,29.2929292929293,129.292929292929,-129.292929292929,100,-100,3
"286",-57.2727272727273,57.2727272727273,157.272727272727,-157.272727272727,100,-100,3
"287",-100,100,0,0,-100,100,9
"288",-100,100,200,-200,100,-100,7
"289",-100,100,0,0,-100,100,9
"290",100,-100,0,0,100,-100,9
"291",59.1919191919192,-59.1919191919192,40.8080808080808,-40.8080808080808,100,-100,3
"292",100,-100,0,0,100,-100,9
"293",-100,100,200,-200,100,-100,7
"294",-49.7979797979798,49.7979797979798,149.79797979798,-149.79797979798,100,-100,3
"295",-100,100,0,0,-100,100,8
"296",100,-100,0,0,100,-100,3
"297",63.6363636363637,-63.6363636363636,36.3636363636364,-36.3636363636364,100,-100,3
"298",46.7676767676768,-46.7676767676768,53.2323232323232,-53.2323232323232,100,-100,3
"299",100,-100,0,0,100,-100,7
"300",-100,100,200,-200,100,-100,7
"301",100,-100,0,0,100,-100,9
"302",52.5252525252525,-52.5252525252525,47.4747474747475,-47.4747474747475,100,-100,3
"303",0,-7.105427357601e-15,100,-100,100,-100,7
"304",-48.7878787878788,48.7878787878788,148.787878787879,-148.787878787879,100,-100,3
"305",-100,100,0,0,-100,100,9
"306",63.2323232323232,-50.5823232323232,36.7676767676768,-49.4176767676768,100,-100,3
"307",-42.8282828282828,42.8282828282828,142.828282828283,-142.828282828283,100,-100,3
"308",100,-100,0,0,100,-100,7
"309",-78.989898989899,78.989898989899,178.989898989899,-178.989898989899,100,-100,3
"310",100,-100,0,0,100,-100,9
"311",-75,75,-25,25,-100,100,6
"312",33.030303030303,-33.030303030303,66.969696969697,-66.969696969697,100,-100,3
"313",-60,60,160,-160,100,-100,3
"314",-1456.81818181818,1456.81818181818,-18543.1818181818,18543.1818181818,-20000,20000,9
"315",100,-100,0,0,100,-100,5
"316",-100,100,0,0,-100,100,9
"317",-100,100,0,0,-100,100,9
"318",-38.2828282828283,38.2828282828283,138.282828282828,-138.282828282828,100,-100,3
"319",50.7070707070707,-50.7070707070707,49.2929292929293,-49.2929292929293,100,-100,3
"320",100,-100,0,0,100,-100,7
"321",71.010101010101,-71.010101010101,28.989898989899,-28.989898989899,100,-100,3
"322",81.2121212121212,-81.2121212121212,18.7878787878788,-18.7878787878788,100,-100,3
"323",39.0909090909091,-39.0909090909091,60.9090909090909,-60.9090909090909,100,-100,3
"324",-100,100,0,0,-100,100,9
"325",-1909.09090909091,1909.09090909091,-18090.9090909091,18090.9090909091,-20000,20000,9
"326",-100,100,0,0,-100,100,9
"327",-100,100,200,-200,100,-100,7
"328",-100,104.8,0,-4.79999999999998,-100,100,9
"329",50.7070707070707,-50.7070707070707,49.2929292929293,-49.2929292929293,100,-100,3
"330",-82.4242424242424,82.4242424242424,182.424242424242,-182.424242424242,100,-100,3
"331",50.7070707070707,-50.7070707070707,49.2929292929293,-49.2929292929293,100,-100,3
"332",100,-100,0,0,100,-100,9
"333",100,-100,0,0,100,-100,9
"334",0,0,0,0,0,0,9
"335",100,-100,0,0,100,-100,9
"336",47.6767676767677,-47.6767676767677,52.3232323232323,-52.3232323232323,100,-100,3
"337",72.9292929292929,-72.9292929292929,27.0707070707071,-27.0707070707071,100,-100,3
"338",64.2424242424242,-64.2424242424242,35.7575757575758,-35.7575757575758,100,-100,3
"339",77.979797979798,-77.979797979798,22.020202020202,-22.020202020202,100,-100,3
"340",100,-100,0,0,100,-100,9
"341",-61.3131313131313,61.3131313131313,161.313131313131,-161.313131313131,100,-100,3
"342",-100,100,0,0,-100,100,9
"343",73.1313131313131,-73.1313131313131,26.8686868686869,-26.8686868686869,100,-100,3
"344",52.5252525252525,-52.5252525252525,47.4747474747475,-47.4747474747475,100,-100,3
"345",-60.2020202020202,60.2020202020202,160.20202020202,-160.20202020202,100,-100,3
"346",100,-100,0,0,100,-100,5
"347",69.8989898989899,-69.8989898989899,30.1010101010101,-30.1010101010101,100,-100,3
"348",-100,100,0,0,-100,100,9
"349",-100,100,0,0,-100,100,6
"350",49.2929292929293,-49.2929292929293,50.7070707070707,-50.7070707070707,100,-100,3
"351",-65.8585858585859,65.8585858585859,165.858585858586,-165.858585858586,100,-100,3
"352",63.030303030303,-63.030303030303,36.969696969697,-36.969696969697,100,-100,3
"353",90.9090909090909,-67.5590909090909,9.09090909090908,-32.4409090909091,100,-100,3
"354",-100,100,0,0,-100,100,9
"355",100,-100,0,0,100,-100,7
"356",49.4949494949495,-49.4949494949495,50.5050505050505,-50.5050505050505,100,-100,3
"357",100,-100,0,0,100,-100,7
