"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",0.550000000000011,-0.550000000000011,49.45,-49.45,50,-50,0
"2",32.1,-32.1,17.9,-17.9,50,-50,0
"3",-24.35,24.35,74.35,-74.35,50,-50,0
"4",-2.90000000000001,2.89999999999999,-97.1,97.1,-100,100,2
"5",-16.95,16.95,66.95,-66.95,50,-50,0
"6",24.8,-24.8,25.2,-25.2,50,-50,0
"7",14.9,-14.9,35.1,-35.1,50,-50,0
"8",-20.9,20.9,70.9,-70.9,50,-50,0
"9",51.3,-50,-1.29999999999998,0,50,-50,0
"10",24.2,-24.2,25.8,-25.8,50,-50,0
"11",-47.2,47.2,97.2,-97.2,50,-50,0
"12",-13.1,13.1,63.1,-63.1,50,-50,0
"13",22.95,-22.95,27.05,-27.05,50,-50,0
"14",35.1,-35.1,14.9,-14.9,50,-50,0
"15",38.25,-38.25,11.75,-11.75,50,-50,0
"16",-46.15,46.15,96.15,-96.15,50,-50,0
"17",17.1,-17.1,32.9,-32.9,50,-50,0
"18",-41.35,41.35,91.35,-91.35,50,-50,0
"19",-38.9,38.9,88.9,-88.9,50,-50,0
"20",11.2,-11.2,38.8,-38.8,50,-50,0
"21",50.25,-50,-0.25,0,50,-50,0
"22",-32.3,32.3,82.3,-82.3,50,-50,0
"23",17.45,-17.45,32.55,-32.55,50,-50,0
"24",-39.6,39.6,89.6,-89.6,50,-50,0
"25",-19.5,19.5,69.5,-69.5,50,-50,0
"26",2.75000000000001,-2.75000000000001,-102.75,102.75,-100,100,2
"27",29.25,-29.25,20.75,-20.75,50,-50,0
"28",38.6,-38.6,11.4,-11.4,50,-50,0
"29",-45.75,45.75,95.75,-95.75,50,-50,0
"30",34.2,-34.2,15.8,-15.8,50,-50,0
"31",28.85,-28.85,21.15,-21.15,50,-50,0
"32",28.25,-28.25,21.75,-21.75,50,-50,0
"33",45.1,-45.1,4.90000000000001,-4.89999999999999,50,-50,0
"34",-26.5,26.5,76.5,-76.5,50,-50,0
"35",-3.65000000000001,3.65000000000002,53.65,-53.65,50,-50,0
"36",-38.05,38.05,88.05,-88.05,50,-50,0
"37",30.75,-30.75,19.25,-19.25,50,-50,0
"38",-34.7,34.7,84.7,-84.7,50,-50,0
"39",18.4,-18.4,31.6,-31.6,50,-50,0
"40",-37.3,37.3,87.3,-87.3,50,-50,0
"41",15.95,-15.95,34.05,-34.05,50,-50,0
"42",44.3,-44.3,5.70000000000002,-5.70000000000002,50,-50,0
"43",-6.59999999999999,6.59999999999998,56.6,-56.6,50,-50,0
"44",-27.7,27.7,77.7,-77.7,50,-50,0
"45",29.1,-29.1,20.9,-20.9,50,-50,0
"46",-21.5,21.5,71.5,-71.5,50,-50,0
"47",-9.35000000000001,9.35000000000001,59.35,-59.35,50,-50,0
"48",68.6,-50,-18.6,0,50,-50,0
"49",72.9,-50,-22.9,0,50,-50,0
"50",-30.1,30.1,80.1,-80.1,50,-50,0
"51",26.55,-26.55,23.45,-23.45,50,-50,0
"52",22.75,-22.75,27.25,-27.25,50,-50,0
