"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-31.2,31.2,81.2,-81.2,50,-50,0
"2",87.65,-50,-37.65,0,50,-50,0
"3",-4.65000000000001,4.65000000000001,54.65,-54.65,50,-50,0
"4",82.4242424242424,-82.4242424242424,17.5757575757576,-17.5757575757576,100,-100,3
"5",35.35,-35.35,14.65,-14.65,50,-50,0
"6",26.1,-26.1,23.9,-23.9,50,-50,0
"7",34.35,-34.35,15.65,-15.65,50,-50,0
"8",-4.60000000000001,4.60000000000001,54.6,-54.6,50,-50,0
"9",23.3,-23.3,26.7,-26.7,50,-50,0
"10",-25.25,25.25,75.25,-75.25,50,-50,0
"11",47.15,-47.15,2.84999999999999,-2.84999999999999,50,-50,0
"12",-14.85,14.85,64.85,-64.85,50,-50,0
"13",-100,100,200,-200,100,-100,7
"14",34.55,-34.55,15.45,-15.45,50,-50,0
"15",22.15,-22.15,27.85,-27.85,50,-50,0
"16",-9.75,9.75000000000001,59.75,-59.75,50,-50,0
"17",24.3,-24.3,25.7,-25.7,50,-50,0
"18",-32.4,32.4,82.4,-82.4,50,-50,0
"19",18.5,-18.5,31.5,-31.5,50,-50,0
"20",22.9,-22.9,27.1,-27.1,50,-50,0
"21",-17,17,67,-67,50,-50,0
"22",-10.75,10.75,60.75,-60.75,50,-50,0
"23",-29.7,29.7,79.7,-79.7,50,-50,0
"24",47.25,-47.25,2.75,-2.75000000000001,50,-50,0
"25",19.75,-19.75,30.25,-30.25,50,-50,0
"26",25.3,-25.3,24.7,-24.7,50,-50,0
"27",42.2,-42.2,7.80000000000001,-7.8,50,-50,0
"28",-34.1,34.1,84.1,-84.1,50,-50,0
"29",-13.95,13.95,63.95,-63.95,50,-50,0
"30",-15.45,15.45,65.45,-65.45,50,-50,0
"31",42.25,-42.25,7.75,-7.75000000000001,50,-50,0
"32",9.3,-9.3,40.7,-40.7,50,-50,0
"33",-12.95,12.95,62.95,-62.95,50,-50,0
"34",-39.35,39.35,89.35,-89.35,50,-50,0
"35",28.6,-28.6,21.4,-21.4,50,-50,0
"36",20.5,-20.5,29.5,-29.5,50,-50,0
"37",25.6,-25.6,24.4,-24.4,50,-50,0
"38",42,-42,8,-8.00000000000001,50,-50,0
"39",30.45,-30.45,19.55,-19.55,50,-50,0
"40",-53.030303030303,53.030303030303,153.030303030303,-153.030303030303,100,-100,3
"41",-35.15,35.15,85.15,-85.15,50,-50,0
"42",33.75,-33.75,16.25,-16.25,50,-50,0
"43",-100,100,0,0,-100,100,9
"44",39.2,-39.2,10.8,-10.8,50,-50,0
"45",29.05,-29.05,20.95,-20.95,50,-50,0
"46",29.45,-29.45,20.55,-20.55,50,-50,0
"47",-47.5,47.5,97.5,-97.5,50,-50,0
"48",-24.45,24.45,74.45,-74.45,50,-50,0
"49",-34,34,84,-84,50,-50,0
"50",44.75,-44.75,5.25,-5.25,50,-50,0
"51",-22.3,22.3,72.3,-72.3,50,-50,0
"52",-47.1717171717172,47.1717171717172,147.171717171717,-147.171717171717,100,-100,3
"53",-26.55,26.55,76.55,-76.55,50,-50,0
"54",-30.8,30.8,80.8,-80.8,50,-50,0
"55",-31.9,31.9,81.9,-81.9,50,-50,0
"56",-68.65,68.65,-31.35,31.35,-100,100,2
"57",-17.4,17.4,67.4,-67.4,50,-50,0
