"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-23,23,73,-73,50,-50,0
"2",14,-14,36,-36,50,-50,0
"3",27,-27,23,-23,50,-50,0
"4",40.75,-40.75,9.25,-9.25,50,-50,0
"5",27.55,-27.55,22.45,-22.45,50,-50,0
"6",-6.19999999999999,6.19999999999999,56.2,-56.2,50,-50,0
"7",-49.25,49.25,99.25,-99.25,50,-50,0
"8",24.1,-24.1,25.9,-25.9,50,-50,0
"9",29.95,-29.95,20.05,-20.05,50,-50,0
"10",-10.9,10.9,60.9,-60.9,50,-50,0
"11",26,-26,24,-24,50,-50,0
"12",35.95,-35.95,14.05,-14.05,50,-50,0
"13",-24.1,24.1,74.1,-74.1,50,-50,0
"14",22.05,-22.05,27.95,-27.95,50,-50,0
"15",12.95,-12.95,37.05,-37.05,50,-50,0
"16",10.65,-10.65,39.35,-39.35,50,-50,0
"17",-39.2,39.2,-60.8,60.8,-100,100,2
"18",-56.4,56.4,106.4,-106.4,50,-50,0
"19",-16.35,16.35,66.35,-66.35,50,-50,0
"20",-24.35,24.35,74.35,-74.35,50,-50,0
"21",30.15,-30.15,19.85,-19.85,50,-50,0
"22",-16.9,16.9,66.9,-66.9,50,-50,0
"23",21.2,-21.2,28.8,-28.8,50,-50,0
"24",20.2,-20.2,29.8,-29.8,50,-50,0
"25",-22.35,22.35,72.35,-72.35,50,-50,0
"26",-27.45,27.45,77.45,-77.45,50,-50,0
"27",-7.59999999999999,7.60000000000001,57.6,-57.6,50,-50,0
"28",51.75,-50,-1.75,0,50,-50,0
"29",25.5,-25.5,24.5,-24.5,50,-50,0
"30",13.35,-13.35,36.65,-36.65,50,-50,0
"31",21.3,-21.3,28.7,-28.7,50,-50,0
"32",19.45,-19.45,30.55,-30.55,50,-50,0
"33",-20.05,20.05,70.05,-70.05,50,-50,0
"34",32.6,-32.6,17.4,-17.4,50,-50,0
"35",0.200000000000003,-0.200000000000003,49.8,-49.8,50,-50,0
"36",-36.35,36.35,-63.65,63.65,-100,100,2
"37",-35.05,35.05,85.05,-85.05,50,-50,0
"38",-31.45,31.45,81.45,-81.45,50,-50,0
"39",29,-29,21,-21,50,-50,0
"40",36.9,-36.9,13.1,-13.1,50,-50,0
"41",28.6,-28.6,21.4,-21.4,50,-50,0
"42",-37.3,37.3,87.3,-87.3,50,-50,0
"43",-28.05,28.05,78.05,-78.05,50,-50,0
"44",10.25,-10.25,39.75,-39.75,50,-50,0
"45",-51.1,51.1,101.1,-101.1,50,-50,0
"46",-31.85,31.85,81.85,-81.85,50,-50,0
"47",-2.60000000000001,2.60000000000001,52.6,-52.6,50,-50,0
"48",19.1,-19.1,30.9,-30.9,50,-50,0
"49",37.05,-37.05,12.95,-12.95,50,-50,0
"50",-18.55,18.55,68.55,-68.55,50,-50,0
"51",23.35,-23.35,26.65,-26.65,50,-50,0
"52",30.4,-30.4,19.6,-19.6,50,-50,0
"53",4.75000000000001,-4.75000000000001,-104.75,104.75,-100,100,2
"54",46.45,-46.45,3.55000000000001,-3.55000000000001,50,-50,0
"55",-6.65000000000001,6.65000000000001,-93.35,93.35,-100,100,2
"56",-31.15,31.15,81.15,-81.15,50,-50,0
"57",44.05,-44.05,5.95000000000002,-5.95000000000001,50,-50,0
"58",-10.3,10.3,60.3,-60.3,50,-50,0
"59",-30.45,30.45,80.45,-80.45,50,-50,0
"60",-37.25,37.25,87.25,-87.25,50,-50,0
"61",-48.3,48.3,98.3,-98.3,50,-50,0
"62",67.15,-50,-17.15,0,50,-50,0
"63",-25.1,25.1,75.1,-75.1,50,-50,0
"64",34.9,-34.9,15.1,-15.1,50,-50,0
"65",16.8,-16.8,33.2,-33.2,50,-50,0
"66",-29.05,29.05,79.05,-79.05,50,-50,0
"67",20.4,-20.4,29.6,-29.6,50,-50,0
"68",14.7,-14.7,35.3,-35.3,50,-50,0
"69",-5.65000000000001,5.65000000000002,55.65,-55.65,50,-50,0
"70",-66.95,66.95,-33.05,33.05,-100,100,2
"71",18.45,-18.45,31.55,-31.55,50,-50,0
"72",30.1,-30.1,19.9,-19.9,50,-50,0
"73",-25.35,25.35,75.35,-75.35,50,-50,0
"74",-24.55,24.55,74.55,-74.55,50,-50,0
"75",31.25,-31.25,18.75,-18.75,50,-50,0
"76",16.9,-16.9,33.1,-33.1,50,-50,0
"77",-34.5,34.5,84.5,-84.5,50,-50,0
"78",32.8,-32.8,17.2,-17.2,50,-50,0
"79",-50.25,50.25,100.25,-100.25,50,-50,0
"80",0.799999999999997,-0.799999999999997,49.2,-49.2,50,-50,0
"81",28.8,-28.8,21.2,-21.2,50,-50,0
"82",-15.7,15.7,65.7,-65.7,50,-50,0
"83",41.25,-41.25,8.75,-8.74999999999999,50,-50,0
"84",-12.8,12.8,62.8,-62.8,50,-50,0
"85",48.7,-48.7,1.29999999999998,-1.29999999999999,50,-50,0
"86",-29.55,29.55,79.55,-79.55,50,-50,0
"87",-30.15,30.15,80.15,-80.15,50,-50,0
"88",7.99999999999999,-7.99999999999999,42,-42,50,-50,0
"89",-38.55,38.55,88.55,-88.55,50,-50,0
"90",45.85,-45.85,4.15000000000001,-4.15000000000001,50,-50,0
"91",-33.35,33.35,83.35,-83.35,50,-50,0
"92",53.15,-50,-3.14999999999998,0,50,-50,0
"93",-46.45,46.45,96.45,-96.45,50,-50,0
"94",31.7,-31.7,18.3,-18.3,50,-50,0
"95",-10.55,10.55,60.55,-60.55,50,-50,0
"96",41,-41,9,-9.00000000000001,50,-50,0
"97",-31.35,31.35,81.35,-81.35,50,-50,0
"98",17.1,-17.1,32.9,-32.9,50,-50,0
"99",-11.45,11.45,61.45,-61.45,50,-50,0
"100",29.35,-29.35,20.65,-20.65,50,-50,0
"101",-34.15,34.15,84.15,-84.15,50,-50,0
"102",-30.25,30.25,80.25,-80.25,50,-50,0
"103",-12.15,12.15,62.15,-62.15,50,-50,0
"104",-71.55,71.55,-28.45,28.45,-100,100,2
"105",28.45,-28.45,21.55,-21.55,50,-50,0
"106",14.2,-14.2,35.8,-35.8,50,-50,0
"107",-17.55,17.55,67.55,-67.55,50,-50,0
"108",-14.45,14.45,64.45,-64.45,50,-50,0
"109",0.799999999999997,-0.799999999999997,49.2,-49.2,50,-50,0
"110",32.05,-32.05,17.95,-17.95,50,-50,0
"111",46.6,-46.6,3.40000000000001,-3.40000000000001,50,-50,0
"112",8.85000000000001,-8.85000000000001,41.15,-41.15,50,-50,0
"113",-42.65,42.65,92.65,-92.65,50,-50,0
"114",31.45,-31.45,18.55,-18.55,50,-50,0
"115",32.2,-32.2,17.8,-17.8,50,-50,0
"116",35.7,-35.7,14.3,-14.3,50,-50,0
"117",-25.45,25.45,75.45,-75.45,50,-50,0
"118",38.6,-38.6,11.4,-11.4,50,-50,0
"119",28.75,-28.75,21.25,-21.25,50,-50,0
"120",-26.95,26.95,76.95,-76.95,50,-50,0
"121",52.95,-50,-2.95000000000002,0,50,-50,0
"122",-38.15,38.15,88.15,-88.15,50,-50,0
"123",-29.85,29.85,79.85,-79.85,50,-50,0
"124",-29.9,29.9,79.9,-79.9,50,-50,0
"125",-25.65,25.65,75.65,-75.65,50,-50,0
"126",-32.6,32.6,82.6,-82.6,50,-50,0
"127",-10.55,10.55,60.55,-60.55,50,-50,0
"128",45.35,-45.35,4.65000000000001,-4.65,50,-50,0
"129",-20.75,20.75,70.75,-70.75,50,-50,0
"130",-43.55,43.55,93.55,-93.55,50,-50,0
"131",-43.05,43.05,93.05,-93.05,50,-50,0
"132",33.55,-33.55,16.45,-16.45,50,-50,0
"133",-42.05,42.05,92.05,-92.05,50,-50,0
"134",40.45,-40.45,9.54999999999998,-9.54999999999999,50,-50,0
"135",-27.8,27.8,77.8,-77.8,50,-50,0
"136",-40.9,40.9,90.9,-90.9,50,-50,0
"137",-12.6,12.6,62.6,-62.6,50,-50,0
"138",30.9,-30.9,19.1,-19.1,50,-50,0
"139",17,-17,33,-33,50,-50,0
"140",-9,8.99999999999999,-91,91,-100,100,2
"141",-75.2,75.2,-24.8,24.8,-100,100,2
"142",-14.65,14.65,64.65,-64.65,50,-50,0
"143",25.4,-25.4,24.6,-24.6,50,-50,0
"144",-17.55,17.55,67.55,-67.55,50,-50,0
"145",-33.9,33.9,83.9,-83.9,50,-50,0
"146",44.55,-44.55,5.44999999999999,-5.45,50,-50,0
"147",-16.9,16.9,66.9,-66.9,50,-50,0
"148",-10.15,10.15,60.15,-60.15,50,-50,0
"149",-70.1,70.1,-29.9,29.9,-100,100,2
"150",-48.05,48.05,98.05,-98.05,50,-50,0
"151",-29.95,29.95,79.95,-79.95,50,-50,0
"152",-42.15,42.15,92.15,-92.15,50,-50,0
"153",31.05,-31.05,18.95,-18.95,50,-50,0
"154",19.9,-19.9,30.1,-30.1,50,-50,0
"155",-18.7,18.7,68.7,-68.7,50,-50,0
"156",55.9,-50,-5.90000000000001,0,50,-50,0
"157",-14,14,64,-64,50,-50,0
"158",-36.4,36.4,86.4,-86.4,50,-50,0
"159",-70.5,70.5,-29.5,29.5,-100,100,2
"160",-21.25,21.25,71.25,-71.25,50,-50,0
"161",32.6,-32.6,17.4,-17.4,50,-50,0
"162",-31.25,31.25,81.25,-81.25,50,-50,0
"163",-69.5,69.5,-30.5,30.5,-100,100,2
"164",46.45,-46.45,3.54999999999998,-3.54999999999998,50,-50,0
"165",33.75,-33.75,16.25,-16.25,50,-50,0
"166",-60.65,60.65,-39.35,39.35,-100,100,2
"167",17.5,-17.5,32.5,-32.5,50,-50,0
"168",48.6,-48.6,1.40000000000001,-1.4,50,-50,0
"169",26.6,-26.6,23.4,-23.4,50,-50,0
"170",30.8,-30.8,19.2,-19.2,50,-50,0
"171",3.3,-3.3,46.7,-46.7,50,-50,0
"172",-6.45,6.45,56.45,-56.45,50,-50,0
"173",-54.35,54.35,104.35,-104.35,50,-50,0
"174",-44.45,44.45,94.45,-94.45,50,-50,0
"175",-34.45,34.45,84.45,-84.45,50,-50,0
"176",22.35,-22.35,27.65,-27.65,50,-50,0
"177",24.15,-24.15,25.85,-25.85,50,-50,0
"178",-27.2,27.2,77.2,-77.2,50,-50,0
"179",25.3,-25.3,24.7,-24.7,50,-50,0
"180",-21.65,21.65,71.65,-71.65,50,-50,0
"181",-30.75,30.75,80.75,-80.75,50,-50,0
"182",32.3,-32.3,17.7,-17.7,50,-50,0
"183",-9.95,9.94999999999999,59.95,-59.95,50,-50,0
"184",-11.55,11.55,-88.45,88.45,-100,100,2
"185",-16.35,16.35,66.35,-66.35,50,-50,0
"186",-72,72,-28,28,-100,100,2
"187",39,-39,11,-11,50,-50,0
"188",-25.25,25.25,75.25,-75.25,50,-50,0
"189",-27.1,27.1,77.1,-77.1,50,-50,0
"190",-34.15,34.15,84.15,-84.15,50,-50,0
"191",30.05,-30.05,19.95,-19.95,50,-50,0
"192",65,-50,-15,0,50,-50,0
"193",-31.4,31.4,81.4,-81.4,50,-50,0
"194",-59.75,59.75,-40.25,40.25,-100,100,2
"195",-27.4,27.4,77.4,-77.4,50,-50,0
"196",-28.05,28.05,78.05,-78.05,50,-50,0
"197",-19,19,69,-69,50,-50,0
"198",34.15,-34.15,15.85,-15.85,50,-50,0
"199",-25.2,25.2,75.2,-75.2,50,-50,0
"200",72.5,-50,-22.5,0,50,-50,0
"201",22.9,-22.9,27.1,-27.1,50,-50,0
"202",-11.75,11.75,61.75,-61.75,50,-50,0
"203",33.05,-33.05,16.95,-16.95,50,-50,0
"204",25.55,-25.55,24.45,-24.45,50,-50,0
"205",-26.4,26.4,76.4,-76.4,50,-50,0
"206",-15.05,15.05,65.05,-65.05,50,-50,0
"207",39.35,-39.35,10.65,-10.65,50,-50,0
"208",-33.8,33.8,83.8,-83.8,50,-50,0
"209",35.25,-35.25,14.75,-14.75,50,-50,0
"210",33.75,-33.75,16.25,-16.25,50,-50,0
"211",-41.2,41.2,91.2,-91.2,50,-50,0
"212",33.85,-33.85,16.15,-16.15,50,-50,0
"213",-33.4,33.4,83.4,-83.4,50,-50,0
"214",-44.7,44.7,94.7,-94.7,50,-50,0
